,Rank,Team,Conference
70,71,St. John's (NY),Big East
71,72,Marist,MAAC
72,73,Jacksonville St.,Conference USA
73,74,Southeastern La.,Southland
74,75,Boise St.,Mountain West
75,76,Samford,Southern
76,77,Binghamton,America East
77,78,Western Ky.,Conference USA
78,79,Marshall,Sun Belt
79,80,Southern Ill.,Missouri Valley
80,81,Mercer,Southern
81,82,Louisiana Tech,Conference USA
82,83,Kansas,Big 12
83,84,Wichita St.,American Athletic
84,85,Penn St.,Big Ten
85,86,Houston,Big 12
86,87,Austin Peay,ASUN
87,88,Radford,Big South
88,89,Princeton,Ivy League
89,90,East Carolina,American Athletic
90,91,FIU,Conference USA
91,92,Harvard,Ivy League
92,93,Notre Dame,ACC
93,94,St. Thomas (MN),The Summit League
94,95,ULM,Sun Belt
95,96,Ga. Southern,Sun Belt
96,97,Ohio,Mid-American
97,98,North Ala.,ASUN
98,99,James Madison,Sun Belt
99,100,Tarleton St.,Western Athletic
100,101,USC Upstate,Big South
101,102,Hawaii,Big West
102,103,Wofford,Southern
103,104,South Dakota St.,The Summit League
104,105,Middle Tenn.,Conference USA
105,106,Dayton,Atlantic 10
106,107,Troy,Sun Belt
107,108,Minnesota,Big Ten
108,109,Boston College,ACC
109,110,Elon,Coastal Athletic
110,111,Utah St.,Mountain West
111,112,FGCU,ASUN
112,113,LMU (CA),West Coast
113,114,Idaho St.,Big Sky
114,115,Pittsburgh,ACC
115,116,UNI,Missouri Valley
116,117,Sam Houston,Conference USA
117,118,Villanova,Big East
118,119,Santa Clara,West Coast
119,120,Southern Miss.,Sun Belt
120,121,Miami (OH),Mid-American
121,122,Maryland,Big Ten
122,123,Boston U.,Patriot League
123,124,Creighton,Big East
124,125,Delaware,Coastal Athletic
125,126,UNLV,Mountain West
126,127,Brown,Ivy League
127,128,Illinois,Big Ten
128,129,App State,Sun Belt
129,130,Seton Hall,Big East
130,131,Fordham,Atlantic 10
131,132,Akron,Mid-American
132,133,Seattle U,Western Athletic
133,134,Columbia,Ivy League
134,135,California Baptist,Western Athletic
135,136,Ball St.,Mid-American
136,137,UT Arlington,Western Athletic
137,138,Long Beach St.,Big West
138,139,Winthrop,Big South
139,140,UIW,Southland
140,141,Utah,Big 12
141,142,New Mexico St.,Conference USA
142,143,Eastern Ill.,Ohio Valley
143,144,Illinois St.,Missouri Valley
144,145,Michigan St.,Big Ten
145,146,Army West Point,Patriot League
146,147,Col. of Charleston,Coastal Athletic
147,148,Nicholls,Southland
148,149,Butler,Big East
149,150,Jacksonville,ASUN
150,151,Lamar University,Southland
151,152,Saint Joseph's,Atlantic 10
152,153,Oregon St.,West Coast
153,154,Providence,Big East
154,155,Siena,MAAC
155,156,Lipscomb,ASUN
156,157,UC Santa Barbara,Big West
157,158,San Jose St.,Mountain West
158,159,UAB,American Athletic
159,160,UNCW,Coastal Athletic
160,161,Longwood,Big South
161,162,South Alabama,Sun Belt
162,163,Central Mich.,Mid-American
163,164,Hofstra,Coastal Athletic
164,165,Southern Utah,Western Athletic
165,166,Saint Louis,Atlantic 10
166,167,Campbell,Coastal Athletic
167,168,Florida A&M,SWAC
168,169,Southeast Mo. St.,Ohio Valley
169,170,Iona,MAAC
170,171,SFA,Southland
171,172,George Washington,Atlantic 10
172,173,UTEP,Conference USA
173,174,Sacramento St.,Big Sky
174,175,South Dakota,The Summit League
175,176,Cornell,Ivy League
176,177,Tulsa,American Athletic
177,178,Bradley,Missouri Valley
178,179,CSUN,Big West
179,180,New Mexico,Mountain West
180,181,Lehigh,Patriot League
181,182,SIUE,Ohio Valley
182,183,Robert Morris,Horizon League
183,184,Dartmouth,Ivy League
184,185,Rutgers,Big Ten
185,186,Charleston So.,Big South
186,187,UTSA,American Athletic
187,188,San Diego,West Coast
188,189,LIU,Northeast
189,190,Tennessee St.,Ohio Valley
190,191,NIU,Mid-American
191,192,Weber St.,Big Sky
192,193,Western Caro.,Southern
193,194,Stony Brook,Coastal Athletic
194,195,Howard,MEAC
195,196,Abilene Christian,Western Athletic
196,197,North Dakota,The Summit League
197,198,UC Riverside,Big West
198,199,Missouri St.,Missouri Valley
199,200,Colorado St.,Mountain West
200,201,North Dakota St.,The Summit League
201,202,Toledo,Mid-American
202,203,Purdue Fort Wayne,Horizon League
