Rank,Name,G,W-L,AB,TB,SLG PCT
140,Vanderbilt,62,42-20,2097,938,0.447
141,Gardner-Webb,56,31-25,1896,846,0.446
142,SIUE,54,26-28,1861,830,0.446
143,Kentucky,61,40-21,1971,879,0.446
144,Grand Canyon,58,37-21,2052,913,0.445
145,UMBC,57,30-27,1901,845,0.445
146,Pittsburgh,55,24-31,1853,822,0.444
147,Murray St.,59,31-28,2005,889,0.443
148,Dayton,60,26-34,2036,902,0.443
149,UNLV,51,21-30,1814,802,0.442
150,Jackson St.,53,28-25,1756,776,0.442
151,Elon,55,33-22,1867,825,0.442
152,Houston Christian,48,Nov-37,1655,730,0.441
153,Youngstown St.,55,19-36,1909,842,0.441
154,Louisville,55,31-24,1848,815,0.441
155,Binghamton,52,29-23,1754,772,0.44
156,UT Arlington,58,29-29,1993,877,0.44
157,Niagara,47,24-22-1,1657,728,0.439
158,Indiana St.,62,45-17,2122,929,0.438
159,Florida St.,54,23-31,1878,822,0.438
160,SFA,50,22-28,1761,770,0.437
161,North Dakota St.,53,23-30,1829,798,0.436
162,Ga. Southern,56,27-29,1900,828,0.436
163,Long Beach St.,55,33-22,1894,825,0.436
164,Wagner,56,32-24,1970,858,0.436
165,San Diego,50,24-25-1,1658,722,0.435
166,Omaha,49,21-28,1627,708,0.435
167,Penn St.,50,25-25,1727,751,0.435
168,Canisius,52,26-25-1,1733,753,0.435
169,Boston College,57,37-20,1945,844,0.434
170,UIC,53,28-25,1762,764,0.434
171,UNC Asheville,52,26-26,1807,783,0.433
172,Valparaiso,47,20-27,1575,682,0.433
173,South Fla.,60,21-39,2074,898,0.433
174,Sacred Heart,58,28-30,2052,887,0.432
175,Evansville,61,37-24,2059,890,0.432
176,Bucknell,47,23-23-1,1537,664,0.432
177,George Washington,55,21-34,1925,831,0.432
178,Ohio St.,56,31-25,1842,795,0.432
179,Mississippi Val.,52,15-37,1594,685,0.43
180,UIW,54,28-26,1860,797,0.428
181,Pepperdine,49,19-30,1683,721,0.428
182,Tulane,61,19-42,2036,870,0.427
183,Delaware St.,48,13-35,1669,713,0.427
184,Eastern Ill.,59,38-21,2063,881,0.427
185,McNeese,58,35-23,1946,831,0.427
186,Western Mich.,52,21-31,1758,750,0.427
187,Northwestern St.,56,29-27,1871,798,0.427
188,Fresno St.,57,30-27,1970,840,0.426
189,Purdue,53,24-29,1770,754,0.426
190,Ohio,49,19-30,1686,718,0.426
191,Nicholls,58,34-24,2046,871,0.426
192,Cincinnati,57,24-33,1830,779,0.426
193,High Point,54,20-34,1840,782,0.425
194,USC Upstate,60,38-22,2050,870,0.424
195,Hofstra,52,26-26,1834,778,0.424
196,Oklahoma,60,32-28,1998,847,0.424
197,Col. of Charleston,58,36-22,2008,851,0.424
198,Arkansas St.,51,20-31,1742,738,0.424
199,LIU,55,19-36,1904,806,0.423
200,Southeast Mo. St.,56,26-30,1845,781,0.423
201,Utah,55,22-32-1,1889,799,0.423
202,Marist,52,16-36,1781,752,0.422
203,Nevada,53,20-33,1800,760,0.422
204,UNC Greensboro,59,25-34,2011,847,0.421
205,Middle Tenn.,56,27-29,1939,816,0.421
206,Illinois St.,50,20-30,1754,738,0.421
207,South Alabama,54,23-31,1846,776,0.42
208,Central Ark.,54,23-31,1785,750,0.42
209,Michigan,56,28-28,1872,785,0.419
210,FIU,55,21-34,1920,805,0.419
211,Seton Hall,55,31-24,1901,796,0.419
212,VCU,55,25-30,1907,798,0.418
213,Harvard,44,20-24,1525,638,0.418
214,Western Ky.,59,33-26,1984,830,0.418
215,Bethune-Cookman,60,33-27,2054,859,0.418
216,Seattle U,53,21-32,1824,762,0.418
217,Memphis,57,29-28,1877,782,0.417
218,Hawaii,49,29-20,1659,690,0.416
219,Bradley,48,16-32,1587,660,0.416
220,Stony Brook,52,23-29,1835,763,0.416
221,A&M-Corpus Christi,54,24-30,1839,764,0.415
222,Liberty,58,27-31,1931,794,0.411
223,Purdue Fort Wayne,56,13-43,1907,780,0.409
224,Notre Dame,54,30-24,1790,731,0.408
225,UCLA,53,28-24-1,1815,740,0.408
226,San Francisco,47,18-29,1593,648,0.407
227,Cal St. Fullerton,56,32-24,1951,793,0.406
228,Lamar University,55,32-23,1899,769,0.405
229,Lafayette,52,15-37,1661,672,0.405
230,Pacific,49,14-35,1697,685,0.404
231,Iona,51,13-38,1724,694,0.403
232,Jacksonville,58,34-24,1929,774,0.401
233,Cal Poly,56,21-35,1957,783,0.4
234,Presbyterian,55,21-34,1837,734,0.4
235,Fordham,55,19-36,1884,752,0.399
236,The Citadel,54,23-31,1798,716,0.398
237,Oakland,60,29-31,1964,780,0.397
238,Charleston So.,50,22-28,1612,639,0.396
239,Gonzaga,52,18-34,1815,716,0.394
240,Longwood,54,23-31,1798,709,0.394
241,Rider,57,36-21,1948,768,0.394
242,Belmont,60,27-33,1984,780,0.393
243,Coppin St.,52,21-31,1729,679,0.393
244,Rice,58,21-37,1948,764,0.392
245,Marshall,53,16-37,1829,717,0.392
246,N.C. A&T,47,19-28,1590,623,0.392
247,Saint Peter's,50,Sep-41,1638,637,0.389
248,Massachusetts,49,14-35,1693,658,0.389
249,Creighton,49,25-24,1594,619,0.388
250,Southern U.,51,23-28,1641,637,0.388
251,Northern Colo.,45,Nov-34,1469,570,0.388
252,Akron,55,21-34,1823,706,0.387
253,Central Mich.,57,34-23,1928,746,0.387
254,Monmouth,46,16-30,1583,612,0.387
255,William & Mary,57,32-25,1936,748,0.386
256,Bowling Green,50,20-30,1607,620,0.386
257,Manhattan,56,22-34,1869,721,0.386
258,Milwaukee,57,25-32,1955,753,0.385
259,UMass Lowell,55,20-35,1841,709,0.385
260,North Ala.,51,14-37,1681,647,0.385
261,Winthrop,56,28-28,1918,738,0.385
262,Cornell,35,26-Sep,1174,451,0.384
263,Baylor,55,20-35,1856,710,0.383
264,LMU (CA),53,29-24,1790,681,0.38
265,Holy Cross,51,16-35,1620,615,0.38
266,Northwestern,50,Oct-40,1708,646,0.378
267,Minnesota,52,18-34,1743,657,0.377
268,Radford,55,Oct-45,1828,689,0.377
269,NJIT,53,22-31,1732,650,0.375
270,San Diego St.,53,24-29,1708,640,0.375
271,Siena,55,14-41,1802,675,0.375
272,George Mason,63,36-27,2073,772,0.372
273,Villanova,51,14-37,1692,630,0.372
274,Navy,50,23-27,1593,593,0.372
275,Western Ill.,52,Dec-40,1703,633,0.372
276,ULM,54,17-37,1790,663,0.37
277,CSU Bakersfield,52,18-34,1739,641,0.369
278,NIU,53,Oct-43,1747,643,0.368
279,St. Bonaventure,48,Aug-40,1557,568,0.365
280,UC Davis,54,17-37,1830,667,0.364
281,Alabama A&M,48,14-34,1465,529,0.361
282,Butler,55,Dec-43,1853,663,0.358
283,UAlbany,44,9-34-1,1496,535,0.358
284,Brown,38,26-Dec,1293,462,0.357
285,Norfolk St.,51,Sep-42,1694,602,0.355
286,Southeastern La.,50,25-25,1618,573,0.354
287,Alcorn,48,Aug-40,1539,540,0.351
288,Prairie View,57,20-37,1837,634,0.345
289,Ark.-Pine Bluff,51,18-33,1601,552,0.345
290,Yale,40,17-23,1332,457,0.343
291,UC Riverside,52,Nov-41,1740,592,0.34
292,UAB,53,17-36,1753,567,0.323
293,Dartmouth,41,Mar-38,1351,436,0.323
294,UMES,55,18-37,1807,577,0.319
295,Hartford,37,Apr-33,1153,358,0.31
NR,Tarleton St.,52,26-26,1729,772,0.447
NR,UC San Diego,52,34-18,1784,771,0.432
NR,Utah Tech,52,13-39,1677,722,0.431
NR,Queens (NC),55,17-38,1870,768,0.411
NR,Merrimack,51,21-30,1779,725,0.408
NR,Southern Ind.,55,17-38,1815,706,0.389
NR,Bellarmine,55,13-42,1833,709,0.387
NR,Stonehill,49,14-35,1627,583,0.358
NR,St. Thomas (MN),44,Oct-34,1476,501,0.339
NR,Lindenwood,55,13-42,1774,593,0.334
      ,,,,,,
