Rank,Name,G,W-L,SH
,Air Force,59,28-31,17
,Southeastern La.,50,25-25,17
,Memphis,57,29-28,17
,UNC Asheville,52,26-26,17
,New Mexico St.,51,14-37,17
,Fairfield,55,37-18,17
180,George Washington,55,21-34,16
,Mississippi St.,53,27-26,16
,Louisville,55,31-24,16
,Illinois St.,50,20-30,16
,Indiana St.,62,45-17,16
,Abilene Christian,59,35-24,16
,App State,55,30-25,16
,Auburn,58,34-23-1,16
,Ball St.,59,36-23,16
,UC Santa Barbara,55,35-20,16
,Portland,54,31-23,16
,St. Bonaventure,48,Aug-40,16
,Tennessee,66,44-22,16
,UIW,54,28-26,16
,Northern Colo.,45,Nov-34,16
,Pepperdine,49,19-30,16
,Kansas,57,25-32,16
197,FIU,55,21-34,15
,Hartford,37,Apr-33,15
,LSU,71,54-17,15
,UIC,53,28-25,15
,Arkansas,61,43-18,15
,Bryant,50,26-24,15
,NIU,53,Oct-43,15
,Villanova,51,14-37,15
,Col. of Charleston,58,36-22,15
,Wichita St.,55,30-25,15
,San Francisco,47,18-29,15
,Texas St.,59,36-23,15
,UC Davis,54,17-37,15
210,Florida,71,54-17,14
,Fordham,55,19-36,14
,Illinois,52,25-27,14
,Akron,55,21-34,14
,Brown,38,26-Dec,14
,Central Conn. St.,50,36-14,14
,Michigan,56,28-28,14
,Virginia Tech,53,30-23,14
,South Fla.,60,21-39,14
,UTSA,57,38-19,14
,Manhattan,56,22-34,14
,NC State,57,36-21,14
,Valparaiso,47,20-27,14
223,Houston,59,36-23,13
,Duke,63,39-24,13
,DBU,63,47-16,13
,Radford,55,Oct-45,13
,Saint Mary's (CA),51,23-28,13
,Northeastern,60,44-16,13
,Seattle U,53,21-32,13
,North Florida,55,28-27,13
,Massachusetts,49,14-35,13
,Missouri,54,30-24,13
,SFA,50,22-28,13
234,Gonzaga,52,18-34,12
,Old Dominion,55,32-23,12
,Iona,51,13-38,12
,Columbia,45,23-22,12
,Dayton,60,26-34,12
,Eastern Ky.,59,29-30,12
,Troy,62,40-22,12
,Rider,57,36-21,12
,Stanford,64,44-20,12
,FGCU,60,42-18,12
,Presbyterian,55,21-34,12
,Marshall,53,16-37,12
,North Carolina,60,36-24,12
,New Orleans,60,36-24,12
,Oklahoma St.,61,41-20,12
,Lafayette,52,15-37,12
250,Harvard,44,20-24,11
,Houston Christian,48,Nov-37,11
,UMass Lowell,55,20-35,11
,Little Rock,54,31-23,11
,Charlotte,64,36-28,11
,South Dakota St.,52,24-28,11
,Stony Brook,52,23-29,11
,Texas Tech,64,41-23,11
,Bucknell,47,23-23-1,11
