Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
59,Miami (FL),63,42-21,2192,649,309,73,23,10,0.397
60,Bethune-Cookman,60,33-27,2054,607,307,55,26,30,0.397
61,NC State,57,36-21,1993,594,283,53,17,14,0.396
62,DBU,63,47-16,2168,647,313,61,35,13,0.396
63,Tennessee,66,44-22,2180,617,346,78,24,16,0.396
64,Sacred Heart,58,28-30,2052,591,289,94,24,43,0.396
65,CSUN,51,34-17,1777,552,198,68,23,41,0.396
66,Canisius,52,26-25-1,1733,492,276,60,26,10,0.395
67,Fla. Atlantic,59,34-25,2071,594,310,72,17,18,0.395
68,Washington St.,52,29-23,1753,512,225,92,30,32,0.395
69,Quinnipiac,56,30-26,1977,601,239,72,23,36,0.395
70,Northeastern,60,44-16,2079,614,266,93,28,13,0.395
71,UTRGV,56,30-26,1926,579,253,55,16,35,0.394
72,Old Dominion,55,32-23,1944,556,303,54,17,12,0.394
73,William & Mary,57,32-25,1936,521,299,114,24,29,0.394
74,Mount St. Mary's,52,25-27,1773,534,210,76,25,45,0.393
75,Texas A&M,65,38-27,2147,579,405,55,35,2,0.393
76,Eastern Mich.,53,27-26,1869,556,231,76,19,18,0.393
77,Washington,55,35-20,1980,584,265,73,30,2,0.393
78,UMBC,57,30-27,1901,552,263,79,34,7,0.393
79,Indiana,63,43-20,2197,655,291,75,39,17,0.392
80,New Orleans,60,36-24,2023,592,275,68,17,12,0.392
81,Bucknell,47,23-23-1,1537,438,211,70,15,11,0.392
82,Kennesaw St.,54,25-29,1814,522,267,59,24,31,0.392
83,Rutgers,56,33-23,1918,563,257,79,41,42,0.392
84,Niagara,47,24-22-1,1657,465,263,55,25,17,0.392
85,Central Conn. St.,50,36-14,1767,527,218,63,19,14,0.391
86,Austin Peay,58,26-32,1990,591,253,68,24,26,0.391
87,Southern U.,51,23-28,1641,424,289,81,22,25,0.391
88,Auburn,58,34-23-1,1991,571,287,69,27,16,0.39
89,Binghamton,52,29-23,1754,518,234,59,33,25,0.39
90,VCU,55,25-30,1907,523,271,108,28,6,0.39
91,South Dakota St.,52,24-28,1760,497,257,66,21,11,0.39
92,Florida,71,54-17,2366,686,317,90,32,14,0.39
93,Stetson,58,35-23,1916,538,268,94,32,10,0.39
94,Air Force,59,28-31,2108,631,258,72,29,17,0.39
95,East Carolina,66,47-19,2288,668,317,71,35,37,0.39
96,Grand Canyon,58,37-21,2052,607,288,49,37,20,0.389
97,Kansas St.,59,35-24,1933,521,340,60,34,22,0.389
98,Eastern Ill.,59,38-21,2063,592,286,78,30,57,0.389
99,USC Upstate,60,38-22,2050,582,292,90,48,31,0.389
100,Arkansas,61,43-18,1990,543,321,77,33,15,0.389
101,Southern Miss.,66,46-20,2259,639,316,95,32,10,0.389
102,Army West Point,56,38-18,1918,572,231,68,28,26,0.388
103,Portland,54,31-23,1960,595,214,67,18,16,0.388
104,North Florida,55,28-27,1923,555,263,63,23,13,0.388
105,Little Rock,54,31-23,1848,552,218,61,17,11,0.388
106,Duke,63,39-24,2206,617,296,104,18,13,0.388
107,Boston College,57,37-20,1945,527,304,83,27,18,0.387
108,Ohio St.,56,31-25,1842,499,313,51,22,7,0.387
109,Coppin St.,52,21-31,1729,462,281,72,23,17,0.387
110,Louisiana,65,41-24,2169,629,293,73,35,37,0.387
111,Arkansas St.,51,20-31,1742,481,262,65,20,33,0.387
112,Utah Valley,58,34-24,1987,585,229,85,24,8,0.387
113,ETSU,55,26-29,1882,568,231,44,25,19,0.386
114,Jacksonville St.,57,27-30,2004,602,218,72,16,10,0.386
115,Miami (OH),56,21-35,1946,510,323,82,19,29,0.386
116,Valparaiso,47,20-27,1575,442,231,52,22,14,0.386
117,UCF,59,33-26,2038,580,237,110,19,25,0.386
118,Texas,64,42-22,2152,630,302,42,30,36,0.386
119,Delaware,59,30-29,2069,599,302,33,24,7,0.385
120,Southern California,58,34-23-1,1942,554,259,73,30,45,0.385
121,Louisville,55,31-24,1848,517,234,91,17,16,0.384
122,Wichita St.,55,30-25,1907,575,217,54,25,15,0.384
123,BYU,52,24-28,1832,529,243,53,21,20,0.384
124,Holy Cross,51,16-35,1620,420,261,77,20,9,0.383
125,Wright St.,62,39-23,2066,566,302,88,39,18,0.383
126,Saint Peter's,50,Sep-41,1638,433,237,91,22,25,0.383
127,Florida A&M,59,29-30,2077,612,262,47,20,21,0.383
128,Hofstra,52,26-26,1834,559,200,46,23,21,0.383
129,Western Mich.,52,21-31,1758,490,238,76,29,19,0.383
130,Tennessee Tech,55,21-34,1895,524,288,48,17,8,0.383
131,UT Arlington,58,29-29,1993,576,246,69,23,21,0.382
132,Utah,55,22-32-1,1889,533,241,79,23,47,0.382
133,Seton Hall,55,31-24,1901,554,243,54,29,21,0.382
134,Southeastern La.,50,25-25,1618,396,253,119,20,17,0.382
135,UNCW,57,34-23,1963,580,233,58,27,42,0.382
136,Charlotte,64,36-28,2140,563,356,64,15,11,0.382
137,Lehigh,50,24-26,1694,503,181,56,11,20,0.381
138,UIW,54,28-26,1860,531,231,69,21,16,0.381
139,Manhattan,56,22-34,1869,480,321,71,28,14,0.381
140,Abilene Christian,59,35-24,1952,563,248,57,22,16,0.381
141,Mississippi Val.,52,15-37,1594,464,191,52,20,52,0.381
142,San Diego,50,24-25-1,1658,453,226,77,25,31,0.381
143,UCLA,53,28-24-1,1815,488,268,73,23,28,0.38
144,Ball St.,59,36-23,2017,568,265,71,24,16,0.38
145,UIC,53,28-25,1762,471,269,62,16,15,0.38
146,Wagner,56,32-24,1970,571,219,88,33,20,0.38
147,Georgia,56,29-27,1903,539,253,56,20,18,0.38
148,Pittsburgh,55,24-31,1853,474,326,54,15,18,0.38
149,Samford,62,37-25,2059,579,268,76,27,21,0.38
150,Oregon,63,41-22,2167,646,227,69,20,23,0.379
151,Missouri,54,30-24,1733,462,243,88,27,13,0.379
152,Texas St.,59,36-23,1984,536,279,83,22,15,0.379
153,Penn,50,34-16,1780,511,210,63,17,19,0.379
154,Northwestern St.,56,29-27,1871,497,269,89,29,24,0.379
155,Col. of Charleston,58,36-22,2008,564,274,57,26,15,0.378
156,Nicholls,58,34-24,2046,591,235,79,32,23,0.378
157,Gardner-Webb,56,31-25,1896,524,244,84,28,25,0.378
158,Sacramento St.,56,30-26,1947,573,220,60,28,9,0.378
159,Vanderbilt,62,42-20,2097,576,285,82,32,22,0.378
160,Illinois,52,25-27,1806,490,248,69,16,14,0.377
161,Western Ky.,59,33-26,1984,569,230,73,26,56,0.377
162,Ark.-Pine Bluff,51,18-33,1601,417,248,67,26,19,0.377
163,Arizona St.,55,32-23,1909,563,217,50,26,10,0.377
164,Eastern Ky.,59,29-30,2007,525,331,54,23,12,0.377
165,Princeton,47,24-23,1628,454,227,37,14,6,0.377
166,UT Martin,56,22-34,1885,541,224,58,19,30,0.376
167,Lipscomb,62,36-26,2033,521,334,77,33,25,0.376
168,Morehead St.,56,36-20,1867,516,263,48,22,19,0.376
169,UNC Asheville,52,26-26,1807,503,229,70,28,17,0.376
170,Ole Miss,54,25-29,1815,518,230,50,29,2,0.376
171,Toledo,55,26-29,1948,545,252,59,22,18,0.375
172,Dayton,60,26-34,2036,541,276,100,32,12,0.375
173,North Dakota St.,53,23-30,1829,500,239,71,20,22,0.375
174,Towson,56,19-37,1992,565,247,56,22,26,0.375
175,Houston,59,36-23,2047,593,229,68,32,13,0.375
176,SFA,50,22-28,1761,507,191,68,26,13,0.374
177,Oakland,60,29-31,1964,516,303,66,31,38,0.374
178,Hawaii,49,29-20,1659,462,203,60,15,32,0.374
179,Indiana St.,62,45-17,2122,578,235,127,29,16,0.374
180,Murray St.,59,31-28,2005,549,281,53,23,19,0.374
181,Xavier,64,39-25,2233,613,282,87,25,18,0.374
182,UC Santa Barbara,55,35-20,1905,531,231,66,14,16,0.374
183,George Mason,63,36-27,2073,569,239,112,39,52,0.374
184,Elon,55,33-22,1867,511,258,49,17,37,0.373
185,George Washington,55,21-34,1925,552,231,49,25,16,0.373
186,Pepperdine,49,19-30,1683,456,223,69,31,16,0.373
187,Ohio,49,19-30,1686,470,202,61,17,18,0.373
188,Central Ark.,54,23-31,1785,480,229,79,21,39,0.373
189,Cal St. Fullerton,56,32-24,1951,540,256,62,33,43,0.373
190,UNLV,51,21-30,1814,514,214,64,34,9,0.373
191,Western Caro.,54,21-33,1902,523,254,53,21,19,0.372
192,Penn St.,50,25-25,1727,486,221,37,15,4,0.372
193,San Jose St.,58,31-27,2002,564,257,45,24,7,0.372
194,Marist,52,16-36,1781,509,214,53,39,18,0.372
195,McNeese,58,35-23,1946,533,251,72,35,25,0.372
196,Alabama A&M,48,14-34,1465,365,248,47,17,22,0.371
197,LIU,55,19-36,1904,520,248,60,19,28,0.371
198,Georgetown,57,30-27,1942,536,238,68,23,22,0.371
199,Jacksonville,58,34-24,1929,495,313,53,28,26,0.371
200,Omaha,49,21-28,1627,460,172,69,24,31,0.371
201,High Point,54,20-34,1840,492,251,60,17,21,0.37
202,UNC Greensboro,59,25-34,2011,544,262,70,24,22,0.37
203,Lamar University,55,32-23,1899,527,247,53,37,19,0.37
204,Prairie View,57,20-37,1837,490,234,78,23,20,0.369
205,New Mexico St.,51,14-37,1744,497,193,50,18,17,0.369
206,Bryant,50,26-24,1691,444,220,77,20,15,0.369
207,Purdue,53,24-29,1770,490,177,93,21,24,0.369
208,Liberty,58,27-31,1931,507,279,60,25,28,0.369
209,Houston Christian,48,Nov-37,1655,450,208,51,14,11,0.368
210,Rider,57,36-21,1948,517,254,74,24,12,0.367
211,Alcorn,48,Aug-40,1539,419,188,51,16,17,0.367
212,Missouri St.,56,33-23,1958,528,270,43,22,5,0.367
213,Kansas,57,25-32,1966,544,247,48,27,16,0.367
214,Youngstown St.,55,19-36,1909,531,230,50,23,8,0.367
215,FIU,55,21-34,1920,539,216,56,22,15,0.366
216,Pacific,49,14-35,1697,474,155,85,13,29,0.366
217,Middle Tenn.,56,27-29,1939,560,174,74,27,22,0.365
218,Rhode Island,52,23-29,1795,472,218,79,16,9,0.365
219,UMass Lowell,55,20-35,1841,487,237,69,27,11,0.365
220,Charleston So.,50,22-28,1612,418,186,95,24,54,0.365
221,Iona,51,13-38,1724,461,214,61,20,12,0.365
222,Southern Ill.,57,30-27,2008,575,209,50,21,10,0.365
223,Southeast Mo. St.,56,26-30,1845,482,220,91,20,33,0.364
224,Harvard,44,20-24,1525,421,194,32,25,11,0.364
225,Evansville,61,37-24,2059,524,312,58,27,9,0.364
226,California Baptist,58,28-30,2008,567,221,47,18,28,0.364
227,Cincinnati,57,24-33,1830,452,283,59,12,21,0.364
228,Tulane,61,19-42,2036,511,291,79,19,23,0.363
229,CSU Bakersfield,52,18-34,1739,470,202,60,15,21,0.363
230,Michigan,56,28-28,1872,488,230,79,15,14,0.363
231,Bowling Green,50,20-30,1607,390,251,62,19,29,0.363
232,SIUE,54,26-28,1861,500,238,44,15,21,0.362
233,The Citadel,54,23-31,1798,499,200,49,18,39,0.362
234,Stony Brook,52,23-29,1835,512,196,54,20,11,0.362
235,A&M-Corpus Christi,54,24-30,1839,535,155,62,24,27,0.362
236,Delaware St.,48,13-35,1669,448,215,40,22,8,0.361
237,South Fla.,60,21-39,2074,570,206,84,21,14,0.361
238,Massachusetts,49,14-35,1693,454,208,45,15,13,0.361
239,North Ala.,51,14-37,1681,428,228,59,17,18,0.36
240,UAlbany,44,9-34-1,1496,380,217,38,15,6,0.36
241,Cal Poly,56,21-35,1957,542,203,61,21,22,0.36
242,LMU (CA),53,29-24,1790,477,212,63,30,25,0.359
243,Creighton,49,25-24,1594,405,215,53,15,42,0.359
244,Winthrop,56,28-28,1918,532,220,41,33,42,0.358
245,Purdue Fort Wayne,56,13-43,1907,501,224,72,24,22,0.358
246,Louisiana Tech,59,28-31,2007,508,253,90,28,18,0.358
247,NIU,53,Oct-43,1747,439,240,63,26,15,0.357
248,Illinois St.,50,20-30,1754,474,187,61,19,16,0.357
249,Seattle U,53,21-32,1824,510,174,55,17,13,0.357
250,Bradley,48,16-32,1587,417,203,37,14,32,0.357
251,Memphis,57,29-28,1877,480,255,48,17,17,0.356
252,Longwood,54,23-31,1798,460,214,75,15,42,0.356
253,Yale,40,17-23,1332,332,175,53,13,36,0.356
254,Long Beach St.,55,33-22,1894,517,185,74,31,28,0.355
255,San Francisco,47,18-29,1593,414,188,60,23,15,0.355
256,Western Ill.,52,Dec-40,1703,444,214,39,12,30,0.354
257,California,52,24-28,1761,461,216,45,19,17,0.354
258,Brown,38,26-Dec,1293,325,155,55,10,14,0.354
259,Lafayette,52,15-37,1661,403,231,61,14,12,0.353
260,Northern Colo.,45,Nov-34,1469,394,154,50,24,16,0.352
261,Notre Dame,54,30-24,1790,446,201,92,17,29,0.352
262,Akron,55,21-34,1823,444,248,63,12,14,0.352
263,Baylor,55,20-35,1856,472,230,63,26,21,0.352
264,Minnesota,52,18-34,1743,444,236,31,12,23,0.352
265,Presbyterian,55,21-34,1837,457,242,62,25,12,0.351
266,Gonzaga,52,18-34,1815,486,190,48,18,12,0.35
267,Navy,50,23-27,1593,417,172,53,19,19,0.349
268,Radford,55,Oct-45,1828,459,226,61,22,13,0.349
269,Florida St.,54,23-31,1878,518,181,36,14,18,0.349
270,Siena,55,14-41,1802,438,230,73,22,22,0.348
271,Monmouth,46,16-30,1583,419,181,38,30,20,0.348
272,Fordham,55,19-36,1884,485,186,88,22,14,0.348
273,ULM,54,17-37,1790,451,203,68,17,25,0.347
274,Villanova,51,14-37,1692,412,230,46,15,15,0.347
275,Saint Mary's (CA),51,23-28,1751,467,187,41,25,13,0.347
276,Fresno St.,57,30-27,1970,530,195,50,23,25,0.346
277,Nevada,53,20-33,1800,467,189,58,17,6,0.346
278,Rice,58,21-37,1948,486,250,44,18,23,0.345
279,Belmont,60,27-33,1984,506,240,40,20,24,0.344
280,N.C. A&T,47,19-28,1590,421,146,49,15,24,0.342
281,Northwestern,50,Oct-40,1708,420,193,66,18,19,0.342
282,San Diego St.,53,24-29,1708,426,178,70,16,22,0.342
283,Cornell,35,26-Sep,1174,291,138,29,14,10,0.338
284,NJIT,53,22-31,1732,415,207,54,21,31,0.336
285,St. Bonaventure,48,Aug-40,1557,390,148,56,15,16,0.334
286,Norfolk St.,51,Sep-42,1694,428,166,46,14,5,0.333
287,Marshall,53,16-37,1829,465,197,27,17,12,0.333
288,UC Davis,54,17-37,1830,456,183,55,19,15,0.333
289,Butler,55,Dec-43,1853,450,202,53,20,31,0.331
290,Milwaukee,57,25-32,1955,508,171,41,12,9,0.33
291,Dartmouth,41,Mar-38,1351,308,161,45,9,10,0.328
292,UAB,53,17-36,1753,406,214,41,8,29,0.328
293,UMES,55,18-37,1807,417,210,55,23,51,0.326
294,UC Riverside,52,Nov-41,1740,438,154,42,19,17,0.324
295,Hartford,37,Apr-33,1153,252,113,51,18,15,0.312
NR,Southern Ind.,55,17-38,1815,488,283,94,28,28,0.39
NR,Tarleton St.,52,26-26,1729,502,223,73,24,23,0.389
NR,UC San Diego,52,34-18,1784,503,232,84,32,19,0.384
NR,Merrimack,51,21-30,1779,482,217,89,18,21,0.375
NR,Queens (NC),55,17-38,1870,494,244,67,18,23,0.366
NR,Utah Tech,52,13-39,1677,432,233,54,15,39,0.363
NR,Stonehill,49,14-35,1627,419,193,63,18,33,0.355
NR,Bellarmine,55,13-42,1833,473,157,61,12,18,0.335
NR,Lindenwood,55,13-42,1774,417,212,53,13,17,0.332
NR,St. Thomas (MN),44,Oct-34,1476,374,130,24,13,29,0.321
      ,,,,,,,,,,
