Rank,Name,G,W-L,IP,HA,PG
70,Creighton,49,25-24,425,429,9.08
71,Col. of Charleston,58,36-22,520.2,526,9.09
72,Texas Southern,53,31-22,432,437,9.1
73,Arkansas,61,43-18,530.2,537,9.11
74,Portland,54,31-23,473.1,479,9.11
75,Maine,53,32-21,454.1,460,9.11
76,Long Beach St.,55,33-22,492.1,499,9.12
77,Winthrop,56,28-28,496,503,9.13
78,Murray St.,59,31-28,509.1,517,9.14
79,Gardner-Webb,56,31-25,492,500,9.15
80,UTRGV,56,30-26,486,494,9.15
81,Wright St.,62,39-23,539,549,9.17
82,Missouri St.,56,33-23,501.2,511,9.17
83,Memphis,57,29-28,496.2,506,9.17
84,FDU,53,31-21-1,468,477,9.17
85,UCLA,53,28-24-1,471.2,481,9.18
86,Michigan St.,55,33-22,477.1,487,9.18
87,Canisius,52,26-25-1,437.2,447,9.19
88,Houston,59,36-23,524.1,536,9.2
89,Jacksonville,58,34-24,512.1,525,9.22
90,Minnesota,52,18-34,464.1,477,9.25
91,UC Irvine,55,38-17,492,506,9.26
92,UConn,61,44-17,543,559,9.27
93,Fairfield,55,37-18,478.2,495,9.31
94,Florida St.,54,23-31,477.2,494,9.31
95,Belmont,60,27-33,524.2,544,9.33
96,Saint Mary's (CA),51,23-28,451.1,469,9.35
97,Alabama St.,59,41-18,514.2,535,9.36
98,Southeast Mo. St.,56,26-30,478.1,498,9.37
99,Little Rock,54,31-23,468.1,488,9.38
100,Texas A&M,65,38-27,566.1,591,9.39
101,Texas St.,59,36-23,520.2,544,9.4
102,Stetson,58,35-23,494,518,9.44
103,UIW,54,28-26,473,496,9.44
104,Maryland,63,42-21,555,582,9.44
105,Hawaii,49,29-20,429,450,9.44
106,Oklahoma St.,61,41-20,527.2,554,9.45
107,Yale,40,17-23,350.1,368,9.45
108,Georgia,56,29-27,483.1,508,9.46
109,Auburn,58,34-23-1,509,536,9.48
110,Rice,58,21-37,506,533,9.48
111,Virginia Tech,53,30-23,464.2,490,9.49
112,Washington,55,35-20,493.2,521,9.5
113,Michigan,56,28-28,486.2,514,9.51
114,San Jose St.,58,31-27,507,536,9.51
115,Eastern Mich.,53,27-26,463.1,490,9.52
116,Eastern Ky.,59,29-30,513,543,9.53
117,Southern Ill.,57,30-27,500.2,531,9.55
118,Coastal Carolina,63,42-21,561.2,596,9.55
119,Mississippi St.,53,27-26,453,481,9.56
120,Miami (OH),56,21-35,490.2,521,9.56
121,Fla. Atlantic,59,34-25,523,556,9.57
122,St. John's (NY),53,28-25,463.1,493,9.58
123,Troy,62,40-22,541,576,9.58
124,Elon,55,33-22,488.1,522,9.62
125,Jacksonville St.,57,27-30,483.2,518,9.64
126,Central Ark.,54,23-31,465.1,499,9.65
127,UCF,59,33-26,518.2,557,9.67
128,Ole Miss,54,25-29,459.2,495,9.69
129,Georgia St.,59,31-28,515.1,556,9.71
130,Oklahoma,60,32-28,526.1,568,9.71
131,Marshall,53,16-37,466.1,504,9.73
132,Milwaukee,57,25-32,482,521,9.73
133,Purdue,53,24-29,457,494,9.73
134,Boston College,57,37-20,506,547,9.73
135,Eastern Ill.,59,38-21,518,560,9.73
136,Old Dominion,55,32-23,491,531,9.73
137,North Dakota St.,53,23-30,451,489,9.76
138,Kansas St.,59,35-24,507,550,9.76
139,California Baptist,58,28-30,508.1,552,9.77
140,Arizona St.,55,32-23,484,526,9.78
141,LMU (CA),53,29-24,468,509,9.79
142,UMBC,57,30-27,479.1,522,9.8
143,Samford,62,37-25,532.1,580,9.81
144,The Citadel,54,23-31,466.1,509,9.82
145,SIUE,54,26-28,464.1,507,9.83
146,Illinois,52,25-27,462,506,9.86
147,Wofford,59,40-19,521,571,9.86
148,Omaha,49,21-28,410,450,9.88
149,Fresno St.,57,30-27,504.1,554,9.89
150,UTSA,57,38-19,503.2,554,9.9
151,Abilene Christian,59,35-24,509,560,9.9
152,UAB,53,17-36,463.2,511,9.92
153,Richmond,55,27-28,469.1,518,9.93
154,South Alabama,54,23-31,468,518,9.96
155,Saint Joseph's,53,28-24-1,457,506,9.96
156,Rhode Island,52,23-29,450,499,9.98
157,Hofstra,52,26-26,444,493,9.99
158,Sacred Heart,58,28-30,514.2,572,10
159,Washington St.,52,29-23,454.1,505,10
160,Bowling Green,50,20-30,422.2,470,10.01
161,App State,55,30-25,479,533,10.01
162,Charleston So.,50,22-28,427.1,476,10.02
163,Cincinnati,57,24-33,478,533,10.04
164,Cal St. Fullerton,56,32-24,503,561,10.04
165,Cornell,35,26-Sep,295.2,330,10.05
166,Penn St.,50,25-25,432.2,483,10.05
167,Dayton,60,26-34,517,578,10.06
168,South Dakota St.,52,24-28,429.1,480,10.06
169,Kennesaw St.,54,25-29,466,521,10.06
170,Harvard,44,20-24,380,425,10.07
171,Jackson St.,53,28-25,437.2,490,10.08
172,ETSU,55,26-29,462,518,10.09
173,North Florida,55,28-27,479.2,538,10.09
174,Pepperdine,49,19-30,428,481,10.11
175,Sam Houston,64,39-25,554,623,10.12
176,NJIT,53,22-31,443.2,499,10.12
177,Bethune-Cookman,60,33-27,520,585,10.13
,Princeton,47,24-23,397.1,447,10.13
179,Bradley,48,16-32,408.1,460,10.14
180,Kansas,57,25-32,491.2,554,10.14
181,UIC,53,28-25,448,505,10.15
182,James Madison,56,31-25,488.1,551,10.15
183,Oakland,60,29-31,523.2,592,10.17
184,Bryant,50,26-24,429,485,10.17
185,Seattle U,53,21-32,451,510,10.18
186,UNC Asheville,52,26-26,451.2,511,10.18
187,Stony Brook,52,23-29,456.2,517,10.19
188,Saint Louis,56,33-23,501.2,568,10.19
189,Youngstown St.,55,19-36,465.1,527,10.19
190,UC Davis,54,17-37,471.1,535,10.22
191,Villanova,51,14-37,433,492,10.23
192,Southeastern La.,50,25-25,434.2,494,10.23
193,Binghamton,52,29-23,442.2,505,10.27
194,Wagner,56,32-24,489.1,559,10.28
195,UMES,55,18-37,486.1,556,10.29
196,Coppin St.,52,21-31,446,511,10.31
197,Austin Peay,58,26-32,494.2,567,10.32
198,Western Mich.,52,21-31,437,502,10.34
199,Cal Poly,56,21-35,495.2,570,10.35
200,Nevada,53,20-33,459,528,10.35
201,San Francisco,47,18-29,413.2,477,10.38
202,Navy,50,23-27,415.1,479,10.38
203,Middle Tenn.,56,27-29,489,565,10.4
204,FIU,55,21-34,485.1,562,10.42
205,Utah Valley,58,34-24,488.2,567,10.44
206,California,52,24-28,450.1,523,10.45
207,Grand Canyon,58,37-21,518,602,10.46
208,Toledo,55,26-29,484,564,10.49
209,Morehead St.,56,36-20,477.2,557,10.49
210,Illinois St.,50,20-30,435.1,509,10.52
211,CSU Bakersfield,52,18-34,446,522,10.53
212,San Diego,50,24-25-1,434.2,509,10.54
213,Tulane,61,19-42,519.2,609,10.55
214,Northern Ky.,57,30-27,498.1,584,10.55
215,Sacramento St.,56,30-26,485.2,570,10.56
216,Tennessee Tech,55,21-34,468.2,551,10.58
217,Ark.-Pine Bluff,51,18-33,408,480,10.59
218,Longwood,54,23-31,464,546,10.59
219,Quinnipiac,56,30-26,485.1,572,10.61
220,Bucknell,47,23-23-1,380.2,449,10.62
221,North Ala.,51,14-37,418.1,494,10.63
222,Mercer,58,33-25,498.1,590,10.66
223,Akron,55,21-34,468.2,555,10.66
224,Columbia,45,23-22,387.1,459,10.67
225,Niagara,47,24-22-1,407.1,483,10.67
226,Valparaiso,47,20-27,396.1,472,10.72
227,A&M-Corpus Christi,54,24-30,461.2,550,10.72
228,Louisiana Tech,59,28-31,527.1,629,10.74
229,FGCU,60,42-18,509.2,608,10.74
230,Delaware,59,30-29,508.1,607,10.75
231,Butler,55,Dec-43,471.2,564,10.76
232,South Fla.,60,21-39,522.2,626,10.78
233,High Point,54,20-34,470.1,564,10.79
234,Manhattan,56,22-34,471,565,10.8
235,Ga. Southern,56,27-29,479.2,577,10.83
236,Arkansas St.,51,20-31,437,526,10.83
237,Western Ill.,52,Dec-40,430.1,518,10.83
238,Grambling,55,29-26,462,557,10.85
239,Georgia Tech,57,30-27,498,602,10.88
240,Western Caro.,54,21-33,469.2,568,10.88
241,UMass Lowell,55,20-35,459.2,556,10.89
242,Baylor,55,20-35,486.2,589,10.89
243,Southern U.,51,23-28,431,522,10.9
244,Towson,56,19-37,495.1,600,10.9
245,N.C. A&T,47,19-28,411.1,499,10.92
246,Gonzaga,52,18-34,455.2,554,10.94
247,Davidson,54,30-24,467.2,569,10.95
248,VCU,55,25-30,478,586,11.03
249,ULM,54,17-37,465,572,11.07
250,Purdue Fort Wayne,56,13-43,474.2,584,11.07
251,Mount St. Mary's,52,25-27,446.2,551,11.1
252,George Washington,55,21-34,483.2,597,11.11
253,New Mexico,51,26-25,435.2,538,11.11
254,Florida A&M,59,29-30,505,624,11.12
255,Arizona,59,33-26,524.1,648,11.12
256,Presbyterian,55,21-34,474,588,11.16
257,Delaware St.,48,13-35,409,509,11.2
258,Norfolk St.,51,Sep-42,423,527,11.21
259,Fordham,55,19-36,478,596,11.22
260,VMI,55,26-29,469,589,11.3
261,Lafayette,52,15-37,417,524,11.31
262,UC Riverside,52,Nov-41,447,563,11.34
263,BYU,52,24-28,449.2,567,11.35
264,UNC Greensboro,59,25-34,511.2,651,11.45
265,Prairie View,57,20-37,459.1,587,11.5
266,Ohio,49,19-30,413.1,529,11.52
267,UT Martin,56,22-34,471,604,11.54
268,UT Arlington,58,29-29,497.2,639,11.56
269,UNLV,51,21-30,444,571,11.57
270,Northwestern,50,Oct-40,430.1,554,11.59
271,Iona,51,13-38,416,537,11.62
272,Siena,55,14-41,460,594,11.62
273,Pacific,49,14-35,420.1,548,11.73
274,Pittsburgh,55,24-31,475.1,621,11.76
275,Houston Christian,48,Nov-37,409.1,535,11.76
276,LIU,55,19-36,472,627,11.96
277,Alcorn,48,Aug-40,387.1,516,11.99
278,Holy Cross,51,16-35,406,542,12.01
279,Hartford,37,Apr-33,297.1,397,12.02
280,NIU,53,Oct-43,444.1,596,12.07
281,Utah,55,22-32-1,479.1,649,12.19
282,SFA,50,22-28,442.1,601,12.23
283,Massachusetts,49,14-35,412.2,563,12.28
284,Radford,55,Oct-45,468,639,12.29
285,Air Force,59,28-31,509.1,698,12.33
286,Marist,52,16-36,430.2,601,12.56
287,New Mexico St.,51,14-37,433,605,12.58
288,Monmouth,46,16-30,402,563,12.6
289,Alabama A&M,48,14-34,379.2,536,12.71
290,Mississippi Val.,52,15-37,408.2,578,12.73
291,St. Bonaventure,48,Aug-40,391,568,13.07
292,UAlbany,44,9-34-1,366.2,537,13.18
293,Dartmouth,41,Mar-38,345,508,13.25
294,Northern Colo.,45,Nov-34,357,544,13.71
295,Saint Peter's,50,Sep-41,407.2,641,14.15
NR,UC San Diego,52,34-18,464,443,8.59
NR,Tarleton St.,52,26-26,445.2,442,8.93
NR,Merrimack,51,21-30,442.1,513,10.44
NR,St. Thomas (MN),44,Oct-34,364.1,431,10.65
NR,Southern Ind.,55,17-38,459.1,576,11.29
NR,Stonehill,49,14-35,410.1,531,11.65
NR,Lindenwood,55,13-42,452.2,599,11.91
NR,Bellarmine,55,13-42,454.1,640,12.68
NR,Utah Tech,52,13-39,433,613,12.74
NR,Queens (NC),55,17-38,467.1,684,13.17
