Rank,Name,G,W-L,HR,PG
250,Western Ky.,59,33-26,42,0.71
251,Mississippi Val.,52,15-37,37,0.71
252,Radford,55,Oct-45,39,0.71
253,St. Bonaventure,48,Aug-40,34,0.71
254,N.C. A&T,47,19-28,33,0.7
255,UMass Lowell,55,20-35,38,0.69
256,Southern U.,51,23-28,35,0.69
257,Pacific,49,14-35,33,0.67
258,Minnesota,52,18-34,35,0.67
259,Nicholls,58,34-24,39,0.67
260,Milwaukee,57,25-32,38,0.67
,William & Mary,57,32-25,38,0.67
262,Cal St. Fullerton,56,32-24,37,0.66
263,San Diego St.,53,24-29,34,0.64
264,Coppin St.,52,21-31,33,0.63
265,Iona,51,13-38,32,0.63
266,UC Davis,54,17-37,33,0.61
267,LMU (CA),53,29-24,32,0.6
268,Southeastern La.,50,25-25,30,0.6
269,Bethune-Cookman,60,33-27,35,0.58
270,A&M-Corpus Christi,54,24-30,31,0.57
271,Winthrop,56,28-28,32,0.57
272,UAlbany,44,9-34-1,25,0.57
273,NIU,53,Oct-43,30,0.57
274,Northern Colo.,45,Nov-34,25,0.56
275,Butler,55,Dec-43,30,0.55
276,Hofstra,52,26-26,28,0.54
277,The Citadel,54,23-31,29,0.54
278,Holy Cross,51,16-35,27,0.53
279,Western Ill.,52,Dec-40,27,0.52
280,George Mason,63,36-27,31,0.49
281,Jackson St.,53,28-25,26,0.49
282,Norfolk St.,51,Sep-42,25,0.49
283,Hartford,37,Apr-33,18,0.49
284,UAB,53,17-36,25,0.47
285,Navy,50,23-27,23,0.46
286,Yale,40,17-23,18,0.45
287,Brown,38,26-Dec,17,0.45
288,UMES,55,18-37,23,0.42
289,Alabama A&M,48,14-34,19,0.4
290,Dartmouth,41,Mar-38,16,0.39
291,CSU Bakersfield,52,18-34,20,0.38
292,UC Riverside,52,Nov-41,18,0.35
293,Ark.-Pine Bluff,51,18-33,16,0.31
294,Alcorn,48,Aug-40,12,0.25
295,Prairie View,57,20-37,13,0.23
NR,Utah Tech,52,13-39,63,1.21
NR,Tarleton St.,52,26-26,49,0.94
NR,Merrimack,51,21-30,48,0.94
NR,Queens (NC),55,17-38,50,0.91
NR,Bellarmine,55,13-42,50,0.91
NR,UC San Diego,52,34-18,39,0.75
NR,Southern Ind.,55,17-38,37,0.67
NR,Stonehill,49,14-35,27,0.55
NR,Lindenwood,55,13-42,26,0.47
NR,St. Thomas (MN),44,Oct-34,14,0.32
