Rank,Name,IP,W-L,BB,HA,WHIP
137,Richmond,469.1,27-28,233,518,1.6
138,Texas Southern,432,31-22,255,437,1.6
139,Jacksonville St.,483.2,27-30,257,518,1.6
140,Quinnipiac,485.1,30-26,206,572,1.6
141,Kansas,491.2,25-32,235,554,1.6
142,Binghamton,442.2,29-23,206,505,1.61
143,Texas A&M,566.1,38-27,320,591,1.61
144,Coastal Carolina,561.2,42-21,309,596,1.61
145,Bryant,429,26-24,207,485,1.61
146,Auburn,509,34-23-1,287,536,1.62
147,Troy,541,40-22,299,576,1.62
148,Omaha,410,21-28,214,450,1.62
149,Saint Louis,501.2,33-23,245,568,1.62
150,Ball St.,504.1,36-23,339,479,1.62
151,Georgia,483.1,29-27,276,508,1.62
152,Arizona,524.1,33-26,203,648,1.62
153,Maryland,555,42-21,320,582,1.63
154,San Jose St.,507,31-27,288,536,1.63
155,Bowling Green,422.2,20-30,217,470,1.63
156,California,450.1,24-28,209,523,1.63
157,Sacramento St.,485.2,30-26,220,570,1.63
158,Louisiana Tech,527.1,28-31,229,629,1.63
159,Little Rock,468.1,31-23,276,488,1.63
160,UIC,448,28-25,226,505,1.63
161,ETSU,462,26-29,236,518,1.63
162,Dayton,517,26-34,267,578,1.63
163,UMES,486.1,18-37,239,556,1.63
164,San Diego,434.2,24-25-1,202,509,1.64
165,Liberty,495,27-31,337,473,1.64
166,Harvard,380,20-24,197,425,1.64
167,Utah Valley,488.2,34-24,233,567,1.64
168,Maine,454.1,32-21,284,460,1.64
169,Illinois St.,435.1,20-30,204,509,1.64
170,Virginia Tech,464.2,30-23,274,490,1.64
171,Milwaukee,482,25-32,273,521,1.65
172,UC Davis,471.1,17-37,245,535,1.65
173,Ole Miss,459.2,25-29,266,495,1.66
174,Middle Tenn.,489,27-29,245,565,1.66
175,Kennesaw St.,466,25-29,252,521,1.66
176,Saint Joseph's,457,28-24-1,253,506,1.66
177,Marshall,466.1,16-37,272,504,1.66
178,Seattle U,451,21-32,241,510,1.67
179,Abilene Christian,509,35-24,288,560,1.67
180,Rhode Island,450,23-29,252,499,1.67
181,Hofstra,444,26-26,248,493,1.67
182,Southeastern La.,434.2,25-25,233,494,1.67
183,Penn St.,432.2,25-25,241,483,1.67
184,Canisius,437.2,26-25-1,286,447,1.67
185,FDU,468,31-21-1,307,477,1.68
186,San Francisco,413.2,18-29,216,477,1.68
187,Nevada,459,20-33,242,528,1.68
188,South Alabama,468,23-31,268,518,1.68
189,Presbyterian,474,21-34,210,588,1.68
190,Eastern Ky.,513,29-30,324,543,1.69
191,South Fla.,522.2,21-39,258,626,1.69
192,James Madison,488.1,31-25,275,551,1.69
193,A&M-Corpus Christi,461.2,24-30,231,550,1.69
194,Stony Brook,456.2,23-29,256,517,1.69
195,Mercer,498.1,33-25,254,590,1.69
196,Oakland,523.2,29-31,295,592,1.69
197,The Citadel,466.1,23-31,281,509,1.69
198,FIU,485.1,21-34,262,562,1.7
199,Pepperdine,428,19-30,246,481,1.7
200,Northern Ky.,498.1,30-27,263,584,1.7
201,Cincinnati,478,24-33,280,533,1.7
202,Wagner,489.1,32-24,274,559,1.7
203,Eastern Mich.,463.1,27-26,299,490,1.7
204,Akron,468.2,21-34,244,555,1.7
205,Ga. Southern,479.2,27-29,242,577,1.71
206,UNC Asheville,451.2,26-26,262,511,1.71
207,SIUE,464.1,26-28,289,507,1.71
208,Princeton,397.1,24-23,235,447,1.72
209,N.C. A&T,411.1,19-28,208,499,1.72
210,UMBC,479.1,30-27,302,522,1.72
211,UNLV,444,21-30,193,571,1.72
212,Delaware,508.1,30-29,268,607,1.72
213,CSU Bakersfield,446,18-34,246,522,1.72
214,Valparaiso,396.1,20-27,211,472,1.72
215,UT Arlington,497.2,29-29,219,639,1.72
216,Morehead St.,477.2,36-20,267,557,1.73
217,South Dakota St.,429.1,24-28,262,480,1.73
218,Longwood,464,23-31,262,546,1.74
219,Coppin St.,446,21-31,268,511,1.75
220,Tulane,519.2,19-42,300,609,1.75
221,UT Martin,471,22-34,223,604,1.76
,Manhattan,471,22-34,262,565,1.76
223,Ohio,413.1,19-30,197,529,1.76
224,ULM,465,17-37,245,572,1.76
225,FGCU,509.2,42-18,289,608,1.76
226,Miami (OH),490.2,21-35,343,521,1.76
227,UMass Lowell,459.2,20-35,254,556,1.76
228,Mississippi St.,453,27-26,321,481,1.77
229,Bucknell,380.2,23-23-1,225,449,1.77
230,Bradley,408.1,16-32,264,460,1.77
231,Western Caro.,469.2,21-33,265,568,1.77
232,Toledo,484,26-29,296,564,1.78
233,Towson,495.1,19-37,282,600,1.78
234,Columbia,387.1,23-22,231,459,1.78
235,Jackson St.,437.2,28-25,291,490,1.78
236,Niagara,407.1,24-22-1,244,483,1.78
237,Prairie View,459.1,20-37,234,587,1.79
238,BYU,449.2,24-28,238,567,1.79
239,Tennessee Tech,468.2,21-34,289,551,1.79
240,Northwestern,430.1,Oct-40,218,554,1.79
241,Baylor,486.2,20-35,287,589,1.8
242,Cornell,295.2,26-Sep,205,330,1.81
243,VCU,478,25-30,279,586,1.81
244,Western Mich.,437,21-31,289,502,1.81
245,Georgia Tech,498,30-27,300,602,1.81
246,Austin Peay,494.2,26-32,329,567,1.81
247,Utah,479.1,22-32-1,222,649,1.82
248,Holy Cross,406,16-35,196,542,1.82
249,UNC Greensboro,511.2,25-34,280,651,1.82
250,App State,479,30-25,340,533,1.82
251,Davidson,467.2,30-24,285,569,1.83
252,George Washington,483.2,21-34,288,597,1.83
253,LIU,472,19-36,237,627,1.83
254,Southern U.,431,23-28,267,522,1.83
255,UC Riverside,447,Nov-41,256,563,1.83
256,High Point,470.1,20-34,300,564,1.84
257,Villanova,433,14-37,305,492,1.84
258,Gonzaga,455.2,18-34,285,554,1.84
259,Pittsburgh,475.1,24-31,260,621,1.85
260,Air Force,509.1,28-31,247,698,1.86
261,Florida A&M,505,29-30,317,624,1.86
262,Arkansas St.,437,20-31,289,526,1.86
263,New Mexico St.,433,14-37,203,605,1.87
264,VMI,469,26-29,288,589,1.87
265,Butler,471.2,Dec-43,318,564,1.87
266,Massachusetts,412.2,14-35,209,563,1.87
267,Grambling,462,29-26,317,557,1.89
268,Mount St. Mary's,446.2,25-27,299,551,1.9
269,Hartford,297.1,Apr-33,169,397,1.9
270,Pacific,420.1,14-35,255,548,1.91
271,Ark.-Pine Bluff,408,18-33,302,480,1.92
272,Fordham,478,19-36,325,596,1.93
273,SFA,442.1,22-28,260,601,1.95
274,Siena,460,14-41,306,594,1.96
275,Youngstown St.,465.1,19-36,385,527,1.96
276,Purdue Fort Wayne,474.2,13-43,355,584,1.98
277,Western Ill.,430.1,Dec-40,334,518,1.98
278,Alabama A&M,379.2,14-34,221,536,1.99
279,Dartmouth,345,Mar-38,180,508,1.99
280,Norfolk St.,423,Sep-42,318,527,2
281,Radford,468,Oct-45,305,639,2.02
282,NIU,444.1,Oct-43,302,596,2.02
283,Lafayette,417,15-37,319,524,2.02
284,Houston Christian,409.1,Nov-37,295,535,2.03
285,North Ala.,418.1,14-37,355,494,2.03
286,UAlbany,366.2,9-34-1,212,537,2.04
287,Monmouth,402,16-30,263,563,2.05
288,Delaware St.,409,13-35,347,509,2.09
289,Marist,430.2,16-36,306,601,2.11
290,Mississippi Val.,408.2,15-37,296,578,2.14
291,St. Bonaventure,391,Aug-40,279,568,2.17
292,Iona,416,13-38,381,537,2.21
293,Northern Colo.,357,Nov-34,250,544,2.22
294,Alcorn,387.1,Aug-40,371,516,2.29
295,Saint Peter's,407.2,Sep-41,309,641,2.33
NR,UC San Diego,464,34-18,200,443,1.39
NR,Tarleton St.,445.2,26-26,254,442,1.56
NR,Merrimack,442.1,21-30,219,513,1.65
NR,Lindenwood,452.2,13-42,229,599,1.83
NR,Utah Tech,433,13-39,207,613,1.89
NR,St. Thomas (MN),364.1,Oct-34,267,431,1.92
NR,Stonehill,410.1,14-35,261,531,1.93
NR,Southern Ind.,459.1,17-38,315,576,1.94
NR,Bellarmine,454.1,13-42,261,640,1.98
NR,Queens (NC),467.1,17-38,313,684,2.13
