Rank,Name,G,W-L,SF
,Santa Clara,56,36-20,25
,Presbyterian,55,21-34,25
,Mount St. Mary's,52,25-27,25
,Niagara,47,24-22-1,25
,Northern Ky.,57,30-27,25
128,Purdue Fort Wayne,56,13-43,24
,Oregon St.,61,41-20,24
,Austin Peay,58,26-32,24
,Ball St.,59,36-23,24
,Charleston So.,50,22-28,24
,Davidson,54,30-24,24
,Delaware,59,30-29,24
,Kennesaw St.,54,25-29,24
,William & Mary,57,32-25,24
,Rider,57,36-21,24
,Sacred Heart,58,28-30,24
,San Jose St.,58,31-27,24
,South Carolina,63,42-21,24
,Tennessee,66,44-22,24
,UTSA,57,38-19,24
,A&M-Corpus Christi,54,24-30,24
,Utah Valley,58,34-24,24
,UNC Greensboro,59,25-34,24
,Omaha,49,21-28,24
,Northern Colo.,45,Nov-34,24
,App State,55,30-25,24
149,Georgetown,57,30-27,23
,Miami (FL),63,42-21,23
,Fresno St.,57,30-27,23
,CSUN,51,34-17,23
,UCLA,53,28-24-1,23
,Coppin St.,52,21-31,23
,Eastern Ky.,59,29-30,23
,FDU,53,31-21-1,23
,Utah,55,22-32-1,23
,Youngstown St.,55,19-36,23
,Prairie View,57,20-37,23
,Quinnipiac,56,30-26,23
,San Francisco,47,18-29,23
,UT Arlington,58,29-29,23
,North Florida,55,28-27,23
,UMES,55,18-37,23
,Murray St.,59,31-28,23
,Oklahoma St.,61,41-20,23
,Hofstra,52,26-26,23
168,FIU,55,21-34,22
,Ohio St.,56,31-25,22
,Grambling,55,29-26,22
,Abilene Christian,59,35-24,22
,Delaware St.,48,13-35,22
,Towson,56,19-37,22
,Valparaiso,47,20-27,22
,Radford,55,Oct-45,22
,Saint Peter's,50,Sep-41,22
,Siena,55,14-41,22
,Southern U.,51,23-28,22
,Missouri St.,56,33-23,22
,Texas St.,59,36-23,22
,Toledo,55,26-29,22
,Maine,53,32-21,22
,Morehead St.,56,36-20,22
,Fordham,55,19-36,22
185,BYU,52,24-28,21
,Cal Poly,56,21-35,21
,Central Ark.,54,23-31,21
,Western Caro.,54,21-33,21
,NJIT,53,22-31,21
,South Dakota St.,52,24-28,21
,South Fla.,60,21-39,21
,Southern Ill.,57,30-27,21
,UIW,54,28-26,21
,Purdue,53,24-29,21
195,Florida A&M,59,29-30,20
,Georgia,56,29-27,20
,Holy Cross,51,16-35,20
,Iona,51,13-38,20
,Arkansas St.,51,20-31,20
,Bryant,50,26-24,20
,Mississippi Val.,52,15-37,20
,Southeast Mo. St.,56,26-30,20
,Southeastern La.,50,25-25,20
,Stony Brook,52,23-29,20
,Belmont,60,27-33,20
,North Dakota St.,53,23-30,20
,Oregon,63,41-22,20
,Butler,55,Dec-43,20
209,LIU,55,19-36,19
,Miami (OH),56,21-35,19
,James Madison,56,31-25,19
,Bowling Green,50,20-30,19
,California,52,24-28,19
,UC Davis,54,17-37,19
,UC Riverside,52,Nov-41,19
,Central Conn. St.,50,36-14,19
,UCF,59,33-26,19
,Eastern Mich.,53,27-26,19
,Tulane,61,19-42,19
,Navy,50,23-27,19
,UT Martin,56,22-34,19
,North Carolina,60,36-24,19
,Illinois St.,50,20-30,19
224,Gonzaga,52,18-34,18
,Hartford,37,Apr-33,18
,The Citadel,54,23-31,18
,Duke,63,39-24,18
,Portland,54,31-23,18
,California Baptist,58,28-30,18
,New Mexico St.,51,14-37,18
,Northwestern,50,Oct-40,18
,Rice,58,21-37,18
233,Fla. Atlantic,59,34-25,17
,Penn,50,34-16,17
,Alabama A&M,48,14-34,17
,Little Rock,54,31-23,17
,Elon,55,33-22,17
,Tennessee Tech,55,21-34,17
,High Point,54,20-34,17
,Seattle U,53,21-32,17
,Marshall,53,16-37,17
,Memphis,57,29-28,17
,Nevada,53,20-33,17
,New Orleans,60,36-24,17
,North Ala.,51,14-37,17
,NC State,57,36-21,17
,ULM,54,17-37,17
,Notre Dame,54,30-24,17
,Ohio,49,19-30,17
,Old Dominion,55,32-23,17
,Louisville,55,31-24,17
252,Illinois,52,25-27,16
,UIC,53,28-25,16
,Jacksonville St.,57,27-30,16
,UTRGV,56,30-26,16
,Columbia,45,23-22,16
,Rhode Island,52,23-29,16
,San Diego St.,53,24-29,16
,Alcorn,48,Aug-40,16
260,Hawaii,49,29-20,15
,Michigan,56,28-28,15
,UAlbany,44,9-34-1,15
,Bucknell,47,23-23-1,15
,CSU Bakersfield,52,18-34,15
,Creighton,49,25-24,15
,Villanova,51,14-37,15
,Pittsburgh,55,24-31,15
,St. Bonaventure,48,Aug-40,15
,South Alabama,54,23-31,15
,SIUE,54,26-28,15
,Massachusetts,49,14-35,15
,Charlotte,64,36-28,15
,New Mexico,51,26-25,15
,N.C. A&T,47,19-28,15
,Penn St.,50,25-25,15
,Longwood,54,23-31,15
277,Florida St.,54,23-31,14
,Houston Christian,48,Nov-37,14
,Lafayette,52,15-37,14
,Norfolk St.,51,Sep-42,14
,UC Santa Barbara,55,35-20,14
,Cornell,35,26-Sep,14
,Princeton,47,24-23,14
,Bradley,48,16-32,14
285,Yale,40,17-23,13
,Pacific,49,14-35,13
287,Akron,55,21-34,12
,Minnesota,52,18-34,12
,Western Ill.,52,Dec-40,12
,Milwaukee,57,25-32,12
,Cincinnati,57,24-33,12
292,Lehigh,50,24-26,11
293,Brown,38,26-Dec,10
294,Dartmouth,41,Mar-38,9
295,UAB,53,17-36,8
NR,UC San Diego,52,34-18,32
NR,Southern Ind.,55,17-38,28
NR,Tarleton St.,52,26-26,24
NR,Merrimack,51,21-30,18
NR,Stonehill,49,14-35,18
NR,Queens (NC),55,17-38,18
NR,Utah Tech,52,13-39,15
NR,Lindenwood,55,13-42,13
NR,St. Thomas (MN),44,Oct-34,13
NR,Bellarmine,55,13-42,12
