Rank,Name,App,W-L,IP,SO,BB,K/BB
197,Ohio,0,19-30,413,318,197,1.61
198,UNCW,0,34-23,500,418,259,1.61
199,Minnesota,0,18-34,464,396,246,1.61
200,Valparaiso,0,20-27,396,339,211,1.61
201,Maryland,0,42-21,555,511,320,1.6
202,Rider,0,36-21,492,423,265,1.6
203,Niagara,0,24-22-1,407,389,244,1.59
204,Air Force,0,28-31,509,393,247,1.59
205,Liberty,0,27-31,495,536,337,1.59
206,Manhattan,0,22-34,471,416,262,1.59
207,Jackson St.,0,28-25,437,461,291,1.58
208,Oregon,0,41-22,559,505,321,1.57
209,Austin Peay,0,26-32,494,516,329,1.57
210,Gonzaga,0,18-34,455,444,285,1.56
211,San Francisco,0,18-29,413,336,216,1.56
212,Massachusetts,0,14-35,412,325,209,1.56
213,Longwood,0,23-31,464,407,262,1.55
214,New Orleans,0,36-24,503,445,287,1.55
215,FDU,0,31-21-1,468,474,307,1.54
216,Cincinnati,0,24-33,478,432,280,1.54
217,Creighton,0,25-24,425,340,221,1.54
218,Wagner,0,32-24,489,421,274,1.54
219,Towson,0,19-37,495,433,282,1.54
220,Toledo,0,26-29,484,454,296,1.53
221,Oklahoma,0,32-28,526,417,273,1.53
222,Stony Brook,0,23-29,456,391,256,1.53
223,Coppin St.,0,21-31,446,406,268,1.51
224,James Madison,0,31-25,488,416,275,1.51
225,Eastern Ky.,0,29-30,513,490,324,1.51
226,San Jose St.,0,31-27,507,435,288,1.51
227,Eastern Mich.,0,27-26,463,451,299,1.51
228,The Citadel,0,23-31,466,422,281,1.5
229,SIUE,0,26-28,464,434,289,1.5
230,UNC Asheville,0,26-26,451,391,262,1.49
231,Southeastern La.,0,25-25,434,347,233,1.49
232,UMES,0,18-37,486,355,239,1.49
233,Little Rock,0,31-23,468,408,276,1.48
234,Delaware,0,30-29,508,394,268,1.47
235,Tennessee Tech,0,21-34,468,422,289,1.46
236,Dartmouth,0,Mar-38,345,261,180,1.45
237,Western Caro.,0,21-33,469,383,265,1.45
238,CSU Bakersfield,0,18-34,446,355,246,1.44
239,Fordham,0,19-36,478,467,325,1.44
240,Maine,0,32-21,454,407,284,1.43
241,Davidson,0,30-24,467,408,285,1.43
242,Saint Louis,0,33-23,501,349,245,1.42
243,Monmouth,0,16-30,402,374,263,1.42
244,Oakland,0,29-31,523,418,295,1.42
245,George Washington,0,21-34,483,404,288,1.4
246,VMI,0,26-29,469,403,288,1.4
247,UMBC,0,30-27,479,420,302,1.39
248,VCU,0,25-30,478,388,279,1.39
249,UC Davis,0,17-37,471,340,245,1.39
250,Hofstra,0,26-26,444,343,248,1.38
251,Bradley,0,16-32,408,365,264,1.38
252,UAlbany,0,9-34-1,366,290,212,1.37
253,Princeton,0,24-23,397,321,235,1.37
254,App State,0,30-25,479,459,340,1.35
255,Akron,0,21-34,468,328,244,1.34
,Radford,0,Oct-45,468,410,305,1.34
257,High Point,0,20-34,470,403,300,1.34
258,Arkansas St.,0,20-31,437,383,289,1.33
259,UIC,0,28-25,448,298,226,1.32
260,UMass Lowell,0,20-35,459,334,254,1.31
261,Western Mich.,0,21-31,437,380,289,1.31
262,Marist,0,16-36,430,401,306,1.31
263,SFA,0,22-28,442,336,260,1.29
264,Columbia,0,23-22,387,297,231,1.29
265,Villanova,0,14-37,433,392,305,1.29
266,Mount St. Mary's,0,25-27,446,381,299,1.27
267,Bucknell,0,23-23-1,380,285,225,1.27
268,Butler,0,Dec-43,471,401,318,1.26
269,Prairie View,0,20-37,459,295,234,1.26
270,UC Riverside,0,Nov-41,447,315,256,1.23
271,Pacific,0,14-35,420,313,255,1.23
272,Norfolk St.,0,Sep-42,423,390,318,1.23
273,Florida A&M,0,29-30,505,383,317,1.21
274,Northern Colo.,0,Nov-34,357,301,250,1.2
275,Pepperdine,0,19-30,428,296,246,1.2
276,Ark.-Pine Bluff,0,18-33,408,358,302,1.19
277,Siena,0,14-41,460,361,306,1.18
278,Hartford,0,Apr-33,297,199,169,1.18
279,Purdue Fort Wayne,0,13-43,474,407,355,1.15
280,Alabama A&M,0,14-34,379,249,221,1.13
281,UNC Greensboro,0,25-34,511,314,280,1.12
282,NIU,0,Oct-43,444,331,302,1.1
283,Cornell,0,26-Sep,295,223,205,1.09
284,Grambling,0,29-26,462,343,317,1.08
285,Lafayette,0,15-37,417,342,319,1.07
286,St. Bonaventure,0,Aug-40,391,296,279,1.06
287,Houston Christian,0,Nov-37,409,311,295,1.05
288,North Ala.,0,14-37,418,373,355,1.05
289,Western Ill.,0,Dec-40,430,324,334,0.97
290,Mississippi Val.,0,15-37,408,282,296,0.95
291,Delaware St.,0,13-35,409,329,347,0.95
292,Iona,0,13-38,416,361,381,0.95
293,Youngstown St.,0,19-36,465,355,385,0.92
294,Saint Peter's,0,Sep-41,407,265,309,0.86
295,Alcorn,0,Aug-40,387,276,371,0.74
NR,UC San Diego,0,34-18,464,484,200,2.42
NR,Tarleton St.,0,26-26,445,452,254,1.78
NR,Utah Tech,0,13-39,433,362,207,1.75
NR,Lindenwood,0,13-42,452,363,229,1.59
NR,Bellarmine,0,13-42,454,370,261,1.42
NR,Merrimack,0,21-30,442,292,219,1.33
NR,St. Thomas (MN),0,Oct-34,364,331,267,1.24
NR,Stonehill,0,14-35,410,315,261,1.21
NR,Southern Ind.,0,17-38,459,362,315,1.15
NR,Queens (NC),0,17-38,467,323,313,1.03
,,,,,,,
      ,,,,,,,
