Rank,Name,G,W-L,AB,H
68,Texas A&M,65,38-27,2147,579
,Samford,62,37-25,2059,579
,UTRGV,56,30-26,1926,579
,Richmond,55,27-28,1901,579
72,Indiana St.,62,45-17,2122,578
73,UT Arlington,58,29-29,1993,576
,Vanderbilt,62,42-20,2097,576
,Nebraska,57,33-23-1,1957,576
,Northern Ky.,57,30-27,1978,576
77,Southern Ill.,57,30-27,2008,575
,Wichita St.,55,30-25,1907,575
79,Sacramento St.,56,30-26,1947,573
80,Army West Point,56,38-18,1918,572
81,Wagner,56,32-24,1970,571
,Kentucky,61,40-21,1971,571
,Auburn,58,34-23-1,1991,571
84,South Fla.,60,21-39,2074,570
85,Western Ky.,59,33-26,1984,569
,George Mason,63,36-27,2073,569
87,ETSU,55,26-29,1882,568
,James Madison,56,31-25,1909,568
,Oklahoma,60,32-28,1998,568
,Ball St.,59,36-23,2017,568
91,California Baptist,58,28-30,2008,567
92,Wright St.,62,39-23,2066,566
93,Towson,56,19-37,1992,565
,South Carolina,63,42-21,2066,565
95,Col. of Charleston,58,36-22,2008,564
,Saint Joseph's,53,28-24-1,1851,564
,Mercer,58,33-25,1940,564
,San Jose St.,58,31-27,2002,564
99,Charlotte,64,36-28,2140,563
,Abilene Christian,59,35-24,1952,563
,Arizona St.,55,32-23,1909,563
,Rutgers,56,33-23,1918,563
103,UC Irvine,55,38-17,1869,562
104,Middle Tenn.,56,27-29,1939,560
105,Hofstra,52,26-26,1834,559
106,Michigan St.,55,33-22,1862,557
107,Old Dominion,55,32-23,1944,556
,Eastern Mich.,53,27-26,1869,556
109,App State,55,30-25,1924,555
,North Florida,55,28-27,1923,555
111,Seton Hall,55,31-24,1901,554
,Virginia Tech,53,30-23,1858,554
,Southern California,58,34-23-1,1942,554
114,CSUN,51,34-17,1777,552
,Little Rock,54,31-23,1848,552
,George Washington,55,21-34,1925,552
,UMBC,57,30-27,1901,552
118,Murray St.,59,31-28,2005,549
119,St. John's (NY),53,28-25,1849,548
120,Toledo,55,26-29,1948,545
,Texas Southern,53,31-22,1745,545
122,UNC Greensboro,59,25-34,2011,544
,Jackson St.,53,28-25,1756,544
,Kansas,57,25-32,1966,544
125,Arkansas,61,43-18,1990,543
126,Cal Poly,56,21-35,1957,542
127,Dayton,60,26-34,2036,541
,UT Martin,56,22-34,1885,541
129,Cal St. Fullerton,56,32-24,1951,540
130,Ga. Southern,56,27-29,1900,539
,FIU,55,21-34,1920,539
,Georgia,56,29-27,1903,539
133,Stetson,58,35-23,1916,538
134,Davidson,54,30-24,1842,537
135,Texas St.,59,36-23,1984,536
,Georgetown,57,30-27,1942,536
137,A&M-Corpus Christi,54,24-30,1839,535
138,Mount St. Mary's,52,25-27,1773,534
139,Utah,55,22-32-1,1889,533
,McNeese,58,35-23,1946,533
141,Winthrop,56,28-28,1918,532
142,UC Santa Barbara,55,35-20,1905,531
,UIW,54,28-26,1860,531
,Youngstown St.,55,19-36,1909,531
145,Fresno St.,57,30-27,1970,530
,Maine,53,32-21,1814,530
147,BYU,52,24-28,1832,529
148,Missouri St.,56,33-23,1958,528
149,Central Conn. St.,50,36-14,1767,527
,Lamar University,55,32-23,1899,527
,Boston College,57,37-20,1945,527
152,Eastern Ky.,59,29-30,2007,525
153,Tennessee Tech,55,21-34,1895,524
,Gardner-Webb,56,31-25,1896,524
,Evansville,61,37-24,2059,524
156,Western Caro.,54,21-33,1902,523
,VCU,55,25-30,1907,523
158,Grambling,55,29-26,1811,522
,Kennesaw St.,54,25-29,1814,522
160,Lipscomb,62,36-26,2033,521
,William & Mary,57,32-25,1936,521
,Kansas St.,59,35-24,1933,521
163,FDU,53,31-21-1,1803,520
,LIU,55,19-36,1904,520
165,Binghamton,52,29-23,1754,518
,Florida St.,54,23-31,1878,518
,Ole Miss,54,25-29,1815,518
168,Louisville,55,31-24,1848,517
,Long Beach St.,55,33-22,1894,517
,Rider,57,36-21,1948,517
171,Oakland,60,29-31,1964,516
,Morehead St.,56,36-20,1867,516
173,UNLV,51,21-30,1814,514
174,Washington St.,52,29-23,1753,512
,Stony Brook,52,23-29,1835,512
176,Tulane,61,19-42,2036,511
,Elon,55,33-22,1867,511
,Penn,50,34-16,1780,511
179,Miami (OH),56,21-35,1946,510
,Seattle U,53,21-32,1824,510
181,Marist,52,16-36,1781,509
,South Alabama,54,23-31,1846,509
183,Milwaukee,57,25-32,1955,508
,Louisiana Tech,59,28-31,2007,508
185,SFA,50,22-28,1761,507
,Liberty,58,27-31,1931,507
187,Belmont,60,27-33,1984,506
188,UNC Asheville,52,26-26,1807,503
,Columbia,45,23-22,1643,503
,Mississippi St.,53,27-26,1759,503
,Lehigh,50,24-26,1694,503
192,Purdue Fort Wayne,56,13-43,1907,501
193,SIUE,54,26-28,1861,500
,Central Mich.,57,34-23,1928,500
,North Dakota St.,53,23-30,1829,500
196,The Citadel,54,23-31,1798,499
,Ohio St.,56,31-25,1842,499
198,New Mexico St.,51,14-37,1744,497
,South Dakota St.,52,24-28,1760,497
,Northwestern St.,56,29-27,1871,497
201,Jacksonville,58,34-24,1929,495
202,High Point,54,20-34,1840,492
,Canisius,52,26-25-1,1733,492
204,Illinois,52,25-27,1806,490
,Purdue,53,24-29,1770,490
,Prairie View,57,20-37,1837,490
,Western Mich.,52,21-31,1758,490
208,Michigan,56,28-28,1872,488
,UCLA,53,28-24-1,1815,488
210,UMass Lowell,55,20-35,1841,487
211,Penn St.,50,25-25,1727,486
,Rice,58,21-37,1948,486
,Gonzaga,52,18-34,1815,486
214,Fordham,55,19-36,1884,485
215,Southeast Mo. St.,56,26-30,1845,482
216,Arkansas St.,51,20-31,1742,481
217,Manhattan,56,22-34,1869,480
,Central Ark.,54,23-31,1785,480
,Memphis,57,29-28,1877,480
220,LMU (CA),53,29-24,1790,477
221,Pacific,49,14-35,1697,474
,Pittsburgh,55,24-31,1853,474
,Illinois St.,50,20-30,1754,474
224,Rhode Island,52,23-29,1795,472
,Baylor,55,20-35,1856,472
226,UIC,53,28-25,1762,471
227,CSU Bakersfield,52,18-34,1739,470
,Ohio,49,19-30,1686,470
229,Saint Mary's (CA),51,23-28,1751,467
,Nevada,53,20-33,1800,467
231,Niagara,47,24-22-1,1657,465
,Marshall,53,16-37,1829,465
233,Mississippi Val.,52,15-37,1594,464
234,Missouri,54,30-24,1733,462
,Coppin St.,52,21-31,1729,462
,Hawaii,49,29-20,1659,462
237,California,52,24-28,1761,461
,Iona,51,13-38,1724,461
239,Longwood,54,23-31,1798,460
,Omaha,49,21-28,1627,460
241,Radford,55,Oct-45,1828,459
242,Presbyterian,55,21-34,1837,457
243,UC Davis,54,17-37,1830,456
,Pepperdine,49,19-30,1683,456
245,Princeton,47,24-23,1628,454
,Massachusetts,49,14-35,1693,454
247,San Diego,50,24-25-1,1658,453
248,Cincinnati,57,24-33,1830,452
249,ULM,54,17-37,1790,451
250,Butler,55,Dec-43,1853,450
,Houston Christian,48,Nov-37,1655,450
252,Delaware St.,48,13-35,1669,448
253,Notre Dame,54,30-24,1790,446
254,Minnesota,52,18-34,1743,444
,Western Ill.,52,Dec-40,1703,444
,Bryant,50,26-24,1691,444
,Akron,55,21-34,1823,444
258,Valparaiso,47,20-27,1575,442
259,NIU,53,Oct-43,1747,439
260,Bucknell,47,23-23-1,1537,438
,Siena,55,14-41,1802,438
,UC Riverside,52,Nov-41,1740,438
263,Saint Peter's,50,Sep-41,1638,433
264,North Ala.,51,14-37,1681,428
,Norfolk St.,51,Sep-42,1694,428
266,San Diego St.,53,24-29,1708,426
267,Southern U.,51,23-28,1641,424
268,Harvard,44,20-24,1525,421
,N.C. A&T,47,19-28,1590,421
270,Holy Cross,51,16-35,1620,420
,Northwestern,50,Oct-40,1708,420
272,Monmouth,46,16-30,1583,419
,Alcorn,48,Aug-40,1539,419
274,Charleston So.,50,22-28,1612,418
275,Ark.-Pine Bluff,51,18-33,1601,417
,UMES,55,18-37,1807,417
,Bradley,48,16-32,1587,417
,Navy,50,23-27,1593,417
279,NJIT,53,22-31,1732,415
280,San Francisco,47,18-29,1593,414
281,Villanova,51,14-37,1692,412
282,UAB,53,17-36,1753,406
283,Creighton,49,25-24,1594,405
284,Lafayette,52,15-37,1661,403
285,Southeastern La.,50,25-25,1618,396
286,Northern Colo.,45,Nov-34,1469,394
287,Bowling Green,50,20-30,1607,390
,St. Bonaventure,48,Aug-40,1557,390
289,UAlbany,44,9-34-1,1496,380
290,Alabama A&M,48,14-34,1465,365
291,Yale,40,17-23,1332,332
292,Brown,38,26-Dec,1293,325
293,Dartmouth,41,Mar-38,1351,308
294,Cornell,35,26-Sep,1174,291
295,Hartford,37,Apr-33,1153,252
NR,UC San Diego,52,34-18,1784,503
NR,Tarleton St.,52,26-26,1729,502
NR,Queens (NC),55,17-38,1870,494
NR,Southern Ind.,55,17-38,1815,488
NR,Merrimack,51,21-30,1779,482
NR,Bellarmine,55,13-42,1833,473
NR,Utah Tech,52,13-39,1677,432
NR,Stonehill,49,14-35,1627,419
NR,Lindenwood,55,13-42,1774,417
NR,St. Thomas (MN),44,Oct-34,1476,374
,,,,,
      ,,,,,
