Rank,Name,G,W-L,IP,BB,PG
46,Charlotte,64,36-28,559.1,238,3.83
47,Notre Dame,54,30-24,474.2,202,3.83
48,Northwestern St.,56,29-27,486.1,207,3.83
49,Western Ky.,59,33-26,516.2,221,3.85
50,Saint Mary's (CA),51,23-28,451.1,194,3.87
51,Illinois,52,25-27,462,199,3.88
52,Navy,50,23-27,415.1,180,3.9
53,UIW,54,28-26,473,205,3.9
54,Louisiana Tech,59,28-31,527.1,229,3.91
55,Bethune-Cookman,60,33-27,520,226,3.91
56,UNLV,51,21-30,444,193,3.91
57,West Virginia,60,40-20,527,230,3.93
58,Sam Houston,64,39-25,554,243,3.95
59,UT Arlington,58,29-29,497.2,219,3.96
60,Alabama St.,59,41-18,514.2,227,3.97
61,LSU,71,54-17,612.1,271,3.98
62,Presbyterian,55,21-34,474,210,3.99
63,Central Mich.,57,34-23,507.2,225,3.99
64,North Dakota St.,53,23-30,451,200,3.99
65,CSUN,51,34-17,448.1,200,4.01
66,Memphis,57,29-28,496.2,222,4.02
67,Army West Point,56,38-18,477.2,214,4.03
68,TCU,68,44-24,599.1,269,4.04
69,Murray St.,59,31-28,509.1,229,4.05
70,UC Santa Barbara,55,35-20,488.2,220,4.05
71,Sacramento St.,56,30-26,485.2,220,4.08
72,NJIT,53,22-31,443.2,201,4.08
73,Clemson,63,44-19,561.1,255,4.09
74,Vanderbilt,62,42-20,547.2,251,4.12
75,Duke,63,39-24,562.1,258,4.13
76,North Florida,55,28-27,479.2,221,4.15
77,Cal St. Fullerton,56,32-24,503,232,4.15
78,McNeese,58,35-23,513.2,237,4.15
79,Louisiana,65,41-24,569.2,263,4.16
80,Utah,55,22-32-1,479.1,222,4.17
81,UConn,61,44-17,543,252,4.18
82,California,52,24-28,450.1,209,4.18
83,San Diego St.,53,24-29,456.1,212,4.18
84,San Diego,50,24-25-1,434.2,202,4.18
85,Michigan St.,55,33-22,477.1,222,4.19
86,Binghamton,52,29-23,442.2,206,4.19
87,Kentucky,61,40-21,526.1,245,4.19
88,Fla. Atlantic,59,34-25,523,244,4.2
89,UAB,53,17-36,463.2,217,4.21
90,Kent St.,58,42-16,512.1,240,4.22
91,Hawaii,49,29-20,429,201,4.22
92,Illinois St.,50,20-30,435.1,204,4.22
93,New Mexico St.,51,14-37,433,203,4.22
94,UTRGV,56,30-26,486,229,4.24
95,Old Dominion,55,32-23,491,232,4.25
96,Belmont,60,27-33,524.2,248,4.25
97,UT Martin,56,22-34,471,223,4.26
98,Purdue,53,24-29,457,217,4.27
99,Missouri St.,56,33-23,501.2,239,4.29
100,Ohio,49,19-30,413.1,197,4.29
101,Utah Valley,58,34-24,488.2,233,4.29
102,Gardner-Webb,56,31-25,492,235,4.3
103,Kansas,57,25-32,491.2,235,4.3
104,Portland,54,31-23,473.1,227,4.32
105,Indiana,63,43-20,556.1,267,4.32
106,UCF,59,33-26,518.2,249,4.32
107,Charleston So.,50,22-28,427.1,206,4.34
108,Bryant,50,26-24,429,207,4.34
109,Texas,64,42-22,565.2,273,4.34
110,Holy Cross,51,16-35,406,196,4.34
111,Stetson,58,35-23,494,239,4.35
112,Arkansas,61,43-18,530.2,257,4.36
113,Air Force,59,28-31,509.1,247,4.36
114,Sacred Heart,58,28-30,514.2,250,4.37
115,Seton Hall,55,31-24,481.2,234,4.37
116,George Mason,63,36-27,555.2,270,4.37
117,Fairfield,55,37-18,478.2,233,4.38
118,Arizona St.,55,32-23,484,236,4.39
119,Yale,40,17-23,350.1,171,4.39
120,Saint Louis,56,33-23,501.2,245,4.4
121,North Carolina,60,36-24,534.2,262,4.41
122,Central Conn. St.,50,36-14,442,217,4.42
123,UMES,55,18-37,486.1,239,4.42
124,South Fla.,60,21-39,522.2,258,4.44
125,Richmond,55,27-28,469.1,233,4.47
126,Florida,71,54-17,613,305,4.48
127,Rice,58,21-37,506,252,4.48
128,Oklahoma St.,61,41-20,527.2,263,4.49
129,Georgetown,57,30-27,491.1,245,4.49
130,Georgia St.,59,31-28,515.1,257,4.49
131,Texas St.,59,36-23,520.2,260,4.49
132,A&M-Corpus Christi,54,24-30,461.2,231,4.5
133,St. John's (NY),53,28-25,463.1,232,4.51
134,Middle Tenn.,56,27-29,489,245,4.51
135,LIU,55,19-36,472,237,4.52
136,Michigan,56,28-28,486.2,245,4.53
137,California Baptist,58,28-30,508.1,256,4.53
138,UIC,53,28-25,448,226,4.54
139,Ga. Southern,56,27-29,479.2,242,4.54
140,Penn,50,34-16,440,222,4.54
141,Samford,62,37-25,532.1,269,4.55
142,N.C. A&T,47,19-28,411.1,208,4.55
143,Massachusetts,49,14-35,412.2,209,4.56
144,Northwestern,50,Oct-40,430.1,218,4.56
145,Prairie View,57,20-37,459.1,234,4.58
146,Mercer,58,33-25,498.1,254,4.59
147,ETSU,55,26-29,462,236,4.6
148,Missouri,54,30-24,449,230,4.61
149,Bowling Green,50,20-30,422.2,217,4.62
150,Central Ark.,54,23-31,465.1,239,4.62
151,Winthrop,56,28-28,496,255,4.63
152,USC Upstate,60,38-22,535.1,276,4.64
153,Campbell,61,46-15,546.1,282,4.65
154,Dayton,60,26-34,517,267,4.65
155,UNCW,57,34-23,500.2,259,4.66
156,Harvard,44,20-24,380,197,4.67
157,Oklahoma,60,32-28,526.1,273,4.67
158,UC Davis,54,17-37,471.1,245,4.68
159,Creighton,49,25-24,425,221,4.68
160,Akron,55,21-34,468.2,244,4.69
161,Jacksonville,58,34-24,512.1,267,4.69
162,Lehigh,50,24-26,412.1,215,4.69
163,Dartmouth,41,Mar-38,345,180,4.7
164,Omaha,49,21-28,410,214,4.7
165,San Francisco,47,18-29,413.2,216,4.7
166,Southern Ill.,57,30-27,500.2,262,4.71
167,ULM,54,17-37,465,245,4.74
168,Delaware,59,30-29,508.1,268,4.74
169,Nevada,53,20-33,459,242,4.75
170,Louisville,55,31-24,481.1,254,4.75
171,Northern Ky.,57,30-27,498.1,263,4.75
172,BYU,52,24-28,449.2,238,4.76
173,Minnesota,52,18-34,464.1,246,4.77
174,Jacksonville St.,57,27-30,483.2,257,4.78
175,Valparaiso,47,20-27,396.1,211,4.79
176,Texas Tech,64,41-23,566.1,302,4.8
177,Seattle U,53,21-32,451,241,4.81
178,Southeastern La.,50,25-25,434.2,233,4.82
179,Rider,57,36-21,492,265,4.85
180,FIU,55,21-34,485.1,262,4.86
181,Kennesaw St.,54,25-29,466,252,4.87
182,Pittsburgh,55,24-31,475.1,260,4.92
183,UNC Greensboro,59,25-34,511.2,280,4.93
184,Stanford,64,44-20,577,316,4.93
185,Coastal Carolina,63,42-21,561.2,309,4.95
186,CSU Bakersfield,52,18-34,446,246,4.96
187,UMass Lowell,55,20-35,459.2,254,4.97
188,Troy,62,40-22,541,299,4.97
189,Saint Joseph's,53,28-24-1,457,253,4.98
190,Manhattan,56,22-34,471,262,5.01
191,Penn St.,50,25-25,432.2,241,5.01
192,Rutgers,56,33-23,494.1,276,5.02
193,Hofstra,52,26-26,444,248,5.03
194,Florida St.,54,23-31,477.2,267,5.03
,Morehead St.,56,36-20,477.2,267,5.03
196,Wagner,56,32-24,489.1,274,5.04
197,Rhode Island,52,23-29,450,252,5.04
198,Stony Brook,52,23-29,456.2,256,5.05
199,James Madison,56,31-25,488.1,275,5.07
200,Oakland,60,29-31,523.2,295,5.07
201,Auburn,58,34-23-1,509,287,5.07
202,Western Caro.,54,21-33,469.2,265,5.08
203,Longwood,54,23-31,464,262,5.08
204,Texas A&M,65,38-27,566.1,320,5.09
205,Abilene Christian,59,35-24,509,288,5.09
206,Milwaukee,57,25-32,482,273,5.1
207,FGCU,60,42-18,509.2,289,5.1
208,San Jose St.,58,31-27,507,288,5.11
209,Houston,59,36-23,524.1,298,5.12
210,Hartford,37,Apr-33,297.1,169,5.12
211,Towson,56,19-37,495.1,282,5.12
212,New Orleans,60,36-24,503,287,5.14
213,Georgia,56,29-27,483.1,276,5.14
214,South Alabama,54,23-31,468,268,5.15
215,UC Riverside,52,Nov-41,447,256,5.15
216,Oregon,63,41-22,559,321,5.17
217,Pepperdine,49,19-30,428,246,5.17
218,Maryland,63,42-21,555,320,5.19
219,Tulane,61,19-42,519.2,300,5.2
220,UAlbany,44,9-34-1,366.2,212,5.2
221,Ole Miss,54,25-29,459.2,266,5.21
222,UNC Asheville,52,26-26,451.2,262,5.22
223,Alabama A&M,48,14-34,379.2,221,5.24
224,Marshall,53,16-37,466.1,272,5.25
225,VCU,55,25-30,478,279,5.25
226,Cincinnati,57,24-33,478,280,5.27
227,Brown,38,26-Dec,332.1,195,5.28
228,SFA,50,22-28,442.1,260,5.29
229,Little Rock,54,31-23,468.1,276,5.3
230,Virginia Tech,53,30-23,464.2,274,5.31
231,Baylor,55,20-35,486.2,287,5.31
232,Texas Southern,53,31-22,432,255,5.31
233,Bucknell,47,23-23-1,380.2,225,5.32
234,Princeton,47,24-23,397.1,235,5.32
235,Ohio St.,56,31-25,481,285,5.33
236,Iowa,60,44-16,522.1,310,5.34
237,George Washington,55,21-34,483.2,288,5.36
238,Columbia,45,23-22,387.1,231,5.37
239,Niagara,47,24-22-1,407.1,244,5.39
240,Coppin St.,52,21-31,446,268,5.41
241,Georgia Tech,57,30-27,498,300,5.42
242,The Citadel,54,23-31,466.1,281,5.42
243,Pacific,49,14-35,420.1,255,5.46
244,Davidson,54,30-24,467.2,285,5.48
245,South Dakota St.,52,24-28,429.1,262,5.49
246,Toledo,55,26-29,484,296,5.5
247,VMI,55,26-29,469,288,5.53
248,Tennessee Tech,55,21-34,468.2,289,5.55
249,Southern U.,51,23-28,431,267,5.58
250,SIUE,54,26-28,464.1,289,5.6
251,Maine,53,32-21,454.1,284,5.63
252,Gonzaga,52,18-34,455.2,285,5.63
253,Florida A&M,59,29-30,505,317,5.65
254,UMBC,57,30-27,479.1,302,5.67
255,Eastern Ky.,59,29-30,513,324,5.68
256,High Point,54,20-34,470.1,300,5.74
257,Eastern Mich.,53,27-26,463.1,299,5.81
258,Bradley,48,16-32,408.1,264,5.82
259,Radford,55,Oct-45,468,305,5.87
260,Canisius,52,26-25-1,437.2,286,5.88
261,Monmouth,46,16-30,402,263,5.89
262,FDU,53,31-21-1,468,307,5.9
263,Western Mich.,52,21-31,437,289,5.95
,Arkansas St.,51,20-31,437,289,5.95
265,Jackson St.,53,28-25,437.2,291,5.98
266,Austin Peay,58,26-32,494.2,329,5.99
267,Siena,55,14-41,460,306,5.99
268,Mount St. Mary's,52,25-27,446.2,299,6.02
269,Ball St.,59,36-23,504.1,339,6.05
270,Butler,55,Dec-43,471.2,318,6.07
271,NIU,53,Oct-43,444.1,302,6.12
272,Fordham,55,19-36,478,325,6.12
273,Liberty,58,27-31,495,337,6.13
274,Grambling,55,29-26,462,317,6.18
275,Cornell,35,26-Sep,295.2,205,6.24
276,Miami (OH),56,21-35,490.2,343,6.29
277,Northern Colo.,45,Nov-34,357,250,6.3
278,Villanova,51,14-37,433,305,6.34
279,Mississippi St.,53,27-26,453,321,6.38
280,App State,55,30-25,479,340,6.39
281,Marist,52,16-36,430.2,306,6.39
282,St. Bonaventure,48,Aug-40,391,279,6.42
283,Houston Christian,48,Nov-37,409.1,295,6.49
284,Mississippi Val.,52,15-37,408.2,296,6.52
285,Ark.-Pine Bluff,51,18-33,408,302,6.66
286,Purdue Fort Wayne,56,13-43,474.2,355,6.73
287,Norfolk St.,51,Sep-42,423,318,6.77
288,Saint Peter's,50,Sep-41,407.2,309,6.82
289,Lafayette,52,15-37,417,319,6.88
290,Western Ill.,52,Dec-40,430.1,334,6.99
291,Youngstown St.,55,19-36,465.1,385,7.45
292,Delaware St.,48,13-35,409,347,7.64
293,North Ala.,51,14-37,418.1,355,7.64
294,Iona,51,13-38,416,381,8.24
295,Alcorn,48,Aug-40,387.1,371,8.62
NR,UC San Diego,52,34-18,464,200,3.88
NR,Utah Tech,52,13-39,433,207,4.3
NR,Merrimack,51,21-30,442.1,219,4.46
NR,Lindenwood,55,13-42,452.2,229,4.55
NR,Tarleton St.,52,26-26,445.2,254,5.13
NR,Bellarmine,55,13-42,454.1,261,5.17
NR,Stonehill,49,14-35,410.1,261,5.72
NR,Queens (NC),55,17-38,467.1,313,6.03
NR,Southern Ind.,55,17-38,459.1,315,6.17
NR,St. Thomas (MN),44,Oct-34,364.1,267,6.6
