Rank,Name,G,W-L,HBP
,Pepperdine,49,19-30,69
,UT Arlington,58,29-29,69
,Omaha,49,21-28,69
,UMass Lowell,55,20-35,69
,UIW,54,28-26,69
134,Houston,59,36-23,68
,Georgetown,57,30-27,68
,ULM,54,17-37,68
,New Orleans,60,36-24,68
,Army West Point,56,38-18,68
,SFA,50,22-28,68
,Richmond,55,27-28,68
,CSUN,51,34-17,68
,Austin Peay,58,26-32,68
143,Ark.-Pine Bluff,51,18-33,67
,Jackson St.,53,28-25,67
,Portland,54,31-23,67
146,South Dakota St.,52,24-28,66
,Northwestern,50,Oct-40,66
,Oakland,60,29-31,66
,UC Santa Barbara,55,35-20,66
,Sam Houston,64,39-25,66
,VMI,55,26-29,66
,Clemson,63,44-19,66
153,Arkansas St.,51,20-31,65
154,UNLV,51,21-30,64
,Charlotte,64,36-28,64
,Oral Roberts,66,52-14,64
,Stanford,64,44-20,64
158,LMU (CA),53,29-24,63
,Akron,55,21-34,63
,Baylor,55,20-35,63
,Central Conn. St.,50,36-14,63
,Columbia,45,23-22,63
,Fairfield,55,37-18,63
,North Florida,55,28-27,63
,NIU,53,Oct-43,63
,Penn,50,34-16,63
167,UIC,53,28-25,62
,Bowling Green,50,20-30,62
,Presbyterian,55,21-34,62
,Virginia Tech,53,30-23,62
,A&M-Corpus Christi,54,24-30,62
,Cal St. Fullerton,56,32-24,62
173,Lafayette,52,15-37,61
,Illinois St.,50,20-30,61
,Iona,51,13-38,61
,Little Rock,54,31-23,61
,Oklahoma St.,61,41-20,61
,Cal Poly,56,21-35,61
,DBU,63,47-16,61
,Radford,55,Oct-45,61
,Ohio,49,19-30,61
182,Georgia St.,59,31-28,60
,Hawaii,49,29-20,60
,Kansas St.,59,35-24,60
,Liberty,58,27-31,60
,High Point,54,20-34,60
,CSU Bakersfield,52,18-34,60
,Sacramento St.,56,30-26,60
,Canisius,52,26-25-1,60
,San Francisco,47,18-29,60
,LIU,55,19-36,60
192,Alabama St.,59,41-18,59
,Binghamton,52,29-23,59
,North Ala.,51,14-37,59
,Kennesaw St.,54,25-29,59
,Toledo,55,26-29,59
,Cincinnati,57,24-33,59
198,Evansville,61,37-24,58
,Nevada,53,20-33,58
,UNCW,57,34-23,58
,UT Martin,56,22-34,58
202,Col. of Charleston,58,36-22,57
,Abilene Christian,59,35-24,57
204,FIU,55,21-34,56
,Georgia,56,29-27,56
,St. Bonaventure,48,Aug-40,56
,Towson,56,19-37,56
,Lehigh,50,24-26,56
209,Bethune-Cookman,60,33-27,55
,Brown,38,26-Dec,55
,UC Davis,54,17-37,55
,Saint Joseph's,53,28-24-1,55
,UTRGV,56,30-26,55
,Seattle U,53,21-32,55
,UMES,55,18-37,55
,Niagara,47,24-22-1,55
,Texas A&M,65,38-27,55
218,Eastern Ky.,59,29-30,54
,Wichita St.,55,30-25,54
,Pittsburgh,55,24-31,54
,Seton Hall,55,31-24,54
,Oregon St.,61,41-20,54
,NJIT,53,22-31,54
,Old Dominion,55,32-23,54
,Stony Brook,52,23-29,54
226,Lamar University,55,32-23,53
,Jacksonville,58,34-24,53
,BYU,52,24-28,53
,Butler,55,Dec-43,53
,Creighton,49,25-24,53
,NC State,57,36-21,53
,Western Caro.,54,21-33,53
,Yale,40,17-23,53
,Marist,52,16-36,53
,Murray St.,59,31-28,53
,Navy,50,23-27,53
237,Mississippi Val.,52,15-37,52
,Valparaiso,47,20-27,52
239,Hartford,37,Apr-33,51
,Ohio St.,56,31-25,51
,Alcorn,48,Aug-40,51
,Houston Christian,48,Nov-37,51
243,Arizona St.,55,32-23,50
,Fresno St.,57,30-27,50
,Youngstown St.,55,19-36,50
,Ole Miss,54,25-29,50
,New Mexico St.,51,14-37,50
,Northern Colo.,45,Nov-34,50
,Southern Ill.,57,30-27,50
250,George Washington,55,21-34,49
,The Citadel,54,23-31,49
,N.C. A&T,47,19-28,49
,Grand Canyon,58,37-21,49
,Elon,55,33-22,49
255,Gonzaga,52,18-34,48
,Kansas,57,25-32,48
,Morehead St.,56,36-20,48
,Memphis,57,29-28,48
,Tennessee Tech,55,21-34,48
260,Florida A&M,59,29-30,47
,California Baptist,58,28-30,47
,Alabama A&M,48,14-34,47
263,Hofstra,52,26-26,46
,Mississippi St.,53,27-26,46
,Norfolk St.,51,Sep-42,46
,Villanova,51,14-37,46
267,California,52,24-28,45
,Massachusetts,49,14-35,45
,San Jose St.,58,31-27,45
,Dartmouth,41,Mar-38,45
271,ETSU,55,26-29,44
,SIUE,54,26-28,44
,Rice,58,21-37,44
274,Missouri St.,56,33-23,43
275,Texas,64,42-22,42
,UC Riverside,52,Nov-41,42
277,UAB,53,17-36,41
,Saint Mary's (CA),51,23-28,41
,Milwaukee,57,25-32,41
,Winthrop,56,28-28,41
281,Belmont,60,27-33,40
,Delaware St.,48,13-35,40
283,Western Ill.,52,Dec-40,39
284,Monmouth,46,16-30,38
,UAlbany,44,9-34-1,38
286,Bradley,48,16-32,37
,Penn St.,50,25-25,37
,New Mexico,51,26-25,37
,Princeton,47,24-23,37
290,Florida St.,54,23-31,36
291,Delaware,59,30-29,33
292,Harvard,44,20-24,32
293,Minnesota,52,18-34,31
294,Cornell,35,26-Sep,29
295,Marshall,53,16-37,27
NR,Southern Ind.,55,17-38,94
NR,Merrimack,51,21-30,89
NR,UC San Diego,52,34-18,84
NR,Tarleton St.,52,26-26,73
NR,Queens (NC),55,17-38,67
NR,Stonehill,49,14-35,63
NR,Bellarmine,55,13-42,61
NR,Utah Tech,52,13-39,54
NR,Lindenwood,55,13-42,53
NR,St. Thomas (MN),44,Oct-34,24
