Rank,Name,G,W-L,PO,A,E,PCT
87,Rice,58,21-37,1518,592,56,0.974
88,Ball St.,59,36-23,1513,427,52,0.974
89,Washington St.,52,29-23,1363,465,49,0.974
90,Maryland,63,42-21,1665,610,61,0.974
91,Southern California,58,34-23-1,1542,531,56,0.974
92,ETSU,55,26-29,1386,522,52,0.973
93,Northern Ky.,57,30-27,1494,486,54,0.973
94,Central Mich.,57,34-23,1523,490,55,0.973
95,Penn,50,34-16,1320,398,47,0.973
96,Coastal Carolina,63,42-21,1685,574,62,0.973
97,Wright St.,62,39-23,1617,563,60,0.973
98,Rider,57,36-21,1476,475,54,0.973
99,Stanford,64,44-20,1731,527,63,0.973
100,Eastern Ill.,59,38-21,1554,557,59,0.973
101,Valparaiso,47,20-27,1189,381,44,0.973
102,Santa Clara,56,36-20,1506,514,57,0.973
103,Morehead St.,56,36-20,1433,549,56,0.973
104,San Francisco,47,18-29,1241,493,49,0.973
105,Michigan St.,55,33-22,1432,474,54,0.972
106,George Mason,63,36-27,1667,521,62,0.972
107,Sam Houston,64,39-25,1662,549,63,0.972
108,Saint Mary's (CA),51,23-28,1354,432,51,0.972
109,Ohio,49,19-30,1240,440,48,0.972
110,James Madison,56,31-25,1465,488,56,0.972
111,Southern Miss.,66,46-20,1741,560,66,0.972
112,UC Santa Barbara,55,35-20,1466,450,55,0.972
113,Northwestern St.,56,29-27,1459,449,55,0.972
114,Bowling Green,50,20-30,1268,393,48,0.972
115,Fairfield,55,37-18,1436,500,56,0.972
116,Pittsburgh,55,24-31,1426,474,55,0.972
117,Arizona St.,55,32-23,1452,507,57,0.972
118,Kansas,57,25-32,1475,517,58,0.972
119,Louisiana Tech,59,28-31,1582,570,63,0.972
120,Villanova,51,14-37,1299,441,51,0.972
121,Purdue,53,24-29,1371,504,55,0.972
122,Wagner,56,32-24,1468,505,58,0.971
123,UNCW,57,34-23,1502,535,60,0.971
124,North Dakota St.,53,23-30,1353,445,53,0.971
125,Ohio St.,56,31-25,1443,490,57,0.971
126,St. John's (NY),53,28-25,1390,533,57,0.971
127,Missouri,54,30-24,1347,435,53,0.971
128,Fordham,55,19-36,1433,481,57,0.971
129,Fresno St.,57,30-27,1513,535,61,0.971
130,Ga. Southern,56,27-29,1439,507,58,0.971
131,UTRGV,56,30-26,1458,521,59,0.971
132,Oakland,60,29-31,1571,566,64,0.971
133,San Jose St.,58,31-27,1521,549,62,0.971
134,UNC Asheville,52,26-26,1355,548,57,0.971
135,App State,55,30-25,1437,492,58,0.971
136,Hawaii,49,29-20,1287,490,54,0.971
137,Bradley,48,16-32,1225,387,49,0.97
138,Belmont,60,27-33,1572,493,63,0.97
139,UC Davis,54,17-37,1414,510,59,0.97
140,Maine,53,32-21,1363,459,56,0.97
141,Col. of Charleston,58,36-22,1562,578,66,0.97
142,Middle Tenn.,56,27-29,1467,543,62,0.97
143,Central Conn. St.,50,36-14,1326,485,56,0.97
144,Indiana,63,43-20,1669,548,69,0.97
145,Tulane,61,19-42,1559,526,65,0.97
146,Southeast Mo. St.,56,26-30,1435,420,58,0.97
147,Lipscomb,62,36-26,1618,492,66,0.97
148,UIW,54,28-26,1419,528,61,0.97
149,Eastern Mich.,53,27-26,1390,460,58,0.97
150,Georgia Tech,57,30-27,1494,512,63,0.97
151,Oklahoma,60,32-28,1579,552,67,0.97
152,Minnesota,52,18-34,1393,546,61,0.97
153,Columbia,45,23-22,1162,427,50,0.969
154,Jacksonville,58,34-24,1537,536,66,0.969
155,Coppin St.,52,21-31,1338,451,57,0.969
156,USC Upstate,60,38-22,1606,556,69,0.969
157,Stetson,58,35-23,1482,429,61,0.969
158,Louisville,55,31-24,1444,404,59,0.969
159,California Baptist,58,28-30,1525,603,68,0.969
160,Elon,55,33-22,1465,525,64,0.969
161,Memphis,57,29-28,1490,559,66,0.969
162,Penn St.,50,25-25,1298,463,57,0.969
163,Navy,50,23-27,1246,419,54,0.969
164,Pepperdine,49,19-30,1284,470,57,0.969
165,Illinois St.,50,20-30,1305,412,56,0.968
166,Eastern Ky.,59,29-30,1539,576,69,0.968
167,Central Ark.,54,23-31,1396,442,60,0.968
168,Portland,54,31-23,1420,447,61,0.968
169,Bethune-Cookman,60,33-27,1560,490,67,0.968
170,FDU,53,31-21-1,1404,493,62,0.968
171,West Virginia,60,40-20,1581,587,71,0.968
172,Old Dominion,55,32-23,1473,503,65,0.968
173,FIU,55,21-34,1456,513,65,0.968
174,Georgia St.,59,31-28,1546,505,68,0.968
175,Arkansas St.,51,20-31,1311,435,58,0.968
176,Longwood,54,23-31,1392,470,62,0.968
177,Bryant,50,26-24,1287,420,57,0.968
178,Northwestern,50,Oct-40,1291,487,60,0.967
179,Marshall,53,16-37,1399,497,64,0.967
180,Southeastern La.,50,25-25,1304,441,59,0.967
181,Omaha,49,21-28,1230,387,55,0.967
182,Kent St.,58,42-16,1537,519,70,0.967
183,Georgetown,57,30-27,1474,537,69,0.967
184,Cincinnati,57,24-33,1434,546,68,0.967
185,FGCU,60,42-18,1529,508,70,0.967
186,Nevada,53,20-33,1377,455,63,0.967
187,Miami (OH),56,21-35,1471,444,66,0.967
188,Lehigh,50,24-26,1237,441,58,0.967
189,UCF,59,33-26,1556,525,72,0.967
190,Rhode Island,52,23-29,1350,494,64,0.966
191,SFA,50,22-28,1327,454,62,0.966
192,Fla. Atlantic,59,34-25,1569,441,70,0.966
193,Jackson St.,53,28-25,1313,437,61,0.966
194,Liberty,58,27-31,1485,426,67,0.966
195,Presbyterian,55,21-34,1422,483,67,0.966
196,Little Rock,54,31-23,1405,498,67,0.966
197,UAlbany,44,9-34-1,1100,376,52,0.966
198,UCLA,53,28-24-1,1415,482,67,0.966
199,New Mexico St.,51,14-37,1299,513,64,0.966
200,Richmond,55,27-28,1408,457,66,0.966
201,Seattle U,53,21-32,1353,473,65,0.966
202,Florida St.,54,23-31,1433,505,69,0.966
203,Alabama St.,59,41-18,1544,473,72,0.966
204,Delaware,59,30-29,1525,589,76,0.965
205,ULM,54,17-37,1395,510,69,0.965
206,NJIT,53,22-31,1331,398,63,0.965
207,Harvard,44,20-24,1140,369,55,0.965
208,Murray St.,59,31-28,1528,529,75,0.965
209,South Alabama,54,23-31,1404,460,68,0.965
210,Canisius,52,26-25-1,1313,440,64,0.965
211,California,52,24-28,1351,484,67,0.965
212,William & Mary,57,32-25,1501,525,74,0.965
213,UNC Greensboro,59,25-34,1535,595,78,0.965
214,San Diego St.,53,24-29,1369,405,65,0.965
215,Davidson,54,30-24,1403,478,69,0.965
216,Campbell,61,46-15,1639,547,81,0.964
217,Brown,38,26-Dec,997,350,50,0.964
218,Western Ky.,59,33-26,1550,577,79,0.964
219,Texas Tech,64,41-23,1699,612,86,0.964
220,Utah,55,22-32-1,1438,519,73,0.964
221,Sacramento St.,56,30-26,1456,500,73,0.964
222,UMBC,57,30-27,1438,491,72,0.964
223,Mississippi St.,53,27-26,1359,381,65,0.964
224,Quinnipiac,56,30-26,1456,497,73,0.964
225,Florida A&M,59,29-30,1515,545,77,0.964
226,Monmouth,46,16-30,1206,390,60,0.964
227,Winthrop,56,28-28,1488,495,75,0.964
228,South Dakota St.,52,24-28,1288,456,66,0.964
229,Stony Brook,52,23-29,1369,500,71,0.963
230,Baylor,55,20-35,1460,511,75,0.963
231,Dartmouth,41,Mar-38,1035,384,54,0.963
232,Wichita St.,55,30-25,1422,461,72,0.963
233,North Florida,55,28-27,1439,491,75,0.963
234,UT Arlington,58,29-29,1493,462,76,0.963
235,UC Riverside,52,Nov-41,1341,519,73,0.962
236,Austin Peay,58,26-32,1484,501,78,0.962
237,Cornell,35,26-Sep,887,326,48,0.962
238,UT Martin,56,22-34,1413,481,75,0.962
239,NIU,53,Oct-43,1333,451,71,0.962
240,Towson,56,19-37,1486,594,83,0.962
241,UMass Lowell,55,20-35,1379,450,73,0.962
242,Mount St. Mary's,52,25-27,1340,459,72,0.962
243,Western Caro.,54,21-33,1409,520,78,0.961
244,Saint Louis,56,33-23,1504,548,83,0.961
245,Princeton,47,24-23,1192,428,66,0.961
246,Missouri St.,56,33-23,1505,458,80,0.961
247,Texas St.,59,36-23,1562,468,83,0.961
248,Marist,52,16-36,1292,444,71,0.961
249,Prairie View,57,20-37,1378,547,79,0.961
250,Grambling,55,29-26,1386,509,78,0.96
251,North Ala.,51,14-37,1255,344,66,0.96
252,Sacred Heart,58,28-30,1544,514,85,0.96
253,High Point,54,20-34,1411,497,80,0.96
254,A&M-Corpus Christi,54,24-30,1385,504,80,0.959
255,George Washington,55,21-34,1451,518,84,0.959
256,Tennessee Tech,55,21-34,1405,446,79,0.959
257,Bucknell,47,23-23-1,1142,426,68,0.958
258,Southern U.,51,23-28,1293,477,77,0.958
259,BYU,52,24-28,1349,543,83,0.958
260,Hartford,37,Apr-33,892,337,54,0.958
261,Northern Colo.,45,Nov-34,1071,359,63,0.958
262,Saint Peter's,50,Sep-41,1223,411,72,0.958
263,N.C. A&T,47,19-28,1234,418,73,0.958
264,Siena,55,14-41,1380,496,83,0.958
265,Dayton,60,26-34,1551,522,92,0.958
266,UNLV,51,21-30,1332,504,82,0.957
267,Troy,62,40-22,1623,497,95,0.957
268,VMI,55,26-29,1407,465,84,0.957
269,Purdue Fort Wayne,56,13-43,1424,529,88,0.957
270,St. Bonaventure,48,Aug-40,1173,377,70,0.957
271,Youngstown St.,55,19-36,1395,487,85,0.957
272,Charleston So.,50,22-28,1282,400,76,0.957
273,Akron,55,21-34,1406,469,85,0.957
274,Holy Cross,51,16-35,1218,430,75,0.956
275,Niagara,47,24-22-1,1222,409,76,0.955
276,Iona,51,13-38,1248,427,79,0.955
277,Pacific,49,14-35,1261,409,79,0.955
278,Western Ill.,52,Dec-40,1291,400,80,0.955
279,LIU,55,19-36,1416,455,89,0.955
280,Massachusetts,49,14-35,1238,435,80,0.954
281,Manhattan,56,22-34,1413,474,92,0.954
282,Delaware St.,48,13-35,1226,465,83,0.953
283,Ark.-Pine Bluff,51,18-33,1224,423,83,0.952
284,Kennesaw St.,54,25-29,1398,500,96,0.952
285,Butler,55,Dec-43,1415,515,98,0.952
286,CSU Bakersfield,52,18-34,1338,450,91,0.952
287,UMES,55,18-37,1458,553,103,0.951
288,Lafayette,52,15-37,1251,433,87,0.951
289,Texas Southern,53,31-22,1296,410,90,0.95
290,Houston Christian,48,Nov-37,1228,429,89,0.949
291,Alabama A&M,48,14-34,1139,390,85,0.947
292,Radford,55,Oct-45,1404,480,109,0.945
293,Norfolk St.,51,Sep-42,1269,406,105,0.941
294,Mississippi Val.,52,15-37,1226,354,100,0.94
295,Alcorn,48,Aug-40,1162,390,111,0.933
NR,UC San Diego,52,34-18,1392,449,46,0.976
NR,Tarleton St.,52,26-26,1337,464,54,0.971
NR,St. Thomas (MN),44,Oct-34,1093,368,51,0.966
NR,Merrimack,51,21-30,1327,529,65,0.966
NR,Bellarmine,55,13-42,1363,443,72,0.962
NR,Stonehill,49,14-35,1231,380,72,0.957
NR,Queens (NC),55,17-38,1400,498,91,0.954
NR,Southern Ind.,55,17-38,1378,454,90,0.953
NR,Utah Tech,52,13-39,1299,440,87,0.952
NR,Lindenwood,55,13-42,1358,467,95,0.951
,,,,,,,
      ,,,,,,,
