Rank,Name,G,W-L,2B
,UT Arlington,58,29-29,111
,Belmont,60,27-33,111
,Texas Southern,53,31-22,111
93,Army West Point,56,38-18,110
,Western Mich.,52,21-31,110
95,Milwaukee,57,25-32,109
,Eastern Ill.,59,38-21,109
,UCF,59,33-26,109
,Stetson,58,35-23,109
,Old Dominion,55,32-23,109
100,New Orleans,60,36-24,108
,Northwestern,50,Oct-40,108
,California Baptist,58,28-30,108
,Miami (FL),63,42-21,108
,Long Beach St.,55,33-22,108
,Santa Clara,56,36-20,108
,Arizona St.,55,32-23,108
,Jackson St.,53,28-25,108
,Liberty,58,27-31,108
109,USC Upstate,60,38-22,107
,Columbia,45,23-22,107
,Charlotte,64,36-28,107
112,Texas A&M,65,38-27,106
,Michigan St.,55,33-22,106
114,George Washington,55,21-34,105
,SIUE,54,26-28,105
,Lamar University,55,32-23,105
,Nebraska,57,33-23-1,105
,Georgia,56,29-27,105
,Saint Louis,56,33-23,105
,UC Irvine,55,38-17,105
,Kennesaw St.,54,25-29,105
,Texas St.,59,36-23,105
123,VCU,55,25-30,104
,FDU,53,31-21-1,104
,ETSU,55,26-29,104
,Dayton,60,26-34,104
,Mississippi St.,53,27-26,104
128,CSUN,51,34-17,103
,Morehead St.,56,36-20,103
,Grambling,55,29-26,103
,Cal Poly,56,21-35,103
,Rhode Island,52,23-29,103
,Florida St.,54,23-31,103
,Xavier,64,39-25,103
135,Holy Cross,51,16-35,102
,Harvard,44,20-24,102
,The Citadel,54,23-31,102
,Rutgers,56,33-23,102
,Davidson,54,30-24,102
140,Western Caro.,54,21-33,101
,Towson,56,19-37,101
,Wofford,59,40-19,101
,Northeastern,60,44-16,101
,UNLV,51,21-30,101
145,Washington,55,35-20,100
,Hawaii,49,29-20,100
,Ole Miss,54,25-29,100
,Central Conn. St.,50,36-14,100
,UC Santa Barbara,55,35-20,100
,Utah,55,22-32-1,100
,Georgetown,57,30-27,100
,Stony Brook,52,23-29,100
,Alabama,64,43-21,100
,Oklahoma,60,32-28,100
155,South Carolina,63,42-21,99
,Southern California,58,34-23-1,99
,UTSA,57,38-19,99
,UNC Asheville,52,26-26,99
,Gardner-Webb,56,31-25,99
,Nevada,53,20-33,99
,Louisville,55,31-24,99
,Illinois St.,50,20-30,99
,Bryant,50,26-24,99
,UNCW,57,34-23,99
165,Northwestern St.,56,29-27,98
,Princeton,47,24-23,98
,UC Davis,54,17-37,98
,Saint Joseph's,53,28-24-1,98
,Purdue,53,24-29,98
170,Penn St.,50,25-25,97
,Pepperdine,49,19-30,97
,Pittsburgh,55,24-31,97
,Presbyterian,55,21-34,97
,Tulane,61,19-42,97
,Georgia St.,59,31-28,97
,Houston Christian,48,Nov-37,97
,Fresno St.,57,30-27,97
,Murray St.,59,31-28,97
179,South Dakota St.,52,24-28,96
,Minnesota,52,18-34,96
181,Niagara,47,24-22-1,95
,North Ala.,51,14-37,95
,UTRGV,56,30-26,95
,Radford,55,Oct-45,95
,Lipscomb,62,36-26,95
,Evansville,61,37-24,95
,Marshall,53,16-37,95
,Memphis,57,29-28,95
,UNC Greensboro,59,25-34,95
,Longwood,54,23-31,95
,High Point,54,20-34,95
192,Seattle U,53,21-32,94
,Bucknell,47,23-23-1,94
,Kansas St.,59,35-24,94
,George Mason,63,36-27,94
196,Ohio,49,19-30,93
,Sacred Heart,58,28-30,93
,SFA,50,22-28,93
,Boston College,57,37-20,93
,Lehigh,50,24-26,93
,Iona,51,13-38,93
,Ga. Southern,56,27-29,93
203,Pacific,49,14-35,92
,Michigan,56,28-28,92
,South Fla.,60,21-39,92
,Eastern Ky.,59,29-30,92
,Abilene Christian,59,35-24,92
,Arkansas,61,43-18,92
,Central Mich.,57,34-23,92
,Marist,52,16-36,92
211,Middle Tenn.,56,27-29,91
,Binghamton,52,29-23,91
,Maine,53,32-21,91
,North Florida,55,28-27,91
215,Rice,58,21-37,90
,Manhattan,56,22-34,90
,A&M-Corpus Christi,54,24-30,90
,Seton Hall,55,31-24,90
219,Prairie View,57,20-37,89
,Mount St. Mary's,52,25-27,89
,LIU,55,19-36,89
,Troy,62,40-22,89
,Baylor,55,20-35,89
,CSU Bakersfield,52,18-34,89
,Illinois,52,25-27,89
226,Winthrop,56,28-28,88
,Southeast Mo. St.,56,26-30,88
,Tennessee Tech,55,21-34,88
,LMU (CA),53,29-24,88
,Gonzaga,52,18-34,88
,Lafayette,52,15-37,88
,Toledo,55,26-29,88
233,Missouri,54,30-24,87
,Creighton,49,25-24,87
,Little Rock,54,31-23,87
,New Mexico St.,51,14-37,87
237,Ohio St.,56,31-25,86
,Bradley,48,16-32,86
,Delaware St.,48,13-35,86
,Coppin St.,52,21-31,86
,California,52,24-28,86
242,Notre Dame,54,30-24,85
,Elon,55,33-22,85
,Fordham,55,19-36,85
,William & Mary,57,32-25,85
246,San Diego St.,53,24-29,84
,FIU,55,21-34,84
,UMass Lowell,55,20-35,84
,Central Ark.,54,23-31,84
250,Navy,50,23-27,83
,UIC,53,28-25,83
,San Diego,50,24-25-1,83
,Mercer,58,33-25,83
254,Western Ill.,52,Dec-40,82
,San Francisco,47,18-29,82
,Akron,55,21-34,82
,Canisius,52,26-25-1,82
258,N.C. A&T,47,19-28,81
259,Valparaiso,47,20-27,80
,Omaha,49,21-28,80
,South Alabama,54,23-31,80
,Saint Mary's (CA),51,23-28,80
263,UIW,54,28-26,79
,Butler,55,Dec-43,79
,UMES,55,18-37,79
,Jacksonville,58,34-24,79
267,Massachusetts,49,14-35,78
,Villanova,51,14-37,78
,Southern U.,51,23-28,78
,Siena,55,14-41,78
,NIU,53,Oct-43,78
272,Charleston So.,50,22-28,77
273,Mississippi Val.,52,15-37,76
,Saint Peter's,50,Sep-41,76
275,Cincinnati,57,24-33,74
,UCLA,53,28-24-1,74
277,ULM,54,17-37,72
,UC Riverside,52,Nov-41,72
279,Ark.-Pine Bluff,51,18-33,71
,Bowling Green,50,20-30,71
,Alcorn,48,Aug-40,71
,Alabama A&M,48,14-34,71
283,NJIT,53,22-31,70
,St. Bonaventure,48,Aug-40,70
285,Norfolk St.,51,Sep-42,69
,Northern Colo.,45,Nov-34,69
,Southeastern La.,50,25-25,69
288,UAlbany,44,9-34-1,64
289,Monmouth,46,16-30,63
290,UAB,53,17-36,62
291,Dartmouth,41,Mar-38,60
,Brown,38,26-Dec,60
293,Yale,40,17-23,59
294,Cornell,35,26-Sep,58
295,Hartford,37,Apr-33,44
NR,UC San Diego,52,34-18,113
NR,Queens (NC),55,17-38,102
NR,Tarleton St.,52,26-26,91
NR,Merrimack,51,21-30,79
NR,Bellarmine,55,13-42,78
NR,Utah Tech,52,13-39,77
NR,Southern Ind.,55,17-38,75
NR,Lindenwood,55,13-42,74
NR,Stonehill,49,14-35,71
NR,St. Thomas (MN),44,Oct-34,63
,,,,
      ,,,,
