,Rank,Team,Conference,Record,Road,Neutral,Home,Non Div I
61,62,Cincinnati,Big 12,32-25,10-15,4-2,18-8,0-0
62,63,Lamar University,Southland,44-15,12-9,8-2,24-4,0-0
63,64,California,Pac-12,36-19,10-8,4-4,22-7,0-0
64,65,UNC Greensboro,SoCon,33-21,11-10,0-2,22-9,0-0
65,66,Creighton,Big East,35-17,12-10,5-1,18-6,0-0
66,67,Ohio St.,Big Ten,29-26,11-15,5-3,13-8,0-0
67,68,Virginia Tech,ACC,32-22,10-11,0-2,22-9,0-0
68,69,Nicholls,Southland,34-22,14-11,3-2,17-9,4-0
69,70,South Alabama,Sun Belt,31-25,12-12,1-2,18-11,0-0
70,71,Kansas,Big 12,31-23,8-9,6-6,17-8,0-0
71,72,App State,Sun Belt,33-21,15-11,3-3,15-7,0-0
72,73,VCU,Atlantic 10,38-23,12-13,8-1,18-9,0-0
73,74,Hawaii,Big West,33-16,10-6,0-0,23-10,4-0
74,75,Old Dominion,Sun Belt,31-26,7-12,3-2,21-12,0-0
75,76,Southern California,Pac-12,31-28,12-11,3-7,16-10,0-0
76,77,Rutgers,Big Ten,28-25,15-16,0-0,13-9,0-0
77,78,Sam Houston,CUSA,34-24,10-15,1-2,23-7,0-0
78,79,Notre Dame,ACC,27-25,11-17,0-0,16-8,0-0
79,80,Murray St.,MVC,37-20,17-10,0-2,20-8,0-0
80,81,Miami (FL),ACC,27-30,6-13,2-1,19-16,0-0
81,82,Tulane,AAC,36-26,12-12,5-1,19-13,0-0
82,83,Utah,Pac-12,33-22,14-13,4-1,15-8,0-0
83,84,Kennesaw St.,ASUN,32-24,17-18,1-0,14-6,0-0
84,85,Campbell,CAA,31-22,8-12,1-0,22-10,0-0
85,86,Arizona St.,Pac-12,32-26,11-9,0-5,21-12,0-0
86,87,Michigan,Big Ten,32-28,9-12,4-8,19-8,0-0
87,88,Pittsburgh,ACC,26-29,8-13,6-4,12-12,0-0
88,89,Boston College,ACC,22-31,12-12,3-1,7-18,0-0
89,89,UIC,MVC,34-20,12-10,5-4,17-6,1-0
90,91,Purdue,Big Ten,32-24,9-7,8-4,15-13,1-0
91,92,Samford,SoCon,36-22,10-10,2-2,24-10,0-0
92,93,Grand Canyon,WAC,36-25,16-11,3-4,17-10,0-0
93,94,CSUN,Big West,30-24,15-14,0-0,15-10,0-0
94,95,USC Upstate,Big South,36-24,13-13,0-2,23-9,0-0
95,96,Wichita St.,AAC,32-29,9-15,4-4,19-10,0-0
96,97,Stetson,ASUN,41-22,12-11,1-1,28-10,0-0
97,98,Saint Louis,Atlantic 10,37-16,9-10,6-2,22-4,0-0
98,99,Penn St.,Big Ten,29-24,10-13,8-3,11-8,0-0
99,100,Western Ky.,CUSA,36-22,12-11,2-2,22-9,0-0
100,101,Bowling Green,MAC,33-20,16-15,1-2,16-3,0-0
101,102,Missouri,SEC,23-32,7-16,1-2,15-14,0-0
102,103,Niagara,MAAC,38-17,23-13,3-1,12-3,0-0
103,104,Iowa,Big Ten,29-23,7-12,4-7,18-4,2-0
104,105,Cal Poly,Big West,35-22,11-10,0-0,24-12,0-0
105,106,Michigan St.,Big Ten,24-27,6-8,5-9,13-10,0-0
106,107,Saint Mary's (CA),WCC,34-22,12-13,1-2,21-7,0-0
107,108,Western Caro.,SoCon,28-26,10-11,4-4,14-11,0-0
108,109,Mercer,SoCon,29-29,9-14,3-2,17-13,0-0
109,110,Georgia St.,Sun Belt,25-32,12-15,0-2,13-15,0-0
110,111,Texas St.,Sun Belt,27-29,9-12,3-3,15-14,0-0
111,112,Houston,Big 12,26-28,4-14,2-2,20-12,0-0
112,113,Southeast Mo. St.,OVC,36-27,16-13,4-2,16-12,0-0
113,114,McNeese,Southland,30-27,7-15,3-2,20-10,2-0
114,115,Ball St.,MAC,35-23,15-13,7-4,13-6,0-0
115,116,Air Force,Mountain West,27-28,9-17,4-5,14-6,0-0
116,117,High Point,Big South,35-27,11-12,2-1,22-14,0-0
117,118,UTSA,AAC,32-24,12-9,1-4,19-11,0-0
118,119,Minnesota,Big Ten,24-23,12-12,3-4,9-7,1-0
119,120,William & Mary,CAA,32-26,11-12,2-2,19-12,0-0
120,121,Delaware,CAA,31-26,17-10,3-1,11-15,0-0
121,122,Liberty,CUSA,24-34,7-20,1-0,16-14,0-0
122,123,Bryant,America East,36-21,14-15,2-1,20-5,0-0
123,124,Army West Point,Patriot,31-23,11-8,4-6,16-9,0-0
124,125,Western Mich.,MAC,31-23,15-8,5-10,11-5,1-0
125,126,Columbia,Ivy League,26-18,11-10,0-2,15-6,0-0
126,127,FGCU,ASUN,30-26,11-15,1-1,18-10,0-0
127,128,New Orleans,Southland,28-26,9-13,1-1,18-12,3-0
128,129,California Baptist,WAC,38-24,13-10,4-3,21-11,0-0
129,130,FIU,CUSA,27-30,9-9,2-4,16-17,0-0
130,131,BYU,Big 12,21-31,11-15,1-2,9-14,0-0
131,132,Dayton,Atlantic 10,33-22,15-13,1-2,17-7,0-0
132,133,UC Davis,Big West,29-27,14-16,0-0,15-11,0-0
133,134,Illinois St.,MVC,30-27,15-16,3-4,12-7,0-0
134,135,Missouri St.,MVC,23-34,15-21,0-2,8-11,0-0
135,136,Rider,MAAC,28-23,15-18,1-3,12-2,0-0
136,137,UC San Diego,Big West,30-23,8-13,0-0,22-10,0-0
137,138,New Mexico St.,CUSA,25-29,10-16,0-2,15-11,0-0
138,139,Baylor,Big 12,22-31,5-12,0-3,17-16,0-0
139,140,Saint Joseph's,Atlantic 10,29-26,9-17,3-2,17-7,0-0
140,141,Wright St.,Horizon,32-24,17-15,0-1,15-8,0-0
141,142,Charlotte,AAC,24-34,5-16,1-4,18-14,0-0
142,143,Little Rock,OVC,32-24,15-13,0-2,17-9,0-0
143,144,Northern Ky.,Horizon,33-24,15-18,2-1,16-5,2-0
144,145,Sacred Heart,NEC,35-23,15-17,2-2,18-4,0-0
145,146,South Fla.,AAC,26-29,8-14,0-0,18-15,0-0
146,147,Southeastern La.,Southland,28-28,9-12,1-1,18-15,2-0
147,148,VMI,SoCon,25-29,10-19,1-2,14-8,2-0
148,149,Northwestern,Big Ten,18-34,10-23,0-0,8-11,0-0
149,150,Tarleton St.,WAC,32-29,13-18,5-1,14-10,0-0
150,151,Hofstra,CAA,24-33,10-23,1-2,13-8,0-0
151,152,Rhode Island,Atlantic 10,19-28,9-20,0-0,10-8,0-0
152,153,Abilene Christian,WAC,33-25,13-11,1-3,19-11,0-0
153,154,Austin Peay,ASUN,35-21,15-13,0-1,20-7,0-0
154,155,Southern Ill.,MVC,33-27,11-15,2-2,20-10,0-0
155,156,Stanford,Pac-12,22-33,7-16,2-1,13-16,0-0
156,157,Santa Clara,WCC,26-26,9-16,0-2,17-8,0-0
157,158,Holy Cross,Patriot,26-27,14-24,1-0,11-3,0-0
158,159,Stony Brook,CAA,24-28,8-16,2-4,14-8,0-0
159,160,Washington,Pac-12,19-31,6-18,1-3,12-10,0-0
160,161,Fla. Atlantic,AAC,28-29,7-15,2-2,19-12,0-0
161,162,Fairfield,MAAC,34-24,12-14,2-2,20-8,0-0
162,163,Rice,AAC,23-36,8-16,1-2,14-18,0-0
163,164,George Washington,Atlantic 10,31-26,9-14,1-2,21-10,0-0
164,165,Kent St.,MAC,26-26,13-17,0-2,13-7,1-1
165,166,N.C. A&T,CAA,25-28,9-16,2-1,14-11,0-0
166,167,Morehead St.,OVC,37-24,14-15,4-2,19-7,0-0
167,168,Utah Valley,WAC,25-29,14-17,1-2,10-10,4-0
168,169,Navy,Patriot,28-23,10-13,0-3,18-7,0-0
169,170,Belmont,MVC,26-32,11-13,1-4,14-15,0-0
170,171,San Jose St.,Mountain West,24-33,10-22,2-2,12-9,0-0
171,172,Gonzaga,WCC,21-32,8-23,2-2,11-7,0-0
172,173,ULM,Sun Belt,25-30,8-12,0-0,17-18,0-0
173,174,Massachusetts,Atlantic 10,24-29,12-18,1-7,11-4,0-0
174,175,Penn,Ivy League,24-25,11-17,3-2,10-6,0-0
175,176,Fresno St.,Mountain West,33-29,13-16,4-2,16-11,0-0
176,177,Seton Hall,Big East,24-30,13-12,2-1,9-17,0-0
177,178,Elon,CAA,21-32,4-14,0-0,17-18,0-0
178,179,UMBC,America East,27-25,6-20,2-1,19-4,0-0
179,180,Miami (OH),MAC,27-27,11-12,2-2,14-13,0-0
180,181,UCLA,Pac-12,19-33,4-20,0-2,15-11,0-0
181,182,Princeton,Ivy League,18-26,11-16,0-2,7-8,0-0
182,183,UAB,AAC,26-29,10-15,0-2,16-12,0-0
183,184,Monmouth,CAA,18-30,9-22,1-3,8-5,0-0
184,185,Long Beach St.,Big West,25-29,7-18,0-0,18-11,0-0
185,186,UT Arlington,WAC,22-34,11-20,0-1,11-13,0-0
186,187,Nevada,Mountain West,25-26,13-18,0-0,12-8,0-0
187,188,Northwestern St.,Southland,20-33,6-16,2-4,12-13,2-0
188,189,Charleston So.,Big South,22-32,10-14,0-0,12-18,0-0
189,190,Marshall,Sun Belt,18-37,3-21,1-4,14-12,0-0
190,191,LIU,NEC,33-25,9-19,4-2,20-4,0-0
191,192,Bucknell,Patriot,22-24,6-16,4-2,12-6,0-0
192,193,UIW,Southland,26-31,7-18,2-3,17-10,0-0
193,194,Washington St.,Pac-12,21-32,8-17,2-1,11-14,0-0
194,195,Toledo,MAC,27-32,14-22,2-2,11-8,0-0
195,196,Butler,Big East,20-35,13-14,2-3,5-18,0-0
196,197,Presbyterian,Big South,29-27,8-12,1-2,20-13,0-0
197,198,Fordham,Atlantic 10,19-33,7-19,1-3,11-11,0-0
198,199,UTRGV,WAC,29-25,10-11,2-2,17-12,0-0
199,200,Oakland,Horizon,29-27,17-20,0-2,12-5,2-0
200,201,Memphis,AAC,23-32,10-15,0-0,13-17,0-0
201,202,New Mexico,Mountain West,27-26,8-12,2-4,17-10,1-0
202,203,Jacksonville,ASUN,27-31,8-16,2-2,17-13,0-0
203,204,Jacksonville St.,CUSA,18-34,7-17,0-0,11-17,0-0
204,205,St. Thomas (MN),Summit League,21-24,14-16,2-4,5-4,1-0
