"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2001,"Southern California",3.46,45,19,64,64,10,9,3,13,576.2,540,268,222,209,605,90,11,27,2154,.251,65,47,8,26,28
2001,"Southern Illinois",6.07,19,36,55,55,3,1,1,5,467.1,593,380,315,189,305,113,17,55,1908,.311,39,46,14,14,27
2001,"Stanford",3.50,51,17,68,68,8,8,5,23,607.1,535,268,236,209,530,113,6,43,2228,.240,52,65,17,14,45
2001,"St. Louis",6.01,21,32,53,53,12,1,0,6,455.1,570,357,304,191,348,104,18,43,1843,.309,33,45,11,18,28
2001,"St. Mary's",6.69,17,33,50,50,5,1,1,10,430.2,579,379,320,180,272,101,7,55,1801,.321,39,40,9,21,25
2001,"Stony Brook",5.02,35,16,51,51,6,2,1,9,432.0,438,314,241,256,403,78,14,34,1694,.259,70,29,4,15,21
2001,"Temple",5.71,27,31,58,58,15,4,1,4,458.2,545,356,291,205,308,107,11,34,1845,.295,41,56,10,26,31
2001,"Texas Christian",5.39,32,28,60,60,3,3,2,8,514.0,608,350,308,155,405,137,16,43,2059,.295,37,58,15,25,39
2001,"Texas",3.17,36,26,62,62,16,4,2,8,556.0,552,276,196,139,479,85,11,37,2157,.256,24,61,15,15,34
2001,"Texas-Pan American",6.35,12,40,52,52,2,0,0,7,414.0,471,389,292,264,287,98,17,43,1629,.289,57,91,3,23,28
2001,"Texas Tech",4.24,42,20,64,64,15,4,3,10,562.1,588,306,265,147,424,104,9,35,2183,.269,26,56,8,20,33
2001,"Toledo",7.55,26,29,55,55,10,2,0,7,451.2,635,462,379,233,356,110,10,89,1925,.330,54,49,7,15,28
2001,"Tulane",4.48,56,13,69,69,3,2,1,14,619.0,648,387,308,303,493,122,14,52,2400,.270,65,64,14,24,30
2001,"UCLA",4.75,30,27,57,57,1,0,0,12,515.2,569,341,272,232,372,110,5,43,2015,.282,63,45,12,26,31
2001,"UC Santa Barbara",4.39,40,17,57,57,8,1,1,11,514.2,559,316,251,181,407,85,12,29,2005,.279,34,55,15,23,39
2001,"Utah",6.32,27,29,56,56,3,1,1,9,481.0,600,390,338,216,371,122,20,41,1938,.310,49,61,11,25,25
2001,"Villanova",5.64,25,25,51,51,6,2,1,5,424.2,495,308,266,207,311,102,26,37,1690,.293,45,28,8,9,35
2001,"Virginia Commonwealth",4.03,41,18,60,60,5,4,3,10,533.1,561,292,239,181,447,96,7,43,2088,.269,43,37,4,20,22
