,Rank,Team,Conference
132,133,Illinois-Chicago,Horiz
133,134,Nevada,WAC
134,135,Bethune-Cookman,MEAC
135,136,New Mexico,MWC
136,137,San Diego State,MWC
137,138,Northwestern State,Sthland
138,139,Illinois,Big10
139,140,Cincinnati,BigEast
140,141,Alabama-Birmingham,ConfUSA
141,142,Jacksonville State,OVC
142,143,Arkansas State,SBC
143,144,UT Pan American,IndyNCAA
144,145,Dayton,Atl10
145,146,George Mason,CAA
146,147,South Florida,BigEast
147,148,Michigan State,Big10
148,149,Northwestern,Big10
149,150,BYU,MWC
150,151,UNC Asheville,BigSou
151,152,Wright State,Horiz
152,153,Kennesaw State,AtlSun
153,154,Harvard,Ivy
154,155,Northern Iowa,MVC
155,156,Bucknell,Patriot
156,157,Army,Patriot
157,158,Delaware,CAA
158,159,Navy,Patriot
159,160,St. Mary's CA,WCC
160,161,George Washington,Atl10
161,162,Maine,AmEast
162,163,Marshall,ConfUSA
163,164,Eastern Michigan,MAC
164,165,Appalachian State,SoCon
165,166,VMI,BigSou
166,167,Illinois State,MVC
167,168,William and Mary,CAA
168,169,New York Tech,IndyNCAA
169,170,Toledo,MAC
170,171,St. Bonaventure,Atl10
171,172,Eastern Illinois,OVC
172,173,Southeastern Louisiana,Sthland
173,174,Gardner-Webb,AtlSun
174,175,Belmont,AtlSun
175,176,Penn State,Big10
176,177,Western Kentucky,SBC
177,178,UC Davis,IndyNCAA
178,179,Hofstra,CAA
179,180,Charleston Southern,BigSou
180,181,Iowa,Big10
181,182,Pittsburgh,BigEast
182,183,Yale,Ivy
183,184,Villanova,BigEast
184,185,Dartmouth,Ivy
185,186,Towson,CAA
186,187,Northern Illinois,MAC
187,188,Austin Peay,OVC
188,189,Binghamton,AmEast
189,190,Marist,MAAC
190,191,Brown,Ivy
191,192,Bradley,MVC
192,193,Duke,ACC
193,194,Quinnipiac,NEC
194,195,New Mexico State,WAC
195,196,Arkansas-Little Rock,SBC
196,197,Sacramento State,WAC
197,198,Central Connecticut State,NEC
198,199,Lehigh,Patriot
199,200,Milwaukee,Horiz
200,201,Richmond,Atl10
201,202,Davidson,SoCon
202,203,Bowling Green,MAC
203,204,Portland,WCC
204,205,Campbell,AtlSun
205,206,Niagara,MAAC
206,207,Siena,MAAC
207,208,Wofford,SoCon
208,209,Utah,MWC
209,210,Texas A&M-Corpus Christi,IndyNCAA
210,211,Georgetown,BigEast
211,212,Stony Brook,AmEast
212,213,Monmouth,NEC
213,214,Sam Houston State,Sthland
214,215,Lafayette,Patriot
215,216,Lipscomb,AtlSun
216,217,Indiana,Big10
217,218,Eastern Kentucky,OVC
218,219,Ohio,MAC
219,220,Southeast Missouri State,OVC
220,221,Holy Cross,Patriot
221,222,Princeton,Ivy
222,223,Indiana State,MVC
223,224,Seton Hall,BigEast
224,225,Rider,MAAC
225,226,Fordham,Atl10
226,227,Northern Colorado,IndyNCAA
227,228,Louisiana-Monroe,Sthland
228,229,Longwood,IndyNCAA
229,230,Fairfield,MAAC
230,231,Xavier,Atl10
231,232,Sacred Heart,NEC
232,233,Southern,SWAC
233,234,Youngstown State,Horiz
234,235,Western Illinois,MCC
235,236,Vermont,AmEast
236,237,Savannah State,IndyNCAA
237,238,Southern Utah,MCC
238,239,Albany,AmEast
239,240,Nicholls State,Sthland
240,241,Duquesne,Atl10
241,242,Mississippi Valley State,SWAC
242,243,Centenary-LA,MCC
243,244,Wagner,NEC
244,245,Stephen F. Austin,Sthland
245,246,LaSalle,Atl10
246,247,Prairie View A&M,SWAC
247,248,Mount St. Mary's,NEC
248,249,Buffalo,MAC
249,250,Butler,Horiz
250,251,Tennessee-Martin,OVC
251,252,Norfolk State,MEAC
252,253,Utah Valley,IndyNCAA
253,254,Oakland,MCC
254,255,Jackson State,SWAC
255,256,Akron,MAC
256,257,Massachusetts,Atl10
257,258,UMBC,AmEast
258,259,Murray State,OVC
259,260,Tennessee Tech,OVC
260,261,North Carolina A&T,MEAC
261,262,Alcorn State,SWAC
262,263,Delaware State,MEAC
263,264,Hartford,AmEast
264,265,IPFW,IndyNCAA
265,266,Hawaii-Hilo,IndyNCAA
266,267,Cleveland State,Horiz
267,268,Cornell,Ivy
268,269,Radford,BigSou
269,270,Columbia,Ivy
270,271,UMES,MEAC
271,272,Saint Joseph's,Atl10
272,273,Canisius,MAAC
273,274,Iona,MAAC
274,275,North Dakota State,IndyNCAA
275,276,Penn,Ivy
276,277,Arkansas-Pine Bluff,SWAC
277,278,Morehead State,OVC
278,279,Florida A&M,MEAC
279,280,South Dakota State,IndyNCAA
280,281,Texas Southern,SWAC
281,282,Air Force,MWC
282,283,Long Island,NEC
283,284,Valparaiso,MCC
284,285,Coppin State,MEAC
285,286,Temple,Atl10
286,287,St. Peter's,MAAC
287,288,Chicago State,MCC
288,289,Fairleigh Dickinson,NEC
289,290,St. Francis,NEC
290,291,Grambling State,SWAC
291,292,Alabama State,SWAC
292,293,Alabama A&M,SWAC
