Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
67,Ohio St.,55,29-26,1859,520,312,81,29,9,0.4
68,Cincinnati,57,32-25,1948,544,320,91,27,12,0.4
69,Florida A&M,56,29-27,1909,575,283,46,23,24,0.4
70,Penn St.,53,29-24,1822,557,246,61,32,6,0.4
71,UNLV,52,26-26,1840,551,242,80,23,9,0.4
72,Kansas,54,31-23,1858,551,276,63,31,16,0.399
73,Clemson,60,44-16,2107,627,305,70,27,21,0.399
74,Kentucky,62,46-16,2011,567,296,117,31,45,0.399
75,Saint Louis,53,37-16,1852,560,247,71,30,12,0.399
76,East Carolina,63,46-17,2174,671,265,85,35,46,0.399
77,New Orleans,57,31-26,1915,559,290,70,31,19,0.399
78,San Diego,56,41-15,2008,604,258,82,25,49,0.398
79,George Washington,57,31-26,1977,594,255,81,25,40,0.398
80,NC State,61,38-23,2086,600,334,62,22,22,0.398
81,Alabama,57,33-24,1961,592,225,107,31,14,0.398
82,LSU,66,43-23,2202,626,332,98,25,13,0.397
83,Delaware,57,31-26,1999,559,337,69,24,2,0.397
84,Southeast Mo. St.,63,36-27,2155,625,310,90,28,52,0.397
85,FIU,57,27-30,1937,568,251,96,23,27,0.397
86,Longwood,52,23-29,1660,445,263,106,25,47,0.396
87,Ark.-Pine Bluff,49,15-34,1616,472,218,71,18,21,0.396
88,UC Santa Barbara,58,44-14,2020,598,251,95,20,21,0.396
89,Army West Point,54,31-23,1672,458,270,82,24,34,0.396
90,Mount St. Mary's,57,22-34-1,1920,518,295,121,29,46,0.395
91,Penn,49,24-25,1753,504,252,70,17,8,0.395
92,Grand Canyon,61,36-25,2133,667,255,54,30,31,0.395
93,Southern Miss.,63,43-20,2145,631,284,89,25,21,0.395
94,Rider,51,28-23,1746,465,310,76,24,19,0.395
95,UIC,55,35-20,1866,541,282,57,25,29,0.395
96,Indiana,60,33-26-1,2117,625,288,84,38,9,0.395
97,Davidson,52,24-28,1723,474,269,82,18,14,0.394
98,Mercer,58,29-29,1946,550,283,93,27,47,0.394
99,Louisiana Tech,64,45-19,2260,670,284,98,33,22,0.393
100,Western Caro.,54,28-26,1869,545,256,70,20,34,0.393
101,VCU,61,38-23,2106,582,306,120,32,25,0.393
102,UMBC,52,27-25,1785,480,289,91,24,7,0.393
103,Quinnipiac,50,20-30,1668,448,286,70,23,28,0.393
104,Jacksonville,58,27-31,1923,521,326,73,25,30,0.392
105,Stetson,63,41-22,2104,608,301,71,25,11,0.392
106,Murray St.,57,37-20,2006,591,289,55,37,6,0.392
107,Eastern Mich.,52,14-38,1796,539,217,65,19,21,0.392
108,UTSA,56,32-24,1958,590,198,113,33,17,0.391
109,LMU (CA),54,24-30,1839,504,235,134,24,9,0.391
110,James Madison,61,36-25,2016,599,264,66,31,55,0.391
111,LIU,58,33-25,1950,530,298,97,22,28,0.391
112,Nebraska,62,40-22,2107,607,282,89,26,44,0.391
113,Delaware St.,49,22-27,1724,492,260,51,22,6,0.39
114,Auburn,53,27-26,1733,478,278,65,29,19,0.39
115,Holy Cross,53,26-27,1684,426,295,98,23,11,0.39
116,Minnesota,48,25-23,1688,477,247,62,19,18,0.39
117,Abilene Christian,58,33-25,1900,536,274,87,40,31,0.39
118,Portland,56,37-19,1979,582,244,83,26,12,0.39
119,Miami (OH),54,27-27,1863,525,257,97,40,30,0.389
120,Southern Ill.,60,33-27,2097,600,323,51,30,17,0.389
121,UTRGV,54,29-25,1837,525,251,79,30,18,0.389
122,Bryant,57,36-21,1916,533,253,106,21,33,0.389
123,FDU,56,26-30,1897,523,288,74,21,26,0.388
124,Western Ky.,58,36-22,1801,498,249,99,31,78,0.388
125,Navy,51,28-23,1627,449,222,89,21,16,0.388
126,Tulane,62,36-26,2112,589,298,98,34,31,0.387
127,CSUN,54,30-24,1830,507,251,91,20,55,0.387
128,DBU,60,45-15,2074,625,238,68,24,18,0.387
129,Richmond,59,27-32,2002,574,250,93,24,26,0.387
130,Mississippi St.,63,40-23,2094,586,310,71,25,28,0.387
131,Southeastern La.,58,30-28,1943,548,261,86,25,10,0.387
132,Wichita St.,61,32-29,2092,600,238,116,22,30,0.387
133,UNCW,61,40-21,2083,581,299,83,27,31,0.386
134,St. John's (NY),57,38-18-1,1951,555,262,83,33,31,0.386
135,South Fla.,55,26-29,1816,520,250,59,21,27,0.386
136,Louisiana,62,42-20,2092,630,216,89,24,28,0.386
137,Lamar University,59,44-15,2015,574,286,72,41,20,0.386
138,Michigan St.,51,24-27,1772,519,230,49,21,21,0.385
139,Ga. Southern,59,33-26,1954,545,272,83,28,33,0.385
140,Coppin St.,45,Dec-33,1511,362,273,97,20,10,0.385
141,Utah,55,33-22,1923,555,232,84,23,33,0.385
142,Missouri St.,57,23-34,1974,547,299,58,19,16,0.385
143,Maryland,56,34-22,1909,519,272,91,21,18,0.385
144,Alabama A&M,51,13-38,1597,414,240,99,22,17,0.385
145,Central Conn. St.,42,18-24,1506,442,197,35,16,20,0.384
146,Air Force,55,27-28,1854,531,224,83,20,30,0.384
147,Sacred Heart,58,35-23,1939,533,274,80,16,41,0.384
148,Liberty,58,24-34,1973,542,291,74,24,21,0.384
149,UIW,57,26-31,1927,547,249,77,22,14,0.384
150,Houston,54,26-28,1831,510,256,66,17,14,0.383
151,Kennesaw St.,56,32-24,1876,529,266,57,24,31,0.383
152,UNC Greensboro,54,33-21,1843,524,234,77,25,35,0.383
153,Sam Houston,58,34-24,1957,569,271,37,26,18,0.383
154,California,55,36-19,1915,559,232,60,20,15,0.382
155,Fresno St.,62,33-29,2121,615,217,117,29,31,0.382
156,Tennessee Tech,55,29-26,1852,506,294,46,26,21,0.381
157,Lipscomb,56,22-34,1842,486,273,91,23,14,0.381
158,Illinois St.,57,30-27,1955,570,217,81,25,25,0.381
159,Ball St.,59,35-23-1,2006,586,238,65,26,25,0.381
160,Arkansas,60,44-16,1977,535,300,68,28,15,0.381
161,Oregon,60,40-20,2042,575,254,87,25,28,0.38
162,Texas St.,56,27-29,1856,502,275,74,33,19,0.38
163,Manhattan,52,22-30,1723,451,277,69,29,24,0.38
164,Xavier,57,30-27,1956,531,278,77,23,18,0.38
165,Lehigh,48,24-23-1,1520,398,225,73,16,14,0.379
166,Wagner,56,26-30,1901,493,294,93,31,21,0.379
167,Kent St.,54,27-27,1830,480,273,87,24,6,0.379
168,Saint Mary's (CA),56,34-22,1928,570,228,50,31,14,0.379
169,Boston College,53,22-31,1737,466,258,62,19,42,0.379
170,Texas,60,36-24,2076,598,250,65,22,31,0.378
171,Saint Joseph's,55,29-26,1899,528,257,64,24,15,0.378
172,Florida,66,36-30,2254,608,284,119,18,20,0.378
173,Hofstra,57,24-33,1996,589,223,57,25,26,0.378
174,Cal Poly,57,35-22,1976,579,206,77,25,48,0.377
175,Michigan,60,32-28,2040,523,304,104,22,29,0.377
176,Miami (FL),57,27-30,1934,532,274,55,23,18,0.377
177,Elon,53,21-32,1788,489,250,57,19,10,0.377
178,Cornell,38,17-21,1364,393,144,55,10,16,0.376
179,Georgia St.,57,25-32,1959,551,267,42,19,12,0.376
180,Vanderbilt,61,38-23,2026,579,233,72,22,22,0.376
181,Kansas St.,61,35-26,2094,569,321,39,23,26,0.375
182,ULM,55,25-30,1804,493,216,89,19,40,0.375
183,UNC Asheville,50,22-28,1689,456,241,58,26,15,0.375
184,South Dakota St.,49,20-29,1719,487,187,78,26,13,0.374
185,NJIT,54,26-28,1905,520,252,69,23,23,0.374
186,Memphis,55,23-32,1876,477,284,85,18,12,0.374
187,Presbyterian,56,29-27,1779,466,269,70,36,36,0.374
188,Central Ark.,56,26-30,1832,477,243,109,35,27,0.374
189,Butler,55,20-35,1943,548,230,68,24,23,0.374
190,George Mason,53,21-32,1792,507,181,93,27,40,0.373
191,California Baptist,62,38-24,2109,604,211,93,21,30,0.373
192,Massachusetts,53,24-29,1769,471,226,82,15,30,0.372
193,Nevada,51,25-26,1809,532,204,39,31,19,0.372
194,UCF,58,37-21,1983,559,234,62,21,42,0.372
195,UConn,61,35-26,2069,561,250,90,15,25,0.372
196,Jacksonville St.,52,18-34,1730,446,226,101,24,22,0.371
197,Ole Miss,56,27-29,1827,466,301,56,34,8,0.371
198,North Dakota St.,51,20-30-1,1746,458,223,83,12,27,0.37
199,Northern Colo.,55,16-38-1,1858,495,229,91,24,13,0.37
200,Oral Roberts,60,27-32-1,2048,554,291,47,25,23,0.37
201,UAlbany,50,15-34-1,1584,385,262,72,27,11,0.37
202,South Alabama,56,31-25,1781,440,270,84,15,48,0.369
203,McNeese,59,32-27,1982,547,231,77,26,27,0.369
204,Brown,39,28-Nov,1291,325,201,49,17,15,0.369
205,UMass Lowell,55,24-31,1913,528,240,52,17,8,0.369
206,St. Bonaventure,49,18-31,1678,466,193,62,21,18,0.369
207,Fla. Atlantic,57,28-29,1859,481,276,61,21,22,0.369
208,Baylor,53,22-31,1797,491,222,62,21,21,0.369
209,West Virginia,60,36-24,2004,541,261,68,27,32,0.369
210,Marist,55,20-35,1821,482,251,61,21,18,0.369
211,Ohio,50,18-32,1706,467,208,58,18,22,0.368
212,SIUE,56,21-34-1,1902,533,211,72,31,29,0.368
213,Akron,54,15-39,1797,449,234,114,22,22,0.368
214,N.C. A&T,53,25-28,1807,494,200,86,28,28,0.368
215,Northwestern St.,55,22-33,1818,476,245,70,18,24,0.368
216,UAB,55,26-29,1831,471,264,67,21,29,0.367
217,Notre Dame,52,27-25,1747,468,210,75,18,22,0.367
218,Charleston So.,54,22-32,1812,471,229,89,22,17,0.367
219,Radford,50,16-34,1644,431,233,47,16,20,0.366
220,Stanford,55,22-33,1899,537,206,56,20,26,0.366
221,Toledo,59,27-32,2008,530,273,70,32,17,0.366
222,Eastern Ill.,53,20-33,1858,529,211,45,29,35,0.366
223,UCLA,52,19-33,1770,467,237,60,21,24,0.366
224,Santa Clara,52,26-26,1814,480,227,67,11,24,0.365
225,Maine,49,Dec-37,1588,414,208,66,23,24,0.365
226,TCU,54,33-21,1804,488,220,65,29,25,0.365
227,Sacramento St.,57,26-31,1936,511,242,79,24,20,0.365
228,Bradley,51,13-37-1,1672,450,189,72,18,23,0.364
229,Harvard,39,13-26,1384,394,144,37,14,11,0.364
230,Siena,52,Dec-40,1700,437,248,51,24,9,0.364
231,Arkansas St.,54,21-32-1,1768,450,236,79,21,37,0.364
232,Purdue Fort Wayne,56,19-37,1884,511,228,56,24,24,0.363
233,Gardner-Webb,53,22-31,1730,443,234,60,9,27,0.363
234,Arizona,59,36-23,2050,569,232,55,25,22,0.362
235,Dartmouth,39,13-26,1340,354,172,41,12,15,0.362
236,Villanova,51,18-33,1731,432,226,89,20,20,0.362
237,Valparaiso,52,14-38,1745,452,227,64,19,10,0.362
238,Omaha,51,18-32-1,1751,464,211,65,22,35,0.361
239,Southern California,59,31-28,2015,553,216,74,32,34,0.361
240,Charlotte,58,24-34,1906,493,263,53,21,11,0.361
241,A&M-Corpus Christi,57,22-35,1917,535,210,50,29,43,0.36
242,Missouri,55,23-32,1822,461,226,88,15,23,0.36
243,UT Martin,56,21-35,1942,544,218,39,25,23,0.36
244,Pepperdine,53,15-38,1804,476,215,73,30,16,0.36
245,Canisius,48,18-30,1607,398,222,66,11,14,0.36
246,San Jose St.,57,24-33,1999,528,239,72,22,10,0.36
247,NIU,54,21-33,1809,467,250,50,23,18,0.36
248,Winthrop,49,19-29-1,1567,403,172,86,13,28,0.36
249,Central Mich.,55,17-38,1826,471,212,88,21,19,0.359
250,Western Ill.,50,13-37,1663,416,219,69,10,15,0.359
251,Rhode Island,47,19-28,1549,374,218,75,16,21,0.359
252,Eastern Ky.,58,21-37,1926,517,232,55,28,7,0.359
253,Stony Brook,52,24-28,1758,458,204,76,20,16,0.359
254,Mississippi Val.,46,Dec-34,1455,393,155,56,19,4,0.358
255,Washington St.,53,21-32,1860,503,196,70,20,13,0.358
256,Yale,41,18-23,1328,341,170,49,16,45,0.358
257,Monmouth,48,18-30,1650,437,180,69,17,26,0.358
258,BYU,52,21-31,1783,448,242,63,23,16,0.357
259,San Francisco,55,21-34,1764,412,232,115,17,13,0.357
260,UC Riverside,52,16-36,1804,492,186,57,15,28,0.356
261,Milwaukee,55,19-36,1850,498,201,63,24,24,0.356
262,Binghamton,50,21-29,1723,463,202,46,25,30,0.356
263,Youngstown St.,60,16-44,1998,539,212,62,19,18,0.355
264,Little Rock,56,32-24,1951,532,211,47,20,5,0.354
265,Lafayette,49,14-35,1515,369,198,70,17,31,0.354
266,North Florida,52,21-30-1,1709,421,230,64,21,8,0.353
267,Fordham,52,19-33,1727,441,195,75,18,20,0.353
268,Saint Peter's,52,Dec-40,1713,434,213,61,23,22,0.352
269,Iona,50,Dec-38,1702,440,189,65,19,17,0.351
270,Towson,54,15-39,1842,493,194,50,12,34,0.351
271,Seattle U,53,17-36,1807,475,204,48,17,27,0.35
272,Middle Tenn.,56,20-36,1908,534,170,45,18,28,0.35
273,UT Arlington,56,22-34,1869,485,217,55,24,14,0.35
274,Princeton,44,18-26,1524,388,183,44,10,11,0.349
275,Old Dominion,57,31-26,1861,464,216,80,20,19,0.349
276,San Diego St.,54,17-37,1856,498,180,60,20,19,0.349
277,Seton Hall,54,24-30,1820,478,173,73,11,35,0.349
278,Belmont,58,26-32,1966,507,231,52,20,12,0.348
279,Houston Christian,49,18-31,1590,419,163,53,25,7,0.347
280,North Ala.,54,18-35-1,1799,454,213,58,23,12,0.346
281,The Citadel,53,21-32,1733,456,156,72,18,32,0.346
282,Rice,59,23-36,2001,502,244,55,21,30,0.345
283,Alcorn,49,Jun-43,1511,393,157,45,20,21,0.343
284,Cal St. Fullerton,54,16-38,1780,431,211,70,14,46,0.343
285,Long Beach St.,55,25-29-1,1827,447,217,68,26,31,0.342
286,CSU Bakersfield,53,15-38,1813,471,170,61,13,55,0.341
287,Gonzaga,53,21-32,1788,449,186,69,21,16,0.341
288,Northwestern,52,18-34,1751,422,224,51,18,26,0.341
289,Norfolk St.,53,Dec-41,1849,470,201,47,14,4,0.34
290,Washington,51,19-31-1,1781,442,215,37,15,12,0.339
291,Marshall,55,18-37,1814,422,228,54,17,14,0.333
292,SFA,54,Oct-44,1765,437,170,54,14,16,0.33
293,UC Davis,56,29-27,1926,491,163,47,20,43,0.325
294,Pacific,55,Nov-44,1799,387,244,54,14,11,0.324
295,UMES,48,0-48,1541,343,177,56,4,37,0.324
296,St. Thomas (MN),46,22-24,1641,487,209,48,16,24,0.389
297,Stonehill,47,18-29,1649,462,236,71,25,29,0.388
298,Tarleton St.,61,32-29,2051,586,255,91,22,35,0.385
299,Southern Ind.,59,27-32,1984,554,262,86,30,41,0.382
300,UC San Diego,53,30-23,1795,480,234,92,25,30,0.376
301,Le Moyne,50,22-27-1,1688,425,260,65,18,13,0.369
302,Queens (NC),55,14-41,1851,493,236,64,17,14,0.366
303,Bellarmine,55,Oct-45,1793,487,190,52,16,13,0.355
304,Utah Tech,56,14-42,1845,466,212,57,12,31,0.346
305,Lindenwood,54,16-38,1813,461,191,62,27,16,0.341
,,,,,,,,,,
      ,,,,,,,,,,
