Rank,Name,G,W-L,2B
72,California,55,36-19,114
73,Little Rock,56,32-24,114
74,Virginia Tech,54,32-22,114
75,Southern California,59,31-28,113
76,Stetson,63,41-22,113
77,Illinois St.,57,30-27,113
78,Georgetown,57,36-21,113
79,UC Riverside,52,16-36,113
80,San Diego,56,41-15,112
81,McNeese,59,32-27,112
82,Indiana St.,59,44-15,112
83,Milwaukee,55,19-36,112
84,Merrimack,59,33-26,111
85,Ball St.,59,35-23-1,111
86,Iowa,54,31-23,111
87,Georgia St.,57,25-32,111
88,Eastern Ky.,58,21-37,111
89,USC Upstate,60,36-24,110
90,New Orleans,57,31-26,110
91,Penn St.,53,29-24,110
92,UMass Lowell,55,24-31,110
93,Mercer,58,29-29,110
94,Abilene Christian,58,33-25,110
95,UIC,55,35-20,110
96,Stanford,55,22-33,110
97,UIW,57,26-31,109
98,Utah,55,33-22,109
99,Lamar University,59,44-15,109
100,Fairfield,58,34-24,109
101,Hofstra,57,24-33,109
102,Creighton,52,35-17,109
103,Ohio St.,55,29-26,108
104,Richmond,59,27-32,108
105,San Diego St.,54,17-37,108
106,Dayton,55,33-22,108
107,Arizona,59,36-23,108
108,UC Davis,56,29-27,108
109,Utah Valley,58,29-29,108
110,New Mexico St.,54,25-29,107
111,NC State,61,38-23,107
112,Oregon,60,40-20,107
113,UC Santa Barbara,58,44-14,107
114,Sam Houston,58,34-24,107
115,Southeast Mo. St.,63,36-27,107
116,Saint Louis,53,37-16,107
117,Hawaii,53,37-16,106
118,Saint Mary's (CA),56,34-22,106
119,Murray St.,57,37-20,106
120,Penn,49,24-25,105
121,Alabama,57,33-24,105
122,Air Force,55,27-28,105
123,NJIT,54,26-28,104
124,Niagara,55,38-17,104
125,Sacred Heart,58,35-23,104
126,South Fla.,55,26-29,104
127,Houston,54,26-28,104
128,Western Ky.,58,36-22,104
129,Minnesota,48,25-23,104
130,App State,55,33-21-1,104
131,UTSA,56,32-24,104
132,Campbell,53,31-22,103
133,FDU,56,26-30,103
134,Clemson,60,44-16,103
135,VMI,56,27-29,102
136,Purdue Fort Wayne,56,19-37,102
137,Ga. Southern,59,33-26,102
138,Xavier,57,30-27,102
139,Missouri St.,57,23-34,101
140,Mississippi St.,63,40-23,101
141,UMBC,52,27-25,101
142,Longwood,52,23-29,101
143,Jackson St.,56,36-20,101
144,Notre Dame,52,27-25,100
145,Michigan St.,51,24-27,100
146,George Mason,53,21-32,100
147,FIU,57,27-30,99
148,East Carolina,63,46-17,99
149,N.C. A&T,53,25-28,99
150,Kansas St.,61,35-26,99
151,Eastern Mich.,52,14-38,99
152,West Virginia,60,36-24,99
153,Memphis,55,23-32,98
154,Kent St.,54,27-27,98
155,San Jose St.,57,24-33,98
156,Kennesaw St.,56,32-24,98
157,Western Mich.,55,32-23,97
158,South Carolina,62,37-25,97
159,Washington St.,53,21-32,97
160,Grambling,54,26-28,96
161,Stony Brook,52,24-28,96
162,SIUE,56,21-34-1,96
163,Southeastern La.,58,30-28,96
164,Rice,59,23-36,96
165,Prairie View,55,29-26,96
166,Middle Tenn.,56,20-36,96
167,Binghamton,50,21-29,95
168,Army West Point,54,31-23,95
169,Rutgers,53,28-25,95
170,Tennessee Tech,55,29-26,95
171,Oral Roberts,60,27-32-1,95
172,Villanova,51,18-33,95
173,Radford,50,16-34,94
174,Texas St.,56,27-29,94
175,Auburn,53,27-26,94
176,South Dakota St.,49,20-29,94
177,Maryland,56,34-22,94
178,Seattle U,53,17-36,94
179,NIU,54,21-33,94
180,Mount St. Mary's,57,22-34-1,94
181,Jacksonville St.,52,18-34,94
182,Butler,55,20-35,94
183,North Ala.,54,18-35-1,94
184,Marist,55,20-35,94
185,Ark.-Pine Bluff,49,15-34,94
186,LIU,58,33-25,93
187,UNCW,61,40-21,93
188,LMU (CA),54,24-30,93
189,Sacramento St.,57,26-31,93
190,Pacific,55,Nov-44,93
191,Arkansas,60,44-16,93
192,Bradley,51,13-37-1,93
193,Bucknell,46,22-24,93
194,Long Beach St.,55,25-29-1,93
195,Saint Joseph's,55,29-26,93
