Rank,Name,IP,W-L,BB,HA,WHIP
252,Jacksonville St.,447,18-34,255,572,1.85
253,Bucknell,362,22-24,258,412,1.85
254,Georgia St.,487.1,25-32,349,553,1.85
255,New Mexico,462,28-26,240,617,1.85
256,Cornell,331,17-21,232,382,1.85
257,UAlbany,404.1,15-34-1,243,508,1.86
258,Houston Christian,401.1,18-31,278,469,1.86
259,Eastern Ky.,481.2,21-37,343,560,1.87
260,NIU,455.1,21-33,303,554,1.88
261,UC Riverside,454,16-36,243,612,1.88
262,NJIT,470.2,26-28,300,587,1.88
263,Eastern Mich.,425.1,14-38,278,525,1.89
264,Grambling,439,26-28,331,499,1.89
265,Towson,463,15-39,334,543,1.89
266,Longwood,431.2,23-29,318,502,1.9
267,Delaware St.,423.1,22-27,307,498,1.9
268,Middle Tenn.,473.1,20-36,252,649,1.9
269,Southern U.,420.2,22-29,263,547,1.93
270,SIUE,473,21-34-1,293,619,1.93
271,New Mexico St.,453.1,25-29,255,620,1.93
272,Dartmouth,333,13-26,164,479,1.93
273,Ohio,430,18-32,293,543,1.94
274,Wright St.,482,32-24,288,659,1.96
275,Prairie View,455.2,29-26,291,606,1.97
276,Pacific,465,Nov-44,307,619,1.99
277,Siena,424,Dec-40,351,497,2
278,Norfolk St.,466.2,Dec-41,368,569,2.01
279,Northern Colo.,451,16-38-1,275,638,2.02
280,Texas Southern,379.2,23-25,277,492,2.03
281,Purdue Fort Wayne,461.2,19-37,303,634,2.03
282,South Dakota St.,415.2,20-29,328,521,2.04
283,Iona,422.1,Dec-38,354,510,2.05
284,Mississippi Val.,361,Dec-34,213,544,2.1
285,SFA,440,Oct-44,316,607,2.1
286,Western Ill.,420.1,13-37,316,567,2.1
287,Butler,470.2,20-35,338,655,2.11
288,Lafayette,389.2,14-35,315,515,2.13
289,Maine,399.1,Dec-37,343,512,2.14
290,Coppin St.,388,Dec-33,335,508,2.17
291,Youngstown St.,491,16-44,416,651,2.17
292,Saint Peter's,422.1,Dec-40,380,574,2.26
293,Alabama A&M,402.1,13-38,303,621,2.3
294,UMES,388.2,0-48,375,562,2.41
295,Alcorn,373.1,Jun-43,375,560,2.5
296,UC San Diego,477.1,30-23,199,480,1.42
297,Tarleton St.,528.1,32-29,227,575,1.52
298,Lindenwood,464.1,16-38,206,506,1.53
299,Southern Ind.,509.2,27-32,264,550,1.6
300,Le Moyne,428.2,22-27-1,196,527,1.69
301,St. Thomas (MN),398.1,22-24,257,425,1.71
302,Stonehill,403.2,18-29,257,493,1.86
303,Utah Tech,475.2,14-42,273,618,1.87
304,Queens (NC),462,14-41,379,591,2.1
305,Bellarmine,431,Oct-45,327,654,2.28
