Rank,Name,G,W-L,BB
262,Milwaukee,55,19-36,201
263,N.C. A&T,53,25-28,200
264,UTSA,56,32-24,198
265,Lafayette,49,14-35,198
266,Central Conn. St.,42,18-24,197
267,Washington St.,53,21-32,196
268,Fordham,52,19-33,195
269,Towson,54,15-39,194
270,St. Bonaventure,49,18-31,193
271,Columbia,44,26-18,191
272,Iona,50,Dec-38,189
273,Bradley,51,13-37-1,189
274,South Dakota St.,49,20-29,187
275,UC Riverside,52,16-36,186
276,Gonzaga,53,21-32,186
277,Princeton,44,18-26,183
278,George Mason,53,21-32,181
279,San Diego St.,54,17-37,180
280,Monmouth,48,18-30,180
281,UMES,48,0-48,177
282,Seton Hall,54,24-30,173
283,Winthrop,49,19-29-1,172
284,Dartmouth,39,13-26,172
285,Yale,41,18-23,170
286,CSU Bakersfield,53,15-38,170
287,Middle Tenn.,56,20-36,170
288,SFA,54,Oct-44,170
289,UC Davis,56,29-27,163
290,Houston Christian,49,18-31,163
291,Alcorn,49,Jun-43,157
292,The Citadel,53,21-32,156
293,Mississippi Val.,46,Dec-34,155
294,Cornell,38,17-21,144
295,Harvard,39,13-26,144
296,Southern Ind.,59,27-32,262
297,Le Moyne,50,22-27-1,260
298,Tarleton St.,61,32-29,255
299,Stonehill,47,18-29,236
300,Queens (NC),55,14-41,236
301,UC San Diego,53,30-23,234
302,Utah Tech,56,14-42,212
303,St. Thomas (MN),46,22-24,209
304,Lindenwood,54,16-38,191
305,Bellarmine,55,Oct-45,190
