Rank,Name,G,W-L,AB,TB,SLG PCT
280,Gonzaga,53,21-32,1788,659,0.369
281,UC Davis,56,29-27,1926,708,0.368
282,Stony Brook,52,24-28,1758,644,0.366
283,Yale,41,18-23,1328,484,0.364
284,Fordham,52,19-33,1727,628,0.364
285,Cal St. Fullerton,54,16-38,1780,645,0.362
286,North Florida,52,21-30-1,1709,609,0.356
287,Marshall,55,18-37,1814,645,0.356
288,Wagner,56,26-30,1901,662,0.348
289,Alcorn,49,Jun-43,1511,520,0.344
290,Coppin St.,45,Dec-33,1511,518,0.343
291,Pacific,55,Nov-44,1799,606,0.337
292,UAlbany,50,15-34-1,1584,530,0.335
293,CSU Bakersfield,53,15-38,1813,597,0.329
294,San Francisco,55,21-34,1764,579,0.328
295,UMES,48,0-48,1541,479,0.311
296,Queens (NC),55,14-41,1851,863,0.466
297,St. Thomas (MN),46,22-24,1641,727,0.443
298,Stonehill,47,18-29,1649,713,0.432
299,UC San Diego,53,30-23,1795,733,0.408
300,Tarleton St.,61,32-29,2051,830,0.405
301,Le Moyne,50,22-27-1,1688,683,0.405
302,Bellarmine,55,Oct-45,1793,723,0.403
303,Utah Tech,56,14-42,1845,739,0.401
304,Southern Ind.,59,27-32,1984,780,0.393
305,Lindenwood,54,16-38,1813,647,0.357
