Rank,Name,G,W-L,HR,PG
180,Sacramento St.,57,26-31,56,0.98
181,Portland,56,37-19,55,0.98
182,Radford,50,16-34,49,0.98
183,Arizona,59,36-23,57,0.97
184,Mount St. Mary's,57,22-34-1,55,0.96
185,Norfolk St.,53,Dec-41,51,0.96
186,Canisius,48,18-30,46,0.96
187,Bucknell,46,22-24,44,0.96
188,Central Conn. St.,42,18-24,40,0.95
189,McNeese,59,32-27,56,0.95
190,George Mason,53,21-32,50,0.94
191,Southern U.,51,22-29,48,0.94
192,Quinnipiac,50,20-30,47,0.94
193,Princeton,44,18-26,41,0.93
194,Texas St.,56,27-29,52,0.93
195,UTSA,56,32-24,52,0.93
196,Grambling,54,26-28,50,0.93
197,Arkansas St.,54,21-32-1,50,0.93
198,NIU,54,21-33,50,0.93
199,Rutgers,53,28-25,49,0.92
200,Creighton,52,35-17,47,0.9
201,Michigan St.,51,24-27,46,0.9
202,Ohio,50,18-32,45,0.9
203,Sam Houston,58,34-24,52,0.9
204,SIUE,56,21-34-1,50,0.89
205,Charleston So.,54,22-32,48,0.89
206,Rice,59,23-36,52,0.88
207,UNC Asheville,50,22-28,44,0.88
208,Northern Colo.,55,16-38-1,48,0.87
209,CSUN,54,30-24,47,0.87
210,Manhattan,52,22-30,45,0.87
211,Bradley,51,13-37-1,44,0.86
212,Presbyterian,56,29-27,48,0.86
213,Utah,55,33-22,47,0.85
214,ULM,55,25-30,47,0.85
215,TCU,54,33-21,46,0.85
216,SFA,54,Oct-44,46,0.85
217,Harvard,39,13-26,33,0.85
218,Siena,52,Dec-40,44,0.85
219,Saint Peter's,52,Dec-40,44,0.85
220,Rider,51,28-23,43,0.84
221,Winthrop,49,19-29-1,41,0.84
222,Oral Roberts,60,27-32-1,50,0.83
223,Santa Clara,52,26-26,43,0.83
224,UCLA,52,19-33,43,0.83
225,Washington St.,53,21-32,43,0.81
226,Kennesaw St.,56,32-24,45,0.8
227,Youngstown St.,60,16-44,48,0.8
228,Long Beach St.,55,25-29-1,44,0.8
229,Akron,54,15-39,43,0.8
230,Baylor,53,22-31,42,0.79
231,Texas Southern,48,23-25,38,0.79
232,Purdue Fort Wayne,56,19-37,44,0.79
233,Lafayette,49,14-35,38,0.78
234,St. John's (NY),57,38-18-1,44,0.77
235,Hofstra,57,24-33,44,0.77
236,UMBC,52,27-25,40,0.77
237,Marist,55,20-35,42,0.76
238,San Diego St.,54,17-37,41,0.76
239,FDU,56,26-30,42,0.75
240,Central Mich.,55,17-38,41,0.75
241,Western Ky.,58,36-22,43,0.74
242,Western Ill.,50,13-37,37,0.74
243,UMass Lowell,55,24-31,40,0.73
244,Mississippi Val.,46,Dec-34,33,0.72
245,Holy Cross,53,26-27,38,0.72
246,Central Ark.,56,26-30,40,0.71
247,Marshall,55,18-37,39,0.71
248,Sacred Heart,58,35-23,41,0.71
249,Omaha,51,18-32-1,36,0.71
250,Gonzaga,53,21-32,37,0.7
251,N.C. A&T,53,25-28,36,0.68
252,UAB,55,26-29,37,0.67
253,Coppin St.,45,Dec-33,30,0.67
254,UT Arlington,56,22-34,37,0.66
255,Seattle U,53,17-36,35,0.66
256,Pacific,55,Nov-44,36,0.65
257,Cal St. Fullerton,54,16-38,35,0.65
258,Monmouth,48,18-30,31,0.65
259,Pepperdine,53,15-38,34,0.64
260,Brown,39,28-Nov,25,0.64
261,Dartmouth,39,13-26,25,0.64
262,St. Bonaventure,49,18-31,31,0.63
263,Seton Hall,54,24-30,34,0.63
264,Iona,50,Dec-38,31,0.62
265,A&M-Corpus Christi,57,22-35,35,0.61
266,George Washington,57,31-26,35,0.61
267,Towson,54,15-39,33,0.61
268,Alabama A&M,51,13-38,31,0.61
269,North Dakota St.,51,20-30-1,31,0.61
270,Lehigh,48,24-23-1,29,0.6
271,Abilene Christian,58,33-25,35,0.6
272,Cal Poly,57,35-22,34,0.6
273,North Florida,52,21-30-1,31,0.6
274,Southern California,59,31-28,35,0.59
275,UC Davis,56,29-27,33,0.59
276,Jacksonville,58,27-31,34,0.59
277,Yale,41,18-23,24,0.59
278,The Citadel,53,21-32,31,0.58
279,Longwood,52,23-29,30,0.58
280,Jackson St.,56,36-20,32,0.57
281,Milwaukee,55,19-36,31,0.56
282,Prairie View,55,29-26,31,0.56
283,Fordham,52,19-33,29,0.56
284,UMES,48,0-48,26,0.54
285,Stony Brook,52,24-28,26,0.5
286,Ark.-Pine Bluff,49,15-34,22,0.45
287,Hawaii,53,37-16,23,0.43
288,Bethune-Cookman,59,32-27,25,0.42
289,UC Riverside,52,16-36,22,0.42
290,UAlbany,50,15-34-1,21,0.42
291,San Francisco,55,21-34,23,0.42
292,Wagner,56,26-30,23,0.41
293,Navy,51,28-23,20,0.39
294,Alcorn,49,Jun-43,15,0.31
295,CSU Bakersfield,53,15-38,11,0.21
296,Queens (NC),55,14-41,89,1.62
297,Le Moyne,50,22-27-1,57,1.14
298,Stonehill,47,18-29,52,1.11
299,St. Thomas (MN),46,22-24,47,1.02
300,Utah Tech,56,14-42,54,0.96
301,UC San Diego,53,30-23,46,0.87
302,Bellarmine,55,Oct-45,47,0.85
303,Southern Ind.,59,27-32,41,0.69
304,Tarleton St.,61,32-29,40,0.66
305,Lindenwood,54,16-38,28,0.52
      ,,,,,
