Rank,Name,G,W-L,R
102,UNLV,52,26-26,413
103,Vanderbilt,61,38-23,412
104,Florida A&M,56,29-27,412
105,Southeastern La.,58,30-28,410
106,Portland,56,37-19,409
107,FGCU,56,30-26,409
108,VMI,56,27-29,408
109,Ga. Southern,59,33-26,408
110,Ball St.,59,35-23-1,406
111,St. John's (NY),57,38-18-1,406
112,FIU,57,27-30,404
113,Saint Mary's (CA),56,34-22,404
114,Ohio St.,55,29-26,403
115,Penn St.,53,29-24,403
116,West Virginia,60,36-24,402
117,Arkansas,60,44-16,401
118,Richmond,59,27-32,398
119,UIC,55,35-20,396
120,Miami (OH),54,27-27,396
121,Kansas St.,61,35-26,394
122,Liberty,58,24-34,393
123,Kent St.,54,27-27,393
124,UConn,61,35-26,392
125,Kansas,54,31-23,391
126,LMU (CA),54,24-30,390
127,UTSA,56,32-24,390
128,Saint Joseph's,55,29-26,389
129,Texas St.,56,27-29,388
130,Southern U.,51,22-29,388
131,Jacksonville,58,27-31,387
132,George Washington,57,31-26,387
133,Creighton,52,35-17,386
134,Utah,55,33-22,385
135,Rutgers,53,28-25,385
136,Tennessee Tech,55,29-26,383
137,Bethune-Cookman,59,32-27,383
138,Arizona,59,36-23,383
139,Pittsburgh,55,26-29,382
140,Michigan,60,32-28,382
141,Sam Houston,58,34-24,382
142,Miami (FL),57,27-30,380
143,Oral Roberts,60,27-32-1,380
144,Houston,54,26-28,379
145,Hawaii,53,37-16,379
146,Auburn,53,27-26,378
147,FDU,56,26-30,376
148,Presbyterian,56,29-27,376
149,NJIT,54,26-28,375
150,Maryland,56,34-22,375
151,Rider,51,28-23,374
152,California,55,36-19,373
153,UMBC,52,27-25,372
154,Sacred Heart,58,35-23,371
155,UCF,58,37-21,371
156,Abilene Christian,58,33-25,371
157,Ark.-Pine Bluff,49,15-34,371
158,Notre Dame,52,27-25,370
159,Nevada,51,25-26,368
160,Air Force,55,27-28,368
161,CSUN,54,30-24,367
162,Toledo,59,27-32,367
163,Butler,55,20-35,366
164,San Jose St.,57,24-33,366
165,UTRGV,54,29-25,364
166,Kennesaw St.,56,32-24,363
167,Xavier,57,30-27,363
168,Eastern Ill.,53,20-33,363
169,Lipscomb,56,22-34,363
170,UT Martin,56,21-35,362
171,Davidson,52,24-28,358
172,N.C. A&T,53,25-28,357
173,Eastern Mich.,52,14-38,356
174,Army West Point,54,31-23,356
175,Fla. Atlantic,57,28-29,355
176,McNeese,59,32-27,354
177,George Mason,53,21-32,354
178,Memphis,55,23-32,354
179,Belmont,58,26-32,353
180,SIUE,56,21-34-1,353
181,Hofstra,57,24-33,351
182,Southern California,59,31-28,350
183,Holy Cross,53,26-27,350
184,Texas Southern,48,23-25,350
185,Northwestern St.,55,22-33,348
186,Longwood,52,23-29,348
187,Penn,49,24-25,348
188,Minnesota,48,25-23,347
189,Northern Colo.,55,16-38-1,347
190,ULM,55,25-30,347
191,Charlotte,58,24-34,347
192,Cal Poly,57,35-22,346
193,Sacramento St.,57,26-31,344
194,Ole Miss,56,27-29,344
195,Eastern Ky.,58,21-37,344
196,South Dakota St.,49,20-29,343
197,Quinnipiac,50,20-30,343
198,Delaware St.,49,22-27,341
199,Boston College,53,22-31,340
200,Western Ky.,58,36-22,338
201,Michigan St.,51,24-27,338
202,Middle Tenn.,56,20-36,338
203,Little Rock,56,32-24,338
204,Charleston So.,54,22-32,338
205,Purdue Fort Wayne,56,19-37,337
206,South Fla.,55,26-29,334
207,Old Dominion,57,31-26,333
208,Wagner,56,26-30,333
209,Elon,53,21-32,332
210,NIU,54,21-33,331
211,UMass Lowell,55,24-31,331
212,UAB,55,26-29,331
213,Bucknell,46,22-24,327
214,Youngstown St.,60,16-44,325
215,Massachusetts,53,24-29,324
216,Baylor,53,22-31,323
217,Akron,54,15-39,321
218,Central Ark.,56,26-30,321
219,Manhattan,52,22-30,321
220,Missouri,55,23-32,319
221,TCU,54,33-21,319
222,Navy,51,28-23,319
223,UNC Asheville,50,22-28,317
224,Santa Clara,52,26-26,315
225,A&M-Corpus Christi,57,22-35,315
226,Jacksonville St.,52,18-34,315
227,South Alabama,56,31-25,314
228,UT Arlington,56,22-34,312
229,Alabama A&M,51,13-38,312
230,Milwaukee,55,19-36,312
231,Arkansas St.,54,21-32-1,308
232,Central Conn. St.,42,18-24,306
233,North Ala.,54,18-35-1,304
234,Marist,55,20-35,304
235,North Dakota St.,51,20-30-1,304
236,Washington St.,53,21-32,304
237,Villanova,51,18-33,304
238,Saint Peter's,52,Dec-40,303
239,Ohio,50,18-32,301
240,Stony Brook,52,24-28,301
241,Binghamton,50,21-29,299
242,Radford,50,16-34,297
243,San Diego St.,54,17-37,296
244,Stanford,55,22-33,296
245,BYU,52,21-31,294
246,Central Mich.,55,17-38,294
247,Rice,59,23-36,294
248,Omaha,51,18-32-1,288
249,Gonzaga,53,21-32,288
250,UC Davis,56,29-27,288
251,Long Beach St.,55,25-29-1,288
252,UC Riverside,52,16-36,287
253,The Citadel,53,21-32,287
254,Towson,54,15-39,286
255,Norfolk St.,53,Dec-41,285
256,Coppin St.,45,Dec-33,285
257,Washington,51,19-31-1,285
258,Northwestern,52,18-34,283
259,St. Bonaventure,49,18-31,279
260,Rhode Island,47,19-28,278
261,Seton Hall,54,24-30,277
262,Valparaiso,52,14-38,276
263,Houston Christian,49,18-31,274
264,North Florida,52,21-30-1,273
265,UAlbany,50,15-34-1,272
266,Gardner-Webb,53,22-31,272
267,Cornell,38,17-21,270
268,Maine,49,Dec-37,270
269,Siena,52,Dec-40,270
270,Lehigh,48,24-23-1,269
271,Mississippi Val.,46,Dec-34,269
272,UCLA,52,19-33,269
273,Bradley,51,13-37-1,267
274,Canisius,48,18-30,267
275,Winthrop,49,19-29-1,266
276,Seattle U,53,17-36,258
277,Harvard,39,13-26,257
278,Monmouth,48,18-30,257
279,Cal St. Fullerton,54,16-38,256
280,Western Ill.,50,13-37,255
281,Iona,50,Dec-38,254
282,Marshall,55,18-37,253
283,Fordham,52,19-33,251
284,San Francisco,55,21-34,250
285,Pepperdine,53,15-38,250
286,Lafayette,49,14-35,248
287,Princeton,44,18-26,248
288,SFA,54,Oct-44,241
289,Pacific,55,Nov-44,240
290,Brown,39,28-Nov,227
291,Yale,41,18-23,225
292,CSU Bakersfield,53,15-38,221
293,Dartmouth,39,13-26,216
294,Alcorn,49,Jun-43,213
295,UMES,48,0-48,202
296,Tarleton St.,61,32-29,395
297,Southern Ind.,59,27-32,369
298,Queens (NC),55,14-41,355
299,UC San Diego,53,30-23,354
300,Stonehill,47,18-29,347
301,Le Moyne,50,22-27-1,312
302,Bellarmine,55,Oct-45,308
303,St. Thomas (MN),46,22-24,306
304,Utah Tech,56,14-42,288
305,Lindenwood,54,16-38,255
