Rank,Name,G,W-L,IP,HB
126,Kent St.,54,27-27,465,77
127,Missouri St.,57,23-34,486,77
128,North Ala.,54,18-35-1,456,77
129,Villanova,51,18-33,435,77
130,East Carolina,63,46-17,554,76
131,Memphis,55,23-32,489,76
132,Air Force,55,27-28,468,76
133,California Baptist,62,38-24,540,76
134,Oakland,58,31-27,498,76
135,Miami (FL),57,27-30,501,76
136,Michigan St.,51,24-27,450,76
137,Baylor,53,22-31,463,76
138,ULM,55,25-30,478,76
139,Miami (OH),54,27-27,473,76
140,Holy Cross,53,26-27,424,75
141,Texas A&M,68,53-15,592,75
142,Samford,58,36-22,487,75
143,Rutgers,53,28-25,462,75
144,Saint Joseph's,55,29-26,474,75
145,Coastal Carolina,61,36-25,534,75
146,James Madison,61,36-25,530,74
147,Wagner,56,26-30,489,74
148,Wright St.,56,32-24,482,74
149,Southern Miss.,63,43-20,550,74
150,Mississippi Val.,46,Dec-34,361,74
151,Fresno St.,62,33-29,536,74
152,Belmont,58,26-32,500,74
153,Utah Valley,58,29-29,503,74
154,UT Martin,56,21-35,482,73
155,Washington St.,53,21-32,466,73
156,West Virginia,60,36-24,527,73
157,St. John's (NY),57,38-18-1,510,73
158,New Mexico St.,54,25-29,453,73
159,NC State,61,38-23,527,73
160,Notre Dame,52,27-25,447,73
161,Alabama,57,33-24,489,73
162,Kansas St.,61,35-26,546,72
163,UMass Lowell,55,24-31,469,72
164,St. Bonaventure,49,18-31,413,72
165,Penn St.,53,29-24,458,72
166,LMU (CA),54,24-30,475,72
167,UMBC,52,27-25,454,71
168,Stanford,55,22-33,481,71
169,Southern Ill.,60,33-27,527,71
170,Monmouth,48,18-30,418,71
171,Western Mich.,55,32-23,480,71
172,Georgia Tech,58,33-25,497,70
173,Houston Christian,49,18-31,401,70
174,UIC,55,35-20,475,70
175,High Point,62,35-27,542,70
176,Southeast Mo. St.,63,36-27,548,70
177,Bradley,51,13-37-1,412,70
178,BYU,52,21-31,461,70
179,UC Davis,56,29-27,503,70
180,Saint Mary's (CA),56,34-22,489,70
181,Akron,54,15-39,456,70
182,LIU,58,33-25,499,69
183,Texas Tech,59,33-26,510,69
184,Western Ill.,50,13-37,420,69
185,Saint Louis,53,37-16,462,69
186,Cincinnati,57,32-25,498,69
187,Northwestern St.,55,22-33,463,69
188,Auburn,53,27-26,451,69
189,UIW,57,26-31,477,68
190,North Dakota St.,51,20-30-1,437,68
191,New Mexico,54,28-26,462,68
192,Kennesaw St.,56,32-24,473,67
193,Nebraska,62,40-22,547,67
194,San Jose St.,57,24-33,498,67
195,South Alabama,56,31-25,484,67
196,Winthrop,49,19-29-1,413,67
197,Duke,60,40-20,524,67
198,Presbyterian,56,29-27,486,66
199,Ole Miss,56,27-29,480,66
200,Hawaii,53,37-16,476,66
201,Fla. Atlantic,57,28-29,485,66
202,Central Mich.,55,17-38,462,66
203,SIUE,56,21-34-1,473,65
204,Stetson,63,41-22,539,65
205,Texas,60,36-24,537,65
206,Kansas,54,31-23,470,65
207,Canisius,48,18-30,408,65
208,Dartmouth,39,13-26,333,65
209,Fairfield,58,34-24,496,65
210,CSU Bakersfield,53,15-38,474,65
211,Sacred Heart,58,35-23,510,64
212,Longwood,52,23-29,431,64
213,Purdue Fort Wayne,56,19-37,461,64
214,Boston College,53,22-31,459,64
215,Oklahoma St.,61,42-19,544,63
216,Seton Hall,54,24-30,470,63
217,Southern U.,51,22-29,420,63
218,McNeese,59,32-27,518,63
219,Bowling Green,53,33-20,455,63
220,Clemson,60,44-16,536,63
221,Bethune-Cookman,59,32-27,512,63
222,N.C. A&T,53,25-28,459,62
223,UC Irvine,59,45-14,537,62
224,Army West Point,54,31-23,438,62
225,Little Rock,56,32-24,496,62
226,Troy,59,37-22,499,62
227,USC Upstate,60,36-24,516,61
228,Niagara,55,38-17,473,61
229,Ohio St.,55,29-26,475,61
230,Sacramento St.,57,26-31,500,61
231,Western Ky.,58,36-22,495,61
232,App State,55,33-21-1,479,61
233,Southeastern La.,58,30-28,497,61
234,Portland,56,37-19,495,60
235,Stony Brook,52,24-28,449,60
236,Arkansas,60,44-16,523,60
237,Mercer,58,29-29,505,60
238,Alabama St.,56,29-27,470,60
239,Valparaiso,52,14-38,436,59
240,Wichita St.,61,32-29,527,59
241,Arizona St.,58,32-26,503,59
242,Evansville,65,39-26,551,59
243,Brown,39,28-Nov,328,59
244,Cornell,38,17-21,331,59
245,Ball St.,59,35-23-1,504,59
246,Southern California,59,31-28,523,58
247,Wofford,62,42-20,534,57
248,Arizona,59,36-23,524,57
249,Louisville,56,32-24,483,57
250,The Citadel,53,21-32,460,57
251,CSUN,54,30-24,478,57
252,Northeastern,55,38-17,483,56
253,Sam Houston,58,34-24,504,56
254,Central Conn. St.,42,18-24,366,56
255,UC Santa Barbara,58,44-14,516,56
256,Abilene Christian,58,33-25,493,56
257,Utah,55,33-22,492,55
258,Pittsburgh,55,26-29,465,55
259,North Florida,52,21-30-1,449,54
260,LSU,66,43-23,575,54
261,Navy,51,28-23,418,54
262,North Carolina,64,48-16,558,53
263,Creighton,52,35-17,452,53
264,Mississippi St.,63,40-23,553,53
265,UNC Greensboro,54,33-21,474,53
266,Oklahoma,61,40-21,533,52
267,Illinois St.,57,30-27,483,52
268,Santa Clara,52,26-26,466,52
269,Rider,51,28-23,438,52
270,Georgia,60,43-17,515,51
271,Virginia,63,46-17,554,51
272,Cal St. Fullerton,54,16-38,472,50
273,UCF,58,37-21,509,50
274,Col. of Charleston,55,41-14,491,49
275,Maryland,56,34-22,488,49
276,Eastern Ill.,53,20-33,461,49
277,Yale,41,18-23,354,49
278,UNLV,52,26-26,450,48
279,UConn,61,35-26,530,48
280,UTRGV,54,29-25,471,48
281,TCU,54,33-21,475,47
282,Tennessee,73,60-13,622,47
283,Purdue,57,33-24,499,46
284,Indiana St.,59,44-15,514,46
285,Houston,54,26-28,472,46
286,Lamar University,59,44-15,517,44
287,Washington,51,19-31-1,459,44
288,UT Arlington,56,22-34,478,43
289,Harvard,39,13-26,332,43
290,California,55,36-19,487,43
291,Binghamton,50,21-29,428,43
292,Tennessee Tech,55,29-26,482,41
293,FGCU,56,30-26,479,39
294,Virginia Tech,54,32-22,470,37
295,UTSA,56,32-24,492,35
296,Queens (NC),55,14-41,462,117
297,Tarleton St.,61,32-29,528,92
298,Le Moyne,50,22-27-1,428,81
299,St. Thomas (MN),46,22-24,398,81
300,Bellarmine,55,Oct-45,431,81
301,Utah Tech,56,14-42,475,75
302,Southern Ind.,59,27-32,509,68
303,Stonehill,47,18-29,403,62
304,Lindenwood,54,16-38,464,60
305,UC San Diego,53,30-23,477,50
