Rank,Name,G,W-L,IP,HA,PG
45,Oklahoma,61,40-21,533.2,522,8.8
46,San Francisco,55,21-34,481.1,471,8.81
47,Louisiana Tech,64,45-19,567,556,8.83
48,Southern Miss.,63,43-20,550.2,540,8.83
49,Southern California,59,31-28,523.1,514,8.84
50,St. John's (NY),57,38-18-1,510.2,502,8.85
51,Little Rock,56,32-24,496.1,488,8.85
52,George Washington,57,31-26,498.2,492,8.88
53,Illinois,56,35-21,490.1,487,8.94
54,Texas,60,36-24,537,535,8.97
55,Nicholls,60,38-22,521.1,521,8.99
56,Kennesaw St.,56,32-24,473.2,474,9.01
57,Stetson,63,41-22,539.1,540,9.01
58,Col. of Charleston,55,41-14,491.2,494,9.04
59,Oral Roberts,60,27-32-1,527,530,9.05
60,Sacred Heart,58,35-23,510,514,9.07
61,Florida,66,36-30,580,587,9.11
62,UConn,61,35-26,530.1,537,9.11
63,Sam Houston,58,34-24,504,511,9.13
64,Niagara,55,38-17,473.2,481,9.14
65,Milwaukee,55,19-36,463.2,471,9.14
66,Notre Dame,52,27-25,447.2,455,9.15
67,Gardner-Webb,53,22-31,454.1,462,9.15
68,Troy,59,37-22,499.2,509,9.17
69,Kansas St.,61,35-26,546.2,557,9.17
70,Indiana,60,33-26-1,523,533,9.17
71,South Alabama,56,31-25,484.2,494,9.17
72,Alabama,57,33-24,489,500,9.2
73,Navy,51,28-23,418.2,429,9.22
74,App State,55,33-21-1,479.2,493,9.25
75,Georgia,60,43-17,515.1,530,9.26
76,UNC Greensboro,54,33-21,474.1,488,9.26
77,FDU,56,26-30,481.1,496,9.27
78,San Diego St.,54,17-37,466.1,481,9.28
79,Creighton,52,35-17,452.1,467,9.29
80,Texas St.,56,27-29,483.1,500,9.31
81,Omaha,51,18-32-1,435.2,451,9.32
82,Missouri,55,23-32,476,493,9.32
83,Harvard,39,13-26,332,344,9.33
84,UAB,55,26-29,479.1,497,9.33
85,Jackson St.,56,36-20,469.2,487,9.33
86,Northeastern,55,38-17,483,501,9.34
87,Southeastern La.,58,30-28,497.1,516,9.34
88,Bethune-Cookman,59,32-27,512.2,533,9.36
89,Fairfield,58,34-24,496,516,9.36
90,Fla. Atlantic,57,28-29,485.1,505,9.36
91,Sacramento St.,57,26-31,500.2,521,9.37
92,Bryant,57,36-21,490.2,511,9.37
93,Toledo,59,27-32,511.2,533,9.38
94,UCLA,52,19-33,463,483,9.39
95,Presbyterian,56,29-27,486,507,9.39
96,Stanford,55,22-33,481,502,9.39
97,Kansas,54,31-23,470.1,491,9.4
98,Stony Brook,52,24-28,449.2,470,9.41
99,LMU (CA),54,24-30,475,497,9.42
100,USC Upstate,60,36-24,516,540,9.42
101,Ole Miss,56,27-29,480.1,503,9.42
102,Lehigh,48,24-23-1,390.1,409,9.43
103,VCU,61,38-23,539,565,9.43
104,Abilene Christian,58,33-25,493.1,518,9.45
105,ULM,55,25-30,478,502,9.45
106,Virginia Tech,54,32-22,470,494,9.46
107,Coastal Carolina,61,36-25,534.1,562,9.47
108,Binghamton,50,21-29,428.2,451,9.47
109,Liberty,58,24-34,499,525,9.47
110,Saint Mary's (CA),56,34-22,489,515,9.48
111,Saint Louis,53,37-16,462.1,487,9.48
112,Charlotte,58,24-34,492.2,519,9.48
113,California Baptist,62,38-24,540.1,570,9.49
114,Houston,54,26-28,472,498,9.5
115,Missouri St.,57,23-34,486.2,514,9.51
116,UC Irvine,59,45-14,537.2,569,9.52
117,Central Ark.,56,26-30,489,518,9.53
118,Western Ky.,58,36-22,495.1,525,9.54
119,Minnesota,48,25-23,421,447,9.56
120,Evansville,65,39-26,551.2,586,9.56
121,CSU Bakersfield,53,15-38,474.1,504,9.56
122,Manhattan,52,22-30,440.2,469,9.58
123,Santa Clara,52,26-26,466,496,9.58
124,Belmont,58,26-32,500.1,534,9.61
125,High Point,62,35-27,542.1,579,9.61
126,The Citadel,53,21-32,460.2,492,9.61
127,UC Davis,56,29-27,503,538,9.63
128,Marshall,55,18-37,479,513,9.64
129,Maryland,56,34-22,488.1,523,9.64
130,BYU,52,21-31,461,494,9.64
131,UMBC,52,27-25,454.2,488,9.66
132,Penn,49,24-25,426.1,458,9.67
133,Miami (FL),57,27-30,501.2,539,9.67
134,Cincinnati,57,32-25,498,536,9.69
135,South Fla.,55,26-29,468,504,9.69
136,Virginia,63,46-17,554.2,599,9.72
137,Grand Canyon,61,36-25,527.2,570,9.72
138,Ga. Southern,59,33-26,500.1,541,9.73
139,Saint Joseph's,55,29-26,474.1,513,9.73
140,CSUN,54,30-24,478.2,518,9.74
141,Monmouth,48,18-30,418.1,453,9.75
142,Campbell,53,31-22,464.2,504,9.76
143,Samford,58,36-22,487.1,529,9.77
144,Xavier,57,30-27,493.2,536,9.77
145,Canisius,48,18-30,408,443,9.77
146,Tulane,62,36-26,545,592,9.78
147,Nevada,51,25-26,445,484,9.79
148,Ohio St.,55,29-26,475,518,9.81
149,Purdue,57,33-24,499,545,9.83
150,UT Martin,56,21-35,482.1,527,9.83
151,ETSU,56,36-20,476.2,521,9.84
152,Utah,55,33-22,492,539,9.86
153,Ball St.,59,35-23-1,504.2,553,9.86
154,Washington,51,19-31-1,459,503,9.86
155,Southern Ill.,60,33-27,527,578,9.87
156,Arizona,59,36-23,524.2,576,9.88
157,UTRGV,54,29-25,471.2,518,9.88
158,Wagner,56,26-30,489,538,9.9
159,Southeast Mo. St.,63,36-27,548.2,604,9.91
160,Alabama St.,56,29-27,470.1,518,9.91
161,Columbia,44,26-18,384,423,9.91
162,Wofford,62,42-20,534.2,589,9.91
163,Michigan,60,32-28,535.1,591,9.94
164,FGCU,56,30-26,479.2,530,9.94
165,Western Mich.,55,32-23,480.1,531,9.95
166,UTSA,56,32-24,492.2,545,9.96
167,Central Conn. St.,42,18-24,366.2,406,9.97
168,Austin Peay,56,35-21,470.1,522,9.99
169,Georgia Tech,58,33-25,497.1,552,9.99
170,Merrimack,59,33-26,510,567,10.01
171,Radford,50,16-34,429.1,478,10.02
172,Western Caro.,54,28-26,467,520,10.02
173,Fordham,52,19-33,444.1,495,10.03
174,Fresno St.,62,33-29,536.2,598,10.03
175,McNeese,59,32-27,518.2,578,10.03
176,Baylor,53,22-31,463.1,518,10.06
177,Charleston So.,54,22-32,465,520,10.06
178,Arizona St.,58,32-26,503,563,10.07
179,Mount St. Mary's,57,22-34-1,490,549,10.08
180,FIU,57,27-30,494.2,555,10.1
181,North Florida,52,21-30-1,449.2,505,10.11
182,Penn St.,53,29-24,458.1,516,10.13
183,Louisville,56,32-24,483,544,10.14
184,James Madison,61,36-25,530.2,598,10.14
185,Miami (OH),54,27-27,473,535,10.18
186,Murray St.,57,37-20,500.1,566,10.18
187,N.C. A&T,53,25-28,459.2,520,10.18
188,Michigan St.,51,24-27,450.2,510,10.18
189,Dayton,55,33-22,481.1,545,10.19
190,Georgia St.,57,25-32,487.1,553,10.21
191,Northern Ky.,59,35-24,498,566,10.23
192,Grambling,54,26-28,439,499,10.23
193,Bucknell,46,22-24,362,412,10.24
194,Arkansas St.,54,21-32-1,464,529,10.26
195,San Jose St.,57,24-33,498,568,10.27
196,Tennessee Tech,55,29-26,482,550,10.27
197,Kent St.,54,27-27,465.2,533,10.3
198,Auburn,53,27-26,451.1,517,10.31
199,Winthrop,49,19-29-1,413.1,474,10.32
200,Villanova,51,18-33,435.1,500,10.34
201,Washington St.,53,21-32,466,536,10.35
202,North Ala.,54,18-35-1,456.2,526,10.37
203,Hofstra,57,24-33,488.2,563,10.37
204,Princeton,44,18-26,380.2,439,10.38
205,Cornell,38,17-21,331,382,10.39
206,Northwestern St.,55,22-33,463,535,10.4
207,Florida A&M,56,29-27,467.2,541,10.41
208,Texas Tech,59,33-26,510.1,591,10.42
209,Memphis,55,23-32,489.1,567,10.43
210,Eastern Ill.,53,20-33,461.1,535,10.44
211,Rider,51,28-23,438,509,10.46
212,UIC,55,35-20,475,552,10.46
213,Eastern Ky.,58,21-37,481.2,560,10.46
214,Longwood,52,23-29,431.2,502,10.47
215,Illinois St.,57,30-27,483,563,10.49
216,A&M-Corpus Christi,57,22-35,493.2,576,10.5
217,Cal St. Fullerton,54,16-38,472.2,552,10.51
218,Houston Christian,49,18-31,401.1,469,10.52
219,Delaware,57,31-26,495.1,580,10.54
220,Massachusetts,53,24-29,442.1,518,10.54
221,Pittsburgh,55,26-29,465.1,545,10.54
222,Jacksonville,58,27-31,500.1,586,10.54
223,New Orleans,57,31-26,484.2,568,10.55
224,Boston College,53,22-31,459,538,10.55
225,Siena,52,Dec-40,424,497,10.55
226,Towson,54,15-39,463,543,10.56
227,Utah Valley,58,29-29,503,590,10.56
228,UMass Lowell,55,24-31,469,551,10.57
229,Delaware St.,49,22-27,423.1,498,10.59
230,George Mason,53,21-32,460.1,544,10.64
231,Davidson,52,24-28,437,517,10.65
232,LIU,58,33-25,499.2,592,10.66
233,Marist,55,20-35,454.1,540,10.7
234,Rhode Island,47,19-28,405.2,483,10.72
235,UNC Asheville,50,22-28,434,517,10.72
236,Seattle U,53,17-36,454.2,543,10.75
237,Quinnipiac,50,20-30,421.2,504,10.76
238,Ark.-Pine Bluff,49,15-34,400.2,480,10.78
239,Lipscomb,56,22-34,473.1,568,10.8
240,UIW,57,26-31,477.1,575,10.84
241,Iona,50,Dec-38,422.1,510,10.87
242,Holy Cross,53,26-27,424.1,513,10.88
243,Elon,53,21-32,459,555,10.88
244,Gonzaga,53,21-32,452.2,548,10.9
245,Morehead St.,61,37-24,521,631,10.9
246,North Dakota St.,51,20-30-1,437.1,530,10.91
247,NIU,54,21-33,455.1,554,10.95
248,Norfolk St.,53,Dec-41,466.2,569,10.97
249,Mercer,58,29-29,505,617,11
250,Richmond,59,27-32,508,624,11.06
251,Northwestern,52,18-34,446.2,549,11.06
252,Brown,39,28-Nov,328,404,11.09
253,Eastern Mich.,52,14-38,425.1,525,11.11
254,Bowling Green,53,33-20,455.1,564,11.15
255,Air Force,55,27-28,468.2,582,11.18
256,Central Mich.,55,17-38,462.1,576,11.21
257,UNLV,52,26-26,450,561,11.22
258,UT Arlington,56,22-34,478,596,11.22
259,NJIT,54,26-28,470.2,587,11.22
260,VMI,56,27-29,473.2,591,11.23
261,South Dakota St.,49,20-29,415.2,521,11.28
262,UAlbany,50,15-34-1,404.1,508,11.31
263,Ohio,50,18-32,430,543,11.37
264,Valparaiso,52,14-38,436,553,11.42
265,Bradley,51,13-37-1,412.1,526,11.48
266,Pepperdine,53,15-38,459,587,11.51
267,Jacksonville St.,52,18-34,447,572,11.52
268,Oakland,58,31-27,498.1,638,11.52
269,Maine,49,Dec-37,399.1,512,11.54
270,St. Bonaventure,49,18-31,413.2,532,11.57
271,Texas Southern,48,23-25,379.2,492,11.66
272,Southern U.,51,22-29,420.2,547,11.7
273,SIUE,56,21-34-1,473,619,11.78
274,Coppin St.,45,Dec-33,388,508,11.78
275,Akron,54,15-39,456.1,599,11.81
276,Lafayette,49,14-35,389.2,515,11.89
277,Youngstown St.,60,16-44,491,651,11.93
278,Prairie View,55,29-26,455.2,606,11.97
279,Pacific,55,Nov-44,465,619,11.98
280,New Mexico,54,28-26,462,617,12.02
281,UC Riverside,52,16-36,454,612,12.13
282,Western Ill.,50,13-37,420.1,567,12.14
283,Saint Peter's,52,Dec-40,422.1,574,12.23
284,Wright St.,56,32-24,482,659,12.3
285,New Mexico St.,54,25-29,453.1,620,12.31
286,Middle Tenn.,56,20-36,473.1,649,12.34
287,Purdue Fort Wayne,56,19-37,461.2,634,12.36
288,SFA,54,Oct-44,440,607,12.42
289,Butler,55,20-35,470.2,655,12.52
290,Northern Colo.,55,16-38-1,451,638,12.73
291,Dartmouth,39,13-26,333,479,12.95
292,UMES,48,0-48,388.2,562,13.01
293,Alcorn,49,Jun-43,373.1,560,13.5
294,Mississippi Val.,46,Dec-34,361,544,13.56
295,Alabama A&M,51,13-38,402.1,621,13.89
296,UC San Diego,53,30-23,477.1,480,9.05
297,St. Thomas (MN),46,22-24,398.1,425,9.6
298,Southern Ind.,59,27-32,509.2,550,9.71
299,Tarleton St.,61,32-29,528.1,575,9.79
300,Lindenwood,54,16-38,464.1,506,9.81
301,Stonehill,47,18-29,403.2,493,10.99
302,Le Moyne,50,22-27-1,428.2,527,11.06
303,Queens (NC),55,14-41,462,591,11.51
304,Utah Tech,56,14-42,475.2,618,11.69
305,Bellarmine,55,Oct-45,431,654,13.66
