Rank,Name,G,W-L,3B
149,UNCW,61,40-21,10
150,Norfolk St.,53,Dec-41,10
151,Northwestern,52,18-34,10
152,Oral Roberts,60,27-32-1,10
153,Oregon,60,40-20,10
154,Princeton,44,18-26,10
155,St. Bonaventure,49,18-31,10
156,Stetson,63,41-22,10
157,Texas,60,36-24,10
158,Towson,54,15-39,10
159,Troy,59,37-22,10
160,Army West Point,54,31-23,10
161,William & Mary,58,32-26,10
162,Alabama A&M,51,13-38,10
163,Brown,39,28-Nov,10
164,Bryant,57,36-21,10
165,Cal St. Fullerton,54,16-38,10
166,Central Conn. St.,42,18-24,10
167,Davidson,52,24-28,10
168,Purdue Fort Wayne,56,19-37,10
169,Kentucky,62,46-16,10
170,Lafayette,49,14-35,10
171,Lamar University,59,44-15,10
172,Longwood,52,23-29,10
173,LSU,66,43-23,10
174,Gardner-Webb,53,22-31,9
175,Marshall,55,18-37,9
176,Pacific,55,Nov-44,9
177,Rider,51,28-23,9
178,Saint Peter's,52,Dec-40,9
179,San Diego,56,41-15,9
180,San Francisco,55,21-34,9
181,South Carolina,62,37-25,9
182,Southern Miss.,63,43-20,9
183,Tennessee,73,60-13,9
184,Texas Southern,48,23-25,9
185,Yale,41,18-23,9
186,Mercer,58,29-29,9
187,Michigan,60,32-28,9
188,Boston College,53,22-31,9
189,Long Beach St.,55,25-29-1,9
190,UC Santa Barbara,58,44-14,9
191,Dartmouth,39,13-26,9
192,Delaware St.,49,22-27,9
193,Gonzaga,53,21-32,9
194,Belmont,58,26-32,8
195,Indiana,60,33-26-1,8
196,North Florida,52,21-30-1,8
197,Nebraska,62,40-22,8
198,NJIT,54,26-28,8
199,Niagara,55,38-17,8
200,NIU,54,21-33,8
201,Ohio,50,18-32,8
202,Old Dominion,57,31-26,8
203,Pepperdine,53,15-38,8
204,Portland,56,37-19,8
205,South Alabama,56,31-25,8
206,South Fla.,55,26-29,8
207,Southern Ill.,60,33-27,8
208,UT Martin,56,21-35,8
209,UTSA,56,32-24,8
210,Western Ky.,58,36-22,8
211,Mississippi Val.,46,Dec-34,8
212,Delaware,57,31-26,8
213,Ga. Southern,59,33-26,8
214,Georgia St.,57,25-32,8
215,Harvard,39,13-26,8
216,Hawaii,53,37-16,8
217,Illinois,56,35-21,8
218,Kennesaw St.,56,32-24,8
219,Seattle U,53,17-36,7
220,Louisiana Tech,64,45-19,7
221,Monmouth,48,18-30,7
222,Morehead St.,61,37-24,7
223,Oklahoma St.,61,42-19,7
224,Penn St.,53,29-24,7
225,Richmond,59,27-32,7
226,Saint Joseph's,55,29-26,7
227,Southeastern La.,58,30-28,7
228,Stanford,55,22-33,7
229,UT Arlington,56,22-34,7
230,VCU,61,38-23,7
231,West Virginia,60,36-24,7
232,Western Caro.,54,28-26,7
233,High Point,62,35-27,7
234,California Baptist,62,38-24,7
235,Merrimack,59,33-26,7
236,Minnesota,48,25-23,7
237,Mississippi St.,63,40-23,7
238,UAlbany,50,15-34-1,7
239,Bradley,51,13-37-1,7
240,California,55,36-19,7
241,Campbell,53,31-22,7
242,Canisius,48,18-30,7
243,UConn,61,35-26,7
244,Cornell,38,17-21,7
245,Evansville,65,39-26,7
246,Fordham,52,19-33,7
247,George Washington,57,31-26,7
248,Georgia Tech,58,33-25,7
249,Hofstra,57,24-33,7
250,Ole Miss,56,27-29,7
251,Memphis,55,23-32,6
252,NC State,61,38-23,6
253,Missouri St.,57,23-34,6
254,Stony Brook,52,24-28,6
255,Villanova,51,18-33,6
256,Winthrop,49,19-29-1,6
257,Xavier,57,30-27,6
258,Little Rock,56,32-24,6
259,CSU Bakersfield,53,15-38,6
260,FIU,57,27-30,6
261,Indiana St.,59,44-15,6
262,Kansas,54,31-23,6
263,UMass Lowell,55,24-31,6
264,Manhattan,52,22-30,6
265,UMBC,52,27-25,6
266,Mount St. Mary's,57,22-34-1,6
267,UNC Asheville,50,22-28,5
268,Rhode Island,47,19-28,5
269,SFA,54,Oct-44,5
270,Washington,51,19-31-1,5
271,Michigan St.,51,24-27,5
272,Maryland,56,34-22,5
273,Coastal Carolina,61,36-25,5
274,Coppin St.,45,Dec-33,5
275,Eastern Ill.,53,20-33,5
276,Georgia,60,43-17,5
277,UC Davis,56,29-27,5
278,North Ala.,54,18-35-1,4
279,Pittsburgh,55,26-29,4
280,Toledo,59,27-32,4
281,Valparaiso,52,14-38,4
282,Western Ill.,50,13-37,4
283,Maine,49,Dec-37,4
284,Abilene Christian,58,33-25,4
285,Florida,66,36-30,4
286,Houston Christian,49,18-31,4
287,Lehigh,48,24-23-1,4
288,Lipscomb,56,22-34,4
289,Elon,53,21-32,3
290,Miami (FL),57,27-30,3
291,Massachusetts,53,24-29,3
292,Charleston So.,54,22-32,3
293,Fla. Atlantic,57,28-29,3
294,Arkansas,60,44-16,3
295,UMES,48,0-48,1
296,St. Thomas (MN),46,22-24,16
297,Stonehill,47,18-29,12
298,Bellarmine,55,Oct-45,10
299,Southern Ind.,59,27-32,9
300,Lindenwood,54,16-38,9
301,Tarleton St.,61,32-29,9
302,UC San Diego,53,30-23,8
303,Utah Tech,56,14-42,7
304,Queens (NC),55,14-41,6
305,Le Moyne,50,22-27-1,4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
      ,,,,
