Rank,Name,App,W-L,IP,SO,BB,K/BB
107,Toledo,0,27-32,511,514,267,1.93
108,San Francisco,0,21-34,481,414,216,1.92
109,Texas St.,0,27-29,483,442,232,1.91
110,Troy,0,37-22,499,490,258,1.9
111,Omaha,0,18-32-1,435,483,255,1.89
112,Rutgers,0,28-25,462,437,232,1.88
113,Seton Hall,0,24-30,470,465,247,1.88
114,Minnesota,0,25-23,421,444,236,1.88
115,Virginia,0,46-17,554,513,273,1.88
116,Creighton,0,35-17,452,434,231,1.88
117,Arizona St.,0,32-26,503,572,305,1.88
118,Illinois,0,35-21,490,450,240,1.88
119,Yale,0,18-23,354,337,181,1.86
120,Southeastern La.,0,30-28,497,400,215,1.86
121,Washington St.,0,21-32,466,392,211,1.86
122,Air Force,0,27-28,468,368,199,1.85
123,Evansville,0,39-26,551,487,264,1.84
124,UNCW,0,40-21,543,546,296,1.84
125,Dartmouth,0,13-26,333,302,164,1.84
126,NC State,0,38-23,527,533,290,1.84
127,UNC Greensboro,0,33-21,474,408,222,1.84
128,Cincinnati,0,32-25,498,465,254,1.83
129,Notre Dame,0,27-25,447,397,217,1.83
130,Fla. Atlantic,0,28-29,485,479,262,1.83
131,Utah Valley,0,29-29,503,453,248,1.83
132,VCU,0,38-23,539,500,274,1.82
133,Southern Ill.,0,33-27,527,507,278,1.82
134,Lehigh,0,24-23-1,390,355,196,1.81
135,UIC,0,35-20,475,387,214,1.81
136,UCLA,0,19-33,463,413,229,1.8
137,James Madison,0,36-25,530,463,257,1.8
138,Wichita St.,0,32-29,527,491,273,1.8
139,Bethune-Cookman,0,32-27,512,417,232,1.8
140,Stony Brook,0,24-28,449,327,182,1.8
141,Jacksonville,0,27-31,500,448,250,1.79
142,Michigan St.,0,24-27,450,420,235,1.79
143,Marshall,0,18-37,479,419,235,1.78
144,Stanford,0,22-33,481,517,290,1.78
145,UIW,0,26-31,477,409,230,1.78
146,Ball St.,0,35-23-1,504,553,312,1.77
147,Iowa,0,31-23,470,578,327,1.77
148,BYU,0,21-31,461,447,253,1.77
149,California Baptist,0,38-24,540,465,264,1.76
150,Alabama St.,0,29-27,470,440,251,1.75
151,Radford,0,16-34,429,421,241,1.75
152,Samford,0,36-22,487,436,250,1.74
153,FGCU,0,30-26,479,447,257,1.74
154,Rice,0,23-36,521,491,285,1.72
155,Richmond,0,27-32,508,484,281,1.72
156,Georgetown,0,36-21,501,434,252,1.72
157,LIU,0,33-25,499,440,256,1.72
158,Washington,0,19-31-1,459,364,212,1.72
159,Valparaiso,0,14-38,436,358,210,1.7
160,Baylor,0,22-31,463,450,264,1.7
161,A&M-Corpus Christi,0,22-35,493,400,235,1.7
162,CSU Bakersfield,0,15-38,474,398,234,1.7
163,Boston College,0,22-31,459,409,241,1.7
164,St. John's (NY),0,38-18-1,510,429,253,1.7
165,Texas Tech,0,33-26,510,503,297,1.69
166,Mercer,0,29-29,505,392,232,1.69
167,George Mason,0,21-32,460,418,248,1.69
168,South Alabama,0,31-25,484,460,273,1.68
169,North Florida,0,21-30-1,449,452,270,1.67
170,Nevada,0,25-26,445,438,262,1.67
171,FIU,0,27-30,494,489,294,1.66
172,Missouri St.,0,23-34,486,435,262,1.66
173,Gonzaga,0,21-32,452,479,289,1.66
174,Kennesaw St.,0,32-24,473,413,251,1.65
175,New Mexico,0,28-26,462,394,240,1.64
176,Xavier,0,30-27,493,457,280,1.63
177,Campbell,0,31-22,464,462,285,1.62
178,CSUN,0,30-24,478,372,230,1.62
179,UC Davis,0,29-27,503,359,222,1.62
180,Gardner-Webb,0,22-31,454,441,273,1.62
181,Sacred Heart,0,35-23,510,415,257,1.61
182,High Point,0,35-27,542,465,288,1.61
183,Bryant,0,36-21,490,410,254,1.61
184,Ohio St.,0,29-26,475,421,261,1.61
185,Bowling Green,0,33-20,455,403,250,1.61
186,Charleston So.,0,22-32,465,389,243,1.6
187,St. Bonaventure,0,18-31,413,359,225,1.6
188,Central Mich.,0,17-38,462,427,268,1.59
189,Monmouth,0,18-30,418,312,196,1.59
190,Florida A&M,0,29-27,467,358,225,1.59
191,Seattle U,0,17-36,454,365,230,1.59
192,Army West Point,0,31-23,438,365,231,1.58
193,Mount St. Mary's,0,22-34-1,490,507,321,1.58
194,N.C. A&T,0,25-28,459,431,274,1.57
195,Lipscomb,0,22-34,473,371,237,1.57
196,Canisius,0,18-30,408,360,231,1.56
197,Brown,0,28-Nov,328,309,199,1.55
198,Delaware,0,31-26,495,430,277,1.55
199,Northern Ky.,0,35-24,498,467,301,1.55
200,Bradley,0,13-37-1,412,332,214,1.55
201,Northwestern,0,18-34,446,317,205,1.55
202,Middle Tenn.,0,20-36,473,389,252,1.54
203,Illinois St.,0,30-27,483,402,261,1.54
204,App State,0,33-21-1,479,446,290,1.54
205,Maryland,0,34-22,488,398,259,1.54
206,The Citadel,0,21-32,460,403,263,1.53
207,New Mexico St.,0,25-29,453,388,255,1.52
208,Akron,0,15-39,456,340,224,1.52
209,Northwestern St.,0,22-33,463,352,232,1.52
210,Liberty,0,24-34,499,451,298,1.51
211,North Ala.,0,18-35-1,456,426,282,1.51
212,Wright St.,0,32-24,482,434,288,1.51
213,UMBC,0,27-25,454,369,246,1.5
214,George Washington,0,31-26,498,434,291,1.49
215,Hofstra,0,24-33,488,456,306,1.49
216,Western Caro.,0,28-26,467,411,276,1.49
217,Elon,0,21-32,459,393,264,1.49
218,Southern U.,0,22-29,420,391,263,1.49
219,Navy,0,28-23,418,331,223,1.48
220,Fordham,0,19-33,444,377,254,1.48
221,McNeese,0,32-27,518,469,316,1.48
222,Oakland,0,31-27,498,403,272,1.48
223,Pepperdine,0,15-38,459,359,245,1.47
224,Belmont,0,26-32,500,424,290,1.46
225,Austin Peay,0,35-21,470,492,337,1.46
226,UC Riverside,0,16-36,454,352,243,1.45
227,Wagner,0,26-30,489,401,277,1.45
228,Massachusetts,0,24-29,442,314,217,1.45
229,Morehead St.,0,37-24,521,419,290,1.44
230,Columbia,0,26-18,384,360,250,1.44
231,Longwood,0,23-29,431,457,318,1.44
232,Jackson St.,0,36-20,469,426,297,1.43
233,Manhattan,0,22-30,440,420,296,1.42
234,SIUE,0,21-34-1,473,413,293,1.41
235,Northern Colo.,0,16-38-1,451,385,275,1.4
236,Rhode Island,0,19-28,405,355,254,1.4
237,Davidson,0,24-28,437,394,284,1.39
238,Niagara,0,38-17,473,450,325,1.38
239,Villanova,0,18-33,435,343,249,1.38
240,San Jose St.,0,24-33,498,366,266,1.38
241,Merrimack,0,33-26,510,410,298,1.38
242,Harvard,0,13-26,332,332,243,1.37
243,Memphis,0,23-32,489,425,312,1.36
244,San Diego St.,0,17-37,466,494,363,1.36
245,Georgia St.,0,25-32,487,474,349,1.36
246,Milwaukee,0,19-36,463,425,313,1.36
247,Holy Cross,0,26-27,424,342,253,1.35
248,Penn St.,0,29-24,458,357,265,1.35
249,Eastern Ill.,0,20-33,461,396,296,1.34
250,Bucknell,0,22-24,362,342,258,1.33
251,UNC Asheville,0,22-28,434,360,272,1.32
252,Marist,0,20-35,454,397,300,1.32
253,North Dakota St.,0,20-30-1,437,358,276,1.3
254,South Dakota St.,0,20-29,415,425,328,1.3
255,Eastern Ky.,0,21-37,481,444,343,1.29
256,Jacksonville St.,0,18-34,447,327,255,1.28
257,Prairie View,0,29-26,455,369,291,1.27
258,UT Martin,0,21-35,482,355,280,1.27
259,UMass Lowell,0,24-31,469,335,266,1.26
260,Delaware St.,0,22-27,423,386,307,1.26
261,Rider,0,28-23,438,329,262,1.26
262,NJIT,0,26-28,470,376,300,1.25
263,UAlbany,0,15-34-1,404,304,243,1.25
264,Ohio,0,18-32,430,365,293,1.25
265,Miami (OH),0,27-27,473,409,329,1.24
266,Princeton,0,18-26,380,282,228,1.24
267,Ark.-Pine Bluff,0,15-34,400,297,241,1.23
268,Quinnipiac,0,20-30,421,315,256,1.23
269,Central Conn. St.,0,18-24,366,275,227,1.21
270,Eastern Mich.,0,14-38,425,336,278,1.21
271,Arkansas St.,0,21-32-1,464,323,271,1.19
272,Michigan,0,32-28,535,363,305,1.19
273,Purdue Fort Wayne,0,19-37,461,352,303,1.16
274,Houston Christian,0,18-31,401,319,278,1.15
275,Norfolk St.,0,Dec-41,466,418,368,1.14
276,SFA,0,Oct-44,440,352,316,1.11
277,NIU,0,21-33,455,335,303,1.11
278,Towson,0,15-39,463,369,334,1.1
279,Texas Southern,0,23-25,379,303,277,1.09
280,Cornell,0,17-21,331,253,232,1.09
281,Lafayette,0,14-35,389,337,315,1.07
282,Butler,0,20-35,470,360,338,1.07
283,Iona,0,Dec-38,422,371,354,1.05
284,Maine,0,Dec-37,399,355,343,1.03
285,Grambling,0,26-28,439,335,331,1.01
286,Siena,0,Dec-40,424,352,351,1
287,Western Ill.,0,13-37,420,314,316,0.99
288,Pacific,0,Nov-44,465,300,307,0.98
289,Coppin St.,0,Dec-33,388,309,335,0.92
290,Mississippi Val.,0,Dec-34,361,192,213,0.9
291,Youngstown St.,0,16-44,491,372,416,0.89
292,Alabama A&M,0,13-38,402,267,303,0.88
293,Saint Peter's,0,Dec-40,422,319,380,0.84
294,UMES,0,0-48,388,263,375,0.7
295,Alcorn,0,Jun-43,373,252,375,0.67
296,UC San Diego,0,30-23,477,442,199,2.22
297,Tarleton St.,0,32-29,528,404,227,1.78
298,Le Moyne,0,22-27-1,428,340,196,1.73
299,Southern Ind.,0,27-32,509,448,264,1.7
300,Lindenwood,0,16-38,464,342,206,1.66
301,St. Thomas (MN),0,22-24,398,398,257,1.55
302,Utah Tech,0,14-42,475,383,273,1.4
303,Stonehill,0,18-29,403,322,257,1.25
304,Queens (NC),0,14-41,462,360,379,0.95
305,Bellarmine,0,Oct-45,431,293,327,0.9
