,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,OBP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
204,Lipscomb,56,1913,528,0.276,9.428571428571429,34.160714285714285,0.276006272869838,239.0,4.267857142857143,482.0,330,6.16,408,1446,576,105,0.951,10.285714285714286,1.875,298.0,5.321428571428571,759,0.397,6.703319502074689,4.462655601659751,1.7157676348547717,0.37118491921005387,0.7681849192100538,0.36,0.3303193350831146,-20.728030118702737,-0.19918159384463824,-0.027406959594477486,-0.22658855343911571,0.1207527443805541,94.09140465399392,0.10454943132108487,0.25505443234836706,7.618257261410788,1.0225341420811747,0.5414731470433904,1.502092050209205,-2.13,ASUN
205,Marshall,50,1724,474,0.275,9.48,34.48,0.27494199535962877,222.0,4.44,427.2,318,6.69,374,1283,563,79,0.959,11.26,1.58,257.0,5.14,649,0.376,5.976617303195635,4.6718628215120805,1.7837078651685394,0.36884021901443503,0.744840219014435,0.335,0.3240038967364832,-46.874825140408895,-0.45043365573996413,-0.7805738278630727,-1.231007483603037,0.10150812064965198,85.12170537894464,0.10813443740867024,0.25602755453501724,7.879213483146067,1.2615817626469832,0.5430269644095647,1.2792792792792793,-2.16,Mid-American
206,Radford,55,1882,543,0.289,9.872727272727273,34.21818181818182,0.28852284803400635,213.0,3.8727272727272726,470.1,352,6.74,438,1411,578,110,0.948,10.50909090909091,2.0,285.0,5.181818181818182,745,0.396,5.166548547129695,4.075832742735648,1.7847266539034248,0.3684210526315789,0.7644210526315789,0.313,0.3264586160108548,-38.65294276015999,-0.37142722688382857,-0.30558187055814734,-0.6770090974419759,0.1073326248671626,88.60809737381295,0.09633649932157395,0.2706687730384413,8.385449904275685,1.2423792850522661,0.5096822768335371,1.267605633802817,-2.23,Big South
207,Southern Utah,54,1755,523,0.298,9.685185185185185,32.5,0.298005698005698,164.0,3.037037037037037,439.2,252,5.16,341,1319,665,105,0.95,12.314814814814815,1.9444444444444444,341.0,6.314814814814815,797,0.454,5.649734647460197,3.3570887035633055,1.6097449908925319,0.37092731829573933,0.8249273182957393,0.5,0.3378333333333334,15.35088993025824,0.1475111096294469,-0.45660219063120616,-0.30909108100175925,0.15612535612535614,104.76339620207995,0.07809523809523809,0.265466816647919,6.9877049180327875,0.9476856724112352,0.5581698482422057,1.6829268292682926,-2.24,Mid-Continent
208,Buffalo,50,1663,457,0.275,9.14,33.26,0.27480457005411907,219.0,4.38,410.1,260,5.7,313,1231,536,63,0.966,10.72,1.26,262.0,5.24,652,0.392,6.229082047116166,4.803411860276198,1.7020238966105827,0.36809499225606607,0.760094992256066,0.419,0.33192229038854815,-10.901995756529008,-0.10476040793252352,-0.9825793799135563,-1.0873397878460798,0.11725796752856284,96.36805217264994,0.11196319018404909,0.25342058298631764,6.869056327724945,1.2922402560419195,0.5918403010056275,1.2968036529680365,-2.26,Mid-American
209,UMBC,50,1709,474,0.277,9.48,34.18,0.27735517846693974,129.0,2.58,420.2,252,5.39,304,1261,603,81,0.958,12.06,1.62,257.0,5.14,635,0.372,5.049128367670364,2.759904912836767,1.5683008091385056,0.3395225464190981,0.7115225464190982,0.424,0.30626362221069015,-118.5078501401437,-1.138775963699373,-0.610059874820519,-1.748835838519892,0.09420713867758923,59.92552439840235,0.06694343539180073,0.2617801047120419,6.511185149928606,0.84709121609422,0.5805270098349609,1.8294573643410852,-2.26,America East
210,Quinnipiac,50,1675,503,0.3,10.06,33.5,0.30029850746268655,217.0,4.34,396.0,237,5.39,321,1188,452,113,0.936,9.04,2.26,295.0,5.9,721,0.43,6.022727272727273,4.931818181818182,1.6717171717171717,0.39008179959100203,0.820081799591002,0.461,0.3556237322515213,90.88054133560249,0.8732972197080976,-1.2048106114829258,-0.3315133917748282,0.13014925373134328,130.03076792211635,0.11004056795131846,0.27299528301886794,7.295454545454545,1.4190599217242204,0.5549106717036977,1.2211981566820276,-2.27,Northeast
211,Eastern Ill.,56,1876,537,0.286,9.589285714285714,33.5,0.28624733475479747,276.0,4.928571428571429,456.1,340,6.71,421,1369,549,93,0.954,9.803571428571429,1.6607142857142858,290.0,5.178571428571429,773,0.412,6.153396639883127,5.4433893352812275,1.889936417452313,0.38801261829652994,0.8000126182965299,0.336,0.34564102564102567,55.02858633565346,0.5287854885671449,-0.6420914807082015,-0.11330599214105663,0.12586666666666665,115.85251594140419,0.1220159151193634,0.26029567053854274,8.307388730541547,1.5300623908860471,0.545242167344368,1.1304347826086956,-2.27,Ohio Valley
212,Memphis,55,1903,499,0.262,9.072727272727272,34.6,0.26221755123489227,215.0,3.909090909090909,470.1,376,7.2,470,1411,570,111,0.947,10.363636363636363,2.018181818181818,295.0,5.363636363636363,696,0.366,5.262225372076542,4.114103472714387,1.9059774516060413,0.34935897435897434,0.7153589743589743,0.299,0.30892108782880073,-124.94962931334886,-1.2006768696497403,-0.2999335941841721,-1.5006104638339124,0.10352075669994745,63.69987324323736,0.09585376727596968,0.2453125,8.998085513720484,1.2338704571433108,0.504880120495243,1.2790697674418605,-2.28,Conference USA
213,Delaware St.,46,1558,467,0.3,10.152173913043478,33.869565217391305,0.29974326059050066,158.0,3.4347826086956523,382.2,244,5.74,318,1148,469,99,0.942,10.195652173913043,2.152173913043478,260.0,5.6521739130434785,624,0.401,6.632404181184668,3.71602787456446,1.6064887493458921,0.3754963131026659,0.7764963131026659,0.409,0.33207162534435264,-9.525357101867986,-0.09153189177284701,-1.030330245204082,-1.1218621369769288,0.10077021822849808,96.58014982467333,0.08705234159779614,0.28316326530612246,7.4882260596546315,0.8259338322411508,0.5190139208896812,1.7848101265822784,-2.3,MEAC
