,Rank,Team,Conference
260,261,Norfolk State,MEAC
261,262,Southern Utah,MCC
262,263,Jackson State,SWAC
263,264,Air Force,MWC
264,265,Long Island,NEC
265,266,Tennessee-Martin,OVC
266,267,Wofford,SoCon
267,268,Portland,WCC
268,269,Cleveland State,Horiz
269,270,Wagner,NEC
270,271,Fairleigh Dickinson,NEC
271,272,Oakland,MCC
272,273,Sacred Heart,NEC
273,274,Mount St. Mary's,NEC
274,275,Western Illinois,MCC
275,276,Alcorn State,SWAC
276,277,Arkansas-Pine Bluff,SWAC
277,278,Alabama A&M,SWAC
278,279,Fairfield,MAAC
279,280,Prairie View A&M,SWAC
280,281,Alabama State,SWAC
281,282,Coppin State,MEAC
282,283,Canisius,MAAC
283,284,St. Peter's,MAAC
284,285,Chicago State,MCC
285,287,UMES,MEAC
