,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
129,UT Arlington,3,100,27,0.27,9.0,33.333333333333336,0.27,1,0.3333333333333333,27.0,10,8,2.67,81,47,5,0.962,15.666666666666666,1.6666666666666667,2,0.288,0.6666666666666666,15,5.0,38,0.38,3.7,1.0,1.11,186,WAC,22-34,11-20,0-1,11-13,0-0,162,WAC,-0.09105434227381853,2-1,80,165,142,0-0,0-0,2-1,0-0,0-0,,158,-4,0.6679999999999999,10.2085
130,Northwestern,3,99,22,0.222,7.333333333333333,33.0,0.2222222222222222,15,5.0,26.0,24,23,7.96,78,39,1,0.992,13.0,0.3333333333333333,7,0.358,2.3333333333333335,16,5.333333333333333,36,0.364,5.9,7.96,1.65,149,Big Ten,18-34,10-23,0-0,8-11,0-0,220,Big Ten,-0.3924240802831969,2-1,67,272,99,0-0,0-0,0-0,2-1,0-0,,199,-21,0.722,10.1863
131,Gardner-Webb,5,161,50,0.311,10.0,32.2,0.3105590062111801,24,4.8,41.0,47,39,8.56,123,30,8,0.95,6.0,1.6,16,0.439,3.2,51,10.2,93,0.578,13.4,6.15,2.05,220,Big South,22-31,7-15,0-0,15-16,0-0,168,Big South,-0.12298888618258468,2-3,261,110,273,0-0,0-0,0-0,0-0,2-3,,194,26,1.017,9.9159
132,Marshall,4,125,31,0.248,7.75,31.25,0.248,10,2.5,30.2,32,23,6.75,92,39,4,0.97,9.75,1.0,5,0.324,1.25,18,4.5,50,0.4,7.0,6.16,2.05,190,Sun Belt,18-37,3-21,1-4,14-12,0-0,217,Sun Belt,-0.37338619422787533,0-4,254,203,36,0-0,0-0,0-4,0-0,0-0,,219,2,0.724,9.886
133,Richmond,4,123,32,0.26,8.0,30.75,0.2601626016260163,16,4.0,34.0,9,7,1.85,102,35,3,0.979,8.75,0.75,1,0.343,0.25,25,6.25,48,0.39,8.2,2.91,1.0,216,Atlantic 10,27-32,7-13,3-2,17-17,0-0,204,Atlantic 10,-0.28710758798536773,4-0,32,51,235,0-0,0-0,0-0,1-0,3-0,,218,14,0.7330000000000001,9.8199
134,Holy Cross,3,89,16,0.18,5.333333333333333,29.666666666666668,0.1797752808988764,14,4.666666666666667,25.0,20,18,6.48,75,27,5,0.953,9.0,1.6666666666666667,6,0.319,2.0,11,3.6666666666666665,26,0.292,5.4,4.32,1.68,158,Patriot,26-27,14-24,1-0,11-3,0-0,264,Patriot,-0.7368140982425002,1-2,126,101,20,0-0,1-2,0-0,0-0,0-0,,269,5,0.611,9.7445
135,Elon,3,93,26,0.28,8.666666666666666,31.0,0.27956989247311825,12,4.0,21.0,32,28,12.0,63,8,3,0.959,2.6666666666666665,1.0,5,0.387,1.6666666666666667,14,4.666666666666667,31,0.333,9.4,9.0,2.38,178,CAA,21-32,4-14,0-0,17-18,0-0,133,CAA,0.07999868647737986,1-3,170,82,28,0-3,0-0,0-0,1-0,0-0,,155,22,0.72,9.2674
136,Memphis,3,87,16,0.184,5.333333333333333,29.0,0.1839080459770115,9,3.0,27.0,8,6,2.0,81,30,5,0.957,10.0,1.6666666666666667,0,0.26,0.0,9,3.0,33,0.379,7.0,4.0,1.3,201,AAC,23-32,10-15,0-0,13-17,0-0,179,American,-0.1586835127293258,2-1,101,127,179,0-0,0-0,0-0,2-1,0-0,,176,-3,0.639,9.2502
137,New Mexico,4,117,27,0.231,6.75,29.25,0.23076923076923078,13,3.25,33.1,37,36,9.72,100,24,3,0.976,6.0,0.75,7,0.336,1.75,18,4.5,47,0.402,10.0,4.59,1.83,202,Mountain West,27-26,8-12,2-4,17-10,1-0,164,Mountain West,-0.09150154925175344,2-2,122,212,85,0-0,0-2,0-0,1-0,1-0,,149,-15,0.738,9.2181
138,Villanova,3,98,20,0.204,6.666666666666667,32.666666666666664,0.20408163265306123,22,7.333333333333333,26.0,28,27,9.35,78,24,1,0.99,8.0,0.3333333333333333,6,0.381,2.0,11,3.6666666666666665,24,0.245,9.3,4.5,2.08,211,Big East,18-33,13-23,0-1,5-9,0-0,221,Big East,-0.39439393866454175,1-2,172,90,61,0-1,0-0,0-1,1-0,0-0,,220,-1,0.626,9.2168
139,Mount St. Mary's,3,113,37,0.327,12.333333333333334,37.666666666666664,0.3274336283185841,25,8.333333333333334,27.0,5,5,1.67,81,21,1,0.99,7.0,0.3333333333333333,4,0.458,1.3333333333333333,30,10.0,55,0.487,13.0,3.0,0.85,277,MAAC,22-34,11-19,2-2,9-13,0-0,283,MAAC,-0.9505245915137893,3-0,84,50,287,0-0,0-0,0-0,0-0,3-0,,283,0,0.9450000000000001,9.1312
140,Nevada,4,128,21,0.164,5.25,32.0,0.1640625,17,4.25,33.0,34,27,7.36,99,29,5,0.962,7.25,1.25,5,0.287,1.25,14,3.5,33,0.258,8.2,5.45,1.67,187,Mountain West,25-26,13-18,0-0,12-8,0-0,131,Mountain West,0.09122586719702748,1-3,174,173,31,0-0,0-0,1-3,0-0,0-0,,135,4,0.5449999999999999,8.926300000000001
141,UMass Lowell,3,97,24,0.247,8.0,32.333333333333336,0.24742268041237114,22,7.333333333333333,26.0,20,16,5.54,78,21,5,0.952,7.0,1.6666666666666667,5,0.411,1.6666666666666667,19,6.333333333333333,40,0.412,9.0,3.46,1.38,206,America East,24-31,15-20,1-2,8-9,0-0,231,America East,-0.5036327261113909,2-1,129,91,220,0-0,0-0,1-0,0-0,1-1,,235,4,0.823,8.911
142,Toledo,4,121,18,0.149,4.5,30.25,0.1487603305785124,13,3.25,33.0,27,22,6.0,99,37,4,0.971,9.25,1.0,4,0.254,1.0,8,2.0,24,0.198,6.8,3.55,1.52,195,MAC,27-32,14-22,2-2,11-8,0-0,196,MAC,-0.23140315044515117,1-3,141,171,11,0-0,1-3,0-0,0-0,0-0,,198,2,0.452,8.8446
143,Oral Roberts,3,97,36,0.371,12.0,32.333333333333336,0.3711340206185567,12,4.0,25.0,2,0,0.0,75,29,3,0.972,9.666666666666666,1.0,5,0.449,1.6666666666666667,25,8.333333333333334,50,0.515,8.3,1.44,0.8,261,Summit League,27-32,9-14,3-1,15-17,0-0,123,Summit,0.18654517158939027,3-0,119,89,290,0-0,0-0,0-0,0-0,3-0,,123,0,0.964,8.7747
144,LIU,4,115,23,0.2,5.75,28.75,0.2,20,5.0,30.0,37,35,10.5,90,28,3,0.975,7.0,0.75,2,0.324,0.5,19,4.75,38,0.33,8.7,8.1,2.4,191,NEC,33-25,9-19,4-2,20-4,0-0,270,Northeast,-0.7953547016550411,2-2,138,239,134,0-2,0-0,0-0,0-0,2-0,,264,-6,0.654,8.7446
145,St. Bonaventure,4,149,48,0.322,12.0,37.25,0.3221476510067114,23,5.75,33.0,39,37,10.09,99,36,4,0.971,9.0,1.0,6,0.43,1.5,45,11.25,76,0.51,10.4,5.18,1.79,223,Atlantic 10,18-31,10-24,0-0,8-7,0-0,279,Atlantic 10,-0.9023295537472478,3-1,59,46,141,0-0,0-0,0-0,3-1,0-0,,286,7,0.94,8.730699999999999
146,Sacred Heart,3,85,9,0.106,3.0,28.333333333333332,0.10588235294117647,4,1.3333333333333333,22.0,27,20,8.18,66,23,8,0.918,7.666666666666667,2.6666666666666665,4,0.183,1.3333333333333333,3,1.0,11,0.129,6.5,8.59,1.95,145,NEC,35-23,15-17,2-2,18-4,0-0,252,MAAC,-0.6279597138785517,0-3,227,106,5,0-3,0-0,0-0,0-0,0-0,,266,14,0.312,8.5424
147,Tennessee Tech,5,152,38,0.25,7.6,30.4,0.25,29,5.8,43.0,16,11,2.3,129,48,5,0.973,9.6,1.0,6,0.384,1.2,30,6.0,62,0.408,9.2,3.77,1.28,245,OVC,29-26,7-12,0-1,22-13,0-0,181,Ohio Valley,-0.16570642371239228,5-0,62,76,274,0-0,0-0,0-0,1-0,4-0,,187,6,0.792,8.329799999999999
148,UNLV,4,126,32,0.254,8.0,31.5,0.25396825396825395,15,3.75,33.0,40,36,9.82,99,31,6,0.956,7.75,1.5,3,0.347,0.75,18,4.5,43,0.341,12.5,8.45,2.33,231,Mountain West,26-26,10-14,0-1,16-11,0-0,130,Mountain West,0.0966119388537795,2-2,97,195,54,0-1,0-0,2-1,0-0,0-0,,132,2,0.688,8.3045
149,Oakland,4,135,31,0.23,7.75,33.75,0.22962962962962963,19,4.75,33.0,31,28,7.64,99,39,5,0.965,9.75,1.25,8,0.358,2.0,16,4.0,45,0.333,7.1,6.0,1.79,200,Horizon,29-27,17-20,0-2,12-5,2-0,186,Horizon,-0.18997959679362358,1-3,217,80,101,0-0,0-0,0-0,1-3,0-0,,209,23,0.6910000000000001,8.293800000000001
150,Jacksonville,4,122,20,0.164,5.0,30.5,0.16393442622950818,15,3.75,34.0,27,24,6.35,102,32,7,0.95,8.0,1.75,4,0.275,1.0,11,2.75,34,0.279,7.7,3.71,1.59,203,ASUN,27-31,8-16,2-2,17-13,0-0,206,Atlantic Sun,-0.3060656482197682,0-4,267,303,58,0-1,0-3,0-0,0-0,0-0,,165,-41,0.554,8.2121
151,Bethune-Cookman,3,91,21,0.231,7.0,30.333333333333332,0.23076923076923078,12,4.0,25.0,21,15,5.4,75,21,6,0.941,7.0,2.0,7,0.364,2.3333333333333335,14,4.666666666666667,41,0.451,10.1,5.4,1.56,222,SWAC,32-27,9-14,3-2,20-11,0-0,247,SWAC,-0.6009517882726201,0-3,305,248,221,0-0,0-0,0-0,0-3,0-0,,247,0,0.815,8.0344
152,Houston Christian,4,120,33,0.275,8.25,30.0,0.275,21,5.25,32.0,15,12,3.38,96,29,3,0.977,7.25,0.75,1,0.387,0.25,29,7.25,40,0.333,6.8,3.38,1.19,236,Southland,18-31,6-19,2-3,10-9,0-0,241,Southland,-0.5567877084176791,3-1,94,113,214,0-0,0-0,0-0,3-1,0-0,,240,-1,0.72,7.7169
153,Binghamton,3,97,20,0.206,6.666666666666667,32.333333333333336,0.20618556701030927,13,4.333333333333333,24.0,19,12,4.5,72,20,3,0.968,6.666666666666667,1.0,5,0.328,1.6666666666666667,12,4.0,32,0.33,8.6,4.12,1.62,246,America East,21-29,8-20,1-0,12-9,0-0,211,America East,-0.3392603686366004,0-3,245,4,22,0-0,0-3,0-0,0-0,0-0,,258,47,0.658,7.6147
154,SIUE,3,100,30,0.3,10.0,33.333333333333336,0.3,9,3.0,25.0,12,12,4.32,75,33,3,0.973,11.0,1.0,6,0.391,2.0,25,8.333333333333334,49,0.49,8.6,6.84,1.64,252,OVC,20-34,8-22,1-1,11-11,1-0,215,Ohio Valley,-0.36208117927179295,2-1,79,92,140,0-0,0-0,0-1,1-0,1-0,,216,1,0.881,7.5125
155,Towson,3,101,26,0.257,8.666666666666666,33.666666666666664,0.25742574257425743,13,4.333333333333333,25.0,16,16,5.76,75,27,3,0.971,9.0,1.0,1,0.345,0.3333333333333333,19,6.333333333333333,49,0.485,9.0,4.32,1.4,243,CAA,15-39,3-22,1-1,11-16,0-0,248,CAA,-0.6034272761014128,1-2,222,118,172,0-0,0-0,0-1,0-1,1-0,,250,2,0.83,7.4422
156,Davidson,3,82,17,0.207,5.666666666666667,27.333333333333332,0.2073170731707317,17,5.666666666666667,22.0,20,20,8.18,66,23,3,0.967,7.666666666666667,1.0,3,0.363,1.0,8,2.6666666666666665,26,0.317,9.8,3.68,1.55,229,Atlantic 10,24-28,5-16,1-0,18-12,0-0,212,Atlantic 10,-0.3403071670531824,1-2,237,259,198,0-0,0-0,0-0,1-2,0-0,,205,-7,0.6799999999999999,7.268
157,Hofstra,3,69,7,0.101,2.3333333333333335,23.0,0.10144927536231885,7,2.3333333333333335,18.0,46,33,16.5,54,14,6,0.919,4.666666666666667,2.0,2,0.203,0.6666666666666666,2,0.6666666666666666,11,0.159,9.0,13.5,3.33,151,CAA,24-33,10-23,1-2,13-8,0-0,194,CAA,-0.22614962490515117,0-3,208,143,1,0-3,0-0,0-0,0-0,0-0,,206,12,0.362,7.1986
158,UNC Asheville,4,120,35,0.292,8.75,30.0,0.2916666666666667,17,4.25,33.0,43,34,9.27,99,33,6,0.957,8.25,1.5,3,0.382,0.75,30,7.5,47,0.392,8.5,11.45,2.7,225,Big South,22-28,3-17,0-0,19-11,0-0,208,Big South,-0.32730026584303074,3-1,111,142,241,0-1,0-0,0-0,0-0,3-0,,204,-4,0.774,7.1297
159,Longwood,3,87,12,0.138,4.0,29.0,0.13793103448275862,20,6.666666666666667,27.0,29,16,5.33,81,29,10,0.917,9.666666666666666,3.3333333333333335,3,0.315,1.0,15,5.0,21,0.241,7.7,4.0,1.85,214,Big South,23-29,10-20,0-0,13-9,0-0,198,Big South,-0.24848596203918832,1-2,187,9,83,0-0,0-0,1-2,0-0,0-0,,233,35,0.556,7.087
160,UC Riverside,4,143,38,0.266,9.5,35.75,0.26573426573426573,11,2.75,38.0,29,24,5.68,114,29,8,0.947,7.25,2.0,3,0.327,0.75,23,5.75,51,0.357,11.6,5.92,1.53,263,Big West,16-36,4-17,0-0,12-19,0-0,242,Big West,-0.5750916271796911,2-2,193,185,216,0-0,0-0,0-0,2-2,0-0,,242,0,0.6839999999999999,7.0803
161,The Citadel,4,128,34,0.266,8.5,32.0,0.265625,22,5.5,35.0,29,23,5.91,105,33,4,0.972,8.25,1.0,5,0.391,1.25,25,6.25,48,0.375,6.4,5.14,1.63,232,SoCon,21-32,5-13,0-1,16-18,0-0,226,Southern,-0.4406492245296695,2-2,181,178,199,0-0,0-0,0-0,2-2,0-0,,224,-2,0.766,7.0652
162,Merrimack,3,101,22,0.218,7.333333333333333,33.666666666666664,0.21782178217821782,2,0.6666666666666666,24.0,32,30,11.25,72,25,4,0.96,8.333333333333334,1.3333333333333333,3,0.255,1.0,7,2.3333333333333335,34,0.337,5.6,5.62,2.25,208,NEC,33-26,15-14,3-5,15-7,0-0,280,MAAC,-0.9045884208592128,0-3,304,288,189,0-0,0-0,0-0,0-0,0-3,,274,-6,0.5920000000000001,7.0378
163,George Mason,4,123,24,0.195,6.0,30.75,0.1951219512195122,32,8.0,34.0,26,24,6.35,102,39,2,0.986,9.75,0.5,8,0.39,2.0,27,6.75,36,0.293,7.9,3.97,1.38,233,Atlantic 10,21-32,3-17,1-5,17-10,0-0,257,Atlantic 10,-0.6532370884264914,1-3,192,283,48,0-0,1-2,0-0,0-1,0-0,,226,-31,0.683,6.9075
164,Butler,4,145,39,0.269,9.75,36.25,0.2689655172413793,18,4.5,33.0,58,45,12.27,99,44,9,0.941,11.0,2.25,3,0.357,0.75,27,6.75,79,0.545,6.0,10.09,2.79,196,Big East,20-35,13-14,2-3,5-18,0-0,243,Big East,-0.5814720030770825,1-3,231,172,132,0-0,0-0,0-0,1-3,0-0,,244,1,0.902,6.8683
165,Texas Southern,4,125,30,0.24,7.5,31.25,0.24,20,5.0,34.0,31,29,7.68,102,45,4,0.974,11.25,1.0,8,0.377,2.0,20,5.0,43,0.344,6.1,6.88,2.12,230,SWAC,21-25,10-20,3-3,8-2,2-0,297,SWAC,-1.149760107002529,1-3,269,278,226,0-0,0-0,0-1,0-0,1-2,,294,-3,0.721,6.7169
166,Pepperdine,4,133,29,0.218,7.25,33.25,0.21804511278195488,8,2.0,37.0,30,23,5.59,111,40,6,0.962,10.0,1.5,2,0.271,0.5,8,2.0,40,0.301,9.0,3.65,1.73,272,WCC,15-38,7-16,0-1,8-21,0-0,213,West Coast,-0.35625340700783853,0-4,292,256,118,0-0,0-0,0-4,0-0,0-0,,213,0,0.5720000000000001,6.5287
167,Florida A&M,4,107,18,0.168,4.5,26.75,0.16822429906542055,15,3.75,32.0,31,27,7.59,96,47,9,0.941,11.75,2.25,2,0.282,0.5,14,3.5,31,0.29,5.9,4.78,1.81,209,SWAC,29-27,11-10,5-4,13-13,0-0,263,SWAC,-0.7329051793848618,1-3,286,276,264,0-0,0-0,0-0,0-1,1-2,,249,-14,0.572,6.4001
168,North Florida,4,127,37,0.291,9.25,31.75,0.29133858267716534,19,4.75,32.0,28,24,6.75,96,29,8,0.94,7.25,2.0,8,0.416,2.0,30,7.5,63,0.496,10.4,6.47,1.62,250,ASUN,21-30,8-13,0-0,13-17,0-0,173,Atlantic Sun,-0.13786922454303685,2-2,117,81,82,0-0,1-2,0-0,0-0,1-0,,200,27,0.9119999999999999,6.3355
169,San Francisco,4,147,45,0.306,11.25,36.75,0.30612244897959184,23,5.75,35.0,35,32,8.23,105,37,4,0.973,9.25,1.0,9,0.428,2.25,37,9.25,74,0.503,9.5,7.46,2.09,269,WCC,21-34,7-16,0-0,14-18,0-0,178,West Coast,-0.15764935835511154,2-2,146,130,163,0-0,0-0,0-0,2-2,0-0,,178,0,0.931,6.2849
170,Lipscomb,3,100,18,0.18,6.0,33.333333333333336,0.18,16,5.333333333333333,29.0,22,18,5.59,87,28,7,0.943,9.333333333333334,2.3333333333333335,1,0.294,0.3333333333333333,14,4.666666666666667,26,0.26,6.2,5.9,1.76,227,ASUN,22-34,9-19,1-1,12-14,0-0,174,Atlantic Sun,-0.13883083791219325,2-1,49,154,49,1-1,0-0,1-0,0-0,0-0,,173,-1,0.554,6.1902
171,Akron,3,115,34,0.296,11.333333333333334,38.333333333333336,0.2956521739130435,25,8.333333333333334,28.2,25,21,6.59,86,26,6,0.949,8.666666666666666,2.0,9,0.45,3.0,38,12.666666666666666,51,0.443,10.4,5.97,1.67,268,MAC,15-39,9-22,3-3,3-14,0-0,262,MAC,-0.7298202400940103,2-1,135,164,229,0-0,0-0,0-0,0-0,2-1,,262,0,0.893,6.1733
172,NJIT,4,124,28,0.226,7.0,31.0,0.22580645161290322,11,2.75,28.2,46,35,10.99,86,19,5,0.955,4.75,1.25,3,0.304,0.75,16,4.0,38,0.306,7.2,9.42,2.62,228,America East,26-28,12-21,1-2,13-5,0-0,244,America East,-0.5831209004808243,0-4,288,180,111,0-0,0-0,0-0,0-4,0-0,,251,7,0.61,5.9363
173,UT Martin,3,91,26,0.286,8.666666666666666,30.333333333333332,0.2857142857142857,10,3.3333333333333335,24.0,11,9,3.38,72,27,3,0.971,9.0,1.0,5,0.383,1.6666666666666667,18,6.0,40,0.44,9.0,4.88,1.21,280,OVC,21-35,7-20,1-1,13-14,0-0,253,Ohio Valley,-0.6389400307509898,2-1,136,241,231,0-0,0-0,0-0,0-0,2-1,,238,-15,0.823,5.8133
174,Wagner,3,104,28,0.269,9.333333333333334,34.666666666666664,0.2692307692307692,10,3.3333333333333335,26.0,54,49,16.96,78,27,7,0.938,9.0,2.3333333333333335,5,0.355,1.6666666666666667,15,5.0,41,0.394,8.7,6.92,2.62,215,NEC,26-30,11-20,1-2,14-8,0-0,277,Northeast,-0.8849869184238374,1-2,128,119,21,1-2,0-0,0-0,0-0,0-0,,282,5,0.749,5.8066
175,Iona,2,77,25,0.325,12.5,38.5,0.3246753246753247,20,10.0,17.0,13,13,6.88,51,15,3,0.957,7.5,1.5,8,0.5,4.0,28,14.0,32,0.416,12.7,7.94,1.71,292,MAAC,12-38,5-31,0-0,7-7,0-0,298,MAAC,-1.194304041932489,1-1,253,103,286,0-0,0-0,0-0,0-0,1-1,,298,0,0.9159999999999999,5.5732
176,Radford,4,144,34,0.236,8.5,36.0,0.2361111111111111,26,6.5,37.0,45,42,10.22,111,40,5,0.968,10.0,1.25,9,0.383,2.25,28,7.0,60,0.417,9.7,7.3,1.97,256,Big South,16-34,4-21,0-0,12-13,0-0,260,Big South,-0.7195617440642534,1-3,273,260,242,0-0,0-0,0-0,0-1,1-2,,256,-4,0.8,5.3474
177,Lafayette,4,131,27,0.206,6.75,32.75,0.20610687022900764,12,3.0,34.0,39,36,9.53,102,37,4,0.972,9.25,1.0,5,0.295,1.25,13,3.25,42,0.321,5.0,4.76,2.06,244,Patriot,14-35,5-25,0-0,9-10,0-0,261,Patriot,-0.7279395422685575,0-4,224,43,4,0-4,0-0,0-0,0-0,0-0,,280,19,0.616,5.2675
178,Bradley,3,102,22,0.216,7.333333333333333,34.0,0.21568627450980393,11,3.6666666666666665,23.0,40,38,14.87,69,22,1,0.989,7.333333333333333,0.3333333333333333,5,0.322,1.6666666666666667,13,4.333333333333333,30,0.294,10.2,9.39,2.74,259,MVC,12-37,7-24,4-1,1-12,1-0,230,Missouri Valley,-0.4867894865520045,0-3,239,210,13,0-0,0-3,0-0,0-0,0-0,,231,1,0.616,5.1676
179,Grambling,4,132,39,0.295,9.75,33.0,0.29545454545454547,29,7.25,32.0,49,42,11.81,96,31,10,0.927,7.75,2.5,10,0.443,2.5,44,11.0,67,0.508,8.7,10.97,2.72,233,SWAC,25-28,9-13,7-8,9-7,1-0,281,SWAC,-0.9124989649366041,2-2,218,147,263,0-0,0-0,0-0,0-1,2-1,,279,-2,0.9510000000000001,5.120900000000001
180,FDU,3,107,29,0.271,9.666666666666666,35.666666666666664,0.27102803738317754,20,6.666666666666667,24.0,26,22,8.25,72,26,6,0.942,8.666666666666666,2.0,3,0.4,1.0,14,4.666666666666667,35,0.327,5.2,6.0,1.92,239,NEC,26-30,11-23,1-2,14-5,0-0,294,Northeast,-1.1204879861244903,0-3,302,274,174,0-0,0-0,0-0,0-0,0-3,,293,-1,0.7270000000000001,5.0943000000000005
181,Ohio,3,109,36,0.33,12.0,36.333333333333336,0.3302752293577982,7,2.3333333333333335,23.2,33,29,11.03,71,26,7,0.933,8.666666666666666,2.3333333333333335,2,0.375,0.6666666666666666,21,7.0,48,0.44,6.8,9.51,2.49,251,MAC,18-32,8-20,0-0,10-12,0-0,237,MAC,-0.5362300888422282,0-3,260,287,46,0-0,0-0,0-3,0-0,0-0,,225,-12,0.815,4.7989999999999995
182,Valparaiso,3,83,18,0.217,6.0,27.666666666666668,0.21686746987951808,9,3.0,20.0,33,28,12.6,60,26,4,0.956,8.666666666666666,1.3333333333333333,8,0.35,2.6666666666666665,11,3.6666666666666665,28,0.337,8.1,7.65,2.45,242,MVC,14-38,8-27,0-1,6-10,0-0,238,Missouri Valley,-0.5457734230864314,0-3,263,282,52,0-0,0-0,0-3,0-0,0-0,,227,-11,0.687,4.798
183,Bucknell,3,89,12,0.135,4.0,29.666666666666668,0.1348314606741573,15,5.0,23.0,52,42,16.43,69,22,7,0.929,7.333333333333333,2.3333333333333335,1,0.267,0.3333333333333333,9,3.0,17,0.191,5.5,8.61,3.04,192,Patriot,22-24,6-16,4-2,12-6,0-0,227,Patriot,-0.4515389242976567,1-2,124,63,15,0-0,1-2,0-0,0-0,0-0,,237,10,0.458,4.751099999999999
184,Quinnipiac,4,124,22,0.177,5.5,31.0,0.1774193548387097,18,4.5,34.1,34,31,8.13,103,37,1,0.993,9.25,0.25,3,0.295,0.75,16,4.0,31,0.25,6.3,9.44,1.95,248,MAAC,20-30,7-25,0-0,13-5,0-0,266,MAAC,-0.749782798298978,1-3,173,235,30,0-2,0-0,1-1,0-0,0-0,,267,1,0.5449999999999999,4.678800000000001
185,Utah Tech,4,123,33,0.268,8.25,30.75,0.2682926829268293,24,6.0,36.0,23,21,5.25,108,48,3,0.981,12.0,0.75,6,0.409,1.5,24,6.0,54,0.439,7.8,6.5,1.5,284,WAC,14-42,7-22,0-0,7-20,0-0,234,WAC,-0.5093110304148503,2-2,243,149,275,0-0,0-0,0-0,0-0,2-2,,229,-5,0.848,4.4176
186,Manhattan,4,118,26,0.22,6.5,29.5,0.22033898305084745,14,3.5,29.1,37,34,10.43,88,24,5,0.957,6.0,1.25,1,0.308,0.25,13,3.25,34,0.288,9.5,7.36,2.18,270,MAAC,22-30,16-22,0-0,6-8,0-0,268,MAAC,-0.7875718402990619,1-3,207,208,71,0-3,0-0,0-0,0-0,1-0,,273,5,0.596,4.3850999999999996
187,Marist,4,135,33,0.244,8.25,33.75,0.24444444444444444,20,5.0,31.0,52,42,12.19,93,21,8,0.934,5.25,2.0,3,0.352,0.75,19,4.75,43,0.319,9.3,8.71,2.42,253,MAAC,20-35,13-23,2-2,5-10,0-0,278,MAAC,-0.8881370407661524,0-4,296,293,127,0-2,0-0,0-0,0-0,0-2,,270,-8,0.671,4.361800000000001
188,Milwaukee,3,101,22,0.218,7.333333333333333,33.666666666666664,0.21782178217821782,8,2.6666666666666665,25.0,25,24,8.64,75,27,2,0.981,9.0,0.6666666666666666,2,0.288,0.6666666666666666,13,4.333333333333333,38,0.376,7.2,4.32,1.56,275,Horizon,17-36,6-27,1-2,10-7,2-0,254,Horizon,-0.6447541079536598,1-2,171,159,60,0-0,0-0,1-2,0-0,0-0,,259,5,0.6639999999999999,4.3071
189,Pacific,4,125,27,0.216,6.75,31.25,0.216,8,2.0,35.0,26,19,4.89,105,36,7,0.953,9.0,1.75,0,0.259,0.0,19,4.75,41,0.328,8.5,5.66,1.6,293,WCC,11-44,2-25,0-1,9-18,0-0,288,West Coast,-1.0449894387475047,2-2,188,307,207,0-0,0-0,0-0,2-1,0-1,,255,-33,0.587,4.183400000000001
190,Lehigh,3,81,12,0.148,4.0,27.0,0.14814814814814814,12,4.0,21.1,36,32,13.5,64,27,7,0.929,9.0,2.3333333333333335,1,0.266,0.3333333333333333,7,2.3333333333333335,15,0.185,6.3,10.55,2.91,224,Patriot,23-23,12-14,2-1,9-8,1-0,256,Patriot,-0.6506691983369669,0-3,240,229,14,0-0,0-3,0-0,0-0,0-0,,261,5,0.451,3.6580999999999992
191,Omaha,4,139,40,0.288,10.0,34.75,0.28776978417266186,19,4.75,32.0,34,33,9.28,96,40,4,0.971,10.0,1.0,9,0.402,2.25,26,6.5,53,0.381,7.3,7.03,2.0,290,Summit League,18-32,10-19,0-4,8-9,0-0,216,Summit,-0.3656478495914485,1-3,197,70,55,0-0,0-0,0-3,1-0,0-0,,236,20,0.783,3.5524000000000004
192,Purdue Fort Wayne,3,90,14,0.156,4.666666666666667,30.0,0.15555555555555556,2,0.6666666666666666,24.0,32,29,10.88,72,20,4,0.958,6.666666666666667,1.3333333333333333,1,0.183,0.3333333333333333,2,0.6666666666666666,15,0.167,4.9,8.62,2.33,247,Horizon,19-37,11-25,1-2,7-10,0-0,271,Horizon,-0.7993649266177906,0-3,221,200,3,0-3,0-0,0-0,0-0,0-0,,276,5,0.35,3.430300000000001
193,Fordham,3,77,15,0.195,5.0,25.666666666666668,0.19480519480519481,10,3.3333333333333335,19.1,42,35,16.29,58,19,7,0.917,6.333333333333333,2.3333333333333335,6,0.326,2.0,9,3.0,25,0.325,3.7,9.78,2.95,198,Atlantic 10,19-33,7-19,1-3,11-11,0-0,267,Atlantic 10,-0.7637213243162654,0-3,238,269,10,0-3,0-0,0-0,0-0,0-0,,265,-2,0.651,3.1059
194,Maine,4,130,31,0.238,7.75,32.5,0.23846153846153847,14,3.5,31.2,31,25,7.11,95,30,7,0.947,7.5,1.75,6,0.338,1.5,13,3.25,39,0.3,5.7,7.39,1.86,294,America East,10-37,4-23,1-4,5-10,2-0,273,America East,-0.8142602738365545,0-4,248,219,27,0-0,0-4,0-0,0-0,0-0,,275,2,0.638,2.0785
195,CSU Bakersfield,3,93,20,0.215,6.666666666666667,31.0,0.21505376344086022,15,5.0,26.0,31,24,8.31,78,29,6,0.947,9.666666666666666,2.0,5,0.354,1.6666666666666667,12,4.0,26,0.28,4.8,10.38,2.31,274,Big West,15-38,4-16,0-7,11-15,0-0,228,Big West,-0.4769837786104437,1-2,210,261,154,0-0,0-0,0-0,1-2,0-0,,222,-6,0.634,1.9875000000000007
