,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
31,Louisville,3,110,33,0.3,11.0,36.666666666666664,0.3,8,2.6666666666666665,26.0,16,15,5.19,78,22,2,0.98,7.333333333333333,0.6666666666666666,4,0.369,1.3333333333333333,20,6.666666666666667,39,0.355,11.8,4.5,1.38,61,ACC,32-24,7-10,0-4,25-10,0-0,24,ACC,1.0201571627054247,2-1,23,8,12,1-1,1-0,0-0,0-0,0-0,,35,11,0.724,19.9118
32,Arizona,4,116,25,0.216,6.25,29.0,0.21551724137931033,19,4.75,32.0,31,31,8.72,96,31,1,0.992,7.75,0.25,4,0.343,1.0,17,4.25,47,0.405,11.2,3.38,1.75,35,Pac-12,36-23,13-11,4-3,19-9,0-0,26,Big 12,1.0117259264033938,1-3,189,65,44,0-2,0-1,0-0,1-0,0-0,,36,10,0.748,19.739
33,East Carolina,4,122,22,0.18,5.5,30.5,0.18032786885245902,10,2.5,35.0,16,13,3.34,105,34,5,0.965,8.5,1.25,5,0.27,1.25,13,3.25,39,0.32,10.3,4.89,1.06,22,AAC,46-17,13-9,4-2,29-6,0-0,38,American,0.8000139953321556,2-2,203,296,230,0-0,0-0,0-1,0-0,2-1,,23,-15,0.5900000000000001,19.6688
34,Duke,4,136,34,0.25,8.5,34.0,0.25,30,7.5,39.0,36,28,6.46,117,32,8,0.949,8.0,2.0,5,0.401,1.25,22,5.5,68,0.5,10.8,5.77,1.72,20,ACC,40-20,11-9,7-1,22-10,0-0,17,ACC,1.0728994225062627,2-2,125,58,93,0-0,0-0,2-2,0-0,0-0,,30,13,0.901,19.6408
35,Louisiana Tech,4,127,33,0.26,8.25,31.75,0.25984251968503935,26,6.5,35.0,13,12,3.09,105,51,2,0.987,12.75,0.5,4,0.394,1.0,31,7.75,52,0.409,7.5,3.6,1.29,33,CUSA,45-19,12-10,3-2,30-7,0-0,47,Conference USA,0.7262511228837294,4-0,65,86,276,0-0,0-0,0-0,0-0,4-0,,44,-3,0.8029999999999999,19.6363
36,Texas,3,110,35,0.318,11.666666666666666,36.666666666666664,0.3181818181818182,16,5.333333333333333,25.2,12,12,4.21,77,27,4,0.963,9.0,1.3333333333333333,2,0.411,0.6666666666666666,27,9.0,63,0.573,9.8,3.86,1.32,49,Big 12,36-24,11-6,1-6,24-12,0-0,7,SEC,1.311441261835435,2-1,27,3,16,1-1,1-0,0-0,0-0,0-0,,15,8,0.984,19.5009
37,Ole Miss,4,110,26,0.236,6.5,27.5,0.23636363636363636,22,5.5,32.2,18,16,4.41,98,25,3,0.976,6.25,0.75,6,0.386,1.5,21,5.25,49,0.445,10.5,5.23,1.5,36,SEC,27-29,7-15,1-2,19-12,0-0,28,SEC,0.998031171163448,3-1,26,10,40,1-1,1-0,0-0,1-0,0-0,,42,14,0.831,19.4894
38,Auburn,4,133,39,0.293,9.75,33.25,0.2932330827067669,19,4.75,36.0,17,15,3.75,108,29,4,0.972,7.25,1.0,6,0.398,1.5,27,6.75,62,0.466,10.8,4.5,1.19,51,SEC,27-26,5-12,4-1,18-13,0-0,37,SEC,0.84547096509868,3-1,118,79,252,0-0,0-0,1-0,0-0,2-1,,38,1,0.8640000000000001,19.4032
39,Michigan,4,160,51,0.319,12.75,40.0,0.31875,12,3.0,38.0,7,6,1.42,114,40,2,0.987,10.0,0.5,3,0.375,0.75,35,8.75,84,0.525,9.9,2.84,1.0,87,Big Ten,32-28,9-12,4-8,19-8,0-0,55,Big Ten,0.6132569186681109,4-0,5,16,108,1-0,0-0,1-0,1-0,1-0,,56,1,0.9,19.2834
40,ETSU,4,143,47,0.329,11.75,35.75,0.32867132867132864,21,5.25,35.0,13,8,2.06,105,34,3,0.979,8.5,0.75,6,0.433,1.5,35,8.75,87,0.608,8.2,3.86,1.06,54,SoCon,36-20,10-13,2-2,24-5,0-0,116,Southern,0.21563031286696246,3-1,74,174,192,0-0,0-1,0-0,0-0,3-0,,102,-14,1.041,19.2291
