,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,PYTHAG,Rating,Wins,Losses,WIN%,Wins_Over_Pythag
132,Stanford,4,155,55,0.355,13.75,38.75,0.3548387096774194,18,4.5,35.0,22,18,4.63,105,39,5,0.966,9.75,1.25,3,0.429,0.75,42,10.5,81,0.523,7.7,3.34,1.2,156,Pac-12,22-33,7-16,2-1,13-16,0-0,47,ACC,2.920647915605759,4-0,23,83,166,0-0,0-0,0-0,4-0,0-0,,40,-7,0.952,0.766,0.47,4,0,1.0,0.23399999999999999
133,ULM,4,136,47,0.346,11.75,34.0,0.34558823529411764,26,6.5,34.0,16,15,3.97,102,39,2,0.986,9.75,0.5,6,0.462,1.5,38,9.5,66,0.485,10.3,4.5,1.41,173,Sun Belt,25-30,8-12,0-0,17-18,0-0,115,Sun Belt,1.0815670949740928,3-1,154,6,252,0-0,0-0,0-0,2-1,1-0,,142,27,0.9470000000000001,0.83,0.47,3,1,0.75,-0.07999999999999996
134,Illinois St.,2,78,19,0.244,9.5,39.0,0.24358974358974358,4,2.0,18.2,13,12,5.79,56,18,4,0.949,9.0,2.0,0,0.28,0.0,10,5.0,27,0.346,8.2,5.3,1.5,134,MVC,30-27,15-16,3-4,12-7,0-0,153,Missouri Valley,0.11287941846305669,0-2,292,155,175,0-0,0-0,0-0,0-2,0-0,,153,0,0.626,0.382,0.44,0,2,0.0,-0.382
135,New Mexico St.,4,143,46,0.322,11.5,35.75,0.32167832167832167,24,6.0,36.0,28,28,7.0,108,46,0,1.0,11.5,0.0,4,0.433,1.0,31,7.75,70,0.49,6.2,3.25,1.69,138,CUSA,25-29,10-16,0-2,15-11,0-0,189,Conference USA,-0.6766173937040346,2-2,223,143,279,0-0,0-0,0-0,0-0,2-2,,202,13,0.923,0.546,0.44,2,2,0.5,-0.04600000000000004
136,Utah Valley,4,142,33,0.232,8.25,35.5,0.2323943661971831,25,6.25,36.2,23,18,4.42,110,40,9,0.943,10.0,2.25,15,0.397,3.75,29,7.25,52,0.366,12.3,2.7,1.34,168,WAC,25-29,14-17,1-2,10-10,4-0,162,WAC,-0.20064640650312499,2-2,221,122,273,0-0,0-0,0-0,0-0,2-2,,170,8,0.763,0.604,0.43,2,2,0.5,-0.10399999999999998
137,VMI,4,107,43,0.402,10.75,26.75,0.40186915887850466,41,10.25,29.0,14,10,3.1,87,26,4,0.966,6.5,1.0,10,0.577,2.5,54,13.5,64,0.598,10.2,3.41,1.28,148,SoCon,25-29,10-19,1-2,14-8,2-0,191,Southern,-0.7125592404835269,4-0,62,50,305,0-0,0-0,0-0,0-0,4-0,,188,-3,1.1749999999999998,0.922,0.34,4,0,1.0,0.07799999999999996
138,Southern Ill.,3,94,19,0.202,6.333333333333333,31.333333333333332,0.20212765957446807,14,4.666666666666667,25.0,13,8,2.88,75,26,2,0.981,8.666666666666666,0.6666666666666666,6,0.333,2.0,13,4.333333333333333,27,0.287,9.0,3.6,1.04,155,MVC,33-27,11-15,2-2,20-10,0-0,77,Missouri Valley,1.9957180839226134,1-2,187,5,82,0-0,0-0,1-2,0-0,0-0,,84,7,0.62,0.5,0.19,1,2,0.333,-0.16699999999999998
139,UCLA,4,134,44,0.328,11.0,33.5,0.3283582089552239,39,9.75,36.0,8,5,1.25,108,27,2,0.985,6.75,0.5,12,0.511,3.0,52,13.0,69,0.515,10.5,3.25,0.92,181,Pac-12,19-33,4-20,0-2,15-11,0-0,22,Big Ten,4.067419639330675,4-0,10,3,93,0-0,0-0,4-0,0-0,0-0,,41,19,1.026,0.968,0.16,4,0,1.0,0.03200000000000003
140,Gonzaga,3,100,22,0.22,7.333333333333333,33.333333333333336,0.22,5,1.6666666666666667,25.0,9,8,2.88,75,34,1,0.991,11.333333333333334,0.3333333333333333,0,0.257,0.0,8,2.6666666666666665,32,0.32,8.6,4.68,1.28,172,WCC,21-32,8-23,2-2,11-7,0-0,155,West Coast,0.017818340840083734,1-2,260,299,256,0-0,0-0,0-0,0-0,1-2,,141,-14,0.577,0.446,0.15,1,2,0.333,-0.11299999999999999
141,Stony Brook,3,96,24,0.25,8.0,32.0,0.25,15,5.0,25.0,14,14,5.04,75,29,1,0.99,9.666666666666666,0.3333333333333333,4,0.371,1.3333333333333333,21,7.0,40,0.417,9.7,4.32,1.32,159,CAA,24-28,8-16,2-4,14-8,0-0,193,CAA,-0.8537077750036023,3-0,52,183,282,0-0,0-0,0-0,0-0,3-0,,184,-9,0.788,0.677,0.14,3,0,1.0,0.32299999999999995
142,UC San Diego,4,132,28,0.212,7.0,33.0,0.21212121212121213,29,7.25,34.1,22,21,5.5,103,40,3,0.979,10.0,0.75,6,0.373,1.5,22,5.5,45,0.341,8.4,3.15,1.28,137,Big West,30-23,8-13,0-0,22-10,0-0,143,Big West,0.30835812389224965,1-3,277,305,272,0-0,0-0,0-0,0-1,1-2,,165,22,0.714,0.5,0.14,1,3,0.25,-0.25
143,N.C. A&T,2,68,26,0.382,13.0,34.0,0.38235294117647056,13,6.5,18.0,7,7,3.5,54,16,3,0.959,8.0,1.5,5,0.494,2.5,26,13.0,49,0.721,10.0,5.0,1.5,166,CAA,25-28,9-16,2-1,14-11,0-0,210,CAA,-1.3550394199399332,2-0,60,59,302,0-0,0-0,0-0,0-0,2-0,,214,4,1.2149999999999999,0.917,0.09,2,0,1.0,0.08299999999999996
144,Austin Peay,4,129,33,0.256,8.25,32.25,0.2558139534883721,13,3.25,32.0,34,30,8.44,96,32,2,0.985,8.0,0.5,4,0.338,1.0,20,5.0,62,0.481,10.4,5.91,1.88,154,ASUN,35-21,15-13,0-1,20-7,0-0,202,Atlantic Sun,-1.0963712792821518,1-3,249,304,155,0-0,0-0,1-1,0-2,0-0,,200,-2,0.819,0.275,0.02,1,3,0.25,-0.025000000000000022
145,Army West Point,3,89,13,0.146,4.333333333333333,29.666666666666668,0.14606741573033707,16,5.333333333333333,25.0,9,7,2.52,75,26,6,0.944,8.666666666666666,2.0,4,0.3,1.3333333333333333,8,2.6666666666666665,14,0.157,7.2,4.32,1.32,124,Patriot,31-23,11-8,4-6,16-9,0-0,166,Patriot,-0.30934309932947246,1-2,261,160,285,0-0,0-0,0-0,0-0,1-2,,159,-7,0.45699999999999996,0.446,-0.02,1,2,0.333,-0.11299999999999999
146,Kent St.,3,90,25,0.278,8.333333333333334,30.0,0.2777777777777778,9,3.0,25.0,16,16,5.76,75,30,3,0.972,10.0,1.0,6,0.37,2.0,11,3.6666666666666665,38,0.422,7.9,1.08,1.36,165,MAC,26-26,13-17,0-2,13-7,1-1,121,MAC,0.9008314876954321,1-2,241,167,173,0-0,0-0,0-1,0-0,1-1,,137,16,0.792,0.335,-0.03,1,2,0.333,-0.0020000000000000018
147,Ohio St.,3,102,31,0.304,10.333333333333334,34.0,0.30392156862745096,16,5.333333333333333,24.2,33,28,10.22,74,33,8,0.93,11.0,2.6666666666666665,7,0.425,2.3333333333333335,24,8.0,52,0.51,5.1,6.93,1.91,67,Big Ten,29-26,11-15,5-3,13-8,0-0,122,Big Ten,0.8929827545599427,0-3,278,306,97,0-0,0-0,0-3,0-0,0-0,,106,-16,0.935,0.358,-0.11,0,3,0.0,-0.358
148,Air Force,5,145,24,0.166,4.8,29.0,0.16551724137931034,12,2.4,38.0,36,35,8.29,114,55,3,0.983,11.0,0.6,3,0.242,0.6,8,1.6,35,0.241,6.4,6.63,2.13,116,Mountain West,27-28,9-17,4-5,14-6,0-0,145,Mountain West,0.28848411830085474,0-5,140,240,25,0-3,0-2,0-0,0-0,0-0,,156,11,0.483,0.06,-0.13,0,5,0.0,-0.06
149,New Orleans,3,98,34,0.347,11.333333333333334,32.666666666666664,0.3469387755102041,9,3.0,21.2,35,29,12.05,65,14,3,0.963,4.666666666666667,1.0,3,0.404,1.0,26,8.666666666666666,73,0.745,10.8,10.38,2.86,128,Southland,28-26,9-13,1-1,18-12,3-0,158,Southland,-0.045449466193182506,1-2,262,172,288,0-0,0-0,0-0,0-0,1-2,,134,-24,1.149,0.367,-0.14,1,2,0.333,-0.033999999999999975
150,Fairfield,3,113,30,0.265,10.0,37.666666666666664,0.26548672566371684,12,4.0,27.0,23,23,7.67,81,29,2,0.982,9.666666666666666,0.6666666666666666,0,0.326,0.0,18,6.0,47,0.416,8.7,5.33,1.67,162,MAAC,34-24,12-14,2-2,20-8,0-0,161,MAAC,-0.1345316498518399,2-1,112,126,119,0-0,0-0,2-1,0-0,0-0,,140,-21,0.742,0.39,-0.19,2,1,0.667,0.277
151,Northwestern St.,3,97,29,0.299,9.666666666666666,32.333333333333336,0.29896907216494845,23,7.666666666666667,26.0,15,12,4.15,78,16,3,0.969,5.333333333333333,1.0,7,0.461,2.3333333333333335,29,9.666666666666666,43,0.443,11.4,5.19,1.62,188,Southland,20-33,6-16,2-4,12-13,2-0,186,Southland,-0.6546056287757335,2-1,182,101,254,0-0,0-0,0-0,2-1,0-0,,189,3,0.904,0.77,-0.34,2,1,0.667,-0.10299999999999998
152,San Jose St.,3,107,28,0.262,9.333333333333334,35.666666666666664,0.2616822429906542,12,4.0,26.0,14,10,3.46,78,33,2,0.982,11.0,0.6666666666666666,3,0.35,1.0,22,7.333333333333333,42,0.393,7.6,5.19,1.38,171,Mountain West,24-33,10-22,2-2,12-9,0-0,160,Mountain West,-0.108034710632029,2-1,97,196,94,0-0,0-0,2-1,0-0,0-0,,152,-8,0.743,0.696,-0.36,2,1,0.667,-0.028999999999999915
153,Niagara,3,87,13,0.149,4.333333333333333,29.0,0.14942528735632185,8,2.6666666666666665,22.1,35,21,8.46,67,27,10,0.904,9.0,3.3333333333333335,1,0.229,0.3333333333333333,3,1.0,19,0.218,9.3,10.07,2.73,103,MAAC,38-17,23-13,3-1,12-3,0-0,250,MAAC,-2.5690599317281517,0-3,169,266,35,0-0,0-3,0-0,0-0,0-0,,207,-43,0.447,0.011,-0.37,0,3,0.0,-0.011
154,UAB,4,132,42,0.318,10.5,33.0,0.3181818181818182,30,7.5,33.0,18,18,4.91,99,39,1,0.993,9.75,0.25,4,0.45,1.0,45,11.25,63,0.477,9.5,5.18,1.52,183,AAC,26-29,10-15,0-2,16-12,0-0,130,American,0.6915134556372138,3-1,121,39,167,0-0,0-0,0-1,0-0,3-0,,157,27,0.927,0.842,-0.45,3,1,0.75,-0.09199999999999997
155,Delaware,3,95,15,0.158,5.0,31.666666666666668,0.15789473684210525,12,4.0,24.0,35,34,12.75,72,18,2,0.978,6.0,0.6666666666666666,1,0.259,0.3333333333333333,5,1.6666666666666667,21,0.221,7.5,6.0,2.38,121,CAA,31-26,17-10,3-1,11-15,0-0,184,CAA,-0.6240583858720815,0-3,281,246,111,0-0,0-0,0-3,0-0,0-0,,171,-13,0.48,0.028,-0.52,0,3,0.0,-0.028
156,Rice,3,100,17,0.17,5.666666666666667,33.333333333333336,0.17,10,3.3333333333333335,25.0,22,17,6.12,75,25,4,0.962,8.333333333333334,1.3333333333333333,2,0.259,0.6666666666666666,8,2.6666666666666665,21,0.21,10.1,7.56,1.92,163,AAC,23-36,8-16,1-2,14-18,0-0,156,American,0.017473215389054574,1-3,191,176,80,0-1,0-0,0-1,1-0,0-1,,163,7,0.469,0.136,-0.52,1,3,0.25,0.11399999999999999
157,Abilene Christian,4,134,38,0.284,9.5,33.5,0.2835820895522388,23,5.75,34.0,37,37,9.79,102,34,3,0.978,8.5,0.75,8,0.413,2.0,25,6.25,50,0.373,8.5,6.35,2.15,153,WAC,33-25,13-11,1-3,19-11,0-0,138,WAC,0.477705553800672,1-3,233,170,114,0-0,0-0,1-2,0-1,0-0,,126,-12,0.786,0.328,-0.57,1,3,0.25,-0.07800000000000001
158,Santa Clara,3,101,28,0.277,9.333333333333334,33.666666666666664,0.27722772277227725,19,6.333333333333333,27.0,18,15,5.0,81,35,6,0.951,11.666666666666666,2.0,9,0.427,3.0,22,7.333333333333333,42,0.416,8.7,5.67,1.56,157,WCC,26-26,9-16,0-2,17-8,0-0,99,West Coast,1.473007073715463,2-1,107,135,107,0-0,0-0,2-1,0-0,0-0,,112,13,0.843,0.591,-0.61,2,1,0.667,0.07600000000000007
159,Winthrop,4,134,46,0.343,11.5,33.5,0.34328358208955223,15,3.75,36.0,12,11,2.75,107,32,2,0.986,8.0,0.5,11,0.434,2.75,35,8.75,78,0.582,10.8,1.0,1.0,240,Big South,19-29,4-15,0-1,15-13,0-0,213,Big South,-1.3769400956699425,3-1,92,102,124,0-1,0-0,0-0,0-0,3-0,,223,10,1.016,0.876,-0.63,3,1,0.75,-0.126
160,Washington,4,122,25,0.205,6.25,30.5,0.20491803278688525,16,4.0,33.1,25,24,6.48,100,26,4,0.969,6.5,1.0,7,0.329,1.75,22,5.5,43,0.352,9.2,5.13,1.59,160,Pac-12,19-31,6-18,1-3,12-10,0-0,112,Big Ten,1.1399063938638911,2-2,176,281,131,0-0,0-1,0-0,1-0,1-1,,125,13,0.681,0.442,-0.65,2,2,0.5,0.057999999999999996
161,Dayton,4,118,30,0.254,7.5,29.5,0.2542372881355932,12,3.0,31.0,28,19,5.52,93,27,11,0.916,6.75,2.75,5,0.341,1.25,20,5.0,44,0.373,7.0,4.06,1.39,132,Atlantic 10,33-22,15-13,1-2,17-7,0-0,192,Atlantic 10,-0.717520811312802,2-2,215,198,245,0-0,0-0,0-0,2-0,0-2,,169,-23,0.714,0.351,-0.67,2,2,0.5,0.14900000000000002
162,Saint Joseph's,4,126,26,0.206,6.5,31.5,0.20634920634920634,29,7.25,33.1,35,30,8.1,100,28,5,0.962,7.0,1.25,4,0.369,1.0,20,5.0,44,0.349,9.4,7.02,1.89,140,Atlantic 10,29-26,9-17,3-2,17-7,0-0,220,Atlantic 10,-1.5958873377027754,1-3,228,295,102,0-0,0-1,0-0,1-2,0-0,,219,-1,0.718,0.264,-0.79,1,3,0.25,-0.014000000000000012
163,Morehead St.,3,108,26,0.241,8.666666666666666,36.0,0.24074074074074073,10,3.3333333333333335,26.0,8,7,2.42,78,32,3,0.973,10.666666666666666,1.0,3,0.322,1.0,16,5.333333333333333,35,0.324,5.5,5.54,1.27,167,OVC,37-24,14-15,4-2,19-7,0-0,131,Ohio Valley,0.6846398149112372,2-1,173,17,218,0-0,0-0,0-0,2-1,0-0,,122,-9,0.646,0.78,-0.86,2,1,0.667,-0.11299999999999999
164,Belmont,4,142,39,0.275,9.75,35.5,0.2746478873239437,17,4.25,32.0,36,30,8.44,96,36,5,0.964,9.0,1.25,1,0.354,0.25,23,5.75,54,0.38,9.8,8.72,2.12,170,MVC,26-32,11-13,1-4,14-15,0-0,170,Missouri Valley,-0.3229192738958481,0-4,291,164,162,0-0,0-0,0-0,0-4,0-0,,172,2,0.734,0.306,-0.9,0,4,0.0,-0.306
165,Northern Ky.,3,92,14,0.152,4.666666666666667,30.666666666666668,0.15217391304347827,8,2.6666666666666665,24.0,29,26,9.75,72,23,5,0.95,7.666666666666667,1.6666666666666667,4,0.248,1.3333333333333333,5,1.6666666666666667,24,0.261,9.0,6.38,2.08,144,Horizon,33-24,15-18,2-1,16-5,2-0,201,Horizon,-1.093376724233617,0-3,284,218,123,0-0,0-0,0-0,0-3,0-0,,210,9,0.509,0.039,-0.93,0,3,0.0,-0.039
166,BYU,5,175,40,0.229,8.0,35.0,0.22857142857142856,23,4.6,42.0,40,35,7.5,126,48,6,0.967,9.6,1.2,6,0.337,1.2,22,4.4,57,0.326,4.9,6.64,1.79,131,Big 12,21-31,11-15,1-2,9-14,0-0,86,Big 12,1.7724546638989007,2-3,162,58,79,0-1,0-0,2-2,0-0,0-0,,91,5,0.663,0.251,-1.06,2,3,0.4,0.14900000000000002
167,UT Arlington,3,100,27,0.27,9.0,33.333333333333336,0.27,1,0.3333333333333333,27.0,10,8,2.67,81,47,5,0.962,15.666666666666666,1.6666666666666667,2,0.288,0.6666666666666666,15,5.0,38,0.38,3.7,1.0,1.11,186,WAC,22-34,11-20,0-1,11-13,0-0,149,WAC,0.2544180463290624,2-1,105,127,103,0-0,0-0,2-1,0-0,0-0,,162,13,0.6679999999999999,0.677,-1.07,2,1,0.667,-0.010000000000000009
168,Long Beach St.,4,116,25,0.216,6.25,29.0,0.21551724137931033,28,7.0,35.0,23,23,5.91,105,27,2,0.985,6.75,0.5,8,0.396,2.0,28,7.0,45,0.388,10.5,5.14,1.54,185,Big West,25-29,7-18,0-0,18-11,0-0,116,Big West,0.985481142547411,1-3,272,276,231,0-0,0-0,0-0,1-3,0-0,,135,19,0.784,0.589,-1.08,1,3,0.25,-0.33899999999999997
169,Monmouth,4,117,26,0.222,6.5,29.25,0.2222222222222222,10,2.5,31.0,11,8,2.32,93,30,3,0.976,7.5,0.75,7,0.314,1.75,19,4.75,32,0.274,6.1,2.9,0.94,184,CAA,18-30,9-22,1-3,8-5,0-0,214,CAA,-1.3916932973065517,2-2,197,98,190,0-0,0-0,0-0,2-2,0-0,,193,-21,0.5880000000000001,0.731,-1.1,2,2,0.5,-0.23099999999999998
170,Western Mich.,4,111,22,0.198,5.5,27.75,0.1981981981981982,14,3.5,30.0,23,17,5.1,90,37,9,0.934,9.25,2.25,7,0.321,1.75,13,3.25,26,0.234,5.4,6.3,1.6,125,MAC,31-23,15-8,5-10,11-5,1-0,163,MAC,-0.22054602928155204,0-4,296,206,190,0-0,0-0,0-0,0-4,0-0,,180,17,0.555,0.26,-1.11,0,4,0.0,-0.26
171,UIW,5,169,62,0.367,12.4,33.8,0.3668639053254438,24,4.8,42.0,34,32,6.86,126,47,2,0.989,9.4,0.4,14,0.474,2.8,60,12.0,105,0.621,7.7,4.71,1.67,193,Southland,26-31,7-18,2-3,17-10,0-0,173,Southland,-0.43465863630667806,4-1,131,94,253,0-0,0-0,0-0,1-0,3-1,,166,-7,1.095,0.739,-1.12,4,1,0.8,0.061000000000000054
172,Navy,3,88,14,0.159,4.666666666666667,29.333333333333332,0.1590909090909091,9,3.0,22.0,13,9,3.68,66,15,2,0.976,5.0,0.6666666666666666,6,0.282,2.0,6,2.0,19,0.216,6.5,4.5,1.32,169,Patriot,28-23,10-13,0-3,18-7,0-0,247,Patriot,-2.466453264862401,0-3,302,93,259,0-0,0-0,0-0,0-0,0-3,,236,-11,0.498,0.195,-1.13,0,3,0.0,-0.195
173,Rhode Island,3,112,47,0.42,15.666666666666666,37.333333333333336,0.41964285714285715,24,8.0,22.0,36,34,13.91,66,23,5,0.947,7.666666666666667,1.6666666666666667,4,0.521,1.3333333333333333,50,16.666666666666668,84,0.75,9.8,8.18,2.32,152,Atlantic 10,19-28,9-20,0-0,10-8,0-0,217,Atlantic 10,-1.489193468514663,2-1,168,156,201,0-0,0-0,0-0,2-1,0-0,,197,-20,1.271,0.646,-1.16,2,1,0.667,0.02100000000000002
174,UTRGV,4,125,27,0.216,6.75,31.25,0.216,15,3.75,36.0,18,15,3.75,108,41,4,0.974,10.25,1.0,7,0.331,1.75,28,7.0,36,0.288,9.5,5.5,1.36,199,WAC,29-25,10-11,2-2,17-12,0-0,74,Southland,2.084618202928344,3-1,24,9,81,0-0,1-0,2-1,0-0,0-0,,108,34,0.619,0.692,-1.16,3,1,0.75,0.05800000000000005
175,LMU (CA),5,180,62,0.344,12.4,36.0,0.34444444444444444,19,3.8,45.0,33,27,5.4,135,35,9,0.95,7.0,1.8,13,0.437,2.6,47,9.4,93,0.517,10.6,5.2,1.56,219,WCC,24-30,6-18,1-1,17-11,0-0,147,West Coast,0.2741339494818661,4-1,114,243,170,0-0,0-0,0-1,1-0,3-0,,151,4,0.954,0.656,-1.19,4,1,0.8,0.14400000000000002
176,George Washington,3,97,23,0.237,7.666666666666667,32.333333333333336,0.23711340206185566,13,4.333333333333333,24.0,31,25,9.38,72,28,3,0.971,9.333333333333334,1.0,5,0.353,1.6666666666666667,15,5.0,33,0.34,7.5,6.38,2.29,164,Atlantic 10,31-26,9-14,1-2,21-10,0-0,215,Atlantic 10,-1.4101976846828657,0-3,193,132,44,0-0,0-3,0-0,0-0,0-0,,187,-28,0.6930000000000001,0.209,-1.23,0,3,0.0,-0.209
177,Richmond,4,123,32,0.26,8.0,30.75,0.2601626016260163,16,4.0,34.0,9,7,1.85,102,35,3,0.979,8.75,0.75,1,0.343,0.25,25,6.25,48,0.39,8.2,2.91,1.0,216,Atlantic 10,27-32,7-13,3-2,17-17,0-0,208,Atlantic 10,-1.3149082468967037,4-0,41,64,251,0-0,0-0,0-0,1-0,3-0,,204,-4,0.7330000000000001,0.866,-1.29,4,0,1.0,0.134
178,William & Mary,4,128,40,0.312,10.0,32.0,0.3125,22,5.5,32.0,62,54,15.19,96,30,14,0.9,7.5,3.5,5,0.427,1.25,39,9.75,61,0.477,9.3,8.16,2.81,120,CAA,32-26,11-12,2-2,19-12,0-0,154,CAA,0.017831134009747007,1-3,279,272,274,0-0,0-0,0-0,0-0,1-3,,155,1,0.9039999999999999,0.3,-1.31,1,3,0.25,-0.04999999999999999
179,Saint Louis,4,101,23,0.228,5.75,25.25,0.22772277227722773,24,6.0,26.0,45,39,13.5,78,20,5,0.951,5.0,1.25,5,0.388,1.25,15,3.75,39,0.386,4.2,3.46,2.23,98,Atlantic 10,37-16,9-10,6-2,22-4,0-0,177,Atlantic 10,-0.5183701248507706,1-3,203,191,90,0-0,0-0,1-3,0-0,0-0,,121,-56,0.774,0.118,-1.32,1,3,0.25,0.132
180,Miami (OH),4,128,37,0.289,9.25,32.0,0.2890625,22,5.5,32.1,28,26,7.24,97,27,3,0.976,6.75,0.75,5,0.405,1.25,32,8.0,58,0.453,8.9,7.24,1.89,180,MAC,27-27,11-12,2-2,14-13,0-0,164,MAC,-0.24096611080234212,2-2,217,109,257,0-0,0-0,0-0,0-0,2-2,,185,21,0.8580000000000001,0.561,-1.32,2,2,0.5,-0.061000000000000054
181,Jacksonville St.,5,165,51,0.309,10.2,33.0,0.3090909090909091,24,4.8,45.0,22,16,3.2,135,52,7,0.964,10.4,1.4,18,0.439,3.6,43,8.6,75,0.455,8.6,5.6,1.51,204,CUSA,18-34,7-17,0-0,11-17,0-0,133,Conference USA,0.6589934193447107,4-1,124,43,211,0-0,0-0,1-0,0-0,3-1,,136,3,0.894,0.773,-1.32,4,1,0.8,0.027000000000000024
182,Presbyterian,3,101,28,0.277,9.333333333333334,33.666666666666664,0.27722772277227725,9,3.0,27.0,16,12,4.0,81,23,4,0.963,7.666666666666667,1.3333333333333333,5,0.365,1.6666666666666667,14,4.666666666666667,41,0.406,8.0,6.33,1.7,197,Big South,29-27,8-12,1-2,20-13,0-0,209,Big South,-1.335293072333875,2-2,200,249,203,0-0,0-0,0-0,2-2,0-0,,199,-10,0.771,0.439,-1.32,2,2,0.5,0.061
183,Arkansas St.,4,121,21,0.174,5.25,30.25,0.17355371900826447,20,5.0,36.2,20,16,3.93,110,35,4,0.973,8.75,1.0,2,0.299,0.5,10,2.5,33,0.273,11.5,4.66,1.36,218,Sun Belt,21-32,6-20,0-0,15-12,0-0,171,Sun Belt,-0.3839984116135726,1-3,235,30,116,0-0,0-1,0-0,1-2,0-0,,183,12,0.5720000000000001,0.22,-1.33,1,3,0.25,0.03
184,Mount St. Mary's,3,113,37,0.327,12.333333333333334,37.666666666666664,0.3274336283185841,25,8.333333333333334,27.0,5,5,1.67,81,21,1,0.99,7.0,0.3333333333333333,4,0.458,1.3333333333333333,30,10.0,55,0.487,13.0,3.0,0.85,277,MAAC,22-34,11-19,2-2,9-13,0-0,279,MAAC,-3.8137243185843928,3-0,61,55,303,0-0,0-0,0-0,0-0,3-0,,283,4,0.9450000000000001,0.964,-1.35,3,0,1.0,0.03600000000000003
185,Seton Hall,3,109,40,0.367,13.333333333333334,36.333333333333336,0.3669724770642202,14,4.666666666666667,24.0,24,22,8.25,72,27,4,0.961,9.0,1.3333333333333333,5,0.461,1.6666666666666667,29,9.666666666666666,62,0.569,6.0,4.88,1.83,177,Big East,24-30,13-12,2-1,9-17,0-0,196,Big East,-1.0089439340133688,1-2,257,291,244,0-0,0-0,0-0,0-2,1-0,,203,7,1.03,0.586,-1.37,1,2,0.333,-0.25299999999999995
186,Gardner-Webb,5,161,50,0.311,10.0,32.2,0.3105590062111801,24,4.8,41.0,47,39,8.56,123,30,8,0.95,6.0,1.6,16,0.439,3.2,51,10.2,93,0.578,13.4,6.15,2.05,220,Big South,22-31,7-15,0-0,15-16,0-0,165,Big South,-0.2567782586788215,2-3,243,66,284,0-0,0-0,0-0,0-0,2-3,,168,3,1.017,0.537,-1.48,2,3,0.4,-0.137
187,Northwestern,3,99,22,0.222,7.333333333333333,33.0,0.2222222222222222,15,5.0,26.0,24,23,7.96,78,39,1,0.992,13.0,0.3333333333333333,7,0.358,2.3333333333333335,16,5.333333333333333,36,0.364,5.9,7.96,1.65,149,Big Ten,18-34,10-23,0-0,8-11,0-0,198,Big Ten,-1.0302079427541018,2-1,137,292,154,0-0,0-0,0-0,2-1,0-0,,220,22,0.722,0.323,-1.63,2,1,0.667,0.34400000000000003
188,Oral Roberts,3,97,36,0.371,12.0,32.333333333333336,0.3711340206185567,12,4.0,25.0,2,0,0.0,75,29,3,0.972,9.666666666666666,1.0,5,0.449,1.6666666666666667,25,8.333333333333334,50,0.515,8.3,1.44,0.8,261,Summit League,27-32,9-14,3-1,15-17,0-0,110,Summit,1.1920722752153692,3-0,63,69,306,0-0,0-0,0-0,0-0,3-0,,123,13,0.964,0.99,-1.71,3,0,1.0,0.010000000000000009
189,New Mexico,4,117,27,0.231,6.75,29.25,0.23076923076923078,13,3.25,33.1,37,36,9.72,100,24,3,0.976,6.0,0.75,7,0.336,1.75,18,4.5,47,0.402,10.0,4.59,1.83,202,Mountain West,27-26,8-12,2-4,17-10,1-0,168,Mountain West,-0.3156589815334104,2-2,115,297,72,0-1,0-1,0-0,1-0,1-0,,164,-4,0.738,0.211,-1.72,2,2,0.5,0.28900000000000003
190,Marshall,4,125,31,0.248,7.75,31.25,0.248,10,2.5,30.2,32,23,6.75,92,39,4,0.97,9.75,1.0,5,0.324,1.25,18,4.5,50,0.4,7.0,6.16,2.05,190,Sun Belt,18-37,3-21,1-4,14-12,0-0,200,Sun Belt,-1.0567077262050966,0-4,244,179,69,0-0,0-0,0-4,0-0,0-0,,217,17,0.724,0.259,-1.72,0,4,0.0,-0.259
191,Central Ark.,3,104,27,0.26,9.0,34.666666666666664,0.25961538461538464,15,5.0,24.2,29,29,10.58,74,21,0,1.0,7.0,0.0,6,0.381,2.0,15,5.0,38,0.365,10.6,8.39,2.11,207,ASUN,26-30,9-14,3-2,14-14,0-0,183,Atlantic Sun,-0.6175175793274899,1-2,256,193,234,0-0,0-0,0-0,1-2,0-0,,190,7,0.746,0.23,-1.76,1,2,0.333,0.10300000000000001
192,Middle Tenn.,4,149,47,0.315,11.75,37.25,0.31543624161073824,21,5.25,36.1,31,24,5.94,109,31,7,0.952,7.75,1.75,7,0.421,1.75,35,8.75,71,0.477,9.2,4.71,1.76,226,CUSA,20-36,9-17,0-1,11-18,0-0,190,Conference USA,-0.7016748748675959,1-3,231,142,110,0-1,0-0,0-0,1-2,0-0,,191,1,0.8979999999999999,0.555,-1.76,1,3,0.25,-0.30500000000000005
