,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,PYTHAG,Rating,Wins,Losses,WIN%,Wins_Over_Pythag
37,UC Irvine,4,141,40,0.284,10.0,35.25,0.28368794326241137,22,5.5,36.0,23,20,5.0,108,26,3,0.978,6.5,0.75,13,0.421,3.25,38,9.5,66,0.468,9.5,4.75,1.31,24,Big West,45-14,20-7,5-0,20-7,0-0,20,Big West,4.13609203315677,2-2,111,114,70,0-0,0-2,1-0,1-0,0-0,,30,10,0.889,0.715,3.86,2,2,0.5,-0.21499999999999997
38,Virginia Tech,4,147,56,0.381,14.0,36.75,0.38095238095238093,29,7.25,34.0,15,13,3.44,102,24,4,0.969,6.0,1.0,6,0.489,1.5,60,15.0,99,0.673,12.7,5.03,1.32,68,ACC,32-22,10-11,0-2,22-9,0-0,16,ACC,4.505409213748125,3-1,142,32,207,0-0,0-0,0-0,1-0,2-1,,35,19,1.162,0.927,3.86,3,1,0.75,-0.17700000000000005
39,East Carolina,4,122,22,0.18,5.5,30.5,0.18032786885245902,10,2.5,35.0,16,13,3.34,105,34,5,0.965,8.5,1.25,5,0.27,1.25,13,3.25,39,0.32,10.3,4.89,1.06,22,AAC,46-17,13-9,4-2,29-6,0-0,43,American,3.069000338019056,2-2,195,275,177,0-0,0-0,0-1,0-0,2-1,,38,-5,0.5900000000000001,0.406,3.8,2,2,0.5,0.09399999999999997
40,Michigan,4,160,51,0.319,12.75,40.0,0.31875,12,3.0,38.0,7,6,1.42,114,40,2,0.987,10.0,0.5,3,0.375,0.75,35,8.75,84,0.525,9.9,2.84,1.0,87,Big Ten,32-28,9-12,4-8,19-8,0-0,63,Big Ten,2.2852606218809925,4-0,9,21,92,1-0,0-0,1-0,1-0,1-0,,55,-8,0.9,0.95,3.78,4,0,1.0,0.050000000000000044
41,Arizona,4,116,25,0.216,6.25,29.0,0.21551724137931033,19,4.75,32.0,31,31,8.72,96,31,1,0.992,7.75,0.25,4,0.343,1.0,17,4.25,47,0.405,11.2,3.38,1.75,35,Pac-12,36-23,13-11,4-3,19-9,0-0,32,Big 12,3.7822349941825983,1-3,126,145,45,0-2,0-1,0-0,1-0,0-0,,26,-6,0.748,0.25,3.66,1,3,0.25,0.0
42,Auburn,4,133,39,0.293,9.75,33.25,0.2932330827067669,19,4.75,36.0,17,15,3.75,108,29,4,0.972,7.25,1.0,6,0.398,1.5,27,6.75,62,0.466,10.8,4.5,1.19,51,SEC,27-26,5-12,4-1,18-13,0-0,37,SEC,3.585677356971297,4-1,117,80,180,0-0,0-0,1-0,0-0,3-1,,37,0,0.8640000000000001,0.7,3.6,4,1,0.8,0.10000000000000009
43,Texas,3,110,35,0.318,11.666666666666666,36.666666666666664,0.3181818181818182,16,5.333333333333333,25.2,12,12,4.21,77,27,4,0.963,9.0,1.3333333333333333,2,0.411,0.6666666666666666,27,9.0,63,0.573,9.8,3.86,1.32,49,Big 12,36-24,11-6,1-6,24-12,0-0,5,SEC,5.406253361438443,2-1,4,4,26,1-1,1-0,0-0,0-0,0-0,,7,2,0.984,0.815,3.55,2,1,0.667,-0.1479999999999999
44,California,4,130,35,0.269,8.75,32.5,0.2692307692307692,20,5.0,36.0,14,14,3.5,108,30,0,1.0,7.5,0.0,6,0.384,1.5,34,8.5,60,0.462,11.0,4.25,1.06,64,Pac-12,36-19,10-8,4-4,22-7,0-0,46,ACC,2.9911355845759067,3-1,129,95,187,0-0,0-0,0-0,3-1,0-0,,51,5,0.8460000000000001,0.835,3.47,3,1,0.75,-0.08499999999999996
45,Rutgers,3,104,29,0.279,9.666666666666666,34.666666666666664,0.27884615384615385,11,3.6666666666666665,26.0,8,7,2.42,78,24,1,0.99,8.0,0.3333333333333333,2,0.353,0.6666666666666666,13,4.333333333333333,39,0.375,10.0,4.5,1.35,77,Big Ten,28-25,15-16,0-0,13-9,0-0,72,Big Ten,2.0999294213712862,2-1,148,163,164,0-0,0-0,0-0,2-1,0-0,,102,30,0.728,0.709,3.46,2,1,0.667,-0.041999999999999926
46,Louisiana Tech,4,127,33,0.26,8.25,31.75,0.25984251968503935,26,6.5,35.0,13,12,3.09,105,51,2,0.987,12.75,0.5,4,0.394,1.0,31,7.75,52,0.409,7.5,3.6,1.29,33,CUSA,45-19,12-10,3-2,30-7,0-0,64,Conference USA,2.2590205148047984,4-0,56,103,293,0-0,0-0,0-0,0-0,4-0,,47,-17,0.8029999999999999,0.831,3.4,4,0,1.0,0.16900000000000004
