,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
223,ETSU,57,2029,622,0.307,10.912280701754385,35.59649122807018,0.30655495317890585,221,3.8771929824561404,504.1,382,6.82,436,1513,581,74,0.966,10.192982456140351,1.2982456140350878,56,0.386,0.9824561403508771,7.543859649122807,430,996,0.491,7.8,4.23,1.7,0.877,0.494,0.3619809365934521,219.83119622199152,1.6310010255163854,0.2979229205450454,1.9289239460614307,0.18432725480532283,165.53593928183767,0.09158723580605056,0.26643935703848026,7.784169807577861,0.566182719362327,0.5204439370644586,1.84,-1.68,Southern
224,VMI,56,1862,494,0.265,8.821428571428571,33.25,0.2653061224489796,250,4.464285714285714,484.2,355,6.59,417,1454,602,80,0.963,10.75,1.4285714285714286,60,0.368,1.0714285714285714,5.964285714285714,334,846,0.454,7.1,4.23,1.7,0.8220000000000001,0.4,0.34421472937000885,112.37430272667454,0.8337424630297304,-0.1425788974596744,0.6911635655700561,0.18904403866809882,135.86415685590245,0.11091393078970718,0.2269579115610016,7.75092936802974,0.7281720506427942,0.5227369873468662,1.69,-1.68,Southern
225,Ark.-Pine Bluff,47,1591,454,0.285,9.659574468085106,33.851063829787236,0.2853551225644249,151,3.2127659574468086,397.2,256,5.79,303,1193,392,55,0.966,8.340425531914894,1.1702127659574468,62,0.366,1.3191489361702127,6.468085106382978,304,633,0.398,7.7,5.45,1.65,0.764,0.502,0.3285185185185185,24.99029229471359,0.18541132041820324,-1.6256984000729438,-1.4402870796547405,0.1125078566939032,109.64952660648886,0.08105206655931294,0.26741293532338306,6.865558912386708,1.040016842239351,0.5720237794312485,1.41,-1.7,SWAC
226,Central Conn. St.,57,1787,476,0.266,8.350877192982455,31.350877192982455,0.2663682148852826,172,3.017543859649123,462.1,220,4.28,274,1387,627,66,0.968,11.0,1.1578947368421053,40,0.341,0.7017543859649122,4.12280701754386,235,621,0.348,5.3,3.27,1.46,0.6890000000000001,0.43,0.3032826300294406,-92.06771088927036,-0.6830810797467846,-0.5999506969877556,-1.28303177673454,0.08114157806379407,67.50244461225105,0.08439646712463199,0.2529053680132817,5.336507249513092,0.8881469570018371,0.6390544190870455,1.61,-1.7,Northeast
227,New Orleans,57,2000,600,0.3,10.526315789473685,35.08771929824562,0.3,175,3.0701754385964914,497.2,298,5.39,357,1493,574,73,0.966,10.070175438596491,1.280701754385965,56,0.368,0.9824561403508771,6.701754385964913,382,832,0.416,7.2,4.74,1.65,0.784,0.531,0.3334370946822309,57.439514962809376,0.42616293510454134,-0.08972264285649256,0.3364402922480488,0.116,117.86416240013689,0.07565931690445309,0.27873704982733105,6.462188254223652,0.8696957136575806,0.6003171445436535,1.53,-1.71,Southland
228,New Mexico St.,57,1994,593,0.297,10.403508771929825,34.98245614035088,0.29739217652958877,168,2.9473684210526314,498.0,256,4.63,332,1494,615,87,0.96,10.789473684210526,1.5263157894736843,65,0.367,1.1403508771929824,6.508771929824562,371,888,0.445,7.8,4.55,1.64,0.812,0.551,0.3410583153347732,98.45078203393993,0.7304392152699525,0.10514901457793902,0.8355882298478915,0.14794383149448345,130.59255164935638,0.07257019438444924,0.2697074863658899,6.0,0.6755275277721868,0.6307508996111283,1.72,-1.71,Western Athletic
229,UNLV,56,1966,533,0.271,9.517857142857142,35.107142857142854,0.2711088504577823,201,3.5892857142857144,497.2,332,6.0,389,1493,563,84,0.961,10.053571428571429,1.5,27,0.344,0.48214285714285715,4.964285714285714,278,724,0.368,6.1,3.78,1.68,0.712,0.351,0.3112270488132557,-59.69068865698352,-0.44286514419457723,-0.004593405035390236,-0.4474585492299675,0.09715157680569685,80.77061506018015,0.09001343484102105,0.2588294651866801,7.041432019308125,0.7795271659719247,0.5667064092079406,1.62,-1.73,Mountain West
230,Eastern Mich.,59,1969,491,0.249,8.322033898305085,33.3728813559322,0.2493651599796851,175,2.9661016949152543,509.2,272,4.8,347,1529,594,89,0.96,10.067796610169491,1.5084745762711864,59,0.327,1.0,4.610169491525424,272,730,0.371,6.7,4.33,1.53,0.698,0.39,0.29021748400852876,-177.06752790361935,-1.3137230955374413,0.09393850350823728,-1.219784592029204,0.12138141188420518,45.682020859452074,0.07462686567164178,0.22379032258064516,6.133150039277298,0.8544310931837484,0.5918395334185129,1.56,-1.74,Mid-American
231,USC Upstate,52,1811,505,0.279,9.711538461538462,34.82692307692308,0.2788514632799558,169,3.25,453.2,267,5.3,315,1361,482,62,0.967,9.26923076923077,1.1923076923076923,45,0.352,0.8653846153846154,5.615384615384615,292,708,0.391,8.0,3.97,1.59,0.743,0.465,0.32281901989325573,0.3743255355039822,0.0027772460996299832,-0.34655165491529577,-0.3437744088156658,0.11209276642738818,100.1306528807248,0.08199902959728288,0.2609409190371991,6.255516328331862,0.44848565596648193,0.6001693663430884,2.01,-1.75,ASUN
232,Abilene Christian,53,1738,418,0.241,7.886792452830188,32.79245283018868,0.24050632911392406,127,2.3962264150943398,463.0,223,4.33,279,1389,536,74,0.963,10.11320754716981,1.3962264150943395,27,0.3,0.5094339622641509,3.4339622641509435,182,525,0.302,5.7,2.86,1.36,0.602,0.314,0.2603247082699138,-285.61730348135984,-2.1190901150030643,-0.32693072988187927,-2.4460208448849436,0.061565017261219795,-4.242643795650189,0.06443429731100964,0.2337142857142857,5.4233261339092875,0.5919773243916143,0.5996940181858132,1.98,-1.77,Southland
