,Rank,Team,Conference
220,221,Rhode Island,Atl10
221,222,Centenary-LA,IndyNCAA
222,223,Xavier,Atl10
223,224,Navy,Patriot
224,225,Georgetown,BigEast
225,226,Butler,MWCC
226,227,Northern Illinois,MAC
227,228,Akron,MAC
228,229,Cleveland State,MWCC
229,230,Sacred Heart,NEC
230,231,Texas Southern,SWAC
231,232,Charleston Southern,BigSou
232,233,Bradley,MVC
233,234,Hartford,AmEast
234,235,Cornell,Ivy
235,236,VMI,SoCon
236,237,Grambling State,SWAC
237,238,Holy Cross,Patriot
238,239,Long Island,NEC
239,240,Radford,BigSou
240,241,Yale,Ivy
241,242,Drexel,AmEast
242,243,Jacksonville State,Trans
243,244,Penn,Ivy
244,245,Iona,MAAC
245,246,UNC Asheville,BigSou
246,247,Hawaii-Hilo,WAC
247,248,Army,Patriot
248,249,Florida A&M,MEAC
249,250,Canisius,MAAC
250,251,Youngstown State,MCC
251,252,Fairleigh Dickinson,NEC
252,253,Detroit Mercy,MWCC
253,254,Manhattan,MAAC
254,255,Wagner,NEC
255,256,UT Pan American,IndyNCAA
256,257,LaSalle,Atl10
257,258,Albany,NYSBC
258,259,North Carolina A&T,MEAC
259,260,Buffalo,MAC
260,261,C. W. Post,NYSBC
261,262,Western Illinois,MCC
262,263,Texas A&M-Corpus Christi,IndyNCAA
263,264,Morehead State,OVC
264,265,IUPUI,MCC
265,266,Chicago State,MCC
266,267,Alabama A&M,SWAC
267,268,Howard,MEAC
268,269,Lehigh,Patriot
269,270,Norfolk State,MEAC
270,271,Mount St. Mary's,NEC
271,272,Mississippi Valley State,SWAC
272,273,Arkansas-Pine Bluff,SWAC
273,274,Oakland,MCC
274,275,Tennessee-Martin,OVC
275,276,St. Peter's,MAAC
276,277,Quinnipiac,NEC
277,278,Prairie View A&M,SWAC
278,279,Alabama State,SWAC
279,280,Coppin State,MEAC
280,281,Lafayette,Patriot
281,282,UMES,MEAC
