,Team,Date,Opponent,Location,Result,home_team,away_team,home_score,away_score,home_rating,away_rating,home_win_prob,Spread,elo_win_prob,PEAR,resume_quality,home_net,away_net,avg_net,TQ,WP,NED,GQI
30,Houston Christian,2011-02-18,New Mexico St.,Away,L6 - 9,New Mexico St.,Houston Christian,9,6,0.52,-6.26,0.938,7.08,50.0,New Mexico St. -7.08,-0.7256,128.0,,,,0.12400000000000011,,
31,Maine,2011-02-18,UNLV,Away,L4 - 12,UNLV,Maine,12,4,1.69,-0.76,0.7418,2.75,50.0,UNLV -2.75,-0.6279999999999999,72.0,172.0,122.0,0.5856164383561644,0.5164,0.6575342465753424,5.8
32,Cal Poly,2011-02-18,Missouri,Neutral,L9 - 10,Missouri,Cal Poly,10,9,1.48,2.4,0.41259999999999997,-0.92,50.0,Cal Poly -0.92,-0.6724,81.0,61.0,71.0,0.7602739726027398,0.8251999999999999,0.9315068493150684,7.9
33,Akron,2011-02-18,Mississippi St.,Away,L0 - 11,Mississippi St.,Akron,11,0,2.79,-2.18,0.8831,5.27,50.0,Mississippi St. -5.27,-0.5253,30.0,246.0,138.0,0.5308219178082192,0.2338,0.26027397260273977,4.4
34,Coppin St.,2011-02-18,Charlotte,Away,L1 - 18,Charlotte,Coppin St.,18,1,1.76,-4.85,0.9340999999999999,6.91,50.0,Charlotte -6.91,-0.6217,89.0,293.0,191.0,0.3493150684931507,0.13180000000000014,0.3013698630136986,3.0
35,Oregon,2011-02-18,Hawaii,Away,L3 - 4,Hawaii,Oregon,4,3,2.69,3.92,0.4117,-0.93,50.0,Oregon -0.93,-0.5349,51.0,22.0,36.5,0.8784246575342466,0.8234,0.9006849315068494,8.7
36,Ohio,2011-02-18,Furman,Away,L3 - 6,Furman,Ohio,6,3,-1.01,-1.59,0.5836,0.88,50.0,Furman -0.88,-0.8263,173.0,200.0,186.5,0.3647260273972603,0.8328,0.9075342465753424,5.1
37,Texas Southern,2011-02-18,Georgia St.,Away,L0 - 9,Georgia St.,Texas Southern,9,0,0.58,-3.42,0.8389,4.3,50.0,Georgia St. -4.3,-0.7210000000000001,145.0,251.0,198.0,0.3253424657534247,0.32220000000000004,0.636986301369863,3.6
38,Dayton,2011-02-18,Bradley,Neutral,L3 - 4,Bradley,Dayton,4,3,-2.01,-0.99,0.40340000000000004,-1.02,50.0,Dayton -1.02,-0.8868,193.0,199.0,196.0,0.3321917808219178,0.8068000000000001,0.9794520547945206,4.9
39,Seattle U,2011-02-18,CSUN,Away,L0 - 2,CSUN,Seattle U,2,0,0.53,-6.26,0.9381999999999999,7.09,50.0,CSUN -7.09,-0.7248,165.0,,,,0.12360000000000015,,
40,Campbell,2011-02-18,N.C. A&T,Away,W15 - 3,N.C. A&T,Campbell,3,15,-3.52,-3.1,0.4885,-0.12,50.0,Campbell -0.12,0.07430000000000003,268.0,245.0,256.5,0.125,0.977,0.9212328767123288,3.8
41,Toledo,2011-02-18,Canisius,Neutral,L5 - 6,Canisius,Toledo,6,5,-0.91,-0.55,0.46549999999999997,-0.36,50.0,Toledo -0.36,-0.8370000000000001,222.0,187.0,204.5,0.3030821917808219,0.9309999999999999,0.8801369863013698,4.9
42,SIUE,2011-02-18,Central Ark.,Away,L4 - 5,Central Ark.,SIUE,5,4,-0.2,-1.57,0.655,1.67,50.0,Central Ark. -1.67,-0.7771,154.0,169.0,161.5,0.4503424657534247,0.69,0.9486301369863014,5.5
43,Siena,2011-02-18,UCF,Away,L1 - 11,UCF,Siena,11,1,3.1,-1.86,0.8826999999999999,5.26,50.0,UCF -5.26,-0.49560000000000004,42.0,209.0,125.5,0.5736301369863014,0.23460000000000014,0.42808219178082196,4.9
44,Central Mich.,2011-02-18,FGCU,Away,W8 - 6,FGCU,Central Mich.,6,8,0.64,0.21,0.5696,0.73,50.0,FGCU -0.73,0.28370000000000006,136.0,144.0,140.0,0.523972602739726,0.8608,0.9726027397260274,6.4
45,Ohio St.,2011-02-18,Cincinnati,Neutral,L5 - 11,Cincinnati,Ohio St.,11,5,-0.16,-0.52,0.5345,0.36,50.0,Cincinnati -0.36,-0.7939,149.0,171.0,160.0,0.4554794520547945,0.931,0.9246575342465754,6.0
46,Eastern Mich.,2011-02-18,Clemson,Away,L3 - 14,Clemson,Eastern Mich.,14,3,4.21,0.43,0.8271999999999999,4.08,50.0,Clemson -4.08,-0.3909,18.0,106.0,62.0,0.791095890410959,0.34560000000000013,0.6986301369863014,6.9
47,Boston College,2011-02-18,Coastal Carolina,Away,L6 - 9,Coastal Carolina,Boston College,9,6,3.61,0.47,0.7892,3.44,50.0,Coastal Carolina -3.44,-0.44689999999999996,57.0,151.0,104.0,0.6472602739726028,0.4216,0.678082191780822,6.1
48,Kentucky,2011-02-18,Col. of Charleston,Away,L6 - 11,Col. of Charleston,Kentucky,11,6,2.49,2.09,0.5668,0.7,50.0,Col. of Charleston -0.7,-0.5539000000000001,71.0,91.0,81.0,0.726027397260274,0.8664000000000001,0.9315068493150684,7.7
49,Indiana St.,2011-02-18,DBU,Away,L6 - 9,DBU,Indiana St.,9,6,2.7,1.19,0.667,1.81,50.0,DBU -1.81,-0.5339,55.0,146.0,100.5,0.6592465753424658,0.6659999999999999,0.6883561643835616,6.6
50,Dayton,2011-02-18,Lipscomb,Away,W8 - 3,Lipscomb,Dayton,3,8,-1.87,-0.99,0.4446,-0.58,50.0,Dayton -0.58,0.13129999999999997,210.0,199.0,204.5,0.3030821917808219,0.8892,0.9623287671232876,4.9
51,Richmond,2011-02-18,Duke,Away,L5 - 6,Duke,Richmond,6,5,0.61,-1.71,0.7321,2.62,50.0,Duke -2.62,-0.7187,120.0,192.0,156.0,0.4691780821917808,0.5358,0.7534246575342466,5.1
52,Youngstown St.,2011-02-18,East Carolina,Away,L3 - 11,East Carolina,Youngstown St.,11,3,2.82,-3.63,0.9301999999999999,6.75,50.0,East Carolina -6.75,-0.5224,40.0,270.0,155.0,0.4726027397260274,0.13960000000000017,0.21232876712328763,3.8
53,Alabama A&M,2011-02-18,Bethune-Cookman,Away,L1 - 11,Bethune-Cookman,Alabama A&M,11,1,0.39,-4.69,0.8874,5.38,50.0,Bethune-Cookman -5.38,-0.7354,123.0,289.0,206.0,0.2979452054794521,0.22520000000000007,0.43150684931506844,3.0
54,Valparaiso,2011-02-18,Austin Peay,Away,L3 - 7,Austin Peay,Valparaiso,7,3,0.26,-1.88,0.7184,2.44,50.0,Austin Peay -2.44,-0.745,121.0,214.0,167.5,0.4297945205479452,0.5631999999999999,0.6815068493150684,4.8
55,Arkansas St.,2011-02-18,Auburn,Away,L5 - 12,Auburn,Arkansas St.,12,5,3.06,1.15,0.7001999999999999,2.21,50.0,Auburn -2.21,-0.49939999999999996,47.0,118.0,82.5,0.7208904109589042,0.5996000000000001,0.7568493150684932,7.0
56,Ark.-Pine Bluff,2011-02-18,Jackson St.,Away,W3 - 1,Jackson St.,Ark.-Pine Bluff,1,3,-2.43,-4.43,0.7073999999999999,2.3,50.0,Jackson St. -2.3,0.10870000000000002,259.0,285.0,272.0,0.07191780821917808,0.5852000000000002,0.910958904109589,2.6
57,George Washington,2011-02-18,Ga. Southern,Away,W8 - 6,Ga. Southern,George Washington,6,8,1.85,-2.89,0.8737,5.04,50.0,Ga. Southern -5.04,0.38650000000000007,88.0,265.0,176.5,0.398972602739726,0.25259999999999994,0.3938356164383562,3.7
58,Georgetown,2011-02-18,Davidson,Away,W9 - 5,Davidson,Georgetown,5,9,-2.17,-1.35,0.45030000000000003,-0.52,50.0,Georgetown -0.52,0.11870000000000003,213.0,212.0,212.5,0.2756849315068493,0.9006000000000001,0.9965753424657534,4.7
59,Gardner-Webb,2011-02-18,The Citadel,Away,W6 - 5,The Citadel,Gardner-Webb,5,6,-0.39,-0.14,0.5047999999999999,0.05,50.0,The Citadel -0.05,0.21050000000000002,201.0,124.0,162.5,0.4469178082191781,0.9904000000000002,0.7363013698630136,5.8
60,Seton Hall,2011-02-18,Penn St.,Neutral,L6 - 8,Penn St.,Seton Hall,8,6,0.68,1.71,0.40240000000000004,-1.03,50.0,Seton Hall -1.03,-0.7362000000000001,116.0,90.0,103.0,0.6506849315068494,0.8048000000000001,0.910958904109589,7.1
61,Virginia Military,2011-02-18,Florida St.,Away,L0 - 12,Florida St.,Virginia Military,12,0,4.28,-6.26,0.9845999999999999,10.84,50.0,Florida St. -10.84,-0.38450000000000006,12.0,,,,0.03080000000000016,,
62,Hofstra,2011-02-18,Fla. Atlantic,Away,L4 - 12,Fla. Atlantic,Hofstra,12,4,2.38,-2.99,0.8981,5.67,50.0,Fla. Atlantic -5.67,-0.5643,66.0,241.0,153.5,0.4777397260273973,0.20379999999999998,0.40068493150684936,4.2
63,Ark.-Pine Bluff,2011-02-18,Florida A&M,Neutral,L2 - 5,Florida A&M,Ark.-Pine Bluff,5,2,-4.72,-4.43,0.4722,-0.29,50.0,Ark.-Pine Bluff -0.29,-0.9568000000000001,282.0,285.0,283.5,0.032534246575342464,0.9444,0.9897260273972602,3.1
64,Kent St.,2011-02-18,Georgia Tech,Away,L3 - 6,Georgia Tech,Kent St.,6,3,4.06,3.16,0.6131,1.2,50.0,Georgia Tech -1.2,-0.40469999999999995,19.0,46.0,32.5,0.8921232876712328,0.7738,0.9075342465753424,8.7
65,South Fla.,2011-02-18,Florida,Away,L2 - 7,Florida,South Fla.,7,2,4.5,0.12,0.8576999999999999,4.68,50.0,Florida -4.68,-0.3647,3.0,113.0,58.0,0.8047945205479452,0.2846000000000002,0.6232876712328768,6.8
66,Lamar University,2011-02-18,Akron,Neutral,L1 - 2,Akron,Lamar University,2,1,-2.18,1.56,0.1923,-3.74,50.0,Lamar University -3.74,-0.8931999999999999,246.0,110.0,178.0,0.3938356164383562,0.38460000000000005,0.5342465753424658,4.1
67,Alcorn,2011-02-18,Alabama,Away,L0 - 11,Alabama,Alcorn,11,0,3.33,-3.64,0.9420999999999999,7.27,50.0,Alabama -7.27,-0.47350000000000003,35.0,188.0,111.5,0.6215753424657534,0.11580000000000013,0.476027397260274,5.1
68,Tuskegee,2011-02-18,Alabama St.,Away,L5 - 9,Alabama St.,Tuskegee,9,5,-4.42,-6.26,0.6945,2.14,50.0,Alabama St. -2.14,-0.9463,284.0,,,,0.611,,
69,UMES,2011-02-18,App State,Away,L0 - 4,App State,UMES,4,0,1.11,-4.52,0.9068,5.93,50.0,App State -5.93,-0.6782999999999999,130.0,292.0,211.0,0.2808219178082192,0.1863999999999999,0.4452054794520548,2.8
70,North Dakota St.,2011-02-18,Arizona,Away,L0 - 10,Arizona,North Dakota St.,10,0,3.97,-2.36,0.9272,6.63,50.0,Arizona -6.63,-0.4129999999999999,17.0,225.0,121.0,0.589041095890411,0.14559999999999995,0.28767123287671237,4.7
71,New Mexico,2011-02-18,Arizona St.,Away,L2 - 8,Arizona St.,New Mexico,8,2,4.12,1.27,0.7701,3.15,50.0,Arizona St. -3.15,-0.3991,5.0,112.0,58.5,0.803082191780822,0.4598,0.6335616438356164,7.2
72,Delaware St.,2011-02-18,Arkansas,Away,L0 - 5,Arkansas,Delaware St.,5,0,3.57,-3.54,0.945,7.41,50.0,Arkansas -7.41,-0.4507,20.0,243.0,131.5,0.553082191780822,0.1100000000000001,0.23630136986301364,4.3
73,Missouri St.,2011-02-18,Air Force,Neutral,L2 - 7,Air Force,Missouri St.,7,2,-2.29,1.38,0.19649999999999998,-3.67,50.0,Missouri St. -3.67,-0.8972,186.0,60.0,123.0,0.5821917808219178,0.393,0.5684931506849316,5.4
74,Eastern Ky.,2011-02-18,Pepperdine,Away,L2 - 9,Pepperdine,Eastern Ky.,9,2,1.32,-2.25,0.8154,3.87,50.0,Pepperdine -3.87,-0.6605,104.0,235.0,169.5,0.4229452054794521,0.3692,0.5513698630136986,4.3
75,Louisiana,2011-02-18,Southeast Mo. St.,Home,L2 - 4,Louisiana,Southeast Mo. St.,2,4,1.89,0.34,0.6704000000000001,1.85,50.0,Louisiana -1.85,-0.7809999999999999,94.0,129.0,111.5,0.6215753424657534,0.6591999999999998,0.8801369863013698,6.5
76,Portland,2011-02-18,Middle Tenn.,Away,W6 - 5,Middle Tenn.,Portland,5,6,-0.3,0.86,0.4182,-0.86,50.0,Portland -0.86,0.21629999999999994,177.0,115.0,146.0,0.5034246575342466,0.8364,0.7876712328767124,6.0
77,N.C. A&T,2011-02-18,Campbell,Home,W14 - 9,N.C. A&T,Campbell,14,9,-3.52,-3.1,0.4885,-0.12,50.0,Campbell -0.12,0.06969999999999998,268.0,245.0,256.5,0.125,0.977,0.9212328767123288,3.8
78,Charlotte,2011-02-18,Coppin St.,Home,W18 - 1,Charlotte,Coppin St.,18,1,1.76,-4.85,0.9340999999999999,6.91,50.0,Charlotte -6.91,0.036800000000000055,89.0,293.0,191.0,0.3493150684931507,0.13180000000000014,0.3013698630136986,3.0
79,UNC Greensboro,2011-02-18,Delaware,Home,W7 - 3,UNC Greensboro,Delaware,7,3,0.32,-1.33,0.6788,1.95,50.0,UNC Greensboro -1.95,0.12870000000000004,107.0,191.0,149.0,0.4931506849315068,0.6424000000000001,0.7123287671232876,5.4
80,NC State,2011-02-18,Elon,Home,W17 - 4,NC State,Elon,17,4,3.37,1.72,0.6788,1.95,50.0,NC State -1.95,0.3225,49.0,70.0,59.5,0.7996575342465754,0.6424000000000001,0.928082191780822,7.8
81,UNCW,2011-02-18,Jacksonville,Home,W20 - 7,UNCW,Jacksonville,20,7,-0.35,1.63,0.3442,-1.68,50.0,Jacksonville -1.68,0.31499999999999995,159.0,75.0,117.0,0.6027397260273972,0.6884,0.7123287671232876,6.3
82,Charleston So.,2011-02-18,North Florida,Home,L8 - 12,Charleston So.,North Florida,8,12,-0.67,0.36,0.4304,-0.73,50.0,North Florida -0.73,-0.7797,175.0,148.0,161.5,0.4503424657534247,0.8608,0.9075342465753424,5.8
83,Northwestern St.,2011-02-18,BYU,Home,W8 - 7,Northwestern St.,BYU,8,7,0.32,2.26,0.3477,-1.64,50.0,BYU -1.64,0.36939999999999995,147.0,74.0,110.5,0.625,0.6954,0.75,6.5
84,Oklahoma,2011-02-18,William & Mary,Home,W7 - 1,Oklahoma,William & Mary,7,1,4.36,-1.13,0.9022,5.79,50.0,Oklahoma -5.79,0.13749999999999996,21.0,198.0,109.5,0.6284246575342466,0.1956,0.3938356164383562,5.2
85,Oklahoma St.,2011-02-18,Bryant,Home,W8 - 0,Oklahoma St.,Bryant,8,0,2.98,-1.36,0.8558,4.64,50.0,Oklahoma St. -4.64,0.12739999999999996,34.0,185.0,109.5,0.6284246575342466,0.2884,0.48287671232876717,5.5
86,Old Dominion,2011-02-18,Saint Joseph's,Home,W7 - 5,Old Dominion,Saint Joseph's,7,5,-1.15,-2.93,0.6896,2.08,50.0,Old Dominion -2.08,0.07400000000000007,181.0,250.0,215.5,0.2654109589041096,0.6208,0.7636986301369864,3.9
87,Baylor,2011-02-18,Oral Roberts,Home,L3 - 7,Baylor,Oral Roberts,3,7,3.25,2.21,0.6258,1.34,50.0,Baylor -1.34,-0.6351,32.0,83.0,57.5,0.8065068493150684,0.7484,0.8253424657534246,8.0
88,Penn St.,2011-02-18,Seton Hall,Neutral,W8 - 6,Penn St.,Seton Hall,8,6,0.68,1.71,0.40240000000000004,-1.03,50.0,Seton Hall -1.03,0.34730000000000005,116.0,90.0,103.0,0.6506849315068494,0.8048000000000001,0.910958904109589,7.1
89,Pepperdine,2011-02-18,Eastern Ky.,Home,W9 - 2,Pepperdine,Eastern Ky.,9,2,1.32,-2.25,0.8154,3.87,50.0,Pepperdine -3.87,0.09400000000000008,104.0,235.0,169.5,0.4229452054794521,0.3692,0.5513698630136986,4.3
90,Pittsburgh,2011-02-18,Illinois,Neutral,W10 - 6,Pittsburgh,Illinois,10,6,1.7,0.05,0.6531999999999999,1.65,50.0,Pittsburgh -1.65,0.2195999999999999,114.0,139.0,126.5,0.5702054794520548,0.6936000000000002,0.9143835616438356,6.3
91,Middle Tenn.,2011-02-18,Portland,Home,L5 - 6,Middle Tenn.,Portland,5,6,-0.3,0.86,0.4182,-0.86,50.0,Portland -0.86,-0.745,177.0,115.0,146.0,0.5034246575342466,0.8364,0.7876712328767124,6.0
92,Presbyterian,2011-02-18,Navy,Home,W12 - 5,Presbyterian,Navy,12,5,-1.91,-1.21,0.4617,-0.4,50.0,Navy -0.4,0.13390000000000002,208.0,204.0,206.0,0.2979452054794521,0.9234,0.9863013698630136,4.9
93,Purdue,2011-02-18,UConn,Neutral,W10 - 2,Purdue,UConn,10,2,1.07,3.42,0.2887,-2.35,50.0,UConn -2.35,0.5063,109.0,39.0,74.0,0.75,0.5774,0.7602739726027398,7.2
94,UNC Asheville,2011-02-18,Murray St.,Home,W15 - 11,UNC Asheville,Murray St.,15,11,-3.47,-2.55,0.44079999999999997,-0.62,50.0,Murray St. -0.62,0.0845999999999999,260.0,252.0,256.0,0.1267123287671233,0.8815999999999999,0.9726027397260274,3.6
95,North Carolina,2011-02-18,Cal Poly,Neutral,W2 - 1,North Carolina,Cal Poly,2,1,4.38,2.4,0.6812999999999999,1.98,50.0,North Carolina -1.98,0.4095,6.0,61.0,33.5,0.8886986301369864,0.6374000000000002,0.8116438356164384,8.3
96,Nicholls,2011-02-18,Grambling,Neutral,W5 - 2,Nicholls,Grambling,5,2,0.26,-3.29,0.7961,3.55,50.0,Nicholls -3.55,0.07239999999999991,131.0,256.0,193.5,0.3407534246575342,0.40779999999999994,0.571917808219178,3.8
97,New Mexico St.,2011-02-18,Houston Christian,Home,W9 - 6,New Mexico St.,Houston Christian,9,6,0.52,-6.26,0.938,7.08,50.0,New Mexico St. -7.08,0.02180000000000004,128.0,,,,0.12400000000000011,,
98,Jackson St.,2011-02-18,Florida A&M,Home,W13 - 4,Jackson St.,Florida A&M,13,4,-2.43,-4.72,0.7299,2.59,50.0,Jackson St. -2.59,0.03870000000000007,259.0,282.0,270.5,0.07705479452054795,0.5402,0.9212328767123288,2.5
99,James Madison,2011-02-18,Bucknell,Home,W37 - 7,James Madison,Bucknell,37,7,1.0,-2.41,0.8059000000000001,3.71,50.0,James Madison -3.71,0.08889999999999998,111.0,244.0,177.5,0.3955479452054795,0.3881999999999999,0.5445205479452055,4.1
100,Kennesaw St.,2011-02-18,Ball St.,Home,W3 - 2,Kennesaw St.,Ball St.,3,2,1.01,-2.28,0.7986,3.59,50.0,Kennesaw St. -3.59,0.09299999999999997,103.0,239.0,171.0,0.4178082191780822,0.40280000000000005,0.5342465753424658,4.3
101,Longwood,2011-02-18,Cleveland St.,Home,W8 - 3,Longwood,Cleveland St.,8,3,-2.79,-3.6,0.6049,1.11,50.0,Longwood -1.11,0.05819999999999992,219.0,275.0,247.0,0.15753424657534246,0.7902,0.8082191780821918,3.5
102,ULM,2011-02-18,UTSA,Home,W3 - 2,ULM,UTSA,3,2,-1.37,0.82,0.3262,-1.89,50.0,UTSA -1.89,0.2521,161.0,126.0,143.5,0.511986301369863,0.6524,0.8801369863013698,5.8
103,LSU,2011-02-18,Wake Forest,Home,W15 - 4,LSU,Wake Forest,15,4,3.28,-0.22,0.8112999999999999,3.8,50.0,LSU -3.8,0.1844,33.0,95.0,64.0,0.7842465753424658,0.3774000000000002,0.7876712328767124,7.0
104,Louisiana Tech,2011-02-18,Southern Ill.,Home,W3 - 1,Louisiana Tech,Southern Ill.,3,1,1.09,-0.19,0.6470999999999999,1.58,50.0,Louisiana Tech -1.58,0.18620000000000003,101.0,164.0,132.5,0.5496575342465754,0.7058000000000002,0.7842465753424658,6.0
105,Louisville,2011-02-18,Michigan,Neutral,W6 - 3,Louisville,Michigan,6,3,2.14,-1.17,0.7807999999999999,3.31,50.0,Louisville -3.31,0.14980000000000004,98.0,223.0,160.5,0.4537671232876712,0.4384000000000001,0.571917808219178,4.6
