Rank,Name,G,W-L,AB,H
,A&M-Corpus Christi,55,27-28,1886,548
104,DBU,59,34-24-1,2003,547
105,Kansas St.,58,29-29,1973,546
106,Illinois,53,31-22,1880,545
,ETSU,51,30-21,1819,545
,TCU,60,38-22,2018,545
109,LMU (CA),55,20-34-1,1977,544
110,Eastern Ill.,53,33-20,1840,540
,Evansville,56,32-24,1941,540
,Florida A&M,59,29-30,1982,540
113,Mississippi St.,56,26-30,1946,539
,Southeast Mo. St.,59,37-22,1995,539
115,Eastern Ky.,58,38-20,1983,535
116,Washington,56,30-26,1955,534
,New Orleans,53,30-23,1852,534
118,Columbia,50,32-18,1767,531
,Lipscomb,58,35-23,1927,531
,LIU,58,37-21,1977,531
121,North Florida,55,22-33,1911,530
,Kent St.,53,24-29,1789,530
,Oakland,58,31-27,1886,530
124,Toledo,58,33-25,1904,529
125,Florida St.,59,34-25,2012,527
,Fairfield,52,31-21,1839,527
127,Western Mich.,54,18-36,1787,526
,Iowa,55,36-19,1897,526
,Sacramento St.,58,32-26,1935,526
130,FDU,54,24-30,1864,525
,Jackson St.,56,29-27,1821,525
132,Utah,54,26-27-1,1842,524
,Col. of Charleston,57,37-20,1898,524
134,VMI,56,16-40,1933,523
135,George Washington,52,22-30,1832,522
136,UAB,56,31-25,1868,521
,Pittsburgh,56,29-27,1907,521
,Cincinnati,55,24-31,1882,521
,UMBC,55,23-32,1857,521
,Troy,56,32-24,1900,521
141,Middle Tenn.,55,29-26,1893,520
,Murray St.,55,30-25,1903,520
,Cal St. Fullerton,55,22-33,1878,520
,Bryant,57,30-27,1957,520
145,Georgetown,56,32-24,1927,519
146,Marshall,55,20-34-1,1919,518
,Kansas,55,20-35,1918,518
,Ohio,53,29-24,1750,518
,Wichita St.,57,21-36,1954,518
,Samford,57,28-29,1903,518
151,Indiana St.,49,26-22-1,1726,517
152,Eastern Mich.,56,22-34,1837,515
153,George Mason,56,23-33,1878,514
154,Southern U.,58,27-31,1862,512
155,Charleston So.,54,24-30,1781,508
,Purdue,50,29-21,1756,508
,Long Beach St.,56,29-27,1919,508
158,Hofstra,53,30-23,1851,507
,ULM,56,20-35-1,1906,507
160,Penn,48,33-15,1685,506
,Miami (OH),56,23-33,1841,506
162,Northern Ky.,54,19-35,1824,505
,Memphis,55,26-29,1865,505
164,Binghamton,52,22-30,1806,504
165,Sacred Heart,53,Dec-41,1839,503
166,NJIT,53,26-27,1818,502
,Gardner-Webb,60,24-36,2002,502
168,Michigan St.,54,24-30,1850,501
,Penn St.,55,26-29,1891,501
,UIW,52,21-31,1813,501
171,Saint Louis,53,29-24,1780,500
172,CSUN,54,32-22,1847,499
,Ohio St.,51,21-30,1761,499
174,Southeastern La.,61,30-31,1995,498
,Portland,55,32-23,1875,498
,Jacksonville St.,55,27-28,1865,498
177,Niagara,54,22-32,1864,497
,Missouri,51,28-23,1753,497
179,Central Conn. St.,47,29-18,1694,496
,Little Rock,51,24-27,1733,496
181,Rider,54,28-26,1882,494
182,Maine,49,27-22,1699,492
,San Diego St.,56,18-38,1890,492
,UC Irvine,56,32-24,1893,492
,BYU,54,33-21,1852,492
186,SFA,52,15-37,1753,491
,UNCW,55,31-24,1835,491
,James Madison,53,27-26,1807,491
,Presbyterian,54,22-32,1830,491
190,Omaha,57,26-31,1931,490
191,Saint Mary's (CA),55,25-30,1844,489
,Seattle U,50,16-34,1742,489
,The Citadel,57,26-31,1888,489
,Manhattan,50,24-26,1717,489
195,South Fla.,57,28-29,1857,488
196,Southern California,53,25-28,1790,487
197,Lehigh,50,26-24,1662,486
198,San Francisco,57,28-29,1946,485
,West Virginia,55,33-22,1806,485
200,Delaware,51,25-26,1742,483
,Coppin St.,54,24-30,1714,483
202,Baylor,54,26-28,1812,482
203,UAlbany,47,22-25,1655,480
204,Marist,46,29-17,1618,478
205,Northwestern,51,24-27,1722,476
206,Northeastern,61,31-29-1,1985,475
,Washington St.,53,27-26,1795,475
,Utah Valley,55,18-37,1834,475
,South Carolina,55,27-28,1804,475
210,Pacific,52,14-38,1806,474
211,Rice,56,17-39,1882,473
,Jacksonville,55,27-28,1846,473
213,Rhode Island,55,20-35,1871,472
214,Duke,54,22-32,1851,471
,Butler,56,20-35-1,1889,471
,Longwood,53,20-33,1794,471
217,St. John's (NY),55,22-32-1,1807,469
,Hawaii,52,28-24,1746,469
219,Illinois St.,51,20-31,1794,468
220,N.C. A&T,53,15-38,1829,467
,Bethune-Cookman,59,27-32,1928,467
,High Point,56,23-33,1874,467
223,Bowling Green,52,18-34,1660,466
224,Winthrop,52,18-34,1758,465
,Stony Brook,52,27-25,1758,465
,Quinnipiac,48,15-33,1678,465
227,Santa Clara,53,24-29,1803,464
228,Pepperdine,50,24-26,1742,463
229,Bucknell,48,22-26,1627,462
230,Ark.-Pine Bluff,50,13-36-1,1599,461
,Boston College,53,19-34,1822,461
,North Dakota St.,50,31-19,1676,461
233,App State,53,20-33,1823,460
234,Stetson,55,26-29,1831,458
,Massachusetts,49,22-26-1,1704,458
236,Milwaukee,50,20-30,1690,455
,Purdue Fort Wayne,54,18-36,1800,455
238,Bradley,49,20-29,1649,454
239,Central Ark.,53,24-29,1741,453
240,NIU,54,14-40,1670,451
241,William & Mary,49,26-23,1677,450
242,CSU Bakersfield,52,18-34,1757,448
243,Dartmouth,43,24-19,1527,446
,Youngstown St.,57,21-36,1847,446
245,Northern Colo.,51,Dec-39,1672,445
246,Creighton,49,31-18,1654,444
247,UT Arlington,54,15-39,1781,441
248,Nebraska,53,23-30,1746,440
249,Western Ky.,54,18-36,1768,438
,Seton Hall,53,18-35,1755,438
,Akron,56,15-41,1734,438
,Fordham,52,16-36,1730,438
253,UNC Asheville,51,21-29-1,1727,437
,Holy Cross,54,17-37,1769,437
,Northwestern St.,54,25-29,1742,437
,Radford,48,15-33,1628,437
257,Nicholls,51,26-25,1649,435
258,Houston Christian,54,18-36,1714,434
259,Minnesota,52,16-36,1726,433
260,Wagner,51,17-34,1678,432
,Hartford,50,13-37,1683,432
262,Monmouth,51,24-27,1712,428
263,Western Ill.,52,Aug-44,1687,426
264,Mount St. Mary's,48,14-34,1612,421
265,UIC,47,22-25,1547,417
,Dayton,50,23-27,1686,417
267,Towson,53,14-39,1732,414
268,FIU,50,16-34,1660,406
269,Valparaiso,48,16-32,1596,404
270,UMES,54,17-37,1633,403
271,Arkansas St.,49,Nov-38,1634,402
272,Elon,55,27-28,1771,401
273,Harvard,41,19-22,1448,398
274,Villanova,49,19-29-1,1625,396
275,Lafayette,50,15-35,1601,394
276,Delaware St.,48,25-23,1446,391
277,South Dakota St.,45,22-23,1522,389
,Alabama A&M,49,14-35,1547,389
279,Siena,48,Nov-37,1616,388
280,UC Riverside,53,Aug-45,1697,385
281,Navy,45,19-26,1467,378
282,UT Martin,45,Nov-34,1524,376
283,Norfolk St.,47,15-32,1446,369
,Iona,47,Jun-41,1561,369
285,Princeton,40,Jul-33,1405,367
286,Mississippi Val.,42,10/31/2001,1321,364
,Saint Peter's,50,Sep-41,1614,364
288,St. Bonaventure,44,May-39,1444,344
289,UC Davis,41,Jun-35,1413,337
290,Yale,38,20-18,1282,321
291,Cornell,36,25-Nov,1246,309
292,Brown,36,13-23,1196,292
293,Alcorn,41,Feb-39,1137,256
NR,California Baptist,56,36-20,1967,637
NR,Utah Tech,55,22-33,1825,527
NR,UC San Diego,56,24-32,1920,514
NR,Bellarmine,54,Nov-43,1863,494
NR,Tarleton St.,53,17-36,1774,475
NR,North Ala.,53,Dec-41,1739,455
NR,Merrimack,49,17-31-1,1669,430
NR,St. Thomas (MN),45,16-29,1454,347
