Rank,Name,G,W-L,SH
,Saint Mary's (CA),55,25-30,28
,South Fla.,57,28-29,28
,Northwestern,51,24-27,28
,Notre Dame,58,41-17,28
,Winthrop,52,18-34,28
70,Gardner-Webb,60,24-36,27
,LIU,58,37-21,27
,Rutgers,59,44-15,27
,NJIT,53,26-27,27
,Prairie View,57,30-27,27
,Western Ill.,52,Aug-44,27
76,Kent St.,53,24-29,26
,Stanford,65,47-18,26
,Campbell,60,41-19,26
,Washington St.,53,27-26,26
,Baylor,54,26-28,26
81,Grand Canyon,62,41-21,25
,Miami (OH),56,23-33,25
,Mississippi Val.,42,10/31/2001,25
,Georgia St.,57,30-27,25
,Jacksonville,55,27-28,25
,Ohio,53,29-24,25
,Butler,56,20-35-1,25
,Cal St. Fullerton,55,22-33,25
,NC State,57,36-21,25
,Binghamton,52,22-30,25
91,McNeese,57,34-23,24
,Georgetown,56,32-24,24
,Gonzaga,56,37-19,24
,Alabama A&M,49,14-35,24
,UAB,56,31-25,24
,Arkansas St.,49,Nov-38,24
,Oklahoma St.,64,42-22,24
,Stetson,55,26-29,24
,Texas Southern,53,28-25,24
,Towson,53,14-39,24
,Army West Point,56,31-25,24
,Mount St. Mary's,48,14-34,24
,Charleston So.,54,24-30,24
104,High Point,56,23-33,23
,LSU,62,40-22,23
,Maryland,62,48-14,23
,Boston College,53,19-34,23
,Oakland,58,31-27,23
,San Diego,57,37-20,23
,South Carolina,55,27-28,23
,UNC Greensboro,64,34-30,23
,Omaha,57,26-31,23
,Davidson,56,43-13,23
114,Kansas St.,58,29-29,22
,Portland,55,32-23,22
,UMass Lowell,58,28-30,22
,Michigan,62,34-28,22
,Minnesota,52,16-36,22
,Holy Cross,54,17-37,22
,Illinois St.,51,20-31,22
,Iowa,55,36-19,22
,Jacksonville St.,55,27-28,22
,Cal Poly,58,37-21,22
,CSU Bakersfield,52,18-34,22
,UConn,66,50-16,22
,Delaware,51,25-26,22
,West Virginia,55,33-22,22
,Western Caro.,58,26-31-1,22
,William & Mary,49,26-23,22
,Youngstown St.,57,21-36,22
,Louisville,64,42-21-1,22
132,Lamar University,58,37-21,21
,Hartford,50,13-37,21
,Illinois,53,31-22,21
,Indiana St.,49,26-22-1,21
,Creighton,49,31-18,21
,Pacific,52,14-38,21
,Southern California,53,25-28,21
,Stony Brook,52,27-25,21
,New Mexico St.,58,24-34,21
,Northwestern St.,54,25-29,21
,Oregon,61,36-25,21
,Santa Clara,53,24-29,21
144,LMU (CA),55,20-34-1,20
,Florida A&M,59,29-30,20
,FIU,50,16-34,20
,Hofstra,53,30-23,20
,Pittsburgh,56,29-27,20
,ETSU,51,30-21,20
,Virginia,58,39-19,20
,SFA,52,15-37,20
,Nevada,55,29-26,20
,Austin Peay,56,19-37,20
154,Presbyterian,54,22-32,19
,Florida,66,42-24,19
,Northern Colo.,51,Dec-39,19
,Samford,57,28-29,19
,UC Santa Barbara,58,44-14,19
159,North Florida,55,22-33,18
,Manhattan,50,24-26,18
,Marist,46,29-17,18
,Arkansas,67,46-21,18
,Rider,54,28-26,18
,Troy,56,32-24,18
,UNC Asheville,51,21-29-1,18
,UTRGV,58,33-25,18
,Radford,48,15-33,18
,Ball St.,59,40-19,18
169,Eastern Mich.,56,22-34,17
,Purdue,50,29-21,17
,Georgia,59,36-23,17
,Grambling,57,26-31,17
,Purdue Fort Wayne,54,18-36,17
,Alabama,58,31-27,17
,App State,53,20-33,17
,Auburn,65,43-22,17
,Cincinnati,55,24-31,17
,Dartmouth,43,24-19,17
,Wagner,51,17-34,17
,Wichita St.,57,21-36,17
,Monmouth,51,24-27,17
,Nicholls,51,26-25,17
,Old Dominion,58,41-17,17
,Kentucky,59,33-26,17
185,Seattle U,50,16-34,16
,Belmont,59,39-20,16
,Fairfield,52,31-21,16
,FDU,54,24-30,16
,Massachusetts,49,22-26-1,16
,George Washington,52,22-30,16
,Quinnipiac,48,15-33,16
,Dayton,50,23-27,16
,Washington,56,30-26,16
,Texas St.,61,47-14,16
,Tulane,60,33-26-1,16
,Ohio St.,51,21-30,16
,Penn,48,33-15,16
,UC Riverside,53,Aug-45,16
199,Lehigh,50,26-24,15
,Michigan St.,54,24-30,15
,Middle Tenn.,55,29-26,15
,Harvard,41,19-22,15
,Indiana,59,27-32,15
,Bucknell,48,22-26,15
,Oral Roberts,58,38-20,15
,Central Conn. St.,47,29-18,15
,San Francisco,57,28-29,15
,Wright St.,57,30-27,15
,Toledo,58,33-25,15
,Air Force,61,32-29,15
,Navy,45,19-26,15
,Sacramento St.,58,32-26,15
213,UIW,52,21-31,14
,Kansas,55,20-35,14
,Memphis,55,26-29,14
,Sam Houston,56,31-25,14
,Saint Louis,53,29-24,14
,SIUE,55,27-28,14
,North Carolina,64,42-22,14
,Rice,56,17-39,14
,St. John's (NY),55,22-32-1,14
,Yale,38,20-18,14
223,Ark.-Pine Bluff,50,13-36-1,13
,Fla. Atlantic,58,35-23,13
,Houston,61,37-24,13
,Little Rock,51,24-27,13
,Bryant,57,30-27,13
,California,56,29-27,13
,A&M-Corpus Christi,55,27-28,13
,Siena,48,Nov-37,13
,VMI,56,16-40,13
,UTSA,58,38-20,13
,New Orleans,53,30-23,13
,Rhode Island,55,20-35,13
,Duke,54,22-32,13
236,Lafayette,50,15-35,12
,Louisiana Tech,64,43-21,12
,Florida St.,59,34-25,12
,Canisius,54,29-25,12
,Pepperdine,50,24-26,12
,Delaware St.,48,25-23,12
,Milwaukee,50,20-30,12
,Tennessee Tech,57,30-27,12
,Murray St.,55,30-25,12
,New Mexico,54,21-33,12
,Clemson,58,35-23,12
247,UMBC,55,23-32,11
,Iona,47,Jun-41,11
,Valparaiso,48,16-32,11
,UT Arlington,54,15-39,11
,BYU,54,33-21,11
252,UAlbany,47,22-25,10
,Arizona St.,58,26-32,10
,Arizona,64,39-25,10
,Virginia Tech,59,45-14,10
,Xavier,60,33-27,10
,Texas Tech,61,39-22,10
,Charlotte,58,36-22,10
,Norfolk St.,47,15-32,10
260,UT Martin,45,Nov-34,9
,Tennessee,66,57-9,9
,South Dakota St.,45,22-23,9
,San Jose St.,59,30-29,9
,Evansville,56,32-24,9
,Sacred Heart,53,Dec-41,9
,Abilene Christian,59,30-29,9
,DBU,59,34-24-1,9
,Missouri,51,28-23,9
269,Brown,36,13-23,8
,Penn St.,55,26-29,8
,Wake Forest,61,41-19-1,8
,Georgia Tech,60,36-24,8
,Niagara,54,22-32,8
,Saint Peter's,50,Sep-41,8
,Marshall,55,20-34-1,8
,TCU,60,38-22,8
,Columbia,50,32-18,8
278,Cornell,36,25-Nov,7
,Princeton,40,Jul-33,7
,Texas A&M,64,44-20,7
,FGCU,58,35-23,7
282,Mississippi St.,56,26-30,6
,Eastern Ky.,58,38-20,6
,Utah Valley,55,18-37,6
285,Miami (FL),60,40-20,5
,Southern Ill.,60,44-16,5
,UNLV,58,36-22,5
,Ole Miss,65,42-23,5
289,Missouri St.,60,31-29,4
290,Western Ky.,54,18-36,3
,Alcorn,41,Feb-39,3
292,UC Davis,41,Jun-35,2
293,Saint Joseph's,54,29-25,1
NR,Utah Tech,55,22-33,55
NR,St. Thomas (MN),45,16-29,39
NR,California Baptist,56,36-20,26
NR,North Ala.,53,Dec-41,25
NR,Tarleton St.,53,17-36,19
NR,UC San Diego,56,24-32,19
NR,Merrimack,49,17-31-1,12
NR,Bellarmine,54,Nov-43,12
