Rank,Name,G,W-L,R
,West Virginia,55,33-22,361
133,Fresno St.,55,27-28,360
,Miami (OH),56,23-33,360
135,LIU,58,37-21,358
,Iowa,55,36-19,358
137,DBU,59,34-24-1,357
,Florida A&M,59,29-30,357
139,Missouri,51,28-23,356
140,Maine,49,27-22,354
141,New Mexico,54,21-33,353
,Eastern Mich.,56,22-34,353
143,Ohio St.,51,21-30,351
,Georgia St.,57,30-27,351
145,FDU,54,24-30,350
146,Saint Louis,53,29-24,349
147,Gonzaga,56,37-19,347
,The Citadel,57,26-31,347
149,Kansas St.,58,29-29,346
,Toledo,58,33-25,346
151,James Madison,53,27-26,345
,UAlbany,47,22-25,345
153,Central Conn. St.,47,29-18,344
154,Manhattan,50,24-26,343
155,South Fla.,57,28-29,342
156,UNCW,55,31-24,341
157,Memphis,55,26-29,339
,Sacramento St.,58,32-26,339
159,Northern Ky.,54,19-35,338
,UAB,56,31-25,338
161,Gardner-Webb,60,24-36,336
,Longwood,53,20-33,336
,Samford,57,28-29,336
164,Utah,54,26-27-1,335
,Alabama,58,31-27,335
166,UC Irvine,56,32-24,334
,Northwestern St.,54,25-29,334
,NJIT,53,26-27,334
169,Florida St.,59,34-25,333
170,George Mason,56,23-33,330
171,Rhode Island,55,20-35,329
,Baylor,54,26-28,329
,Wichita St.,57,21-36,329
174,Lehigh,50,26-24,324
175,Jacksonville St.,55,27-28,323
,San Francisco,57,28-29,323
177,BYU,54,33-21,322
,LMU (CA),55,20-34-1,322
179,Indiana St.,49,26-22-1,321
,Ark.-Pine Bluff,50,13-36-1,321
181,Nicholls,51,26-25,320
182,Washington,56,30-26,318
,Stony Brook,52,27-25,318
184,Duke,54,22-32,317
185,Kansas,55,20-35,316
186,Massachusetts,49,22-26-1,315
,William & Mary,49,26-23,315
188,Saint Mary's (CA),55,25-30,314
,Marshall,55,20-34-1,314
,South Carolina,55,27-28,314
191,Portland,55,32-23,313
,Bradley,49,20-29,313
,Quinnipiac,48,15-33,313
194,Creighton,49,31-18,312
,Boston College,53,19-34,312
,Rider,54,28-26,312
197,CSUN,54,32-22,311
198,Nebraska,53,23-30,310
199,Delaware,51,25-26,309
,Hawaii,52,28-24,309
,VMI,56,16-40,309
202,UIW,52,21-31,308
,Dartmouth,43,24-19,308
204,St. John's (NY),55,22-32-1,305
205,Presbyterian,54,22-32,304
,Bowling Green,52,18-34,304
207,ULM,56,20-35-1,303
208,North Florida,55,22-33,302
,Penn St.,55,26-29,302
210,Southern California,53,25-28,301
,Bethune-Cookman,59,27-32,301
,North Dakota St.,50,31-19,301
213,Hofstra,53,30-23,300
,Northeastern,61,31-29-1,300
,Mount St. Mary's,48,14-34,300
216,George Washington,52,22-30,299
217,Bucknell,48,22-26,297
218,Monmouth,51,24-27,296
219,Binghamton,52,22-30,295
,Utah Valley,55,18-37,295
,Michigan St.,54,24-30,295
222,Middle Tenn.,55,29-26,294
223,Little Rock,51,24-27,293
,Niagara,54,22-32,293
,Delaware St.,48,25-23,293
226,Long Beach St.,56,29-27,292
,Rice,56,17-39,292
,Washington St.,53,27-26,292
229,UNC Asheville,51,21-29-1,291
230,Jacksonville,55,27-28,290
,Central Ark.,53,24-29,290
,Omaha,57,26-31,290
233,UIC,47,22-25,288
234,SFA,52,15-37,286
,Butler,56,20-35-1,286
236,Fordham,52,16-36,285
237,Western Ky.,54,18-36,284
238,High Point,56,23-33,283
239,N.C. A&T,53,15-38,282
,Dayton,50,23-27,282
241,Winthrop,52,18-34,281
,Wagner,51,17-34,281
243,Milwaukee,50,20-30,278
,Seattle U,50,16-34,278
245,UMES,54,17-37,277
,NIU,54,14-40,277
247,Stetson,55,26-29,276
