Rank,Name,G,W-L,HBP
,Pacific,52,14-38,70
,Kent St.,53,24-29,70
,Tennessee,66,57-9,70
113,Ohio,53,29-24,69
,Ball St.,59,40-19,69
,Saint Louis,53,29-24,69
,UNLV,58,36-22,69
117,Memphis,55,26-29,68
,Jacksonville,55,27-28,68
,San Jose St.,59,30-29,68
,Kentucky,59,33-26,68
,Pittsburgh,56,29-27,68
122,Quinnipiac,48,15-33,67
,Manhattan,50,24-26,67
124,Texas St.,61,47-14,66
,Jacksonville St.,55,27-28,66
,Mississippi Val.,42,10/31/2001,66
,BYU,54,33-21,66
,Fairfield,52,31-21,66
,Charlotte,58,36-22,66
130,Toledo,58,33-25,65
,NJIT,53,26-27,65
,App State,53,20-33,65
,San Diego St.,56,18-38,65
134,Wright St.,57,30-27,64
,Xavier,60,33-27,64
,South Carolina,55,27-28,64
,Southeast Mo. St.,59,37-22,64
,Northwestern,51,24-27,64
,Lehigh,50,26-24,64
,Longwood,53,20-33,64
,Florida,66,42-24,64
,Louisiana,60,37-23,64
143,Kennesaw St.,64,36-28,63
,Oregon St.,66,48-18,63
,Long Beach St.,56,29-27,63
,SFA,52,15-37,63
147,Gonzaga,56,37-19,62
,LIU,58,37-21,62
,Niagara,54,22-32,62
,Florida A&M,59,29-30,62
,Lipscomb,58,35-23,62
,UNC Greensboro,64,34-30,62
,Clemson,58,35-23,62
154,Tennessee Tech,57,30-27,61
,Virginia Tech,59,45-14,61
,Virginia,58,39-19,61
,Santa Clara,53,24-29,61
,Siena,48,Nov-37,61
,N.C. A&T,53,15-38,61
,Mississippi St.,56,26-30,61
,Massachusetts,49,22-26-1,61
,UC Riverside,53,Aug-45,61
,Eastern Ky.,58,38-20,61
,UNC Asheville,51,21-29-1,61
,Miami (FL),60,40-20,61
166,Stetson,55,26-29,60
,Washington St.,53,27-26,60
,South Dakota St.,45,22-23,60
,Portland,55,32-23,60
,Mercer,58,40-18,60
,Arizona St.,58,26-32,60
,Baylor,54,26-28,60
173,Little Rock,51,24-27,59
,Austin Peay,56,19-37,59
,Mount St. Mary's,48,14-34,59
,Rider,54,28-26,59
,Bowling Green,52,18-34,59
178,Wake Forest,61,41-19-1,58
,Western Ky.,54,18-36,58
,Bradley,49,20-29,58
,Oregon,61,36-25,58
,Omaha,57,26-31,58
,Old Dominion,58,41-17,58
184,Stony Brook,52,27-25,57
,Navy,45,19-26,57
,Saint Joseph's,54,29-25,57
,Ole Miss,65,42-23,57
,Sacramento St.,58,32-26,57
,UAlbany,47,22-25,57
,Utah Valley,55,18-37,57
,Southern Ill.,60,44-16,57
192,Elon,55,27-28,56
,Ohio St.,51,21-30,56
,Delaware St.,48,25-23,56
195,UIC,47,22-25,55
,Marist,46,29-17,55
,Northern Ky.,54,19-35,55
,Ark.-Pine Bluff,50,13-36-1,55
,UAB,56,31-25,55
200,SIUE,55,27-28,54
,Houston,61,37-24,54
,NC State,57,36-21,54
,Georgia St.,57,30-27,54
,Minnesota,52,16-36,54
205,Grand Canyon,62,41-21,53
,St. John's (NY),55,22-32-1,53
,Saint Mary's (CA),55,25-30,53
,Southern California,53,25-28,53
,New Mexico St.,58,24-34,53
,Bucknell,48,22-26,53
,Eastern Ill.,53,33-20,53
,Morehead St.,54,27-27,53
,Indiana,59,27-32,53
214,Lafayette,50,15-35,52
,Columbia,50,32-18,52
,ULM,56,20-35-1,52
,Georgia,59,36-23,52
,Alabama,58,31-27,52
,Belmont,59,39-20,52
,George Washington,52,22-30,52
221,VMI,56,16-40,51
,Wichita St.,57,21-36,51
,UIW,52,21-31,51
,Illinois St.,51,20-31,51
,Vanderbilt,62,39-23,51
226,Washington,56,30-26,50
,Milwaukee,50,20-30,50
,Stanford,65,47-18,50
,North Dakota St.,50,31-19,50
,Presbyterian,54,22-32,50
,High Point,56,23-33,50
,Kansas,55,20-35,50
233,UT Martin,45,Nov-34,49
,Seton Hall,53,18-35,49
,Akron,56,15-41,49
,Fresno St.,55,27-28,49
,The Citadel,57,26-31,49
,Purdue Fort Wayne,54,18-36,49
239,Hofstra,53,30-23,48
,East Carolina,67,46-21,48
,FIU,50,16-34,48
,Rice,56,17-39,48
,Penn,48,33-15,48
,Norfolk St.,47,15-32,48
,Northern Colo.,51,Dec-39,48
,NIU,54,14-40,48
,Monmouth,51,24-27,48
248,St. Bonaventure,44,May-39,47
,Alabama A&M,49,14-35,47
,UMES,54,17-37,47
251,Col. of Charleston,57,37-20,46
,Penn St.,55,26-29,46
,Cal Poly,58,37-21,46
254,Cal St. Fullerton,55,22-33,45
255,Marshall,55,20-34-1,44
,New Mexico,54,21-33,44
,Murray St.,55,30-25,44
,ETSU,51,30-21,44
259,TCU,60,38-22,43
,Army West Point,56,31-25,43
,Pepperdine,50,24-26,43
,Kansas St.,58,29-29,43
263,Yale,38,20-18,42
,Valparaiso,48,16-32,42
,Oakland,58,31-27,42
,Harvard,41,19-22,42
,Alcorn,41,Feb-39,42
,Saint Peter's,50,Sep-41,42
269,Winthrop,52,18-34,41
,Towson,53,14-39,41
,California,56,29-27,41
,Houston Christian,54,18-36,41
,Hartford,50,13-37,41
274,Arkansas St.,49,Nov-38,40
,Binghamton,52,22-30,40
,Oral Roberts,58,38-20,40
,CSU Bakersfield,52,18-34,40
,Brown,36,13-23,40
279,Dartmouth,43,24-19,39
,Central Conn. St.,47,29-18,39
281,Holy Cross,54,17-37,38
282,DBU,59,34-24-1,37
,Seattle U,50,16-34,37
,Michigan St.,54,24-30,37
285,Princeton,40,Jul-33,36
,North Florida,55,22-33,36
287,Iona,47,Jun-41,35
,Sacred Heart,53,Dec-41,35
,UC Davis,41,Jun-35,35
290,Youngstown St.,57,21-36,34
291,Cornell,36,25-Nov,30
292,Cincinnati,55,24-31,26
293,Delaware,51,25-26,23
NR,UC San Diego,56,24-32,73
NR,Merrimack,49,17-31-1,62
NR,California Baptist,56,36-20,61
NR,Tarleton St.,53,17-36,58
NR,North Ala.,53,Dec-41,54
NR,Utah Tech,55,22-33,52
NR,Bellarmine,54,Nov-43,43
NR,St. Thomas (MN),45,16-29,24
      ,,,,
