Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
277,Elon,55,27-28,1771,401,252,56,22,35,0.337
278,N.C. A&T,53,15-38,1829,467,175,61,19,33,0.337
279,Holy Cross,54,17-37,1769,437,208,38,15,22,0.336
280,UT Martin,45,Nov-34,1524,376,163,49,13,9,0.336
281,Seton Hall,53,18-35,1755,438,184,49,11,37,0.336
282,Utah Valley,55,18-37,1834,475,164,57,19,6,0.336
283,Valparaiso,48,16-32,1596,404,161,42,11,11,0.335
284,FIU,50,16-34,1660,406,185,48,14,20,0.335
285,Saint Peter's,50,Sep-41,1614,364,228,42,10,8,0.335
286,Western Ky.,54,18-36,1768,438,183,58,23,3,0.334
287,Purdue Fort Wayne,54,18-36,1800,455,174,49,14,17,0.333
288,Northeastern,61,31-29-1,1985,475,198,87,16,38,0.332
289,UC Davis,41,Jun-35,1413,337,149,35,13,2,0.324
290,St. Bonaventure,44,May-39,1444,344,139,47,11,34,0.323
291,UC Riverside,53,Aug-45,1697,385,154,61,12,16,0.312
292,Alcorn,41,Feb-39,1137,256,97,42,6,3,0.308
293,Iona,47,Jun-41,1561,369,113,35,17,11,0.3
NR,California Baptist,56,36-20,1967,637,258,61,23,26,0.414
NR,Utah Tech,55,22-33,1825,527,240,52,27,55,0.382
NR,UC San Diego,56,24-32,1920,514,253,73,20,19,0.371
NR,Tarleton St.,53,17-36,1774,475,211,58,13,19,0.362
NR,North Ala.,53,Dec-41,1739,455,226,54,15,25,0.361
NR,Merrimack,49,17-31-1,1669,430,203,62,15,12,0.357
NR,Bellarmine,54,Nov-43,1863,494,204,43,16,12,0.349
NR,St. Thomas (MN),45,16-29,1454,347,109,24,12,39,0.3
