Rank,Name,App,W-L,IP,SO,BB,K/BB
109,Campbell,0,41-19,534,566,268,2.11
110,Jacksonville,0,27-28,492,530,251,2.11
111,Ohio St.,0,21-30,445,490,233,2.1
112,Rutgers,0,44-15,523,534,254,2.1
113,Hawaii,0,28-24,464,454,217,2.09
114,Tulane,0,33-26-1,520,487,233,2.09
115,Fla. Atlantic,0,35-23,513,470,226,2.08
116,UC Santa Barbara,0,44-14,519,553,266,2.08
117,Central Conn. St.,0,29-18,415,339,164,2.07
118,South Dakota St.,0,22-23,380,371,180,2.06
119,Nicholls,0,26-25,440,346,168,2.06
120,Dayton,0,23-27,434,432,210,2.06
121,Wichita St.,0,21-36,497,475,231,2.06
122,UNC Greensboro,0,34-30,557,495,241,2.05
123,Missouri,0,28-23,438,428,209,2.05
124,South Carolina,0,27-28,479,501,246,2.04
125,Omaha,0,26-31,498,470,232,2.03
126,Belmont,0,39-20,516,435,217,2
127,North Florida,0,22-33,477,424,212,2
128,Southern California,0,25-28,467,389,195,1.99
129,Rider,0,28-26,472,432,217,1.99
130,Sacramento St.,0,32-26,500,430,216,1.99
131,Cal St. Fullerton,0,22-33,477,428,215,1.99
132,Murray St.,0,30-25,486,416,209,1.99
133,Rice,0,17-39,485,453,228,1.99
134,Dartmouth,0,24-19,374,319,161,1.98
135,ETSU,0,30-21,449,420,212,1.98
136,TCU,0,38-22,525,523,264,1.98
137,Illinois,0,31-22,468,421,213,1.98
138,Saint Louis,0,29-24,454,400,203,1.97
139,Bryant,0,30-27,500,465,236,1.97
140,Santa Clara,0,24-29,464,490,250,1.96
141,Georgia,0,36-23,519,563,288,1.95
142,Washington St.,0,27-26,466,473,242,1.95
143,Arizona,0,39-25,569,482,248,1.94
144,San Francisco,0,28-29,516,470,242,1.94
145,LIU,0,37-21,516,481,248,1.94
146,Kent St.,0,24-29,444,398,206,1.93
147,Kansas St.,0,29-29,506,540,280,1.93
148,Binghamton,0,22-30,450,414,215,1.93
149,Missouri St.,0,31-29,518,476,248,1.92
150,Fairfield,0,31-21,458,422,220,1.92
151,Penn St.,0,26-29,490,503,263,1.91
152,Wright St.,0,30-27,489,490,257,1.91
153,Pepperdine,0,24-26,445,350,184,1.9
154,Illinois St.,0,20-31,449,391,206,1.9
155,Middle Tenn.,0,29-26,479,421,222,1.9
156,Georgia Tech,0,36-24,530,547,289,1.89
157,Eastern Ky.,0,38-20,510,504,270,1.87
158,Memphis,0,26-29,478,502,269,1.87
159,UTSA,0,38-20,502,519,279,1.86
160,San Diego St.,0,18-38,499,504,271,1.86
161,Canisius,0,29-25,465,495,267,1.85
162,Gardner-Webb,0,24-36,514,482,261,1.85
163,CSU Bakersfield,0,18-34,462,424,230,1.84
164,Utah,0,26-27-1,473,383,208,1.84
165,LMU (CA),0,20-34-1,495,405,220,1.84
166,West Virginia,0,33-22,479,496,270,1.84
167,Jacksonville St.,0,27-28,487,450,245,1.84
168,Kennesaw St.,0,36-28,554,506,277,1.83
169,Jackson St.,0,29-27,468,481,264,1.82
170,A&M-Corpus Christi,0,27-28,474,424,233,1.82
171,Air Force,0,32-29,534,455,251,1.81
172,Indiana,0,27-32,512,600,332,1.81
173,UMass Lowell,0,28-30,509,444,248,1.79
174,George Washington,0,22-30,454,382,214,1.79
175,Georgetown,0,32-24,495,453,254,1.78
176,Miami (OH),0,23-33,464,442,249,1.78
177,Saint Joseph's,0,29-25,471,399,225,1.77
178,Northwestern St.,0,25-29,458,404,228,1.77
179,Morehead St.,0,27-27,461,415,235,1.77
180,Alabama St.,0,34-25,512,497,282,1.76
181,FDU,0,24-30,473,407,231,1.76
182,Ga. Southern,0,41-20,539,438,250,1.75
183,Butler,0,20-35-1,482,438,251,1.75
184,Villanova,0,19-29-1,419,381,219,1.74
185,Minnesota,0,16-36,455,468,270,1.73
186,Michigan,0,34-28,542,528,307,1.72
187,USC Upstate,0,35-22-1,513,431,251,1.72
188,Boston College,0,19-34,463,438,256,1.71
189,Oakland,0,31-27,486,395,231,1.71
190,Columbia,0,32-18,432,341,200,1.71
191,Oregon,0,36-25,539,467,274,1.7
192,Prairie View,0,30-27,472,393,231,1.7
193,Marshall,0,20-34-1,478,474,280,1.69
194,Charleston So.,0,24-30,457,450,266,1.69
195,William & Mary,0,26-23,429,359,214,1.68
196,Maine,0,27-22,426,416,248,1.68
197,Arizona St.,0,26-32,511,456,272,1.68
198,FIU,0,16-34,444,506,302,1.68
199,Delaware,0,25-26,444,414,248,1.67
200,Milwaukee,0,20-30,418,407,244,1.67
201,Presbyterian,0,22-32,468,421,255,1.65
202,The Citadel,0,26-31,495,415,252,1.65
203,Austin Peay,0,19-37,480,456,277,1.65
204,Richmond,0,30-26,503,477,290,1.64
205,Massachusetts,0,22-26-1,421,373,227,1.64
206,UNCW,0,31-24,488,441,269,1.64
207,Grambling,0,26-31,465,470,287,1.64
208,New Orleans,0,30-23,464,406,248,1.64
209,Eastern Mich.,0,22-34,454,416,255,1.63
210,Southeastern La.,0,30-31,535,448,275,1.63
211,SFA,0,15-37,432,345,213,1.62
212,Winthrop,0,18-34,452,379,235,1.61
213,Tennessee Tech,0,30-27,500,436,271,1.61
214,Army West Point,0,31-25,469,378,235,1.61
215,Samford,0,28-29,491,416,261,1.59
216,Seton Hall,0,18-35,457,439,276,1.59
217,Lipscomb,0,35-23,511,525,331,1.59
218,Xavier,0,33-27,514,482,305,1.58
219,Michigan St.,0,24-30,470,376,238,1.58
220,Lehigh,0,26-24,411,345,219,1.58
221,New Mexico,0,21-33,466,351,223,1.57
222,ULM,0,20-35-1,487,398,253,1.57
223,App State,0,20-33,465,430,275,1.56
224,Lafayette,0,15-35,403,397,254,1.56
225,Youngstown St.,0,21-36,473,434,278,1.56
226,Baylor,0,26-28,469,373,240,1.55
227,UAlbany,0,22-25,399,342,222,1.54
228,N.C. A&T,0,15-38,468,405,263,1.54
229,Quinnipiac,0,15-33,410,379,247,1.53
230,Arkansas St.,0,Nov-38,420,397,259,1.53
231,Southern U.,0,27-31,478,340,223,1.52
232,Cincinnati,0,24-31,469,399,262,1.52
233,Manhattan,0,24-26,427,347,229,1.52
234,Northwestern,0,24-27,427,338,224,1.51
235,UMES,0,17-37,420,293,196,1.49
236,Harvard,0,19-22,357,388,260,1.49
237,VMI,0,16-40,481,432,290,1.49
238,High Point,0,23-33,487,405,274,1.48
239,Nevada,0,29-26,487,358,245,1.46
240,Western Mich.,0,18-36,425,367,252,1.46
241,NJIT,0,26-27,458,372,256,1.45
242,Coppin St.,0,24-30,440,429,296,1.45
243,Bradley,0,20-29,416,376,261,1.44
244,Princeton,0,Jul-33,341,251,175,1.43
245,Hofstra,0,30-23,471,387,270,1.43
246,St. John's (NY),0,22-32-1,466,404,282,1.43
247,Little Rock,0,24-27,442,385,269,1.43
248,Radford,0,15-33,418,363,254,1.43
249,Stony Brook,0,27-25,448,355,249,1.43
250,Purdue Fort Wayne,0,18-36,452,369,260,1.42
251,Seattle U,0,16-34,432,355,252,1.41
252,UMBC,0,23-32,479,402,286,1.41
253,Niagara,0,22-32,466,441,314,1.4
254,Texas Southern,0,28-25,431,356,254,1.4
255,Rhode Island,0,20-35,473,416,297,1.4
256,Holy Cross,0,17-37,444,341,245,1.39
257,Kansas,0,20-35,474,364,262,1.39
258,Northern Colo.,0,Dec-39,406,355,256,1.39
259,Towson,0,14-39,454,348,252,1.38
260,Sacred Heart,0,Dec-41,448,352,255,1.38
261,Bucknell,0,22-26,399,278,204,1.36
262,SIUE,0,27-28,466,402,295,1.36
263,Siena,0,Nov-37,404,358,263,1.36
264,UT Martin,0,Nov-34,385,303,229,1.32
265,Fordham,0,16-36,451,374,284,1.32
266,Utah Valley,0,18-37,456,318,247,1.29
267,Pacific,0,14-38,448,358,279,1.28
268,UC Davis,0,Jun-35,355,239,187,1.28
269,Navy,0,19-26,371,236,185,1.28
270,Longwood,0,20-33,462,339,266,1.27
271,UNC Asheville,0,21-29-1,441,340,267,1.27
272,George Mason,0,23-33,489,413,326,1.27
273,Delaware St.,0,25-23,370,308,245,1.26
274,Mount St. Mary's,0,14-34,407,327,264,1.24
275,Northern Ky.,0,19-35,452,383,311,1.23
276,Alabama A&M,0,14-35,409,291,238,1.22
277,Houston Christian,0,18-36,446,358,294,1.22
278,Akron,0,15-41,444,314,263,1.19
279,Hartford,0,13-37,429,305,257,1.19
280,St. Bonaventure,0,May-39,370,286,241,1.19
281,NIU,0,14-40,421,323,276,1.17
282,UC Riverside,0,Aug-45,444,310,266,1.17
283,Bowling Green,0,18-34,407,311,269,1.16
284,Western Ill.,0,Aug-44,431,342,297,1.15
285,San Jose St.,0,30-29,517,444,388,1.14
286,Wagner,0,17-34,430,316,277,1.14
287,Iona,0,Jun-41,388,339,321,1.06
288,Ark.-Pine Bluff,0,13-36-1,399,329,312,1.05
289,Norfolk St.,0,15-32,374,365,348,1.05
290,Cornell,0,25-Nov,310,234,231,1.01
291,Saint Peter's,0,Sep-41,403,264,291,0.91
292,Mississippi Val.,0,10/31/2001,321,240,307,0.78
293,Alcorn,0,Feb-39,281,185,392,0.47
NR,Utah Tech,0,22-33,465,415,203,2.04
NR,St. Thomas (MN),0,16-29,381,436,215,2.03
NR,California Baptist,0,36-20,482,431,221,1.95
NR,UC San Diego,0,24-32,493,439,236,1.86
NR,Tarleton St.,0,17-36,447,380,213,1.78
NR,North Ala.,0,Dec-41,440,403,281,1.43
NR,Bellarmine,0,Nov-43,460,343,285,1.2
NR,Merrimack,0,17-31-1,414,270,254,1.06
