Rank,Name,G,W-L,BB
,Boston College,53,19-34,204
226,Fresno St.,55,27-28,203
227,UTRGV,58,33-25,202
,Santa Clara,53,24-29,202
229,Wagner,51,17-34,201
,Gonzaga,56,37-19,201
231,Houston Christian,54,18-36,200
,Washington,56,30-26,200
233,Delaware,51,25-26,199
234,Northeastern,61,31-29-1,198
,Western Ill.,52,Aug-44,198
,Toledo,58,33-25,198
,Hartford,50,13-37,198
238,Eastern Mich.,56,22-34,197
,SFA,52,15-37,197
240,George Washington,52,22-30,196
241,Lehigh,50,26-24,194
,Radford,48,15-33,194
,Siena,48,Nov-37,194
244,UT Arlington,54,15-39,191
,App State,53,20-33,191
246,Seattle U,50,16-34,188
,LMU (CA),55,20-34-1,188
,ETSU,51,30-21,188
249,Long Beach St.,56,29-27,187
250,Alabama A&M,49,14-35,186
,Northern Colo.,51,Dec-39,186
252,Akron,56,15-41,185
,South Dakota St.,45,22-23,185
,FIU,50,16-34,185
255,Seton Hall,53,18-35,184
256,Lafayette,50,15-35,183
,Western Ky.,54,18-36,183
258,UIW,52,21-31,181
,UNCW,55,31-24,181
,Quinnipiac,48,15-33,181
,Navy,45,19-26,181
262,Cal St. Fullerton,55,22-33,180
,Milwaukee,50,20-30,180
,Sacred Heart,53,Dec-41,180
265,Louisiana,60,37-23,176
,Southern California,53,25-28,176
267,N.C. A&T,53,15-38,175
,North Florida,55,22-33,175
,Pepperdine,50,24-26,175
,Bowling Green,52,18-34,175
,Hofstra,53,30-23,175
272,Pacific,52,14-38,174
,Purdue Fort Wayne,54,18-36,174
274,Illinois St.,51,20-31,173
,Yale,38,20-18,173
276,Little Rock,51,24-27,172
277,Indiana St.,49,26-22-1,169
278,Dartmouth,43,24-19,168
279,Utah Valley,55,18-37,164
280,UT Martin,45,Nov-34,163
281,Princeton,40,Jul-33,161
,Valparaiso,48,16-32,161
283,Cornell,36,25-Nov,159
284,UC Riverside,53,Aug-45,154
285,Norfolk St.,47,15-32,149
,UC Davis,41,Jun-35,149
,Harvard,41,19-22,149
288,Brown,36,13-23,148
289,Middle Tenn.,55,29-26,140
290,St. Bonaventure,44,May-39,139
,Mississippi Val.,42,10/31/2001,139
292,Iona,47,Jun-41,113
293,Alcorn,41,Feb-39,97
NR,California Baptist,56,36-20,258
NR,UC San Diego,56,24-32,253
NR,Utah Tech,55,22-33,240
NR,North Ala.,53,Dec-41,226
NR,Tarleton St.,53,17-36,211
NR,Bellarmine,54,Nov-43,204
NR,Merrimack,49,17-31-1,203
NR,St. Thomas (MN),45,16-29,109
