Rank,Name,IP,W-L,BB,HA,WHIP
219,Eastern Mich.,454,22-34,255,524,1.72
220,Southeastern La.,535,30-31,275,644,1.72
221,Delaware St.,370.2,25-23,245,393,1.72
222,George Mason,489,23-33,326,516,1.72
223,Boston College,463.1,19-34,256,543,1.72
224,Maine,426.1,27-22,248,488,1.73
225,Northwestern,427,24-27,224,517,1.74
226,Harvard,357,19-22,260,361,1.74
227,Indiana,512.2,27-32,332,560,1.74
228,Georgia Tech,530.1,36-24,289,635,1.74
229,Little Rock,442,24-27,269,502,1.74
230,Manhattan,427,24-26,229,517,1.75
231,Arizona St.,511,26-32,272,621,1.75
232,New Mexico St.,500,24-34,209,665,1.75
233,Cincinnati,469.1,24-31,262,560,1.75
234,Milwaukee,418,20-30,244,489,1.75
235,Grambling,465.2,26-31,287,530,1.75
236,UMBC,479.1,23-32,286,558,1.76
237,Texas Southern,431,28-25,254,506,1.76
238,Butler,482,20-35-1,251,599,1.76
239,Winthrop,452.1,18-34,235,563,1.76
240,N.C. A&T,468.1,15-38,263,564,1.77
241,Radford,418.1,15-33,254,485,1.77
242,Utah Valley,456.1,18-37,247,562,1.77
243,Michigan,542.2,34-28,307,656,1.77
244,SIUE,466.1,27-28,295,533,1.78
245,Presbyterian,468.1,22-32,255,578,1.78
246,Charleston So.,457.1,24-30,266,548,1.78
247,Coppin St.,440,24-30,296,489,1.78
248,Rhode Island,473.2,20-35,297,552,1.79
249,Pacific,448.2,14-38,279,528,1.8
250,Kansas,474.2,20-35,262,596,1.81
251,Towson,454,14-39,252,569,1.81
252,Arkansas St.,420.2,Nov-38,259,502,1.81
253,Longwood,462,20-33,266,573,1.82
254,Purdue Fort Wayne,452,18-36,260,561,1.82
255,Niagara,466,22-32,314,533,1.82
256,Fordham,451,16-36,284,536,1.82
257,FIU,444,16-34,302,512,1.83
258,Princeton,341.2,Jul-33,175,454,1.84
259,SFA,432.1,15-37,213,583,1.84
260,UC Davis,355.1,Jun-35,187,468,1.84
261,UT Martin,385.2,Nov-34,229,482,1.84
262,Wagner,430,17-34,277,517,1.85
263,Austin Peay,480.1,19-37,277,610,1.85
264,VMI,481,16-40,290,602,1.85
265,Houston Christian,446.1,18-36,294,534,1.86
266,Holy Cross,444,17-37,245,583,1.86
267,Lafayette,403,15-35,254,502,1.88
268,Sacred Heart,448.1,Dec-41,255,589,1.88
269,NIU,421.2,14-40,276,520,1.89
270,San Jose St.,517.1,30-29,388,591,1.89
271,Quinnipiac,410.1,15-33,247,530,1.89
272,Hartford,429.2,13-37,257,563,1.91
273,Northern Ky.,452,19-35,311,552,1.91
274,UC Riverside,444.2,Aug-45,266,585,1.91
275,Seattle U,432.1,16-34,252,577,1.92
276,Massachusetts,421.1,22-26-1,227,585,1.93
277,Alabama A&M,409.2,14-35,238,555,1.94
