Rank,Name,G,W-L,PO,A,E,PCT
279,Princeton,40,Jul-33,1025,377,71,0.952
280,Arkansas St.,49,Nov-38,1262,389,84,0.952
281,Dayton,50,23-27,1302,422,88,0.951
282,Western Ill.,52,Aug-44,1293,502,92,0.951
283,Iona,47,Jun-41,1165,367,80,0.95
284,Alabama A&M,49,14-35,1228,435,90,0.949
285,Quinnipiac,48,15-33,1231,445,93,0.947
286,Grambling,57,26-31,1396,474,106,0.946
287,Prairie View,57,30-27,1417,556,113,0.946
288,UMES,54,17-37,1262,457,100,0.945
289,Ark.-Pine Bluff,50,13-36-1,1198,380,95,0.943
290,Northern Colo.,51,Dec-39,1220,412,101,0.942
291,Mississippi Val.,42,10/31/2001,963,344,86,0.938
292,Norfolk St.,47,15-32,1124,410,110,0.933
293,Alcorn,41,Feb-39,843,238,115,0.904
NR,St. Thomas (MN),45,16-29,1145,365,40,0.974
NR,UC San Diego,56,24-32,1481,548,67,0.968
NR,Utah Tech,55,22-33,1396,540,65,0.968
NR,North Ala.,53,Dec-41,1321,405,66,0.963
NR,Merrimack,49,17-31-1,1244,452,65,0.963
NR,Bellarmine,54,Nov-43,1382,494,74,0.962
NR,California Baptist,56,36-20,1446,577,80,0.962
NR,Tarleton St.,53,17-36,1342,528,82,0.958
