Rank,Name,G,W-L,HR,PG
259,Alabama A&M,49,14-35,29,0.59
260,Navy,45,19-26,26,0.58
261,Villanova,49,19-29-1,28,0.57
,Army West Point,56,31-25,32,0.57
263,Sacred Heart,53,Dec-41,30,0.57
264,Stetson,55,26-29,31,0.56
265,Coppin St.,54,24-30,30,0.56
266,App State,53,20-33,29,0.55
267,The Citadel,57,26-31,31,0.54
268,Ark.-Pine Bluff,50,13-36-1,27,0.54
269,Santa Clara,53,24-29,28,0.53
270,San Diego St.,56,18-38,29,0.52
271,UNC Asheville,51,21-29-1,26,0.51
272,Jackson St.,56,29-27,28,0.5
,Fordham,52,16-36,26,0.5
274,Lafayette,50,15-35,23,0.46
275,Norfolk St.,47,15-32,21,0.45
276,Northeastern,61,31-29-1,27,0.44
277,Bethune-Cookman,59,27-32,26,0.44
278,Radford,48,15-33,21,0.44
279,Jacksonville,55,27-28,24,0.44
280,NIU,54,14-40,23,0.43
281,Saint Peter's,50,Sep-41,21,0.42
282,UC Davis,41,Jun-35,17,0.41
283,Western Ill.,52,Aug-44,21,0.4
284,Bucknell,48,22-26,19,0.4
285,UT Arlington,54,15-39,20,0.37
286,Prairie View,57,30-27,20,0.35
287,UMES,54,17-37,18,0.33
288,Seton Hall,53,18-35,17,0.32
289,St. Bonaventure,44,May-39,14,0.32
290,Holy Cross,54,17-37,17,0.31
291,Iona,47,Jun-41,13,0.28
292,Alcorn,41,Feb-39,11,0.27
293,UC Riverside,53,Aug-45,8,0.15
NR,California Baptist,56,36-20,82,1.46
NR,Tarleton St.,53,17-36,69,1.3
NR,UC San Diego,56,24-32,54,0.96
NR,Bellarmine,54,Nov-43,51,0.94
NR,Utah Tech,55,22-33,50,0.91
NR,Merrimack,49,17-31-1,38,0.78
NR,St. Thomas (MN),45,16-29,21,0.47
NR,North Ala.,53,Dec-41,23,0.43
