Rank,Name,G,W-L,SF
,Mount St. Mary's,48,14-34,23
,UNC Greensboro,64,34-30,23
,New Mexico St.,58,24-34,23
,NIU,54,14-40,23
,Oklahoma,69,45-24,23
,DBU,59,34-24-1,23
134,Elon,55,27-28,22
,Saint Mary's (CA),55,25-30,22
,Eastern Mich.,56,22-34,22
,Liberty,60,37-23,22
,Fordham,52,16-36,22
,Georgetown,56,32-24,22
,Iowa,55,36-19,22
,Jackson St.,56,29-27,22
,Jacksonville,55,27-28,22
,Arizona St.,58,26-32,22
,Cincinnati,55,24-31,22
,VMI,56,16-40,22
,Washington,56,30-26,22
,William & Mary,49,26-23,22
,Southeastern La.,61,30-31,22
,Stetson,55,26-29,22
,Troy,56,32-24,22
,UNC Asheville,51,21-29-1,22
,Niagara,54,22-32,22
,Northwestern St.,54,25-29,22
,Ohio St.,51,21-30,22
,Purdue,50,29-21,22
,Eastern Ill.,53,33-20,22
157,Seattle U,50,16-34,21
,Rider,54,28-26,21
,Gardner-Webb,60,24-36,21
,Evansville,56,32-24,21
,Lehigh,50,26-24,21
,Manhattan,50,24-26,21
,Michigan St.,54,24-30,21
,Fla. Atlantic,58,35-23,21
,Georgia St.,57,30-27,21
,Houston,61,37-24,21
,Indiana St.,49,26-22-1,21
,Indiana,59,27-32,21
,James Madison,53,27-26,21
,Abilene Christian,59,30-29,21
,Arkansas St.,49,Nov-38,21
,Baylor,54,26-28,21
,Bryant,57,30-27,21
,Canisius,54,29-25,21
,Delaware St.,48,25-23,21
,ETSU,51,30-21,21
,Pittsburgh,56,29-27,21
,High Point,56,23-33,21
179,North Florida,55,22-33,20
,FGCU,58,35-23,20
,Kansas St.,58,29-29,20
,Lafayette,50,15-35,20
,Lamar University,58,37-21,20
,Middle Tenn.,55,29-26,20
,George Mason,56,23-33,20
,Hawaii,52,28-24,20
,UIC,47,22-25,20
,UAB,56,31-25,20
,App State,53,20-33,20
,CSUN,54,32-22,20
,Wagner,51,17-34,20
,West Virginia,55,33-22,20
,Western Ill.,52,Aug-44,20
,Wichita St.,57,21-36,20
,UT Arlington,54,15-39,20
,Towson,53,14-39,20
,VCU,62,42-20,20
,New Mexico,54,21-33,20
,ULM,56,20-35-1,20
,Rhode Island,55,20-35,20
,Sacred Heart,53,Dec-41,20
,Fairfield,52,31-21,20
203,FDU,54,24-30,19
,Utah Valley,55,18-37,19
,Minnesota,52,16-36,19
,Florida A&M,59,29-30,19
,Binghamton,52,22-30,19
,The Citadel,57,26-31,19
,Santa Clara,53,24-29,19
,Washington St.,53,27-26,19
,Winthrop,52,18-34,19
,Yale,38,20-18,19
,Southeast Mo. St.,59,37-22,19
,Southern U.,58,27-31,19
,SFA,52,15-37,19
,North Carolina,64,42-22,19
,N.C. A&T,53,15-38,19
,Miami (OH),56,23-33,19
219,UIW,52,21-31,18
,St. John's (NY),55,22-32-1,18
,Houston Christian,54,18-36,18
,Illinois,53,31-22,18
,Austin Peay,56,19-37,18
,Bradley,49,20-29,18
,Bucknell,48,22-26,18
,Delaware,51,25-26,18
,Duke,54,22-32,18
,San Diego St.,56,18-38,18
,South Alabama,54,31-23,18
,Monmouth,51,24-27,18
,Morehead St.,54,27-27,18
,Northern Ky.,54,19-35,18
,Oregon,61,36-25,18
,Quinnipiac,48,15-33,18
,Rice,56,17-39,18
,UMES,54,17-37,18
237,Florida St.,59,34-25,17
,Iona,47,Jun-41,17
,Akron,56,15-41,17
,Little Rock,51,24-27,17
,Portland,55,32-23,17
,Central Conn. St.,47,29-18,17
,Milwaukee,50,20-30,17
,Penn St.,55,26-29,17
,CSU Bakersfield,52,18-34,17
246,Massachusetts,49,22-26-1,16
,Jacksonville St.,55,27-28,16
,Cal St. Fullerton,55,22-33,16
,Princeton,40,Jul-33,16
,Western Mich.,54,18-36,16
,Stony Brook,52,27-25,16
,Northeastern,61,31-29-1,16
,Northwestern,51,24-27,16
,San Francisco,57,28-29,16
255,Kansas,55,20-35,15
,Hartford,50,13-37,15
,Holy Cross,54,17-37,15
,Boston College,53,19-34,15
,Butler,56,20-35-1,15
,Pepperdine,50,24-26,15
,Dayton,50,23-27,15
,Samford,57,28-29,15
,Youngstown St.,57,21-36,15
,Nebraska,53,23-30,15
,Omaha,57,26-31,15
,Fresno St.,55,27-28,15
267,FIU,50,16-34,14
,George Washington,52,22-30,14
,Purdue Fort Wayne,54,18-36,14
,North Dakota St.,50,31-19,14
,Cornell,36,25-Nov,14
,Siena,48,Nov-37,14
,Bowling Green,52,18-34,14
274,Alabama A&M,49,14-35,13
,UC Davis,41,Jun-35,13
,Radford,48,15-33,13
,Navy,45,19-26,13
,Pacific,52,14-38,13
,UT Martin,45,Nov-34,13
280,Harvard,41,19-22,12
,Illinois St.,51,20-31,12
,Brown,36,13-23,12
,South Dakota St.,45,22-23,12
,Villanova,49,19-29-1,12
,Northern Colo.,51,Dec-39,12
,UC Riverside,53,Aug-45,12
287,Mississippi Val.,42,10/31/2001,11
,St. Bonaventure,44,May-39,11
,Valparaiso,48,16-32,11
,Seton Hall,53,18-35,11
291,Saint Peter's,50,Sep-41,10
292,Long Beach St.,56,29-27,7
293,Alcorn,41,Feb-39,6
NR,Utah Tech,55,22-33,27
NR,California Baptist,56,36-20,23
NR,UC San Diego,56,24-32,20
NR,Bellarmine,54,Nov-43,16
NR,Merrimack,49,17-31-1,15
NR,North Ala.,53,Dec-41,15
NR,Tarleton St.,53,17-36,13
NR,St. Thomas (MN),45,16-29,12
      ,,,,
