Rank,Name,G,W-L,IP,BB,PG
136,New Mexico,54,21-33,466,223,4.31
137,Fairfield,52,31-21,458.2,220,4.32
138,LIU,58,37-21,516.2,248,4.32
,Charlotte,58,36-22,516.2,248,4.32
140,Arkansas,67,46-21,591,285,4.34
141,Virginia,58,39-19,511.2,247,4.34
142,Dayton,50,23-27,434,210,4.35
143,Wake Forest,61,41-19-1,536.1,260,4.36
144,Rutgers,59,44-15,523,254,4.37
145,Gonzaga,56,37-19,504.1,245,4.37
146,UMass Lowell,58,28-30,509.2,248,4.38
147,FDU,54,24-30,473.2,231,4.39
148,USC Upstate,58,35-22-1,513.1,251,4.4
149,Prairie View,57,30-27,472.1,231,4.4
150,A&M-Corpus Christi,55,27-28,474.1,233,4.42
151,Purdue,50,29-21,450.2,222,4.43
152,SFA,52,15-37,432.1,213,4.43
153,Kentucky,59,33-26,513,254,4.46
154,CSU Bakersfield,52,18-34,462.1,230,4.48
155,Northwestern St.,54,25-29,458,228,4.48
156,William & Mary,49,26-23,429.1,214,4.49
157,Navy,45,19-26,371,185,4.49
158,Kennesaw St.,64,36-28,554.2,277,4.49
159,Army West Point,56,31-25,469.2,235,4.5
160,Campbell,60,41-19,534,268,4.52
161,Jacksonville St.,55,27-28,487.2,245,4.52
,Nevada,55,29-26,487.2,245,4.52
163,TCU,60,38-22,525.1,264,4.52
164,Michigan St.,54,24-30,470.2,238,4.55
165,Gardner-Webb,60,24-36,514,261,4.57
166,Oregon,61,36-25,539,274,4.58
167,The Citadel,57,26-31,495.1,252,4.58
168,Morehead St.,54,27-27,461.2,235,4.58
169,Jacksonville,55,27-28,492,251,4.59
170,Bucknell,48,22-26,399.2,204,4.59
171,Baylor,54,26-28,469.2,240,4.6
172,Princeton,40,Jul-33,341.2,175,4.61
173,UC Santa Barbara,58,44-14,519,266,4.61
174,Georgetown,56,32-24,495,254,4.62
175,South Carolina,55,27-28,479,246,4.62
176,Southeastern La.,61,30-31,535,275,4.63
177,Louisville,64,42-21-1,575.1,298,4.66
178,Washington St.,53,27-26,466.2,242,4.67
179,ULM,56,20-35-1,487.1,253,4.67
180,Winthrop,52,18-34,452.1,235,4.68
181,Butler,56,20-35-1,482,251,4.69
182,Iowa,55,36-19,489.1,255,4.69
183,Abilene Christian,59,30-29,511.1,267,4.7
184,Villanova,49,19-29-1,419.1,219,4.7
185,Ohio St.,51,21-30,445.1,233,4.71
186,Northwestern,51,24-27,427,224,4.72
187,Wright St.,57,30-27,489,257,4.73
188,UC Davis,41,Jun-35,355.1,187,4.74
189,Duke,54,22-32,478,252,4.74
190,Eastern Ky.,58,38-20,510.1,270,4.76
191,Samford,57,28-29,491,261,4.78
192,Arizona St.,58,26-32,511,272,4.79
193,Lehigh,50,26-24,411,219,4.8
194,Ball St.,59,40-19,478,255,4.8
195,New Orleans,53,30-23,464,248,4.81
196,Penn,48,33-15,420.2,225,4.81
197,Miami (OH),56,23-33,464.1,249,4.83
198,Manhattan,50,24-26,427,229,4.83
199,Penn St.,55,26-29,490,263,4.83
200,Mississippi St.,56,26-30,489.2,263,4.83
201,Massachusetts,49,22-26-1,421.1,227,4.85
202,Santa Clara,53,24-29,464,250,4.85
203,Utah Valley,55,18-37,456.1,247,4.87
204,Tennessee Tech,57,30-27,500,271,4.88
205,San Diego St.,56,18-38,499.1,271,4.88
206,Presbyterian,54,22-32,468.1,255,4.9
207,Georgia Tech,60,36-24,530.1,289,4.9
208,Alabama St.,59,34-25,512.2,282,4.95
209,UNCW,55,31-24,488.1,269,4.96
210,Holy Cross,54,17-37,444,245,4.97
211,Kansas,55,20-35,474.2,262,4.97
212,Boston College,53,19-34,463.1,256,4.97
213,Kansas St.,58,29-29,506.2,280,4.97
214,Georgia,59,36-23,519,288,4.99
215,Towson,53,14-39,454,252,5
216,UTSA,58,38-20,502,279,5
217,Stony Brook,52,27-25,448,249,5
218,UAlbany,47,22-25,399.1,222,5
219,Delaware,51,25-26,444.1,248,5.02
220,Cincinnati,55,24-31,469.1,262,5.02
221,NJIT,53,26-27,458,256,5.03
222,N.C. A&T,53,15-38,468.1,263,5.05
223,Eastern Mich.,56,22-34,454,255,5.06
224,High Point,56,23-33,487.2,274,5.06
225,Memphis,55,26-29,478.1,269,5.06
226,West Virginia,55,33-22,479.1,270,5.07
227,Jackson St.,56,29-27,468.1,264,5.07
228,Michigan,62,34-28,542.2,307,5.09
229,Sacred Heart,53,Dec-41,448.1,255,5.12
230,Hofstra,53,30-23,471,270,5.16
231,Canisius,54,29-25,465.2,267,5.16
232,Purdue Fort Wayne,54,18-36,452,260,5.18
233,Longwood,53,20-33,462,266,5.18
234,Richmond,56,30-26,503.2,290,5.18
235,Austin Peay,56,19-37,480.1,277,5.19
236,Alabama A&M,49,14-35,409.2,238,5.23
237,Charleston So.,54,24-30,457.1,266,5.23
238,Maine,49,27-22,426.1,248,5.24
239,Seattle U,50,16-34,432.1,252,5.25
240,Milwaukee,50,20-30,418,244,5.25
241,Marshall,55,20-34-1,478.1,280,5.27
242,Youngstown St.,57,21-36,473.1,278,5.29
243,Texas Southern,53,28-25,431,254,5.3
244,App State,53,20-33,465,275,5.32
245,Akron,56,15-41,444.2,263,5.32
246,Western Mich.,54,18-36,425.2,252,5.33
247,Minnesota,52,16-36,455.1,270,5.34
248,Xavier,60,33-27,514.1,305,5.34
249,UT Martin,45,Nov-34,385.2,229,5.34
250,UMBC,55,23-32,479.1,286,5.37
251,Hartford,50,13-37,429.2,257,5.38
252,UC Riverside,53,Aug-45,444.2,266,5.38
253,Quinnipiac,48,15-33,410.1,247,5.42
254,VMI,56,16-40,481,290,5.43
255,Seton Hall,53,18-35,457.1,276,5.43
256,St. John's (NY),55,22-32-1,466,282,5.45
257,UNC Asheville,51,21-29-1,441,267,5.45
258,Radford,48,15-33,418.1,254,5.46
259,Little Rock,51,24-27,442,269,5.48
260,Arkansas St.,49,Nov-38,420.2,259,5.54
261,Grambling,57,26-31,465.2,287,5.55
262,Pacific,52,14-38,448.2,279,5.6
263,Rhode Island,55,20-35,473.2,297,5.64
264,Bradley,49,20-29,416,261,5.65
265,Northern Colo.,51,Dec-39,406.2,256,5.67
266,Fordham,52,16-36,451,284,5.67
267,Lafayette,50,15-35,403,254,5.67
268,SIUE,55,27-28,466.1,295,5.69
269,Wagner,51,17-34,430,277,5.8
270,Indiana,59,27-32,512.2,332,5.83
271,Lipscomb,58,35-23,511,331,5.83
272,Mount St. Mary's,48,14-34,407,264,5.84
273,St. Bonaventure,44,May-39,370.2,241,5.85
274,Siena,48,Nov-37,404,263,5.86
275,NIU,54,14-40,421.2,276,5.89
276,Houston Christian,54,18-36,446.1,294,5.93
277,Bowling Green,52,18-34,407.2,269,5.94
278,Delaware St.,48,25-23,370.2,245,5.95
279,George Mason,56,23-33,489,326,6
280,Coppin St.,54,24-30,440,296,6.05
281,Niagara,54,22-32,466,314,6.06
282,FIU,50,16-34,444,302,6.12
283,Northern Ky.,54,19-35,452,311,6.19
284,Western Ill.,52,Aug-44,431,297,6.2
285,Saint Peter's,50,Sep-41,403,291,6.5
286,Harvard,41,19-22,357,260,6.55
287,Cornell,36,25-Nov,310.1,231,6.7
288,San Jose St.,59,30-29,517.1,388,6.75
289,Ark.-Pine Bluff,50,13-36-1,399.1,312,7.03
290,Iona,47,Jun-41,388.1,321,7.44
291,Norfolk St.,47,15-32,374.2,348,8.36
292,Mississippi Val.,42,10/31/2001,321,307,8.61
293,Alcorn,41,Feb-39,281,392,12.56
NR,Utah Tech,55,22-33,465.1,203,3.93
NR,California Baptist,56,36-20,482,221,4.13
NR,Tarleton St.,53,17-36,447.1,213,4.29
NR,UC San Diego,56,24-32,493.2,236,4.3
NR,St. Thomas (MN),45,16-29,381.2,215,5.07
NR,Merrimack,49,17-31-1,414.2,254,5.51
NR,Bellarmine,54,Nov-43,460.2,285,5.57
NR,North Ala.,53,Dec-41,440.1,281,5.74
