Rank,Name,G,W-L,2B
,TCU,60,38-22,118
,Wright St.,57,30-27,118
65,UC Santa Barbara,58,44-14,117
66,Memphis,55,26-29,116
,A&M-Corpus Christi,55,27-28,116
,VCU,62,42-20,116
69,Mercer,58,40-18,115
,Florida St.,59,34-25,115
,Houston,61,37-24,115
,Illinois,53,31-22,115
,Wake Forest,61,41-19-1,115
,Vanderbilt,62,39-23,115
75,NC State,57,36-21,114
,McNeese,57,34-23,114
77,Ohio,53,29-24,113
,Marist,46,29-17,113
,Troy,56,32-24,113
,San Francisco,57,28-29,113
81,Fresno St.,55,27-28,112
,North Carolina,64,42-22,112
,Utah,54,26-27-1,112
,South Alabama,54,31-23,112
,Liberty,60,37-23,112
86,Sam Houston,56,31-25,111
,Grambling,57,26-31,111
,Fairfield,52,31-21,111
,Ga. Southern,61,41-20,111
90,Belmont,59,39-20,110
,Lamar University,58,37-21,110
92,East Carolina,67,46-21,109
,Notre Dame,58,41-17,109
,SIUE,55,27-28,109
,Northwestern,51,24-27,109
,Little Rock,51,24-27,109
97,Wofford,59,42-16-1,108
,Creighton,49,31-18,108
,Gonzaga,56,37-19,108
100,Charleston So.,54,24-30,107
,Northern Ky.,54,19-35,107
,Sacramento St.,58,32-26,107
,USC Upstate,58,35-22-1,107
,LMU (CA),55,20-34-1,107
105,Xavier,60,33-27,106
,Virginia,58,39-19,106
,Bryant,57,30-27,106
,Miami (FL),60,40-20,106
,Morehead St.,54,27-27,106
110,Duke,54,22-32,105
,Southern U.,58,27-31,105
,Indiana,59,27-32,105
,Indiana St.,49,26-22-1,105
,UMass Lowell,58,28-30,105
,Southeast Mo. St.,59,37-22,105
116,Georgia St.,57,30-27,104
,Jacksonville St.,55,27-28,104
,James Madison,53,27-26,104
,Washington,56,30-26,104
,Toledo,58,33-25,104
121,Iowa,55,36-19,103
,UNCW,55,31-24,103
,Cincinnati,55,24-31,103
,NJIT,53,26-27,103
,Eastern Mich.,56,22-34,103
,Eastern Ky.,58,38-20,103
,Richmond,56,30-26,103
,Rice,56,17-39,103
,Purdue,50,29-21,103
130,Louisiana,60,37-23,102
,South Fla.,57,28-29,102
,UCF,60,35-25,102
,Lehigh,50,26-24,102
,Kansas,55,20-35,102
,Ohio St.,51,21-30,102
,Ball St.,59,40-19,102
,San Diego,57,37-20,102
138,Tennessee Tech,57,30-27,101
,Hofstra,53,30-23,101
,Georgetown,56,32-24,101
,UTRGV,58,33-25,101
,West Virginia,55,33-22,101
,Gardner-Webb,60,24-36,101
144,Alabama St.,59,34-25,100
,BYU,54,33-21,100
,Army West Point,56,31-25,100
,Penn,48,33-15,100
,Southeastern La.,61,30-31,100
149,Omaha,57,26-31,99
,Binghamton,52,22-30,99
,Prairie View,57,30-27,99
,Alabama,58,31-27,99
,FDU,54,24-30,99
,Ark.-Pine Bluff,50,13-36-1,99
155,Pacific,52,14-38,98
,Pittsburgh,56,29-27,98
,George Washington,52,22-30,98
,Maine,49,27-22,98
,Col. of Charleston,57,37-20,98
,UIW,52,21-31,98
161,Saint Mary's (CA),55,25-30,97
,The Citadel,57,26-31,97
,Niagara,54,22-32,97
,Saint Louis,53,29-24,97
,UAlbany,47,22-25,97
,New Orleans,53,30-23,97
,George Mason,56,23-33,97
,Florida,66,42-24,97
,Mississippi St.,56,26-30,97
,Massachusetts,49,22-26-1,97
,Manhattan,50,24-26,97
,Kent St.,53,24-29,97
,Sacred Heart,53,Dec-41,97
174,Quinnipiac,48,15-33,96
175,Murray St.,55,30-25,95
,Marshall,55,20-34-1,95
,Dartmouth,43,24-19,95
,Santa Clara,53,24-29,95
,Wichita St.,57,21-36,95
,Jackson St.,56,29-27,95
181,Central Conn. St.,47,29-18,94
,Clemson,58,35-23,94
,Stony Brook,52,27-25,94
,Charlotte,58,36-22,94
,North Florida,55,22-33,94
,Michigan St.,54,24-30,94
,Boston College,53,19-34,94
188,CSUN,54,32-22,93
,UC Irvine,56,32-24,93
,Western Ky.,54,18-36,93
,UMBC,55,23-32,93
,Bradley,49,20-29,93
,Minnesota,52,16-36,93
,Florida A&M,59,29-30,93
,Bowling Green,52,18-34,93
,Middle Tenn.,55,29-26,93
197,Long Beach St.,56,29-27,92
198,VMI,56,16-40,91
,Bethune-Cookman,59,27-32,91
,UIC,47,22-25,91
,Eastern Ill.,53,33-20,91
202,Penn St.,55,26-29,90
,Longwood,53,20-33,90
,N.C. A&T,53,15-38,90
,Coppin St.,54,24-30,90
206,Canisius,54,29-25,89
,William & Mary,49,26-23,89
,Baylor,54,26-28,89
,Georgia,59,36-23,89
,High Point,56,23-33,89
211,CSU Bakersfield,52,18-34,88
,Hawaii,52,28-24,88
,UNC Asheville,51,21-29-1,88
214,Rhode Island,55,20-35,87
,Utah Valley,55,18-37,87
,Lipscomb,58,35-23,87
,Samford,57,28-29,87
,Valparaiso,48,16-32,87
,Bucknell,48,22-26,87
,ULM,56,20-35-1,87
,Northeastern,61,31-29-1,87
,Presbyterian,54,22-32,87
,Elon,55,27-28,87
,LIU,58,37-21,87
,Monmouth,51,24-27,87
226,Butler,56,20-35-1,86
,Cal St. Fullerton,55,22-33,86
,Harvard,41,19-22,86
,Winthrop,52,18-34,86
,Washington St.,53,27-26,86
231,San Diego St.,56,18-38,85
,Youngstown St.,57,21-36,85
,South Dakota St.,45,22-23,85
234,Delaware,51,25-26,84
,App State,53,20-33,84
,Missouri,51,28-23,84
237,NIU,54,14-40,83
,Fordham,52,16-36,83
239,Portland,55,32-23,82
,St. John's (NY),55,22-32-1,82
,North Dakota St.,50,31-19,82
,Siena,48,Nov-37,82
,Wagner,51,17-34,82
,Delaware St.,48,25-23,82
245,UAB,56,31-25,81
,Seattle U,50,16-34,81
247,Milwaukee,50,20-30,80
,Pepperdine,50,24-26,80
249,Oakland,58,31-27,79
,Radford,48,15-33,79
,Purdue Fort Wayne,54,18-36,79
,Central Ark.,53,24-29,79
,Nebraska,53,23-30,79
254,Northwestern St.,54,25-29,78
,Southern California,53,25-28,78
,Hartford,50,13-37,78
,UT Martin,45,Nov-34,78
,SFA,52,15-37,78
259,UC Riverside,53,Aug-45,76
,Towson,53,14-39,76
,South Carolina,55,27-28,76
262,Dayton,50,23-27,75
,Akron,56,15-41,75
,Illinois St.,51,20-31,75
,Lafayette,50,15-35,75
266,Seton Hall,53,18-35,74
,Holy Cross,54,17-37,74
,UT Arlington,54,15-39,74
269,Rider,54,28-26,73
270,Saint Peter's,50,Sep-41,72
,Houston Christian,54,18-36,72
,Mount St. Mary's,48,14-34,72
273,St. Bonaventure,44,May-39,71
,UMES,54,17-37,71
,Stetson,55,26-29,71
276,Northern Colo.,51,Dec-39,70
277,Jacksonville,55,27-28,69
278,Iona,47,Jun-41,68
,Norfolk St.,47,15-32,68
280,Cornell,36,25-Nov,67
281,Arkansas St.,49,Nov-38,65
,Yale,38,20-18,65
283,UC Davis,41,Jun-35,64
,Villanova,49,19-29-1,64
,Western Ill.,52,Aug-44,64
286,Navy,45,19-26,63
287,Nicholls,51,26-25,62
288,Princeton,40,Jul-33,60
289,FIU,50,16-34,59
290,Alabama A&M,49,14-35,55
291,Mississippi Val.,42,10/31/2001,47
292,Brown,36,13-23,41
293,Alcorn,41,Feb-39,40
NR,California Baptist,56,36-20,131
NR,UC San Diego,56,24-32,106
NR,Bellarmine,54,Nov-43,93
NR,Merrimack,49,17-31-1,85
NR,Tarleton St.,53,17-36,85
NR,Utah Tech,55,22-33,84
NR,North Ala.,53,Dec-41,83
NR,St. Thomas (MN),45,16-29,44
      ,,,,
