Rank,Name,G,W-L,IP,HB
233,Valparaiso,48,16-32,397,53
,South Dakota St.,45,22-23,380,53
,UConn,66,50-16,592,53
236,South Carolina,55,27-28,479,52
,Villanova,49,19-29-1,419,52
,Princeton,40,Jul-33,341,52
,Oregon St.,66,48-18,594,52
,NJIT,53,26-27,458,52
241,Mercer,58,40-18,515,51
,Creighton,49,31-18,430,51
,Monmouth,51,24-27,444,51
,Milwaukee,50,20-30,418,51
,Army West Point,56,31-25,469,51
,East Carolina,67,46-21,597,51
247,Georgia St.,57,30-27,495,50
,App State,53,20-33,465,50
,UTRGV,58,33-25,490,50
,William & Mary,49,26-23,429,50
251,Belmont,59,39-20,516,49
,Mississippi St.,56,26-30,489,49
,Rider,54,28-26,472,49
,CSUN,54,32-22,479,49
,UNCW,55,31-24,488,49
,Austin Peay,56,19-37,480,49
257,BYU,54,33-21,479,48
,Bucknell,48,22-26,399,48
,West Virginia,55,33-22,479,48
,Rutgers,59,44-15,523,48
,North Carolina,64,42-22,577,48
,Portland,55,32-23,481,48
,Stetson,55,26-29,492,48
264,McNeese,57,34-23,506,47
,Indiana St.,49,26-22-1,432,47
,Pittsburgh,56,29-27,489,47
,Texas Tech,61,39-22,539,47
,Alabama,58,31-27,511,47
269,Evansville,56,32-24,481,46
,DBU,59,34-24-1,514,46
271,Missouri,51,28-23,438,45
,Virginia,58,39-19,511,45
273,UIC,47,22-25,402,44
,Notre Dame,58,41-17,517,44
,North Dakota St.,50,31-19,424,44
,Columbia,50,32-18,432,44
277,Elon,55,27-28,488,43
,Harvard,41,19-22,357,43
,Lamar University,58,37-21,512,43
280,Penn,48,33-15,420,41
,LSU,62,40-22,546,41
282,Southeast Mo. St.,59,37-22,516,40
283,Purdue,50,29-21,450,39
284,Brown,36,13-23,310,38
285,California,56,29-27,497,37
286,Washington,56,30-26,495,36
287,Gonzaga,56,37-19,504,35
288,Tennessee,66,57-9,594,34
289,Central Mich.,62,43-19,512,33
,Long Beach St.,56,29-27,496,33
291,Central Ark.,53,24-29,466,30
292,FGCU,58,35-23,511,27
293,Eastern Ill.,53,33-20,456,25
NR,Tarleton St.,53,17-36,447,103
NR,Merrimack,49,17-31-1,414,90
NR,Bellarmine,54,Nov-43,460,87
NR,North Ala.,53,Dec-41,440,68
NR,Utah Tech,55,22-33,465,54
NR,California Baptist,56,36-20,482,54
NR,UC San Diego,56,24-32,493,53
NR,St. Thomas (MN),45,16-29,381,50
