Rank,Name,G,W-L,IP,R,ER,ERA
217,Ohio St.,51,21-30,445.1,374,321,6.49
218,UIW,52,21-31,449.1,361,324,6.49
219,Bradley,49,20-29,416,355,300,6.49
220,Manhattan,50,24-26,427,352,309,6.51
221,N.C. A&T,53,15-38,468.1,411,339,6.51
222,Air Force,61,32-29,534.1,442,387,6.52
223,Northwestern,51,24-27,427,358,310,6.53
224,Ohio,53,29-24,436,380,317,6.54
225,Nevada,55,29-26,487.2,395,355,6.55
226,Minnesota,52,16-36,455.1,372,332,6.56
227,Georgia Tech,60,36-24,530.1,447,387,6.57
228,Kent St.,53,24-29,444.1,371,325,6.58
229,Arkansas St.,49,Nov-38,420.2,377,309,6.61
230,Eastern Mich.,56,22-34,454,383,335,6.64
231,Charleston So.,54,24-30,457.1,428,342,6.73
232,Southern U.,58,27-31,478,435,358,6.74
233,Arizona St.,58,26-32,511,428,384,6.76
234,Texas Southern,53,28-25,431,366,327,6.83
235,Coppin St.,54,24-30,440,399,334,6.83
236,Presbyterian,54,22-32,468.1,418,357,6.86
237,Cincinnati,55,24-31,469.1,405,358,6.87
238,New Mexico St.,58,24-34,500,442,382,6.88
239,Longwood,53,20-33,462,397,353,6.88
240,SIUE,55,27-28,466.1,422,358,6.91
241,Navy,45,19-26,371,314,285,6.91
242,San Jose St.,59,30-29,517.1,447,398,6.92
243,Winthrop,52,18-34,452.1,403,349,6.94
244,Michigan,62,34-28,542.2,474,422,7
245,Indiana,59,27-32,512.2,445,401,7.04
246,FIU,50,16-34,444,403,350,7.09
247,Boston College,53,19-34,463.1,436,366,7.11
248,Niagara,54,22-32,466,409,369,7.13
249,Norfolk St.,47,15-32,374.2,397,297,7.13
250,Purdue Fort Wayne,54,18-36,452,409,360,7.17
251,Holy Cross,54,17-37,444,439,355,7.2
252,Grambling,57,26-31,465.2,453,373,7.21
253,Utah Valley,55,18-37,456.1,415,366,7.22
254,Pacific,52,14-38,448.2,421,360,7.22
255,Rhode Island,55,20-35,473.2,455,382,7.26
256,VMI,56,16-40,481,460,388,7.26
257,Wagner,51,17-34,430,412,349,7.3
258,Northern Ky.,54,19-35,452,421,373,7.43
259,Lafayette,50,15-35,403,404,334,7.46
260,Towson,53,14-39,454,438,378,7.49
261,Quinnipiac,48,15-33,410.1,430,342,7.5
262,UC Davis,41,Jun-35,355.1,346,297,7.52
263,Fordham,52,16-36,451,413,377,7.52
264,Butler,56,20-35-1,482,458,406,7.58
265,Sacred Heart,53,Dec-41,448.1,451,379,7.61
266,Princeton,40,Jul-33,341.2,343,289,7.61
267,Seattle U,50,16-34,432.1,414,367,7.64
268,Radford,48,15-33,418.1,424,357,7.68
269,Alabama A&M,49,14-35,409.2,420,350,7.69
270,St. Bonaventure,44,May-39,370.2,387,325,7.89
271,Hartford,50,13-37,429.2,459,377,7.9
272,UC Riverside,53,Aug-45,444.2,433,393,7.95
273,Western Ill.,52,Aug-44,431,447,381,7.96
274,Kansas,55,20-35,474.2,466,420,7.96
275,Massachusetts,49,22-26-1,421.1,423,373,7.97
276,Austin Peay,56,19-37,480.1,463,427,8
277,Houston Christian,54,18-36,446.1,452,400,8.07
278,NIU,54,14-40,421.2,444,379,8.09
279,UT Martin,45,Nov-34,385.2,394,349,8.14
280,Siena,48,Nov-37,404,443,368,8.2
281,Mount St. Mary's,48,14-34,407,437,376,8.31
282,Northern Colo.,51,Dec-39,406.2,493,389,8.61
283,Cornell,36,25-Nov,310.1,358,297,8.61
284,Akron,56,15-41,444.2,490,431,8.72
285,Western Mich.,54,18-36,425.2,458,415,8.77
286,SFA,52,15-37,432.1,470,432,8.99
287,Bowling Green,52,18-34,407.2,437,409,9.03
288,New Mexico,54,21-33,466,546,469,9.06
289,Ark.-Pine Bluff,50,13-36-1,399.1,494,420,9.47
290,Iona,47,Jun-41,388.1,500,430,9.97
291,Mississippi Val.,42,10/31/2001,321,447,359,10.07
292,Saint Peter's,50,Sep-41,403,550,483,10.79
293,Alcorn,41,Feb-39,281,625,523,16.75
NR,California Baptist,56,36-20,482,304,245,4.57
NR,St. Thomas (MN),45,16-29,381.2,237,208,4.9
NR,UC San Diego,56,24-32,493.2,336,288,5.25
NR,Utah Tech,55,22-33,465.1,378,336,6.5
NR,Tarleton St.,53,17-36,447.1,421,353,7.1
NR,Bellarmine,54,Nov-43,460.2,448,391,7.64
NR,Merrimack,49,17-31-1,414.2,425,381,8.27
NR,North Ala.,53,Dec-41,440.1,486,441,9.01
,,,,,,,
      ,,,,,,,
