,team,conference,avg_talent,season,sp_conf_rating,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Defense_ppa,Defense_havoc_total,Offense_successRate,Defense_successRate,Offense_powerSuccess,Defense_powerSuccess,Offense_stuffRate,Defense_stuffRate,Offense_pointsPerOpportunity,Defense_pointsPerOpportunity,Offense_fieldPosition_averagePredictedPoints,Defense_fieldPosition_averagePredictedPoints,Offense_fieldPosition_averageStart,Defense_fieldPosition_averageStart,offense_drive_quality,defense_drive_quality,avg_opp_offense_drive_quality_pct,avg_opp_defense_drive_quality_pct,adj_offense_drive_quality,adj_defense_drive_quality,elo_x,avg_opp_offense_ppa,avg_opp_defense_ppa,avg_opp_offense_ppo,avg_opp_defense_ppo,adj_offense_ppa,adj_defense_ppa,adj_offense_ppo,adj_defense_ppo,unweighted_power,power_rating,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,defensive_total,offensive_rank,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving,elo_y
35,Illinois,Big Ten,648.9433333333333,2025,11.216666666666667,46.0,32.0,4.0,1.0,4.0,4.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,2.0,0.0,527.0,490.0,53.0,68.0,40.0,39.0,1.0,0.0,6.0,2.0,12.0,14.0,111.0,128.0,4134.0,3066.0,1.0,0.0,133.0,4.0,4.0,1.0,79.0,50.0,6.0,0.0,332.0,111.0,6.0,7.0,10.0,15.0,9.0,9.0,22.0,24.0,859.0,601.0,0.0,6.0,6.0,0.4091,1.0,68.9,#ff5f05,#13294b,"['http://a.espncdn.com/i/teamlogos/ncaa/500/356.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png']",11.647,24,15,81,77.791,84.94,79.315,2,2,0,0,0,0,1.4887378188601212,1.2338392092188093,0.4073105237938065,0.03262527793889233,0.17,0.48484848484848486,0.36607142857142855,0.625,0.5,0.2777777777777778,0.30434782608695654,5.533333333333333,2.555555555555556,1.96,-0.945,61.4,75.0,63.6,19.0,70.0,21.7,41.9,-51.0,1642,0.35634810614663415,0.2531871342685624,3.625,6.2,0.15412338952524413,-0.3237228282077418,-0.666666666666667,-1.0694444444444442,9.7,6.8,8.384530352811128,92.38461538461539,59.93512086690748,42.224924012158056,78.69058295964128,4.7872340425531945,86.24317617866004,60.691399662731875,71.06872896775378,591.0026961206987,65.32128514056225,68.68367346938776,63.365608757380016,68.79861142566807,62.427612839614376,54.44830747537497,0.1878164020715919,74.0,59.35,12.0,58.541000000000004,7.0,51.099999999999994,45.6,3.0,3.5685966852940405,-0.7161277657462837,13,61,65.0,40.0,57.0,12.0,69.0,2.0,87.0,10.18,41,0.53,0.03,0.0,21,0.009,17,1642
36,Arizona State,Big 12,725.62,2025,8.775,44.0,37.0,4.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,49.0,97.0,3.0,5.0,339.0,521.0,62.0,75.0,35.0,45.0,1.0,3.0,3.0,4.0,20.0,12.0,142.0,105.0,3983.0,3217.0,0.0,0.0,31.0,58.0,2.0,6.0,72.0,59.0,4.0,1.0,454.0,155.0,6.0,4.0,14.0,11.0,4.0,8.0,24.0,29.0,793.0,676.0,3.0,1.0,-2.0,0.1667,0.6667,66.38,#8e0c3a,#ffc72c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",7.822,37,81,56,71.509,56.854,35.384,2,1,1,0,0,0,1.2896338132727048,1.3175291732857324,0.26192454223622497,0.06514184737230065,0.201,0.45588235294117646,0.3805970149253731,0.5714285714285714,0.7777777777777778,0.17142857142857143,0.19230769230769232,4.363636363636363,2.875,1.285,-1.571,72.9,67.5,15.4,4.0,16.7,8.3,7.1,-12.7,1688,0.2379879075036697,0.04825977548866801,3.75,3.7777777777777777,0.21366476674755697,-0.17284606013136905,0.5858585858585856,-0.875,7.1,6.5,7.682777044247245,31.461538461538463,56.46915809947207,5.754407294832827,27.636771300448416,-3.191489361702125,69.00248138957815,54.16302946136296,52.90220398196624,678.080664902902,60.24096385542168,58.244897959183675,48.644335966099476,64.6030189189844,59.1413103195678,46.56441369694734,0.2094146129654556,85.0,26.433333333333323,79.0,48.191,50.0,53.620000000000005,30.0,37.0,0.17033332287514547,-0.8576661582015751,57,57,36.0,60.0,69.0,58.0,94.0,105.0,113.0,10.548,52,-0.25,-0.92,-1.0,95,-0.976,94,1688
37,Minnesota,Big Ten,685.5733333333334,2025,11.216666666666667,52.0,10.0,2.0,1.0,4.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,29.0,54.0,2.0,2.0,0.0,0.0,8.0,57.0,1.0,5.0,516.0,130.0,52.0,35.0,32.0,21.0,2.0,2.0,4.0,1.0,6.0,6.0,55.0,58.0,4301.0,2524.0,0.0,0.0,53.0,0.0,6.0,1.0,90.0,46.0,5.0,0.0,411.0,63.0,4.0,3.0,13.0,7.0,11.0,3.0,22.0,21.0,927.0,193.0,2.0,5.0,3.0,0.5,0.5,71.68,#5e0a2f,#fab41c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/135.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png']",5.473,49,49,124,92.613,47.646,74.832,2,2,0,0,0,0,1.0918538743419586,0.9834345083199809,0.2892379313539892,-0.20919089376505554,0.3,0.5611510791366906,0.2,0.8461538461538461,0.6666666666666666,0.10714285714285714,0.3953488372093023,3.588235294117647,3.3333333333333335,2.284,-0.902,59.0,76.6,81.8,-52.2,28.6,9.1,72.7,-80.8,1630,0.19293494166683783,0.07320458466021794,4.230769230769231,2.090909090909091,0.21603334669377122,-0.4021258354318934,1.4973262032085564,-0.8974358974358974,10.3,6.3,8.384530352811128,69.53846153846155,63.75868296749097,55.90136778115502,89.34529147982063,6.489361702127653,57.573492920741494,77.88843461487133,34.85648867014925,632.6016092601864,52.95180722891566,87.54081632653062,51.409993615821016,100.0,100.0,78.03732541218105,0.08694255467405669,11.0,34.43333333333333,52.0,50.84,34.0,48.31999999999999,40.199999999999996,6.0,1.952140976448801,-4.492551786653232,32,3,48.0,15.0,1.0,108.0,15.0,14.0,11.0,9.993,32,0.06,0.0,0.0,50,0.0,50,1630
38,Wisconsin,Big Ten,758.7166666666667,2025,11.216666666666667,44.0,21.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,7.0,2.0,3.0,0.0,0.0,25.0,0.0,1.0,0.0,471.0,291.0,59.0,50.0,41.0,30.0,3.0,2.0,4.0,1.0,5.0,9.0,40.0,85.0,4196.0,3004.0,0.0,0.0,3.0,31.0,1.0,2.0,72.0,50.0,4.0,0.0,338.0,67.0,8.0,3.0,12.0,11.0,12.0,5.0,25.0,23.0,809.0,358.0,2.0,3.0,1.0,0.48,0.75,69.93,#c4012f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/275.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png']",6.943,40,37,115,81.095,40.699,40.053,2,2,0,0,0,0,1.2760395213985876,1.2122930327486627,0.25740093431336314,-0.021837603954770024,0.145,0.4632352941176471,0.366412213740458,0.75,0.5714285714285714,0.16216216216216217,0.2727272727272727,3.4545454545454546,0.375,1.208,-1.109,74.2,73.7,-22.2,-10.5,2.4,12.2,-34.4,-12.9,1619,0.026613256505217387,0.2447126410935359,2.6444444444444444,4.505952380952381,0.012688293219827229,-0.04845086045998741,-1.0514069264069268,-2.2694444444444444,9.8,5.9,8.384530352811128,54.30769230769231,61.351764378994176,52.892249240121586,21.86547085201795,3.4042553191489304,55.60297766749379,55.8202311278643,51.66184197987276,715.6669428683192,100.0,92.59183673469389,48.18629134914394,75.82592282865627,62.35051280850466,56.47803431915825,0.0558919206742792,4.0,27.5,75.0,54.765,21.0,50.06999999999999,28.0,45.0,-1.8369825599442189,-4.01219847126225,106,5,28.0,51.0,58.0,62.0,64.0,45.0,6.0,9.09,8,0.17,0.01,0.0,26,0.001,27,1619
39,Iowa State,Big 12,643.3066666666667,2025,8.775,61.0,40.0,3.0,2.0,3.0,7.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,46.0,0.0,0.0,3.0,0.0,0.0,56.0,168.0,3.0,9.0,623.0,482.0,80.0,83.0,55.0,49.0,3.0,0.0,6.0,3.0,9.0,15.0,77.0,122.0,5882.0,4918.0,0.0,0.0,118.0,-7.0,3.0,2.0,118.0,87.0,5.0,2.0,457.0,323.0,4.0,4.0,17.0,11.0,20.0,15.0,39.0,39.0,1080.0,805.0,3.0,5.0,2.0,0.5128,1.0,98.03,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']",9.182,31,6,59,69.162,64.472,67.66,3,3,0,1,1,0,1.1691238644758284,1.213013149926622,0.2687929418317844,0.06284720774105666,0.2,0.44387755102040816,0.3411764705882353,0.6923076923076923,0.6363636363636364,0.16071428571428573,0.1686746987951807,4.380952380952381,2.8333333333333335,1.752,-1.102,65.2,73.7,42.4,0.0,23.5,9.1,33.3,-23.5,1621,0.17598517980727307,0.10226177174482932,4.544444444444444,3.8781512605042017,0.16653117008695512,-0.11313797206621641,0.5028011204481797,-1.7111111111111108,4.1,5.7,7.682777044247245,61.92307692307692,100.0,57.827203647416425,61.82062780269059,3.4042553191489304,69.25771003190358,51.457394087483216,41.90670949457258,584.6014073665926,60.90361445783132,80.13265306122449,49.339805935091675,64.8990948276716,68.05990617105738,56.41019670681908,0.1317136753858595,40.0,66.5,7.0,57.80466666666667,14.0,81.97,28.6,39.0,1.1321151803244338,-1.0672663025421396,45,52,67.0,67.0,40.0,91.0,65.0,26.0,36.0,10.733,60,1.65,0.25,0.01,7,0.032,8,1621
40,NC State,ACC,710.2566666666667,2025,5.488235294117647,43.0,42.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,67.0,0.0,3.0,518.0,640.0,57.0,88.0,40.0,61.0,1.0,1.0,2.0,2.0,8.0,13.0,78.0,106.0,3582.0,3618.0,0.0,0.0,8.0,81.0,1.0,4.0,69.0,61.0,6.0,4.0,325.0,287.0,1.0,1.0,14.0,15.0,8.0,19.0,22.0,35.0,843.0,927.0,1.0,1.0,0.0,0.3636,1.0,59.7,#cc0000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/152.png']",2.443,59,13,73,45.392,77.488,30.518,2,2,0,0,0,0,1.3184150200143343,1.6232497827424834,0.300489476718567,0.24239625413896637,0.134,0.4566929133858268,0.3691275167785235,0.6,0.6,0.30434782608695654,0.26666666666666666,5.2,2.6153846153846154,1.091,-1.237,74.0,71.4,17.4,50.0,53.2,-6.0,23.4,-3.2,1510,0.3199154909113417,0.08707579365114895,3.919642857142857,4.0,0.21341368306741806,-0.07751923677237532,1.2000000000000002,-1.3042582417582418,6.2,5.6,6.738136222339828,46.69230769230769,47.28160600166713,35.379179331306986,22.75336322869957,0.9574468085106389,81.33002481389578,54.3457131096387,55.528241111909225,660.6332729054592,64.36978683966635,79.79591836734694,52.549285498441876,41.731994276304825,61.736196319018404,17.76443943831582,0.11806853090665068,25.0,,,53.486000000000004,27.0,60.3,14.0,123.0,1.123873541343422,1.911392965419762,46,107,39.0,59.0,62.0,49.0,128.0,68.0,37.0,10.22,43,1.1,0.08,0.0,15,0.007,19,1510
41,Indiana,Big Ten,663.9433333333333,2025,11.216666666666667,58.0,20.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,57.0,0.0,0.0,4.0,0.0,0.0,45.0,0.0,2.0,0.0,473.0,278.0,60.0,43.0,39.0,24.0,4.0,0.0,5.0,0.0,7.0,12.0,65.0,99.0,4438.0,2762.0,1.0,0.0,143.0,9.0,4.0,2.0,95.0,55.0,5.0,2.0,625.0,307.0,3.0,1.0,17.0,7.0,15.0,6.0,26.0,23.0,1098.0,585.0,1.0,5.0,4.0,0.5769,0.25,73.97,#990000,#edebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/84.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png']",13.319,16,28,103,82.175,66.719,69.746,2,2,0,0,0,0,1.1001857767978485,1.8012094779927885,0.31289554322120655,0.14949574008320995,0.271,0.5384615384615384,0.3125,0.6470588235294118,0.42857142857142855,0.1368421052631579,0.34615384615384615,3.8333333333333335,3.0,1.5,-0.836,68.6,78.2,66.7,-12.5,6.1,30.6,36.1,-18.6,1869,0.2371116611523495,0.15061716029537534,4.571428571428571,3.0357142857142856,0.16227838292583122,-0.08761592106913954,0.7976190476190479,-1.5714285714285712,6.0,5.4,8.384530352811128,77.15384615384616,66.90830786329535,67.47142857142856,46.72645739910318,8.191489361702125,61.18610421836228,72.7746789466857,35.61670297973838,608.0374680860908,58.253012048192765,84.1734693877551,53.805480128044394,53.71888918653269,74.54773773006136,1.0,0.10690130692866574,18.0,67.85000000000001,6.0,47.754,52.0,46.03,21.0,94.0,1.7769643337487584,-0.8885426993520145,35,55,57.0,22.0,22.0,106.0,136.0,8.0,21.0,10.113,37,0.19,0.01,0.0,24,0.001,26,1869
42,Iowa,Big Ten,708.71,2025,11.216666666666667,36.0,23.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,55.0,29.0,3.0,4.0,131.0,268.0,40.0,53.0,22.0,31.0,0.0,1.0,1.0,2.0,6.0,8.0,58.0,57.0,4065.0,3135.0,0.0,0.0,56.0,1.0,3.0,1.0,92.0,51.0,4.0,0.0,441.0,147.0,2.0,4.0,8.0,9.0,15.0,10.0,30.0,26.0,572.0,415.0,2.0,1.0,-1.0,0.5,0.75,67.75,#000000,#FFCD00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png']",6.684,43,93,42,64.745,39.523,78.577,2,1,1,0,0,0,0.8462092358775132,1.0542390020339167,0.15327055404364645,0.056171267809640414,0.144,0.46564885496183206,0.3269230769230769,0.8421052631578947,1.0,0.09195402298850575,0.20408163265306123,5.222222222222222,3.2857142857142856,1.282,-1.339,72.6,70.3,5.0,0.0,42.4,0.0,5.0,-42.4,1680,0.2687929418317844,0.06284720774105666,4.380952380952381,2.8333333333333335,0.09042334630258979,-0.21262167402214402,2.388888888888889,-1.0952380952380958,4.1,5.1,8.384530352811128,39.07692307692308,58.35343150875242,55.90136778115502,28.968609865470896,-0.2127659574468197,81.6575682382134,56.364198087097556,12.44353193869948,658.8767986405833,53.709122203098104,86.53061224489795,37.64241554084846,65.76048715900845,71.28462718263332,71.36728900220436,0.08802859672653149,12.0,34.7,50.0,53.875,25.0,52.25,18.0,108.0,-0.14205267486006445,-0.7442541613438867,73,60,41.0,49.0,33.0,135.0,22.0,88.0,15.0,9.596,22,-0.13,-0.84,-0.99,88,-0.949,82,1680
43,Boston College,ACC,656.0866666666667,2025,5.488235294117647,51.0,34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,91.0,187.0,5.0,7.0,848.0,383.0,84.0,68.0,65.0,39.0,1.0,0.0,9.0,4.0,9.0,8.0,74.0,75.0,3857.0,3343.0,0.0,0.0,89.0,9.0,8.0,4.0,63.0,62.0,4.0,2.0,165.0,165.0,7.0,2.0,16.0,8.0,17.0,8.0,29.0,28.0,1013.0,548.0,1.0,2.0,1.0,0.5862,1.0,64.28,#8c2232,#dbcca6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/103.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png']",4.649,52,109,80,57.299,71.23,24.671,2,1,1,0,0,0,1.173404184227058,1.229270069989269,0.37715896229579776,-0.03227033619991256,0.211,0.5161290322580645,0.3082706766917293,0.8333333333333334,0.5714285714285714,0.16176470588235295,0.2833333333333333,5.066666666666666,5.0,1.677,-0.921,66.6,75.7,44.0,-8.3,18.2,4.3,39.7,-26.5,1506,0.06685615287779138,0.08931072428209098,4.222222222222222,1.8888888888888888,0.2878482380137068,-0.09912648907770394,3.1777777777777776,0.7777777777777777,6.5,4.9,6.738136222339828,54.30769230769231,53.5808557932759,68.87066869300912,55.60538116591932,5.531914893617014,79.36476426799007,67.74139150301909,42.29725179169242,599.1150330811067,26.44578313253011,81.14285714285714,60.31256776168086,77.17205170985939,75.50458969509664,54.878736723925456,0.12351551190334104,33.0,38.42500000000001,44.0,58.002,11.0,55.72,26.8,54.0,2.3643216399761626,-0.2549569112647033,26,68,62.0,26.0,19.0,90.0,67.0,45.0,30.0,10.086,36,-0.38,-0.95,-1.0,104,-0.986,102,1506
44,Arizona,Big 12,670.4433333333333,2025,8.775,47.0,32.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,87.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,1.0,567.0,291.0,51.0,71.0,33.0,36.0,5.0,0.0,6.0,0.0,18.0,14.0,134.0,133.0,3415.0,3785.0,0.0,0.0,46.0,20.0,3.0,1.0,71.0,59.0,4.0,0.0,335.0,186.0,7.0,5.0,16.0,9.0,8.0,6.0,21.0,27.0,902.0,477.0,0.0,7.0,7.0,0.381,1.0,56.92,#0c234b,#ab0520,"['http://a.espncdn.com/i/teamlogos/ncaa/500/12.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png']",5.942,44,54,128,73.531,75.043,62.442,2,2,0,0,0,0,1.3969656371881731,1.1028790578500531,0.3516343146933443,-0.08034955920350838,0.256,0.43636363636363634,0.304,0.8,0.25,0.18461538461538463,0.26666666666666666,2.8333333333333335,1.0,1.966,-0.836,60.8,76.5,52.6,-10.5,17.6,9.1,43.5,-28.1,1453,0.013576007137440114,0.12394820434888965,2.888888888888889,3.75,0.22768611034445463,-0.0939255663409485,-0.9166666666666665,-1.8888888888888888,9.4,4.8,7.682777044247245,100.0,43.45804390108363,37.99711246200607,81.35426008968612,6.38297872340425,46.44665012406948,49.76391231028668,62.69530811956446,615.4192026044274,90.06024096385542,60.93877551020408,57.72803178213595,83.37568362048177,76.47079754601228,66.78522187257141,0.2177377622162549,89.0,,,52.27,33.0,63.08,32.800000000000004,27.0,0.7426776807412996,-3.8779984182450233,49,6,56.0,72.0,18.0,26.0,33.0,1.0,103.0,10.838,66,0.01,0.0,0.0,46,0.0,46,1453
45,Cincinnati,Big 12,656.7066666666666,2025,8.775,34.0,44.0,3.0,2.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,74.0,2.0,4.0,402.0,517.0,49.0,79.0,30.0,62.0,0.0,1.0,3.0,3.0,9.0,7.0,72.0,55.0,2599.0,4601.0,0.0,0.0,3.0,3.0,1.0,3.0,58.0,69.0,3.0,1.0,308.0,211.0,7.0,0.0,14.0,8.0,5.0,16.0,17.0,34.0,710.0,728.0,3.0,0.0,-3.0,0.2941,1.0,43.32,#E00122,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png']",3.283,56,67,54,58.342,68.563,71.529,2,1,1,0,0,0,1.1499552165339237,1.046807661003309,0.30078952909577333,0.14352785050815314,0.136,0.5,0.46258503401360546,0.8333333333333334,0.6666666666666666,0.1694915254237288,0.20967741935483872,4.4,3.6363636363636362,1.12,-1.331,74.6,70.5,23.8,40.0,0.0,4.4,19.4,40.0,1504,0.1429902839396632,0.08066506381309935,3.2301136363636362,2.7222222222222223,0.220124465282674,0.0005375665684899389,1.677777777777778,0.40625,2.6,4.7,7.682777044247245,23.846153846153847,24.752848013337037,24.922492401215802,20.089686098654752,0.0,69.53846153846153,64.106239460371,40.157735531175916,599.8191369890094,48.132530120481924,81.81632653061224,52.579667746091914,54.48892222562993,40.59214974333291,72.06734789181904,0.12003618350929553,28.0,20.400000000000006,99.0,44.601,74.0,76.68,23.6,71.0,0.7101653173685435,1.7062484885493927,50,102,61.0,33.0,114.0,98.0,20.0,118.0,27.0,10.536,51,-0.02,-0.65,-0.98,77,-0.923,80,1504
46,Kansas,Big 12,678.3066666666667,2025,8.775,67.0,47.0,5.0,6.0,7.0,8.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,120.0,49.0,6.0,3.0,745.0,603.0,84.0,88.0,59.0,61.0,2.0,2.0,9.0,4.0,17.0,21.0,137.0,190.0,5156.0,5644.0,0.0,0.0,83.0,16.0,11.0,5.0,101.0,104.0,4.0,3.0,495.0,351.0,10.0,4.0,26.0,12.0,9.0,19.0,31.0,48.0,1240.0,954.0,3.0,4.0,1.0,0.2903,0.7143,85.93,#0051ba,#e8000d,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",8.798,33,51,37,58.363,79.433,68.99,3,2,1,0,0,0,1.0372523638747326,1.484249539580842,0.2919643783924474,0.13209423698349204,0.219,0.5368421052631579,0.3489583333333333,0.6875,0.7777777777777778,0.1188118811881188,0.25263157894736843,4.894736842105263,4.1,1.554,-0.89,67.7,76.3,33.3,-14.3,43.1,10.0,23.3,-57.4,1613,0.31875170791688223,0.13096340832927483,4.52280701754386,4.375,0.16100097006317254,-0.1866574709333902,0.5197368421052628,-0.4228070175438603,4.9,4.6,7.682777044247245,54.30769230769231,83.3578771881078,24.350759878419456,50.72197309417041,6.170212765957444,76.83061251142745,72.40969202094612,29.874571298682298,624.3492086191742,40.75903614457831,59.92857142857143,51.68606404691843,55.96419418894777,66.29931940184049,30.85875922301163,0.21942848346519492,90.0,36.14545454545454,48.0,45.83233333333334,65.0,94.07,51.6,1.0,1.3675917388718437,-0.18315339643725348,41,71,52.0,23.0,45.0,120.0,117.0,45.0,105.0,10.59,54,0.12,-0.44,-0.96,72,-0.739,70,1613
47,Kansas State,Big 12,657.8666666666667,2025,8.775,48.0,62.0,5.0,10.0,9.0,12.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,339.0,84.0,10.0,3.0,763.0,530.0,98.0,79.0,64.0,46.0,0.0,1.0,6.0,4.0,11.0,7.0,99.0,45.0,4465.0,6335.0,0.0,0.0,23.0,20.0,5.0,3.0,72.0,149.0,3.0,7.0,330.0,469.0,7.0,2.0,20.0,12.0,12.0,18.0,35.0,50.0,1093.0,999.0,4.0,3.0,-1.0,0.3429,0.5556,74.42,#3c0969,#e2e3e4,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png']",5.814,46,114,63,42.449,49.61,28.398,3,1,2,1,0,1,1.3771951022844995,1.383316970732919,0.1986998055708997,0.14835227568001824,0.149,0.42196531791907516,0.3684210526315789,0.46153846153846156,0.6818181818181818,0.2916666666666667,0.2097902097902098,3.8666666666666667,4.470588235294118,1.485,-1.457,69.0,69.1,35.5,14.3,37.5,9.4,26.1,-23.2,1658,0.19911478261039914,0.12165823616640323,4.054112554112555,3.729166666666667,0.07704156940449647,-0.050762506930380896,0.13749999999999973,0.41647568118156286,-0.0,4.4,7.682777044247245,39.07692307692308,67.52722978605168,32.26474164133738,44.95067264573993,-1.4893617021276668,61.677419354838705,46.518827554611114,60.89141715689729,601.1364926876665,34.865343727852576,72.72448979591837,42.242421657473386,53.866429679434795,61.89602841459477,40.3669680082913,0.16468805538218687,54.0,38.599999999999994,43.0,39.34766666666667,111.0,105.58,45.2,4.0,0.08215109914488777,1.3732260758882766,64,96,60.0,78.0,61.0,30.0,103.0,88.0,64.0,10.5,49,-1.05,-1.84,-1.99,129,-1.971,130,1658
48,Rutgers,Big Ten,663.04,2025,11.216666666666667,55.0,37.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,88.0,30.0,4.0,3.0,511.0,490.0,59.0,53.0,44.0,35.0,1.0,0.0,6.0,3.0,7.0,16.0,49.0,131.0,4251.0,2949.0,1.0,0.0,30.0,0.0,3.0,0.0,78.0,53.0,3.0,3.0,309.0,318.0,2.0,4.0,9.0,10.0,8.0,8.0,20.0,18.0,820.0,808.0,0.0,1.0,1.0,0.4,0.8333,70.85,#d21034,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",7.011,39,23,97,17.252,84.063,81.197,2,2,0,0,0,0,1.142402758498062,1.4431038208861966,0.30131089348446505,0.27019820613659706,0.102,0.5159235668789809,0.421875,0.875,0.5,0.17073170731707318,0.2033898305084746,3.2222222222222223,4.555555555555555,1.474,-0.718,68.2,79.9,71.4,50.0,26.8,6.7,64.7,23.2,1593,0.10778440880309738,0.16424891532348201,3.408333333333333,3.098901098901099,0.13706197816098303,0.1624137973334997,0.12332112332112333,1.1472222222222221,1.7,4.2,8.384530352811128,54.30769230769231,62.61711586551819,40.85577507598785,48.50224215246637,10.0,52.17866004962779,67.695083833686,39.46863880904917,607.0115962632862,33.51405622489959,89.56122448979592,52.632459269094085,38.14472589267903,49.80248274539877,34.73483300607896,0.08072333428494612,8.0,43.7,26.0,56.090999999999994,18.0,49.150000000000006,8.6,132.0,1.3850472671967373,3.6540323989428507,40,124,58.0,27.0,94.0,101.0,114.0,45.0,8.0,9.526,20,0.35,0.01,0.0,30,0.001,25,1593
