,team,conference,avg_talent,season,sp_conf_rating,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Defense_ppa,Defense_havoc_total,Offense_successRate,Defense_successRate,Offense_powerSuccess,Defense_powerSuccess,Offense_stuffRate,Defense_stuffRate,Offense_pointsPerOpportunity,Defense_pointsPerOpportunity,Offense_fieldPosition_averagePredictedPoints,Defense_fieldPosition_averagePredictedPoints,Offense_fieldPosition_averageStart,Defense_fieldPosition_averageStart,offense_drive_quality,defense_drive_quality,avg_opp_offense_drive_quality_pct,avg_opp_defense_drive_quality_pct,adj_offense_drive_quality,adj_defense_drive_quality,elo_x,avg_opp_offense_ppa,avg_opp_defense_ppa,avg_opp_offense_ppo,avg_opp_defense_ppo,adj_offense_ppa,adj_defense_ppa,adj_offense_ppo,adj_defense_ppo,avg_opp_offense_sr,avg_opp_defense_sr,adj_offense_sr,adj_defense_sr,last_week,unweighted_power,power_rating,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,defensive_total,offensive_rank,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving,elo_y
29,Illinois,Big Ten,648.9433333333333,2025,12.183333333333334,66.0,44.0,4.0,1.0,4.0,6.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,25.0,20.0,2.0,1.0,723.0,581.0,79.0,92.0,57.0,52.0,1.0,0.0,8.0,2.0,17.0,20.0,157.0,196.0,6027.0,4773.0,1.0,0.0,152.0,4.0,6.0,2.0,116.0,84.0,9.0,0.0,494.0,224.0,9.0,9.0,19.0,20.0,16.0,12.0,34.0,38.0,1217.0,805.0,0.0,6.0,6.0,0.4706,1.0,100.45,#ff5f05,#13294b,"['http://a.espncdn.com/i/teamlogos/ncaa/500/356.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png']",13.484,23,19,100,78.506,75.535,81.748,3,3,0,0,0,0,1.3094518163485922,1.2017680725941053,0.3748588594017345,-0.011126159501354252,0.188,0.5051546391752577,0.3352941176470588,0.7333333333333333,0.3333333333333333,0.2358490566037736,0.2857142857142857,5.761904761904762,2.090909090909091,1.893,-0.886,62.7,75.9,48.5,0.0,27.0,22.1,26.4,-27.0,1708,0.10036866695671114,0.22298683640753875,2.4246794871794872,5.114035087719298,0.15187202299419578,-0.11149482645806538,0.6478696741854639,-0.3337703962703964,0.38203687272010256,0.4342510589141317,0.07090358026112603,-0.04674275507304376,1,10.3,8.6,8.734197633225296,93.39999999999999,69.49811631740052,57.08662613981764,88.99999999999997,6.06936416184972,88.3378640776699,67.58932726770881,46.476385888325794,591.0026961206987,77.3076923076923,63.16279069767442,64.43624242751872,74.56706979252444,68.93056288942867,61.05257209016764,0.2656502263535129,66.0,51.03333333333333,18.0,58.18933333333334,9.0,79.55,55.8,9.0,3.457447113668212,-2.727781146244246,18,22,65.0,27.0,29.0,45.0,55.0,2.0,72.0,9.827,29,0.48,0.03,0.0,28,0.016,20,1708
30,Florida State,ACC,824.4200000000001,2025,5.823529411764706,49.0,27.0,5.0,2.0,5.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,55.0,0.0,3.0,0.0,520.0,346.0,34.0,56.0,25.0,30.0,2.0,0.0,6.0,2.0,7.0,15.0,75.0,125.0,3741.0,3459.0,0.0,0.0,28.0,0.0,3.0,0.0,100.0,65.0,9.0,0.0,591.0,192.0,6.0,2.0,16.0,8.0,15.0,9.0,26.0,29.0,1111.0,538.0,2.0,2.0,0.0,0.5769,1.0,62.35,#782f40,#ceb888,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",10.432,27,3,9,89.326,97.928,31.933,2,2,0,0,0,0,1.6838389861023528,1.2672376911596728,0.5655305533589094,0.015831985676149397,0.223,0.49624060150375937,0.33884297520661155,0.6923076923076923,0.3333333333333333,0.15151515151515152,0.26666666666666666,5.5,2.5,1.565,-1.23,67.5,71.6,77.3,4.3,63.3,9.4,67.9,-59.0,1452,0.4438375033574074,0.11074938629831053,5.2631578947368425,4.428571428571429,0.4547811670605989,-0.428005517681258,1.0714285714285712,-2.7631578947368425,0.49222797927461137,0.36363636363636365,0.13260423786739572,-0.15338500406799982,0,19.7,8.4,6.939435751688178,53.8,25.09147633623735,74.85714285714286,59.66666666666665,1.0982658959537588,83.75631067961164,64.76905082718521,86.84650358593568,790.2830295816178,70.38461538461539,90.1328903654485,90.33234400187288,70.49319060416762,67.9795391486268,53.309774397114545,0.09490270851406944,6.0,31.76666666666666,69.0,56.944,11.0,57.65,19.200000000000003,125.0,5.690866930176533,-1.9682880645580472,3,34,18.0,34.0,31.0,2.0,76.0,66.0,7.0,9.944,34,1.0,0.98,0.61,2,0.874,1,1452
31,Georgia Tech,ACC,709.8033333333333,2025,5.823529411764706,66.0,56.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,45.0,0.0,2.0,1.0,0.0,0.0,6.0,54.0,1.0,4.0,811.0,575.0,78.0,85.0,55.0,52.0,1.0,2.0,2.0,4.0,23.0,12.0,175.0,90.0,5228.0,5575.0,0.0,0.0,67.0,35.0,7.0,3.0,117.0,113.0,10.0,3.0,690.0,437.0,7.0,2.0,20.0,12.0,16.0,16.0,34.0,43.0,1501.0,1012.0,5.0,3.0,-2.0,0.4706,0.4,87.13,#003057,#b3a369,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']",8.568,33,10,65,55.463,74.222,67.601,3,3,0,1,1,0,1.1656073454852238,1.1950493544922434,0.29278828303444293,0.13776737855251542,0.153,0.5133689839572193,0.3968253968253968,0.8235294117647058,0.7058823529411765,0.13636363636363635,0.15306122448979592,2.3529411764705883,2.4285714285714284,1.301,-1.139,71.9,73.5,-9.4,6.2,12.5,40.0,-49.4,-6.3,1560,0.14979170615344484,0.133974934362395,4.408333333333333,2.861111111111111,0.15881334867204794,-0.012024327600929419,-0.5081699346405228,-1.9797619047619048,0.39328075324040107,0.43275368440814793,0.08061529954907137,0.0035446435849957325,1,7.2,8.0,6.939435751688178,40.599999999999994,53.97327525311984,57.08662613981764,32.777777777777715,3.2947976878612764,28.704169046259278,70.18823069583512,30.96565611966423,660.1184442416162,71.5934065934066,57.24252491694352,53.289816139668574,52.06647555784933,52.44139522954604,61.84716469906258,0.26510393934084137,64.0,17.171428571428564,111.0,41.74933333333333,101.0,92.87,43.2,37.0,-2.5890936972087504,-1.0595783406550132,115,45,40.0,25.0,69.0,95.0,53.0,99.0,89.0,10.49,56,1.49,0.69,0.06,8,0.239,9,1560
32,Mississippi State,SEC,753.5133333333333,2025,16.66875,62.0,50.0,2.0,3.0,4.0,6.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,-1.0,14.0,2.0,4.0,0.0,0.0,13.0,92.0,1.0,6.0,788.0,368.0,88.0,83.0,59.0,49.0,4.0,2.0,7.0,3.0,30.0,25.0,254.0,179.0,4836.0,5664.0,0.0,0.0,129.0,0.0,9.0,0.0,108.0,113.0,9.0,1.0,536.0,421.0,4.0,4.0,14.0,12.0,21.0,16.0,37.0,45.0,1324.0,789.0,2.0,6.0,4.0,0.5676,0.5,80.6,#5d1725,#c1c6c8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/344.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png']",6.758,42,15,91,73.916,69.533,74.239,3,3,0,0,0,0,1.3153144007537083,0.9882278881316497,0.3715674353807739,0.009468140604767705,0.178,0.5,0.36649214659685864,0.6,0.6428571428571429,0.14563106796116504,0.1743119266055046,4.9375,3.4,1.747,-1.092,65.5,73.7,37.8,-5.6,32.4,20.8,17.0,-38.0,1454,0.2358236384990174,0.08745834557160742,3.9642857142857144,3.123015873015873,0.2841090898091665,-0.22635549789424972,1.814484126984127,-0.5642857142857145,0.4309766914191419,0.41761409450088693,0.08238590549911307,-0.06448454482228327,0,11.4,7.9,10.0,80.19999999999999,46.36237344007533,73.30243161094226,71.88888888888887,3.5260115606936466,73.91638349514562,65.95847176079734,47.10854756897946,709.7577697487687,55.15384615384616,31.259136212624583,63.98921723462245,71.45488644130792,60.57010724994595,86.30701046717093,0.35786857266797906,101.0,35.53333333333334,53.0,42.54266666666666,95.0,99.4,34.8,75.0,2.242689654293366,-1.6665438134780148,28,37,30.0,29.0,51.0,40.0,5.0,16.0,131.0,9.132,7,1.0,0.23,0.01,13,0.044,15,1454
33,Louisville,ACC,728.07,2025,5.823529411764706,40.0,29.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,92.0,3.0,1.0,0.0,0.0,113.0,102.0,3.0,6.0,464.0,213.0,60.0,45.0,38.0,23.0,1.0,3.0,3.0,1.0,17.0,20.0,155.0,146.0,3193.0,4007.0,1.0,0.0,134.0,17.0,6.0,3.0,60.0,86.0,5.0,2.0,342.0,200.0,10.0,3.0,13.0,9.0,11.0,10.0,23.0,31.0,806.0,413.0,4.0,2.0,-2.0,0.4783,0.5,53.22,#c9001f,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/97.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png']",6.682,43,34,125,75.344,61.471,80.077,2,2,0,0,0,0,1.3811856188451854,1.0659474678297531,0.21845237214135985,-0.07173755777703324,0.16,0.44537815126050423,0.31297709923664124,0.5714285714285714,0.6666666666666666,0.2631578947368421,0.18421052631578946,4.636363636363637,3.0,1.484,-1.518,69.3,68.8,30.4,-8.0,28.6,-12.0,42.4,-36.6,1727,0.10270048425115347,-0.04225521058255116,3.6875,2.2857142857142856,0.26070758272391104,-0.1744380420281867,2.350649350649351,-0.6875,0.42953020134228187,0.25688073394495414,0.1884974173155501,-0.11655310210564063,0,6.6,7.7,6.939435751688178,40.599999999999994,14.450200141276191,58.373860182370834,48.66666666666666,-2.138728323699425,68.64854368932039,48.676885254785915,54.21143207484239,680.8630109905827,61.92307692307692,63.820598006644516,43.193874475974226,83.72658400934638,74.9110830923568,77.11546489876557,0.2276522552965414,51.0,59.5,9.0,41.393,105.0,66.78,41.8,46.0,0.6230886314792721,-2.7240242643376678,56,23,34.0,66.0,17.0,25.0,21.0,99.0,71.0,10.384,53,0.48,0.03,0.0,24,0.005,27,1727
34,BYU,Big 12,609.3566666666667,2025,9.275,46.0,15.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,50.0,0.0,0.0,2.0,0.0,0.0,44.0,56.0,1.0,4.0,313.0,198.0,45.0,52.0,29.0,27.0,2.0,0.0,3.0,0.0,9.0,10.0,90.0,65.0,4158.0,3042.0,0.0,0.0,126.0,0.0,10.0,0.0,89.0,46.0,7.0,0.0,625.0,16.0,5.0,3.0,17.0,6.0,11.0,3.0,24.0,26.0,938.0,214.0,1.0,4.0,3.0,0.4583,0.6667,69.3,#003da5,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/252.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png']",13.746,22,32,120,98.239,53.446,85.128,2,2,0,0,0,0,1.2916655239298322,0.9046033367321439,0.36601996409153387,-0.17942389076004403,0.242,0.5,0.25252525252525254,0.8888888888888888,0.6666666666666666,0.09302325581395349,0.5,4.5,0.75,1.894,-0.935,64.2,76.2,77.3,-44.0,0.0,35.3,42.0,-44.0,1666,0.06732101818940626,0.055122504131084105,2.2857142857142856,2.619047619047619,0.31089745996044976,-0.24674490894945028,1.880952380952381,-1.5357142857142856,0.37037037037037035,0.43,0.07,-0.11784511784511781,0,10.7,7.6,7.9134544358181955,73.6,33.191900164822215,55.030395136778125,79.8333333333333,6.416184971098275,66.2631067961165,65.95847176079734,44.55849239100935,546.0460401515885,100.0,85.19933554817275,63.235786680744646,100.0,91.1109841684348,96.19691051310197,0.16482126667380465,20.0,68.6,2.0,52.56699999999999,25.0,50.7,30.2,97.0,3.417738670168001,-7.176052240049263,19,1,73.0,29.0,2.0,49.0,2.0,28.0,14.0,10.245,46,0.27,0.01,0.0,33,0.002,32,1666
35,Arizona State,Big 12,725.62,2025,9.275,65.0,58.0,6.0,7.0,9.0,13.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,78.0,166.0,4.0,7.0,527.0,705.0,87.0,111.0,50.0,70.0,1.0,3.0,5.0,5.0,25.0,13.0,182.0,115.0,5826.0,4974.0,0.0,0.0,31.0,58.0,2.0,6.0,114.0,101.0,6.0,2.0,699.0,274.0,11.0,7.0,24.0,16.0,9.0,13.0,37.0,45.0,1226.0,979.0,3.0,3.0,0.0,0.2432,0.6667,97.1,#8e0c3a,#ffc72c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",8.749,32,57,68,81.738,53.927,40.582,3,2,1,0,0,0,1.3413837876651087,1.1405163150778521,0.2868497220883636,0.08506208864944877,0.212,0.4504950495049505,0.42924528301886794,0.7142857142857143,0.6842105263157895,0.18518518518518517,0.1978021978021978,4.166666666666667,2.857142857142857,1.353,-1.569,71.4,67.5,27.8,14.3,37.5,14.5,13.3,-23.2,1725,0.3537369853030343,0.16401546218767207,4.995065789473684,3.977777777777778,0.12283425990069155,-0.26867489665358557,0.1888888888888891,-2.137922932330827,0.49523809523809526,0.4030528365834535,0.04744221292149703,-0.06599281221922731,1,7.2,6.8,7.9134544358181955,53.8,65.59359547916175,19.071428571428573,35.83333333333327,-3.6416184971098176,60.432038834951456,50.29580006075652,49.919606021142656,678.080664902902,64.34065934065933,54.94019933554817,52.48326969182665,60.0312291504516,43.75350597879475,68.29654230388324,0.26840464478671067,69.0,31.099999999999994,74.0,48.132666666666665,45.0,82.9,56.0,8.0,0.5517789972316123,-0.6856518461064098,58,51,36.0,61.0,88.0,34.0,37.0,66.0,98.0,10.233,45,0.34,-0.69,-0.99,68,-0.824,65,1725
36,South Carolina,SEC,798.1533333333333,2025,16.66875,52.0,54.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,45.0,18.0,2.0,3.0,0.0,0.0,54.0,102.0,2.0,6.0,579.0,606.0,73.0,89.0,47.0,51.0,3.0,2.0,2.0,3.0,23.0,14.0,184.0,135.0,4521.0,6279.0,3.0,0.0,207.0,12.0,7.0,4.0,99.0,108.0,3.0,2.0,336.0,323.0,7.0,8.0,16.0,20.0,11.0,20.0,36.0,46.0,915.0,929.0,4.0,4.0,0.0,0.3056,0.6667,75.35,#73000a,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png']",7.772,37,51,67,68.75,20.795,83.462,3,2,1,1,0,1,1.2879589046798645,1.1936036507213699,0.15875549491167876,0.04172281576167231,0.144,0.3988439306358382,0.4,0.5833333333333334,0.6153846153846154,0.2268041237113402,0.22,2.4285714285714284,2.857142857142857,1.079,-1.27,75.1,72.3,13.3,2.9,31.8,18.0,-4.7,-28.9,1645,0.30393979852745723,0.25825821062520804,4.7443609022556394,4.15625,-0.09950271571352928,-0.2622169827657849,-1.7276785714285716,-1.8872180451127822,0.5034453781512604,0.44710634445295633,-0.048262413817118155,-0.10344537815126043,-1,3.6,6.7,10.0,53.8,40.24334824582057,29.50303951367781,13.222222222222229,1.9075144508670547,30.02718446601941,33.954110801465376,44.15880814039828,760.4532511177756,64.34065934065933,54.28239202657807,35.086135123961206,66.58060265866189,51.59066427289047,62.01814158982829,0.24196096174162177,57.0,53.77142857142857,15.0,41.50666666666666,103.0,104.65,34.800000000000004,74.0,-2.5041356586247163,-1.5257455499484671,114,40,19.0,97.0,72.0,50.0,52.0,66.0,101.0,9.042,4,0.33,-0.47,-0.96,62,-0.858,67,1645
37,UCF,Big 12,703.4200000000001,2025,9.275,43.0,31.0,4.0,4.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,130.0,120.0,3.0,6.0,518.0,197.0,57.0,41.0,36.0,21.0,2.0,0.0,2.0,0.0,15.0,14.0,135.0,119.0,3357.0,3859.0,0.0,0.0,59.0,20.0,3.0,2.0,68.0,90.0,7.0,2.0,466.0,325.0,4.0,3.0,17.0,8.0,12.0,8.0,26.0,32.0,984.0,522.0,1.0,4.0,3.0,0.4615,1.0,55.95,#ba9b37,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",5.271,48,44,130,67.442,46.795,55.09,2,2,0,0,0,0,1.805822784408676,1.2774084131737775,0.4039026128003947,0.011006921889557012,0.242,0.4409448818897638,0.328125,0.8333333333333334,0.7142857142857143,0.208955223880597,0.26744186046511625,4.25,2.125,1.598,-0.86,67.5,77.4,59.1,-4.3,25.0,53.1,6.0,-29.3,1550,0.20763211128611841,0.32512647475802076,4.4375,3.375,0.07877613804237393,-0.1966251893965614,0.875,-2.3125,0.4256410256410256,0.4630541871921182,-0.022109305302354443,-0.09751602564102563,0,9.7,6.3,7.9134544358181955,73.6,17.632093242288676,55.56534954407296,59.66666666666665,7.803468208092497,61.88980582524272,47.27426103200848,99.99999999999999,652.8692023941218,76.73076923076923,70.39867109634551,68.38082367344359,71.2223478519406,70.8517448384201,52.10692879219282,0.2067795501839336,39.0,72.9,1.0,52.59,24.0,64.05,28.6,105.0,2.7028874051143155,-2.7349180423428296,23,21,43.0,72.0,23.0,1.0,83.0,28.0,55.0,10.594,61,0.05,0.0,0.0,40,0.0,40,1550
38,Rutgers,Big Ten,663.04,2025,12.183333333333334,88.0,49.0,8.0,1.0,10.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,89.0,0.0,0.0,2.0,0.0,0.0,125.0,40.0,6.0,5.0,889.0,582.0,93.0,76.0,67.0,44.0,2.0,0.0,9.0,3.0,12.0,22.0,94.0,178.0,6416.0,4384.0,3.0,0.0,86.0,0.0,5.0,0.0,124.0,80.0,6.0,4.0,494.0,446.0,4.0,7.0,15.0,15.0,17.0,10.0,34.0,28.0,1383.0,1028.0,0.0,3.0,4.0,0.5,0.8,106.93,#d21034,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",6.561,44,29,121,22.947,72.34,93.328,3,3,0,0,0,0,1.213767680029275,1.4202952707898435,0.35547451171555355,0.07989616536366811,0.14,0.5210084033613446,0.38764044943820225,0.9090909090909091,0.5,0.136,0.21951219512195122,3.925925925925926,3.923076923076923,1.467,-1.026,68.8,75.2,74.2,31.0,19.2,17.9,56.3,11.8,1594,0.08355422297948187,0.20355813296069514,3.2714285714285714,3.424812030075188,0.15191637875485842,-0.0036580576158137534,0.5011138958507382,0.6516483516483516,0.37249458664149687,0.4844452525786829,0.0365631507826617,0.015145862796705378,0,6.5,6.2,8.734197633225296,80.19999999999999,77.05074170002355,62.00151975683892,51.722222222222214,5.260115606936424,56.22071197411003,72.60523580157097,36.15877845657114,607.0115962632862,46.30177514792899,83.88372093023256,61.803554658212576,60.81189663421276,54.9027797389708,35.20834200098852,0.154857008628264,16.0,44.43333333333334,29.0,56.64333333333334,12.0,73.07,27.4,110.0,2.693443843326257,0.9993809154880265,24,91,58.0,21.0,67.0,79.0,116.0,16.0,16.0,9.444,17,0.2,0.01,0.0,31,0.001,33,1594
39,Iowa,Big Ten,708.71,2025,12.183333333333334,58.0,31.0,4.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,111.0,29.0,5.0,4.0,365.0,361.0,71.0,75.0,43.0,44.0,0.0,1.0,4.0,2.0,7.0,9.0,63.0,62.0,5989.0,4811.0,1.0,0.0,238.0,34.0,7.0,3.0,132.0,78.0,6.0,1.0,642.0,173.0,7.0,6.0,19.0,12.0,25.0,10.0,46.0,36.0,1007.0,534.0,2.0,1.0,-1.0,0.5435,0.6667,99.82,#000000,#FFCD00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png']",7.05,40,89,80,71.325,41.527,79.245,3,2,1,0,0,0,0.9706179681529622,0.9257583421554751,0.19752313827780374,-0.009369493554368408,0.188,0.47029702970297027,0.33766233766233766,0.8636363636363636,1.0,0.0873015873015873,0.2535211267605634,4.888888888888889,3.75,1.695,-1.259,66.8,71.0,30.0,-12.5,18.9,20.8,9.2,-31.4,1723,0.1615896681600977,0.13821411555067648,3.4350649350649354,3.619047619047619,0.059309022727127264,-0.17095916171446612,1.2698412698412702,0.3149350649350646,0.42627232895180317,0.39962887989203777,0.0706681498109325,-0.0886099912894655,1,6.3,6.1,8.734197633225296,47.199999999999996,68.76383329408993,69.27355623100304,63.94444444444444,0.404624277456648,73.06601941747573,56.56086874077285,9.939978028546903,658.8767986405833,49.230769230769226,94.0797342192691,40.351367784205955,74.30160476163303,68.29592669449042,93.6950030516395,0.09561726885812903,7.0,60.400000000000006,8.0,52.04233333333333,27.0,80.18,32.6,88.0,0.6957452915430609,-1.8085622241502293,54,36,41.0,48.0,30.0,133.0,3.0,84.0,5.0,9.367,14,-0.15,-0.84,-0.99,76,-0.912,72,1723
40,Kansas,Big 12,678.3066666666667,2025,9.275,67.0,47.0,5.0,6.0,7.0,8.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,120.0,49.0,6.0,3.0,745.0,603.0,84.0,88.0,59.0,61.0,2.0,2.0,9.0,4.0,17.0,21.0,137.0,190.0,5156.0,5644.0,0.0,0.0,83.0,16.0,11.0,5.0,101.0,104.0,4.0,3.0,495.0,351.0,10.0,4.0,26.0,12.0,9.0,19.0,31.0,48.0,1240.0,954.0,3.0,4.0,1.0,0.2903,0.7143,85.93,#0051ba,#e8000d,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",9.18,31,48,33,63.418,78.224,68.854,3,2,1,0,0,0,1.0372523638747326,1.484249539580842,0.2919643783924474,0.13209423698349204,0.219,0.5368421052631579,0.3489583333333333,0.6875,0.7777777777777778,0.1188118811881188,0.25263157894736843,4.894736842105263,4.1,1.554,-0.89,67.7,76.3,33.3,-14.3,51.4,-6.9,40.2,-65.7,1613,0.37316187908886805,0.101022763913234,4.927536231884058,4.234126984126984,0.19094161447921337,-0.241067642105376,0.6606098579782786,-0.827536231884058,0.5292174796747967,0.3863551051051051,0.15048700015805277,-0.1802591463414634,0,6.6,5.7,7.9134544358181955,60.4,52.57464092300448,26.9452887537994,58.44444444444441,6.531791907514446,73.1683188553909,77.61479691019615,17.12515587469548,624.3492086191742,43.30769230769231,69.74086378737542,53.17791742070355,52.923793196673124,65.26882293536804,27.644757918702865,0.21942848346519492,46.0,36.14545454545454,52.0,45.83233333333334,66.0,94.07,51.6,16.0,1.478258997245739,-0.5520669927712883,38,54,52.0,20.0,36.0,128.0,123.0,52.0,58.0,10.178,39,0.4,-0.2,-0.89,52,-0.348,50,1613
41,Memphis,American Athletic,642.9766666666667,2025,-2.835714285714286,66.0,45.0,3.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,57.0,20.0,1.0,4.0,0.0,0.0,20.0,110.0,1.0,6.0,608.0,526.0,75.0,92.0,55.0,53.0,4.0,1.0,2.0,2.0,17.0,16.0,165.0,95.0,5714.0,5085.0,0.0,0.0,80.0,0.0,7.0,0.0,118.0,87.0,11.0,1.0,655.0,207.0,9.0,4.0,28.0,17.0,16.0,12.0,34.0,42.0,1263.0,733.0,2.0,4.0,2.0,0.4706,0.75,95.23,#004991,#8e908f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']",7.816,36,30,122,80.36,74.679,69.196,3,3,0,0,0,0,1.2645252525852153,1.2591119510671425,0.29511699157480226,-0.013646275680637036,0.241,0.4896907216494845,0.3612565445026178,0.8333333333333334,0.4,0.11504424778761062,0.2988505747126437,5.117647058823529,1.8888888888888888,1.355,-0.919,71.6,77.0,31.2,-6.5,9.0,29.6,1.6,-15.5,1658,0.13786045895068794,0.20701437277669968,3.160839160839161,4.708333333333333,0.08810261879810258,-0.15150673463132497,0.40931372549019596,-1.271950271950272,0.38293147208121825,0.4602272727272727,0.02946344892221181,-0.021674927578600456,1,7.7,5.6,4.495762848743929,67.0,63.41405698139863,57.08662613981764,34.61111111111113,7.341040462427756,77.06773272415762,62.69676074697439,41.631960615767454,584.226642383354,80.72649572649573,60.53156146179402,53.60609000101978,74.94790641119465,61.97314521511086,54.270769176391944,0.2824246414488769,75.0,36.828571428571436,50.0,51.449333333333335,29.0,84.77,35.2,69.0,1.6181329973295273,-3.2262768890187714,34,15,68.0,42.0,45.0,59.0,72.0,32.0,80.0,11.276,92,0.13,0.0,0.0,42,0.002,30,1658
