,team,power_rating,conference,week,year
50,UNLV,3.3,Mountain West,17,2024
51,California,3.1,ACC,17,2024
52,Syracuse,2.8,ACC,17,2024
53,Rutgers,2.6,Big Ten,17,2024
54,Texas Tech,2.0,Big 12,17,2024
55,Duke,2.0,ACC,17,2024
56,Washington,1.7,Big Ten,17,2024
57,Washington State,1.6,Pac-12,17,2024
58,Marshall,1.5,Sun Belt,17,2024
59,NC State,1.2,ACC,17,2024
60,UCF,1.1,Big 12,17,2024
61,South Florida,1.0,American Athletic,17,2024
62,Texas State,0.7,Sun Belt,17,2024
63,Wisconsin,-0.1,Big Ten,17,2024
64,Ohio,-0.5,Mid-American,17,2024
65,Louisiana,-0.5,Sun Belt,17,2024
66,James Madison,-0.9,Sun Belt,17,2024
67,UTSA,-0.9,American Athletic,17,2024
68,UConn,-1.0,FBS Independents,17,2024
69,Navy,-1.3,American Athletic,17,2024
70,West Virginia,-1.5,Big 12,17,2024
71,Fresno State,-1.6,Mountain West,17,2024
72,Miami (OH),-1.6,Mid-American,17,2024
73,East Carolina,-1.7,American Athletic,17,2024
74,Bowling Green,-2.1,Mid-American,17,2024
75,Cincinnati,-2.2,Big 12,17,2024
76,Jacksonville State,-2.4,Conference USA,17,2024
77,UCLA,-2.8,Big Ten,17,2024
78,Oklahoma State,-2.8,Big 12,17,2024
79,Old Dominion,-2.9,Sun Belt,17,2024
80,San José State,-2.9,Mountain West,17,2024
81,Maryland,-3.1,Big Ten,17,2024
82,Northern Illinois,-3.1,Mid-American,17,2024
83,Mississippi State,-3.3,SEC,17,2024
84,Liberty,-3.3,Conference USA,17,2024
85,Wake Forest,-3.4,ACC,17,2024
86,Toledo,-3.5,Mid-American,17,2024
87,Michigan State,-3.8,Big Ten,17,2024
88,Sam Houston,-3.8,Conference USA,17,2024
89,Florida State,-4.4,ACC,17,2024
90,Oregon State,-4.5,Pac-12,17,2024
91,Troy,-4.6,Sun Belt,17,2024
92,Florida International,-4.6,Conference USA,17,2024
93,Florida Atlantic,-4.7,American Athletic,17,2024
94,Western Michigan,-5.2,Mid-American,17,2024
95,Georgia Southern,-5.7,Sun Belt,17,2024
96,Western Kentucky,-5.8,Conference USA,17,2024
97,Buffalo,-5.8,Mid-American,17,2024
98,Northwestern,-6.7,Big Ten,17,2024
99,North Texas,-6.8,American Athletic,17,2024
100,Stanford,-7.0,ACC,17,2024
101,Arizona,-7.1,Big 12,17,2024
102,Colorado State,-7.2,Mountain West,17,2024
103,Rice,-7.5,American Athletic,17,2024
104,Houston,-7.5,Big 12,17,2024
105,Nevada,-7.5,Mountain West,17,2024
106,Arkansas State,-7.6,Sun Belt,17,2024
107,Coastal Carolina,-7.7,Sun Belt,17,2024
108,Virginia,-8.2,ACC,17,2024
109,App State,-8.3,Sun Belt,17,2024
110,Louisiana Tech,-8.6,Conference USA,17,2024
111,Utah State,-9.0,Mountain West,17,2024
112,Eastern Michigan,-9.1,Mid-American,17,2024
113,Hawai'i,-9.2,Mountain West,17,2024
114,Charlotte,-9.4,American Athletic,17,2024
115,Central Michigan,-9.4,Mid-American,17,2024
116,Air Force,-9.4,Mountain West,17,2024
117,Akron,-9.9,Mid-American,17,2024
118,San Diego State,-10.2,Mountain West,17,2024
119,Georgia State,-10.4,Sun Belt,17,2024
120,UAB,-11.8,American Athletic,17,2024
121,New Mexico,-12.2,Mountain West,17,2024
122,Tulsa,-12.2,American Athletic,17,2024
123,Temple,-12.6,American Athletic,17,2024
124,UL Monroe,-12.7,Sun Belt,17,2024
125,Ball State,-13.0,Mid-American,17,2024
126,Massachusetts,-13.0,FBS Independents,17,2024
127,Kennesaw State,-13.8,Conference USA,17,2024
128,Purdue,-14.6,Big Ten,17,2024
129,Wyoming,-15.1,Mountain West,17,2024
130,UTEP,-15.2,Conference USA,17,2024
131,Middle Tennessee,-17.4,Conference USA,17,2024
132,New Mexico State,-20.0,Conference USA,17,2024
133,Southern Miss,-21.6,Sun Belt,17,2024
134,Kent State,-22.8,Mid-American,17,2024
